Hong Kong, Death rates (period 1x1), 	Last modified: 27 Sep 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1986           0             0.007026        0.007381        0.007210
  1986           1             0.000648        0.000479        0.000560
  1986           2             0.000373        0.000300        0.000335
  1986           3             0.000308        0.000399        0.000355
  1986           4             0.000235        0.000198        0.000216
  1986           5             0.000170        0.000249        0.000210
  1986           6             0.000149        0.000253        0.000203
  1986           7             0.000198        0.000161        0.000179
  1986           8             0.000176        0.000116        0.000145
  1986           9             0.000196        0.000158        0.000176
  1986          10             0.000099        0.000227        0.000166
  1986          11             0.000239        0.000131        0.000183
  1986          12             0.000286        0.000218        0.000250
  1986          13             0.000353        0.000301        0.000326
  1986          14             0.000167        0.000262        0.000217
  1986          15             0.000146        0.000423        0.000291
  1986          16             0.000311        0.000219        0.000263
  1986          17             0.000212        0.000368        0.000293
  1986          18             0.000385        0.000459        0.000424
  1986          19             0.000405        0.000318        0.000360
  1986          20             0.000397        0.000604        0.000503
  1986          21             0.000279        0.000612        0.000448
  1986          22             0.000247        0.000516        0.000383
  1986          23             0.000222        0.000529        0.000378
  1986          24             0.000318        0.000597        0.000460
  1986          25             0.000364        0.000682        0.000526
  1986          26             0.000263        0.000626        0.000449
  1986          27             0.000412        0.000563        0.000489
  1986          28             0.000387        0.000540        0.000466
  1986          29             0.000437        0.000624        0.000534
  1986          30             0.000386        0.000892        0.000648
  1986          31             0.000465        0.000991        0.000738
  1986          32             0.000553        0.000961        0.000766
  1986          33             0.000665        0.000899        0.000788
  1986          34             0.000577        0.000884        0.000738
  1986          35             0.000661        0.001005        0.000843
  1986          36             0.000848        0.001343        0.001110
  1986          37             0.000870        0.001528        0.001221
  1986          38             0.000863        0.001102        0.000991
  1986          39             0.000847        0.001688        0.001300
  1986          40             0.000874        0.001795        0.001375
  1986          41             0.001060        0.001674        0.001397
  1986          42             0.001153        0.002409        0.001850
  1986          43             0.001710        0.002694        0.002257
  1986          44             0.001258        0.003240        0.002356
  1986          45             0.001525        0.003130        0.002409
  1986          46             0.001274        0.003364        0.002421
  1986          47             0.001895        0.003503        0.002773
  1986          48             0.002010        0.003955        0.003069
  1986          49             0.002668        0.004018        0.003402
  1986          50             0.002801        0.006168        0.004626
  1986          51             0.003166        0.005776        0.004575
  1986          52             0.003725        0.005961        0.004929
  1986          53             0.004144        0.007672        0.006034
  1986          54             0.004011        0.007866        0.006062
  1986          55             0.004659        0.008027        0.006441
  1986          56             0.005291        0.011054        0.008322
  1986          57             0.004269        0.009214        0.006852
  1986          58             0.005924        0.012035        0.009088
  1986          59             0.005636        0.011101        0.008447
  1986          60             0.006782        0.016456        0.011717
