Lithuania, Death rates (period 1x1), 	Last modified: 29 Jan 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1959           0             0.047318        0.060565        0.054058
  1959           1             0.004134        0.003916        0.004023
  1959           2             0.002179        0.002366        0.002274
  1959           3             0.001267        0.001304        0.001286
  1959           4             0.001240        0.001268        0.001254
  1959           5             0.000629        0.001083        0.000861
  1959           6             0.000928        0.001226        0.001079
  1959           7             0.000586        0.000849        0.000720
  1959           8             0.000454        0.000999        0.000731
  1959           9             0.000412        0.000806        0.000611
  1959          10             0.000588        0.001280        0.000937
  1959          11             0.000530        0.000873        0.000703
  1959          12             0.000513        0.000549        0.000531
  1959          13             0.000503        0.000672        0.000588
  1959          14             0.000605        0.001658        0.001133
  1959          15             0.000689        0.001294        0.000990
  1959          16             0.000826        0.001253        0.001038
  1959          17             0.000559        0.001364        0.000960
  1959          18             0.000980        0.002285        0.001626
  1959          19             0.000765        0.002539        0.001623
  1959          20             0.001097        0.002022        0.001534
  1959          21             0.000698        0.002274        0.001446
  1959          22             0.000924        0.002368        0.001607
  1959          23             0.001069        0.002316        0.001661
  1959          24             0.001235        0.002439        0.001809
  1959          25             0.001003        0.002343        0.001634
  1959          26             0.001004        0.002508        0.001707
  1959          27             0.001750        0.003065        0.002366
  1959          28             0.001294        0.002879        0.002044
  1959          29             0.000902        0.003087        0.001930
  1959          30             0.001463        0.003430        0.002368
  1959          31             0.001373        0.002368        0.001831
  1959          32             0.001611        0.003449        0.002415
  1959          33             0.001684        0.003335        0.002358
  1959          34             0.001244        0.003054        0.001982
  1959          35             0.001489        0.003922        0.002493
  1959          36             0.002129        0.003968        0.002898
  1959          37             0.002181        0.003881        0.002906
  1959          38             0.002886        0.004068        0.003403
  1959          39             0.001753        0.004088        0.002767
  1959          40             0.002839        0.005272        0.003859
  1959          41             0.002950        0.003259        0.003079
  1959          42             0.002838        0.004393        0.003498
  1959          43             0.002359        0.005237        0.003561
  1959          44             0.003047        0.005525        0.004063
  1959          45             0.003372        0.005684        0.004304
