Slovenia, Death rates (period 1x1), 	Last modified: 01 Nov 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1983           0             0.012665        0.014288        0.013499
  1983           1             0.001518        0.001090        0.001297
  1983           2             0.000906        0.000328        0.000609
  1983           3             0.000549        0.000701        0.000628
  1983           4             0.000415        0.000505        0.000462
  1983           5             0.000139        0.000128        0.000133
  1983           6             0.000068        0.000512        0.000298
  1983           7             0.000407        0.000385        0.000396
  1983           8             0.000212        0.000530        0.000377
  1983           9             0.000071        0.000265        0.000172
  1983          10             0.000142        0.000134        0.000138
  1983          11             0.000073        0.000203        0.000140
  1983          12             0.000075        0.000142        0.000109
  1983          13             0.000000        0.000423        0.000217
  1983          14             0.000299        0.000418        0.000360
  1983          15             0.000217        0.000482        0.000352
  1983          16             0.000347        0.000667        0.000510
  1983          17             0.000476        0.001312        0.000902
  1983          18             0.000206        0.001561        0.000887
  1983          19             0.000625        0.001170        0.000899
  1983          20             0.000481        0.001632        0.001059
  1983          21             0.000202        0.002023        0.001110
  1983          22             0.000530        0.001701        0.001108
  1983          23             0.000601        0.001345        0.000971
  1983          24             0.000403        0.001057        0.000732
  1983          25             0.000520        0.002127        0.001327
  1983          26             0.000625        0.001531        0.001083
  1983          27             0.000498        0.002010        0.001273
  1983          28             0.000499        0.001598        0.001063
  1983          29             0.000807        0.002224        0.001536
  1983          30             0.000434        0.002022        0.001256
  1983          31             0.000758        0.002123        0.001464
  1983          32             0.000955        0.002486        0.001748
  1983          33             0.000595        0.002073        0.001364
  1983          34             0.001130        0.002681        0.001935
  1983          35             0.000950        0.003190        0.002111
  1983          36             0.001234        0.002827        0.002055
  1983          37             0.000924        0.003406        0.002200
  1983          38             0.000982        0.002834        0.001942
  1983          39             0.001412        0.005245        0.003371
  1983          40             0.001715        0.004010        0.002880
  1983          41             0.001458        0.004379        0.002957
  1983          42             0.002661        0.004907        0.003821
  1983          43             0.001814        0.005662        0.003784
  1983          44             0.002765        0.007501        0.005165
  1983          45             0.002901        0.006731        0.004841
  1983          46             0.003443        0.007405        0.005455
  1983          47             0.003833        0.008093        0.005994
  1983          48             0.003408        0.009967        0.006689
  1983          49             0.004139        0.012277        0.008122
  1983          50             0.003720        0.010175        0.006850
  1983          51             0.004942        0.013282        0.008968
  1983          52             0.007039        0.014817        0.010807
  1983          53             0.006016        0.017601        0.011602
  1983          54             0.005605        0.014411        0.009758
  1983          55             0.006885        0.018462        0.012201
  1983          56             0.007252        0.018320        0.012063
  1983          57             0.008081        0.022158        0.013911
  1983          58             0.009008        0.020704        0.013730
  1983          59             0.011648        0.024838        0.016933
  1983          60             0.009093        0.025892        0.015758
  1983          61             0.011971        0.025615        0.017290
  1983          62             0.012287        0.026819        0.017998
  1983          63             0.013626        0.031845        0.020882
  1983          64             0.013910        0.030454        0.020486
  1983          65             0.017149        0.039860        0.026230
  1983          66             0.015750        0.039295        0.025319
  1983          67             0.020873        0.038843        0.028153
  1983          68             0.026008        0.050451        0.035890
  1983          69             0.023502        0.044141        0.031749
  1983          70             0.028344        0.053977        0.038506
  1983          71             0.034775        0.064512        0.046635
  1983          72             0.035910        0.063270        0.046769
  1983          73             0.040642        0.073325        0.053470
  1983          74             0.048352        0.082095        0.061346
  1983          75             0.052509        0.088955        0.066086
  1983          76             0.060967        0.113886        0.080106
  1983          77             0.063307        0.111064        0.080276
  1983          78             0.074993        0.115017        0.088937
  1983          79             0.083030        0.137573        0.101752
  1983          80             0.096033        0.141341        0.110965
  1983          81             0.110585        0.161386        0.126765
  1983          82             0.118484        0.168967        0.134294
  1983          83             0.138081        0.207425        0.159188
  1983          84             0.156102        0.193481        0.167056
  1983          85             0.147817        0.229008        0.169637
  1983          86             0.187460        0.262073        0.206765
  1983          87             0.197391        0.250731        0.210905
  1983          88             0.193188        0.259567        0.209866
  1983          89             0.228466        0.316272        0.250928
  1983          90             0.256937        0.384880        0.286392
  1983          91             0.258214        0.304279        0.268625
  1983          92             0.365398        0.382979        0.369379
  1983          93             0.439024        0.521739        0.457143
  1983          94             0.375000        0.426036        0.384365
  1983          95             0.424893        0.545455        0.446018
  1983          96             0.604478        0.476190        0.580060
  1983          97             0.412698        0.461538        0.423237
  1983          98             0.518519        1.111111        0.666667
  1983          99             0.508475        0.600000        0.521739
  1983         100             0.150000        0.000000        0.115385
  1983         101             0.857143        0.000000        0.600000
  1983         102             0.000000        1.200000        0.545455
  1983         103                   .              .              .
  1983         104                   .              .              .
  1983         105                   .              .              .
  1983         106                   .              .              .
  1983         107                   .              .              .
  1983         108                   .              .              .
  1983         109                   .              .              .
  1983         110+                  .              .              .
  1984           0             0.012101        0.015316        0.013745
  1984           1             0.000664        0.001327        0.001004
  1984           2             0.000288        0.000340        0.000315
  1984           3             0.000557        0.000393        0.000472
  1984           4             0.000069        0.000573        0.000330
  1984           5             0.000207        0.000189        0.000198
  1984           6             0.000348        0.000511        0.000433
  1984           7             0.000068        0.000320        0.000198
  1984           8             0.000339        0.000514        0.000429
  1984           9             0.000142        0.000331        0.000240
  1984          10             0.000214        0.000265        0.000240
  1984          11             0.000356        0.000401        0.000379
  1984          12             0.000435        0.000271        0.000350
  1984          13             0.000150        0.000142        0.000146
  1984          14             0.000148        0.000494        0.000325
  1984          15             0.000447        0.000278        0.000360
  1984          16             0.000576        0.000550        0.000563
  1984          17             0.000344        0.001198        0.000778
  1984          18             0.000473        0.001372        0.000930
  1984          19             0.000271        0.000879        0.000575
  1984          20             0.000410        0.001370        0.000889
  1984          21             0.000543        0.001478        0.001013
  1984          22             0.000399        0.002199        0.001298
  1984          23             0.000526        0.001611        0.001063
  1984          24             0.000265        0.002132        0.001197
  1984          25             0.000401        0.002359        0.001390
  1984          26             0.000519        0.001731        0.001128
  1984          27             0.000437        0.001832        0.001143
  1984          28             0.000560        0.001772        0.001182
  1984          29             0.000249        0.001836        0.001063
  1984          30             0.000434        0.002053        0.001266
  1984          31             0.000744        0.002143        0.001468
  1984          32             0.000759        0.002659        0.001741
  1984          33             0.000764        0.002852        0.001844
  1984          34             0.000729        0.002324        0.001558
  1984          35             0.001061        0.003218        0.002179
  1984          36             0.001317        0.002658        0.002012
  1984          37             0.001775        0.002693        0.002248
  1984          38             0.000463        0.003771        0.002162
  1984          39             0.001278        0.003861        0.002613
  1984          40             0.001581        0.004312        0.002974
  1984          41             0.001875        0.003950        0.002927
  1984          42             0.002434        0.004788        0.003640
  1984          43             0.002334        0.004231        0.003312
  1984          44             0.002893        0.007283        0.005135
  1984          45             0.002437        0.007482        0.004987
  1984          46             0.003507        0.008119        0.005838
  1984          47             0.002948        0.007135        0.005070
  1984          48             0.004348        0.008896        0.006649
  1984          49             0.004254        0.009233        0.006736
  1984          50             0.004478        0.011898        0.008095
  1984          51             0.003894        0.012428        0.008015
  1984          52             0.005915        0.014576        0.010078
  1984          53             0.006223        0.013951        0.009949
  1984          54             0.005732        0.017536        0.011393
  1984          55             0.007130        0.018051        0.012248
  1984          56             0.007266        0.020404        0.013261
  1984          57             0.006462        0.017674        0.011302
  1984          58             0.008057        0.020826        0.013302
  1984          59             0.009184        0.021791        0.014240
  1984          60             0.008686        0.025877        0.015507
  1984          61             0.010081        0.023913        0.015517
  1984          62             0.011915        0.027185        0.017815
  1984          63             0.011408        0.028072        0.017892
  1984          64             0.017102        0.031865        0.022926
  1984          65             0.015376        0.033200        0.022381
  1984          66             0.018516        0.035842        0.025362
  1984          67             0.018711        0.034832        0.025187
  1984          68             0.021551        0.047125        0.031796
  1984          69             0.024601        0.051689        0.035397
  1984          70             0.030474        0.046352        0.036728
  1984          71             0.029336        0.055102        0.039409
  1984          72             0.032746        0.060089        0.043469
  1984          73             0.038477        0.068266        0.050093
  1984          74             0.046607        0.083432        0.060771
  1984          75             0.051678        0.086340        0.064725
  1984          76             0.056429        0.095919        0.070766
  1984          77             0.061944        0.099614        0.075167
  1984          78             0.078514        0.109578        0.089282
  1984          79             0.089580        0.122265        0.100646
  1984          80             0.098287        0.144235        0.113464
  1984          81             0.105749        0.169437        0.125941
  1984          82             0.127833        0.183986        0.145057
  1984          83             0.133341        0.162227        0.142139
  1984          84             0.145935        0.198404        0.161347
  1984          85             0.154556        0.202954        0.168184
  1984          86             0.177413        0.222156        0.188861
  1984          87             0.198425        0.251397        0.211535
  1984          88             0.218902        0.243421        0.224802
  1984          89             0.237762        0.243937        0.239283
  1984          90             0.284753        0.375398        0.306592
  1984          91             0.308386        0.315789        0.309979
  1984          92             0.325963        0.354486        0.332353
  1984          93             0.289655        0.492857        0.333591
  1984          94             0.394030        0.464286        0.408115
  1984          95             0.310940        0.349515        0.317308
  1984          96             0.370130        0.666667        0.414365
  1984          97             0.579545        0.136364        0.490909
  1984          98             0.804124        0.333333        0.676692
  1984          99             0.272727        0.600000        0.333333
  1984         100             0.545455        0.000000        0.452830
  1984         101             1.125000        0.000000        0.642857
  1984         102             0.857143        0.000000        0.461538
  1984         103             0.000000        0.000000        0.000000
  1984         104                   .              .              .
  1984         105                   .              .              .
  1984         106                   .              .              .
  1984         107                   .              .              .
  1984         108                   .              .              .
  1984         109                   .              .              .
  1984         110+                  .              .              .
  1985           0             0.009900        0.015857        0.012952
  1985           1             0.000308        0.001033        0.000679
  1985           2             0.000367        0.000349        0.000358
  1985           3             0.000288        0.000407        0.000349
  1985           4             0.000347        0.000589        0.000472
  1985           5             0.000411        0.000254        0.000330
  1985           6             0.000069        0.000189        0.000132
  1985           7             0.000557        0.000128        0.000333
  1985           8             0.000274        0.000448        0.000364
  1985           9             0.000136        0.000385        0.000264
  1985          10             0.000142        0.000265        0.000205
  1985          11             0.000142        0.000331        0.000240
  1985          12             0.000000        0.000401        0.000207
  1985          13             0.000000        0.000406        0.000210
  1985          14             0.000150        0.000497        0.000328
  1985          15             0.000074        0.000705        0.000397
  1985          16             0.000743        0.001182        0.000970
  1985          17             0.000358        0.001030        0.000701
  1985          18             0.000410        0.001194        0.000808
  1985          19             0.000400        0.000978        0.000692
  1985          20             0.000800        0.001278        0.001038
  1985          21             0.000675        0.001763        0.001218
  1985          22             0.000268        0.001864        0.001069
  1985          23             0.000198        0.001910        0.001055
  1985          24             0.000654        0.001995        0.001319
  1985          25             0.000528        0.002049        0.001288
  1985          26             0.000333        0.001496        0.000922
  1985          27             0.000324        0.001788        0.001061
  1985          28             0.000312        0.001892        0.001111
  1985          29             0.000747        0.001949        0.001364
  1985          30             0.000622        0.001958        0.001306
  1985          31             0.000683        0.002117        0.001419
  1985          32             0.000620        0.002263        0.001469
  1985          33             0.000443        0.002135        0.001317
  1985          34             0.001021        0.002744        0.001911
  1985          35             0.000729        0.002395        0.001594
  1985          36             0.001346        0.002573        0.001981
  1985          37             0.001246        0.003149        0.002230
  1985          38             0.001778        0.002995        0.002404
  1985          39             0.001113        0.003437        0.002304
  1985          40             0.001575        0.004064        0.002859
  1985          41             0.002000        0.004333        0.003188
  1985          42             0.001252        0.003969        0.002627
  1985          43             0.001382        0.005284        0.003377
  1985          44             0.001754        0.005042        0.003446
  1985          45             0.002568        0.005344        0.003982
  1985          46             0.002527        0.007292        0.004929
  1985          47             0.002746        0.008185        0.005488
  1985          48             0.002789        0.009346        0.006102
  1985          49             0.003860        0.009234        0.006571
  1985          50             0.003014        0.010435        0.006700
  1985          51             0.005561        0.011695        0.008539
  1985          52             0.005112        0.013637        0.009209
  1985          53             0.004520        0.013571        0.008851
  1985          54             0.006255        0.013736        0.009844
  1985          55             0.005127        0.016779        0.010685
  1985          56             0.007597        0.019258        0.013026
  1985          57             0.007983        0.019974        0.013417
  1985          58             0.007181        0.020283        0.012795
  1985          59             0.008713        0.023484        0.014733
  1985          60             0.011872        0.024977        0.017079
  1985          61             0.012322        0.022985        0.016515
  1985          62             0.009829        0.025794        0.016051
  1985          63             0.011575        0.035998        0.020915
  1985          64             0.012380        0.030435        0.019328
  1985          65             0.016028        0.036302        0.023934
  1985          66             0.015632        0.030824        0.021541
  1985          67             0.022969        0.036435        0.028236
  1985          68             0.021590        0.047307        0.031798
  1985          69             0.029420        0.049285        0.037249
  1985          70             0.025113        0.049099        0.034544
  1985          71             0.030261        0.053324        0.039226
  1985          72             0.032664        0.060580        0.043409
  1985          73             0.037993        0.059081        0.046142
  1985          74             0.046467        0.067137        0.054396
  1985          75             0.050427        0.083529        0.062888
  1985          76             0.058694        0.094299        0.071810
  1985          77             0.060736        0.099422        0.074402
  1985          78             0.073321        0.109519        0.085759
  1985          79             0.075434        0.123336        0.091617
  1985          80             0.093548        0.132659        0.106272
  1985          81             0.101720        0.162252        0.121046
  1985          82             0.119433        0.162253        0.132431
  1985          83             0.137841        0.192509        0.154193
  1985          84             0.143865        0.174346        0.152855
  1985          85             0.146502        0.224896        0.168819
  1985          86             0.163209        0.203975        0.174309
  1985          87             0.230913        0.247216        0.235009
  1985          88             0.208449        0.277070        0.224579
  1985          89             0.279101        0.226657        0.266712
  1985          90             0.235904        0.352607        0.264299
  1985          91             0.264085        0.252632        0.261491
  1985          92             0.315981        0.480549        0.350407
  1985          93             0.359155        0.310345        0.349229
  1985          94             0.412921        0.424242        0.415385
  1985          95             0.324675        0.444444        0.347368
  1985          96             0.430939        0.468750        0.436620
  1985          97             0.305556        0.333333        0.309524
  1985          98             0.600000        0.774194        0.641221
  1985          99             1.000000        0.000000        0.666667
  1985         100             0.000000        0.000000        0.000000
  1985         101             0.000000        0.750000        0.157895
  1985         102             0.000000        0.000000        0.000000
  1985         103             0.000000        0.000000        0.000000
  1985         104             0.000000        0.000000        0.000000
  1985         105                   .              .              .
  1985         106                   .              .              .
  1985         107                   .              .              .
  1985         108                   .              .              .
  1985         109                   .              .              .
  1985         110+                  .              .              .
