Portugal, Death rates (period 1x10), 	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1940-1949        0             0.124882        0.141373        0.133391
1940-1949        1             0.045712        0.047270        0.046511
1940-1949        2             0.018964        0.019597        0.019288
1940-1949        3             0.009419        0.009834        0.009631
1940-1949        4             0.006019        0.006323        0.006174
1940-1949        5             0.004024        0.004441        0.004237
1940-1949        6             0.003286        0.003513        0.003402
1940-1949        7             0.002735        0.003075        0.002908
1940-1949        8             0.002250        0.002572        0.002414
1940-1949        9             0.002157        0.002265        0.002212
1940-1949       10             0.001861        0.002087        0.001976
1940-1949       11             0.001778        0.001961        0.001871
1940-1949       12             0.001861        0.001814        0.001837
1940-1949       13             0.002052        0.001915        0.001983
1940-1949       14             0.002262        0.002186        0.002224
1940-1949       15             0.002487        0.002310        0.002398
1940-1949       16             0.002872        0.002782        0.002827
1940-1949       17             0.003156        0.003267        0.003212
1940-1949       18             0.003571        0.003900        0.003735
1940-1949       19             0.003625        0.004232        0.003928
1940-1949       20             0.003937        0.004434        0.004185
1940-1949       21             0.003873        0.004797        0.004333
1940-1949       22             0.004228        0.005078        0.004651
1940-1949       23             0.004138        0.005189        0.004659
1940-1949       24             0.004268        0.005238        0.004748
1940-1949       25             0.004226        0.004976        0.004596
1940-1949       26             0.004235        0.005011        0.004618
1940-1949       27             0.004301        0.005182        0.004734
1940-1949       28             0.004455        0.005330        0.004884
1940-1949       29             0.003948        0.004986        0.004455
1940-1949       30             0.004439        0.005416        0.004915
1940-1949       31             0.003810        0.005049        0.004412
1940-1949       32             0.004354        0.005760        0.005035
1940-1949       33             0.004541        0.006055        0.005271
1940-1949       34             0.004379        0.005979        0.005148
1940-1949       35             0.004604        0.006533        0.005525
1940-1949       36             0.004654        0.006691        0.005622
1940-1949       37             0.004594        0.006880        0.005676
1940-1949       38             0.005254        0.007620        0.006368
1940-1949       39             0.004702        0.007098        0.005826
1940-1949       40             0.005564        0.008277        0.006831
1940-1949       41             0.004328        0.007210        0.005668
1940-1949       42             0.005771        0.009287        0.007397
1940-1949       43             0.005160        0.008639        0.006764
1940-1949       44             0.005568        0.009550        0.007399
1940-1949       45             0.006309        0.010877        0.008404
1940-1949       46             0.005838        0.009958        0.007723
1940-1949       47             0.005791        0.010310        0.007854
1940-1949       48             0.007203        0.012597        0.009655
1940-1949       49             0.006517        0.012014        0.009000
1940-1949       50             0.008724        0.014679        0.011399
1940-1949       51             0.006735        0.011603        0.008916
1940-1949       52             0.008957        0.015294        0.011791
1940-1949       53             0.008883        0.015408        0.011790
1940-1949       54             0.009384        0.016610        0.012588
1940-1949       55             0.010980        0.018734        0.014402
1940-1949       56             0.011223        0.019368        0.014801
1940-1949       57             0.011020        0.018752        0.014403
1940-1949       58             0.013300        0.022469        0.017296
1940-1949       59             0.012129        0.021404        0.016152
1940-1949       60             0.020543        0.029831        0.024553
1940-1949       61             0.012982        0.022490        0.017072
1940-1949       62             0.019117        0.030431        0.023970
1940-1949       63             0.020903        0.032913        0.026044
1940-1949       64             0.022444        0.035793        0.028136
1940-1949       65             0.029341        0.042061        0.034745
1940-1949       66             0.028381        0.044282        0.035116
1940-1949       67             0.029523        0.044533        0.035848
1940-1949       68             0.036777        0.054080        0.044027
1940-1949       69             0.030807        0.048226        0.038042
1940-1949       70             0.059906        0.074056        0.065734
1940-1949       71             0.035956        0.054595        0.043580
1940-1949       72             0.055943        0.079652        0.065544
1940-1949       73             0.056634        0.081218        0.066483
1940-1949       74             0.063083        0.090257        0.073849
1940-1949       75             0.087106        0.110829        0.096386
1940-1949       76             0.080004        0.107425        0.090612
1940-1949       77             0.089389        0.122536        0.102026
1940-1949       78             0.115318        0.150987        0.128675
1940-1949       79             0.093101        0.126573        0.105424
1940-1949       80             0.159668        0.184349        0.168197
1940-1949       81             0.092779        0.128451        0.104892
1940-1949       82             0.134241        0.176269        0.148198
1940-1949       83             0.133698        0.179264        0.148434
1940-1949       84             0.155448        0.214256        0.173876
1940-1949       85             0.204717        0.250297        0.218556
1940-1949       86             0.183293        0.245339        0.201564
1940-1949       87             0.190740        0.248421        0.207117
