Taiwan, Death rates (period 1x10), 	Last modified: 18 Sep 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1970-1979        0             0.012432        0.014490        0.013495
1970-1979        1             0.003364        0.003690        0.003532
1970-1979        2             0.001831        0.002133        0.001986
1970-1979        3             0.001118        0.001332        0.001229
1970-1979        4             0.000777        0.000926        0.000854
1970-1979        5             0.000594        0.000777        0.000688
1970-1979        6             0.000492        0.000684        0.000590
1970-1979        7             0.000400        0.000635        0.000521
1970-1979        8             0.000340        0.000594        0.000471
1970-1979        9             0.000300        0.000543        0.000425
1970-1979       10             0.000299        0.000538        0.000421
1970-1979       11             0.000311        0.000515        0.000416
1970-1979       12             0.000367        0.000541        0.000457
1970-1979       13             0.000391        0.000596        0.000496
1970-1979       14             0.000439        0.000678        0.000562
1970-1979       15             0.000530        0.000858        0.000698
1970-1979       16             0.000594        0.001082        0.000844
1970-1979       17             0.000645        0.001280        0.000971
1970-1979       18             0.000713        0.001521        0.001127
1970-1979       19             0.000735        0.001605        0.001180
1970-1979       20             0.000783        0.001531        0.001165
1970-1979       21             0.000803        0.001552        0.001186
1970-1979       22             0.000823        0.001698        0.001270
1970-1979       23             0.000845        0.001881        0.001375
1970-1979       24             0.000900        0.001911        0.001417
1970-1979       25             0.000898        0.001854        0.001387
1970-1979       26             0.000905        0.001857        0.001392
1970-1979       27             0.000901        0.001862        0.001392
1970-1979       28             0.000972        0.001940        0.001466
1970-1979       29             0.000973        0.001935        0.001464
1970-1979       30             0.001061        0.001997        0.001539
1970-1979       31             0.001176        0.002152        0.001674
1970-1979       32             0.001276        0.002327        0.001811
1970-1979       33             0.001334        0.002440        0.001897
1970-1979       34             0.001433        0.002587        0.002019
1970-1979       35             0.001514        0.002717        0.002126
1970-1979       36             0.001604        0.002936        0.002284
1970-1979       37             0.001738        0.003005        0.002390
1970-1979       38             0.001804        0.003301        0.002581
1970-1979       39             0.001993        0.003611        0.002844
1970-1979       40             0.002180        0.003815        0.003054
1970-1979       41             0.002348        0.004079        0.003288
1970-1979       42             0.002561        0.004354        0.003551
1970-1979       43             0.002756        0.004504        0.003738
1970-1979       44             0.003111        0.004891        0.004128
1970-1979       45             0.003141        0.005214        0.004345
1970-1979       46             0.003478        0.005620        0.004737
1970-1979       47             0.003781        0.006043        0.005121
1970-1979       48             0.004164        0.006581        0.005603
1970-1979       49             0.004526        0.007063        0.006041
1970-1979       50             0.004865        0.007815        0.006632
1970-1979       51             0.005566        0.008441        0.007285
1970-1979       52             0.006078        0.009249        0.007966
1970-1979       53             0.006590        0.010261        0.008761
1970-1979       54             0.007193        0.011370        0.009647
1970-1979       55             0.007708        0.012766        0.010658
1970-1979       56             0.008359        0.013748        0.011485
1970-1979       57             0.009209        0.014769        0.012421
1970-1979       58             0.010027        0.016223        0.013580
1970-1979       59             0.011189        0.017599        0.014821
1970-1979       60             0.012063        0.019319        0.016134
1970-1979       61             0.013223        0.021108        0.017601
1970-1979       62             0.014776        0.024097        0.019902
1970-1979       63             0.016281        0.026305        0.021731
1970-1979       64             0.018428        0.029505        0.024382
1970-1979       65             0.020476        0.032141        0.026660
1970-1979       66             0.022491        0.035788        0.029430
1970-1979       67             0.025550        0.039327        0.032572
1970-1979       68             0.028392        0.042926        0.035651
1970-1979       69             0.031597        0.047379        0.039376
1970-1979       70             0.034998        0.052050        0.043270
1970-1979       71             0.038723        0.056905        0.047379
1970-1979       72             0.042657        0.062624        0.051994
1970-1979       73             0.048109        0.067608        0.057086
1970-1979       74             0.053852        0.074614        0.063263
1970-1979       75             0.058539        0.080915        0.068446
1970-1979       76             0.065880        0.088505        0.075637
1970-1979       77             0.070644        0.095786        0.081138
1970-1979       78             0.077477        0.106228        0.089089
1970-1979       79             0.086635        0.116159        0.098249
1970-1979       80             0.099757        0.125908        0.109995
1970-1979       81             0.110190        0.138329        0.120925
1970-1979       82             0.118259        0.145113        0.128258
1970-1979       83             0.132667        0.152057        0.139718
1970-1979       84             0.140784        0.171951        0.151809
1970-1979       85             0.152189        0.174157        0.159730
1970-1979       86             0.166917        0.185569        0.173170
1970-1979       87             0.185039        0.205394        0.191716
1970-1979       88             0.195309        0.208975        0.199680
1970-1979       89             0.217842        0.230380        0.221747
1970-1979       90             0.234384        0.236038        0.234888
1970-1979       91             0.253219        0.260584        0.255426
1970-1979       92             0.276445        0.243460        0.266693
1970-1979       93             0.295614        0.248951        0.281787
1970-1979       94             0.314092        0.282081        0.304638
1970-1979       95             0.330204        0.274694        0.314048
1970-1979       96             0.352605        0.285320        0.333265
1970-1979       97             0.375888        0.296608        0.353436
1970-1979       98             0.400889        0.309364        0.375256
1970-1979       99             0.428283        0.325265        0.399712
1970-1979      100             0.458888        0.345571        0.427966
1970-1979      101             0.493901        0.376123        0.462616
1970-1979      102             0.536268        0.415087        0.505747
1970-1979      103             0.593978        0.477728        0.567181
1970-1979      104             0.679553        0.540518        0.652611
1970-1979      105             0.797580        0.845612        0.803757
1970-1979      106             0.935143        1.494662        0.964853
1970-1979      107             1.270553              .        1.270553
1970-1979      108             3.352313              .        3.352313
1970-1979      109                   .              .              .
1970-1979      110+                  .              .              .
1980-1989        0             0.007371        0.008469        0.007940
1980-1989        1             0.001648        0.001890        0.001773
1980-1989        2             0.000944        0.001181        0.001066
1980-1989        3             0.000638        0.000839        0.000742
1980-1989        4             0.000478        0.000675        0.000579
1980-1989        5             0.000386        0.000562        0.000477
1980-1989        6             0.000334        0.000511        0.000425
1980-1989        7             0.000303        0.000508        0.000409
1980-1989        8             0.000290        0.000519        0.000408
1980-1989        9             0.000289        0.000455        0.000375
1980-1989       10             0.000281        0.000442        0.000364
1980-1989       11             0.000261        0.000442        0.000354
1980-1989       12             0.000284        0.000458        0.000374
1980-1989       13             0.000327        0.000495        0.000414
1980-1989       14             0.000326        0.000580        0.000456
1980-1989       15             0.000415        0.000851        0.000639
1980-1989       16             0.000509        0.001158        0.000842
1980-1989       17             0.000545        0.001421        0.000994
1980-1989       18             0.000553        0.001734        0.001158
1980-1989       19             0.000620        0.001709        0.001178
1980-1989       20             0.000670        0.001442        0.001066
1980-1989       21             0.000649        0.001398        0.001033
1980-1989       22             0.000703        0.001610        0.001168
1980-1989       23             0.000668        0.001785        0.001239
1980-1989       24             0.000714        0.001740        0.001239
1980-1989       25             0.000715        0.001691        0.001214
1980-1989       26             0.000730        0.001756        0.001255
1980-1989       27             0.000743        0.001696        0.001230
1980-1989       28             0.000791        0.001698        0.001255
1980-1989       29             0.000763        0.001783        0.001284
1980-1989       30             0.000861        0.001793        0.001337
1980-1989       31             0.000818        0.001935        0.001389
1980-1989       32             0.000922        0.002025        0.001486
1980-1989       33             0.000932        0.002086        0.001523
1980-1989       34             0.001021        0.002213        0.001631
1980-1989       35             0.001100        0.002424        0.001778
1980-1989       36             0.001210        0.002562        0.001903
1980-1989       37             0.001284        0.002796        0.002059
1980-1989       38             0.001329        0.002978        0.002174
1980-1989       39             0.001569        0.003188        0.002399
1980-1989       40             0.001523        0.003467        0.002517
1980-1989       41             0.001706        0.003780        0.002766
1980-1989       42             0.001919        0.004148        0.003056
1980-1989       43             0.002061        0.004411        0.003258
