Austria, Death rates (period 1x5), 	Last modified: 30 Mar 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1947-1949        0             0.073426        0.093216        0.083584
1947-1949        1             0.006266        0.007203        0.006746
1947-1949        2             0.003518        0.003923        0.003724
1947-1949        3             0.002651        0.002921        0.002788
1947-1949        4             0.001937        0.002276        0.002109
1947-1949        5             0.001495        0.001784        0.001642
1947-1949        6             0.001321        0.001483        0.001403
1947-1949        7             0.001033        0.001352        0.001195
1947-1949        8             0.000916        0.001252        0.001087
1947-1949        9             0.000710        0.000871        0.000792
1947-1949       10             0.000819        0.001040        0.000932
1947-1949       11             0.000779        0.001266        0.001027
1947-1949       12             0.000769        0.001075        0.000924
1947-1949       13             0.000897        0.000993        0.000946
1947-1949       14             0.000921        0.001107        0.001017
1947-1949       15             0.001142        0.001498        0.001326
1947-1949       16             0.001315        0.001520        0.001421
1947-1949       17             0.001423        0.002032        0.001738
1947-1949       18             0.001463        0.002246        0.001867
1947-1949       19             0.001825        0.002674        0.002258
1947-1949       20             0.001994        0.002730        0.002361
1947-1949       21             0.002139        0.002689        0.002405
1947-1949       22             0.002072        0.003143        0.002570
1947-1949       23             0.001829        0.003170        0.002431
1947-1949       24             0.002156        0.003230        0.002627
1947-1949       25             0.002136        0.003242        0.002616
1947-1949       26             0.002182        0.003100        0.002579
1947-1949       27             0.002199        0.002888        0.002497
1947-1949       28             0.002122        0.002799        0.002416
1947-1949       29             0.002224        0.002778        0.002466
1947-1949       30             0.002544        0.003448        0.002943
1947-1949       31             0.002526        0.003416        0.002919
1947-1949       32             0.002457        0.003389        0.002868
1947-1949       33             0.002491        0.003246        0.002825
1947-1949       34             0.002709        0.003705        0.003151
1947-1949       35             0.002829        0.003564        0.003157
1947-1949       36             0.002857        0.003837        0.003296
1947-1949       37             0.002934        0.004041        0.003432
1947-1949       38             0.003297        0.004360        0.003777
1947-1949       39             0.003214        0.004395        0.003749
1947-1949       40             0.003496        0.004626        0.004010
1947-1949       41             0.003637        0.004759        0.004153
1947-1949       42             0.003787        0.005367        0.004521
1947-1949       43             0.003730        0.005706        0.004657
1947-1949       44             0.004318        0.006066        0.005142
1947-1949       45             0.004452        0.006464        0.005404
1947-1949       46             0.004906        0.007587        0.006176
1947-1949       47             0.005326        0.008177        0.006672
1947-1949       48             0.005879        0.009099        0.007388
1947-1949       49             0.006241        0.009719        0.007852
1947-1949       50             0.006436        0.010383        0.008240
1947-1949       51             0.006782        0.010875        0.008626
1947-1949       52             0.007579        0.012584        0.009802
1947-1949       53             0.007692        0.013385        0.010190
1947-1949       54             0.008322        0.013844        0.010728
1947-1949       55             0.009119        0.015920        0.012078
1947-1949       56             0.009947        0.017656        0.013306
1947-1949       57             0.011254        0.017610        0.014025
1947-1949       58             0.011751        0.018932        0.014872
1947-1949       59             0.012954        0.021421        0.016619
1947-1949       60             0.013790        0.023465        0.017962
1947-1949       61             0.015868        0.025444        0.019992
1947-1949       62             0.017702        0.027109        0.021757
1947-1949       63             0.019687        0.029161        0.023782
1947-1949       64             0.021206        0.033203        0.026397
1947-1949       65             0.024389        0.034789        0.028887
1947-1949       66             0.026428        0.037949        0.031402
1947-1949       67             0.028817        0.040207        0.033724
1947-1949       68             0.031349        0.045056        0.037231
1947-1949       69             0.036680        0.050217        0.042463
1947-1949       70             0.041474        0.053059        0.046414
1947-1949       71             0.046183        0.056963        0.050786
1947-1949       72             0.051226        0.064348        0.056824
1947-1949       73             0.057728        0.071015        0.063372
1947-1949       74             0.061040        0.077080        0.067817
1947-1949       75             0.070661        0.085382        0.076878
1947-1949       76             0.077732        0.092700        0.084092
1947-1949       77             0.084313        0.102201        0.091944
1947-1949       78             0.096379        0.112343        0.103161
1947-1949       79             0.108105        0.127195        0.116126
1947-1949       80             0.123026        0.139810        0.129980
1947-1949       81             0.136801        0.146207        0.140663
1947-1949       82             0.148064        0.167765        0.156093
1947-1949       83             0.163533        0.177992        0.169367
1947-1949       84             0.180988        0.192638        0.185654
1947-1949       85             0.190437        0.221487        0.202748
1947-1949       86             0.213696        0.229874        0.220014
1947-1949       87             0.217253        0.259279        0.233334
1947-1949       88             0.248289        0.302477        0.268390
1947-1949       89             0.268265        0.302580        0.280680
1947-1949       90             0.298241        0.356745        0.319019
1947-1949       91             0.318490        0.365999        0.334585
1947-1949       92             0.322106        0.326917        0.323633
1947-1949       93             0.401505        0.388699        0.397512
1947-1949       94             0.325080        0.430412        0.357767
1947-1949       95             0.392986        0.396256        0.393944
1947-1949       96             0.449933        0.416822        0.440422
1947-1949       97             0.487328        0.372917        0.450473
1947-1949       98             0.380054        0.469766        0.413141
1947-1949       99             0.700628        0.454447        0.601464
1947-1949      100             0.585938        0.225522        0.382287
1947-1949      101             0.684151        0.176419        0.280505
1947-1949      102             0.000000        0.000000        0.000000
1947-1949      103             2.054795        0.000000        0.691244
1947-1949      104                   .        0.000000        0.000000
1947-1949      105                   .              .              .
1947-1949      106                   .              .              .
1947-1949      107                   .              .              .
1947-1949      108                   .              .              .
1947-1949      109                   .              .              .
1947-1949      110+                  .              .              .
1950-1954        0             0.049757        0.065378        0.057748
1950-1954        1             0.003940        0.004210        0.004078
1950-1954        2             0.002097        0.002492        0.002298
1950-1954        3             0.001429        0.001561        0.001496
1950-1954        4             0.001111        0.001357        0.001237
1950-1954        5             0.000778        0.000994        0.000889
1950-1954        6             0.000757        0.001052        0.000907
1950-1954        7             0.000578        0.000840        0.000711
1950-1954        8             0.000591        0.000708        0.000650
1950-1954        9             0.000409        0.000699        0.000557
1950-1954       10             0.000463        0.000718        0.000593
1950-1954       11             0.000452        0.000629        0.000542
1950-1954       12             0.000420        0.000658        0.000541
1950-1954       13             0.000520        0.000691        0.000607
1950-1954       14             0.000566        0.000734        0.000651
1950-1954       15             0.000565        0.000927        0.000749
1950-1954       16             0.000743        0.001180        0.000965
1950-1954       17             0.000774        0.001511        0.001149
1950-1954       18             0.000891        0.001750        0.001329
1950-1954       19             0.001036        0.001907        0.001480
1950-1954       20             0.001064        0.002115        0.001601
1950-1954       21             0.001022        0.002247        0.001646
1950-1954       22             0.001073        0.002107        0.001597
1950-1954       23             0.001198        0.002120        0.001659
1950-1954       24             0.001289        0.001956        0.001616
1950-1954       25             0.001337        0.001985        0.001645
1950-1954       26             0.001283        0.002031        0.001626
1950-1954       27             0.001304        0.002144        0.001677
1950-1954       28             0.001176        0.002038        0.001549
1950-1954       29             0.001383        0.002066        0.001675
1950-1954       30             0.001623        0.002301        0.001910
1950-1954       31             0.001523        0.002035        0.001740
1950-1954       32             0.001576        0.001983        0.001749
1950-1954       33             0.001658        0.002250        0.001910
1950-1954       34             0.001749        0.002317        0.001992
1950-1954       35             0.001840        0.002695        0.002209
1950-1954       36             0.002152        0.002899        0.002476
1950-1954       37             0.002135        0.002957        0.002493
1950-1954       38             0.002291        0.003101        0.002645
1950-1954       39             0.002476        0.003168        0.002780
1950-1954       40             0.002707        0.003389        0.003009
1950-1954       41             0.002644        0.003750        0.003137
1950-1954       42             0.003184        0.004145        0.003615
1950-1954       43             0.003225        0.004449        0.003776
1950-1954       44             0.003666        0.004849        0.004203
1950-1954       45             0.003586        0.005452        0.004439
1950-1954       46             0.003955        0.006097        0.004945
1950-1954       47             0.004601        0.007055        0.005743
1950-1954       48             0.005370        0.007364        0.006304
1950-1954       49             0.005328        0.008107        0.006635
1950-1954       50             0.005717        0.009642        0.007559
1950-1954       51             0.006242        0.010325        0.008150
1950-1954       52             0.006770        0.012044        0.009216
1950-1954       53             0.007043        0.013018        0.009780
1950-1954       54             0.007900        0.013923        0.010621
1950-1954       55             0.008212        0.015233        0.011337
1950-1954       56             0.009185        0.016688        0.012474
1950-1954       57             0.009674        0.017698        0.013147
1950-1954       58             0.010660        0.019321        0.014380
1950-1954       59             0.011795        0.021446        0.015917
1950-1954       60             0.012920        0.022540        0.017022
1950-1954       61             0.014408        0.025472        0.019122
1950-1954       62             0.016218        0.027621        0.021057
1950-1954       63             0.017757        0.030118        0.022986
1950-1954       64             0.019360        0.031999        0.024677
1950-1954       65             0.021943        0.035161        0.027493
1950-1954       66             0.025141        0.037854        0.030474
1950-1954       67             0.027386        0.042870        0.033891
1950-1954       68             0.030667        0.046225        0.037196
1950-1954       69             0.033888        0.052383        0.041636
1950-1954       70             0.039195        0.055131        0.045851
1950-1954       71             0.043769        0.058083        0.049722
1950-1954       72             0.048369        0.064734        0.055164
1950-1954       73             0.055072        0.072095        0.062105
1950-1954       74             0.059563        0.079810        0.067909
1950-1954       75             0.068324        0.085393        0.075327
1950-1954       76             0.076743        0.093392        0.083563
1950-1954       77             0.084713        0.105036        0.093009
1950-1954       78             0.095674        0.114209        0.103212
1950-1954       79             0.106079        0.128217        0.115065
1950-1954       80             0.119289        0.137241        0.126563
1950-1954       81             0.127564        0.154273        0.138374
1950-1954       82             0.147069        0.173168        0.157583
1950-1954       83             0.157720        0.186266        0.169124
1950-1954       84             0.179271        0.200115        0.187514
1950-1954       85             0.194649        0.214288        0.202353
1950-1954       86             0.213308        0.250807        0.227846
1950-1954       87             0.233770        0.257686        0.242900
1950-1954       88             0.250539        0.287249        0.264319
1950-1954       89             0.272074        0.302606        0.283270
1950-1954       90             0.301461        0.333385        0.312876
1950-1954       91             0.319724        0.366958        0.336100
1950-1954       92             0.365671        0.395250        0.375641
1950-1954       93             0.386149        0.408445        0.393566
1950-1954       94             0.381558        0.479737        0.413037
1950-1954       95             0.419525        0.449611        0.428660
1950-1954       96             0.450549        0.466937        0.455513
1950-1954       97             0.412288        0.402077        0.409196
1950-1954       98             0.426232        0.477444        0.441627
1950-1954       99             0.644860        0.685453        0.657056
1950-1954      100             0.542594        0.869081        0.636840
1950-1954      101             0.991940        1.015228        0.998914
1950-1954      102             0.000000        0.416522        0.211379
1950-1954      103             0.000000        0.813008        0.531915
1950-1954      104             0.000000        0.506757        0.408441
1950-1954      105                   .        1.421801        1.421801
1950-1954      106                   .              .              .
1950-1954      107                   .              .              .
1950-1954      108                   .              .              .
1950-1954      109                   .              .              .
1950-1954      110+                  .              .              .
1955-1959        0             0.039017        0.050212        0.044740
1955-1959        1             0.002690        0.003034        0.002865
1955-1959        2             0.001482        0.001800        0.001644
1955-1959        3             0.000962        0.001335        0.001153
1955-1959        4             0.000805        0.001245        0.001029
1955-1959        5             0.000733        0.000907        0.000821
1955-1959        6             0.000555        0.000741        0.000649
1955-1959        7             0.000493        0.000781        0.000640
1955-1959        8             0.000457        0.000718        0.000591
1955-1959        9             0.000409        0.000552        0.000482
1955-1959       10             0.000398        0.000511        0.000456
1955-1959       11             0.000374        0.000550        0.000464
1955-1959       12             0.000375        0.000536        0.000457
1955-1959       13             0.000403        0.000634        0.000521
1955-1959       14             0.000476        0.000740        0.000610
1955-1959       15             0.000557        0.000880        0.000722
1955-1959       16             0.000599        0.001133        0.000872
1955-1959       17             0.000631        0.001488        0.001070
1955-1959       18             0.000654        0.001977        0.001331
1955-1959       19             0.000709        0.002129        0.001436
1955-1959       20             0.000710        0.002414        0.001580
1955-1959       21             0.000816        0.002639        0.001745
1955-1959       22             0.000920        0.002543        0.001745
1955-1959       23             0.000866        0.002531        0.001711
1955-1959       24             0.000932        0.002359        0.001657
1955-1959       25             0.000981        0.002471        0.001738
1955-1959       26             0.000937        0.002278        0.001618
1955-1959       27             0.001050        0.002351        0.001708
1955-1959       28             0.001088        0.002240        0.001663
1955-1959       29             0.001146        0.002218        0.001669
1955-1959       30             0.001127        0.002100        0.001587
1955-1959       31             0.001278        0.002355        0.001770
1955-1959       32             0.001200        0.002261        0.001668
1955-1959       33             0.001451        0.002455        0.001884
1955-1959       34             0.001589        0.002404        0.001935
1955-1959       35             0.001554        0.002394        0.001907
1955-1959       36             0.001808        0.002575        0.002131
1955-1959       37             0.001751        0.002443        0.002043
1955-1959       38             0.001891        0.003063        0.002387
1955-1959       39             0.002060        0.003128        0.002514
1955-1959       40             0.002328        0.003328        0.002756
1955-1959       41             0.002498        0.003346        0.002864
1955-1959       42             0.002651        0.003747        0.003126
1955-1959       43             0.002660        0.003882        0.003192
1955-1959       44             0.002871        0.004511        0.003589
1955-1959       45             0.003214        0.005109        0.004049
1955-1959       46             0.003673        0.005469        0.004470
1955-1959       47             0.003936        0.006238        0.004962
1955-1959       48             0.004181        0.006773        0.005340
1955-1959       49             0.004514        0.007579        0.005895
1955-1959       50             0.004863        0.008354        0.006451
1955-1959       51             0.005413        0.009594        0.007328
1955-1959       52             0.005780        0.009992        0.007723
1955-1959       53             0.006593        0.012021        0.009113
1955-1959       54             0.006875        0.012923        0.009686
1955-1959       55             0.007475        0.014532        0.010740
1955-1959       56             0.008113        0.016668        0.012045
1955-1959       57             0.008747        0.018280        0.013081
1955-1959       58             0.009879        0.019653        0.014262
1955-1959       59             0.010261        0.021183        0.015079
1955-1959       60             0.011841        0.023660        0.016962
1955-1959       61             0.012821        0.026025        0.018442
1955-1959       62             0.014587        0.028312        0.020341
1955-1959       63             0.016312        0.029770        0.021892
1955-1959       64             0.017779        0.032422        0.023817
1955-1959       65             0.019266        0.035563        0.025957
1955-1959       66             0.022083        0.039696        0.029278
1955-1959       67             0.024583        0.041636        0.031514
1955-1959       68             0.028095        0.045514        0.035135
1955-1959       69             0.031937        0.050255        0.039291
1955-1959       70             0.034960        0.054608        0.042811
1955-1959       71             0.039626        0.059331        0.047491
1955-1959       72             0.044982        0.064795        0.052874
1955-1959       73             0.049700        0.071898        0.058520
1955-1959       74             0.056752        0.076459        0.064580
1955-1959       75             0.063451        0.086919        0.072737
1955-1959       76             0.069742        0.093175        0.078929
1955-1959       77             0.079484        0.102650        0.088518
1955-1959       78             0.087443        0.111571        0.096807
1955-1959       79             0.101583        0.120647        0.108941
1955-1959       80             0.108565        0.136583        0.119332
1955-1959       81             0.121733        0.147215        0.131457
1955-1959       82             0.136968        0.161270        0.146185
1955-1959       83             0.147578        0.177743        0.158956
1955-1959       84             0.165173        0.202492        0.179142
1955-1959       85             0.183375        0.212895        0.194338
1955-1959       86             0.207677        0.241683        0.220251
1955-1959       87             0.219310        0.250209        0.230681
1955-1959       88             0.239029        0.272489        0.251244
1955-1959       89             0.263649        0.297847        0.275945
1955-1959       90             0.275701        0.323672        0.292574
1955-1959       91             0.306784        0.345790        0.320240
1955-1959       92             0.337953        0.378224        0.351622
1955-1959       93             0.349436        0.416203        0.371366
1955-1959       94             0.364498        0.398223        0.375135
1955-1959       95             0.442012        0.443873        0.442586
1955-1959       96             0.443352        0.470769        0.451668
1955-1959       97             0.483180        0.528041        0.496329
1955-1959       98             0.508841        0.734030        0.568928
1955-1959       99             0.670967        0.678648        0.672819
1955-1959      100             0.516107        1.050481        0.637768
1955-1959      101             0.633425        0.000000        0.500321
1955-1959      102             0.492476        0.238190        0.427307
1955-1959      103             0.504626        0.000000        0.350058
1955-1959      104             0.896526        1.562500        1.096892
1955-1959      105             0.451467        4.109589        0.813559
1955-1959      106             1.398601              .        1.398601
1955-1959      107                   .              .              .
1955-1959      108                   .              .              .
1955-1959      109                   .              .              .
1955-1959      110+                  .              .              .
1960-1964        0             0.029322        0.037863        0.033689
1960-1964        1             0.002146        0.002402        0.002277
1960-1964        2             0.001093        0.001344        0.001221
1960-1964        3             0.000830        0.001099        0.000967
1960-1964        4             0.000628        0.000901        0.000767
1960-1964        5             0.000581        0.000743        0.000663
1960-1964        6             0.000405        0.000624        0.000517
1960-1964        7             0.000360        0.000534        0.000449
1960-1964        8             0.000322        0.000505        0.000415
1960-1964        9             0.000363        0.000524        0.000445
1960-1964       10             0.000322        0.000494        0.000410
1960-1964       11             0.000330        0.000386        0.000358
1960-1964       12             0.000253        0.000474        0.000366
1960-1964       13             0.000250        0.000449        0.000352
1960-1964       14             0.000410        0.000693        0.000554
1960-1964       15             0.000448        0.000831        0.000643
1960-1964       16             0.000473        0.001116        0.000801
1960-1964       17             0.000508        0.001167        0.000844
1960-1964       18             0.000512        0.001648        0.001090
1960-1964       19             0.000567        0.001786        0.001188
1960-1964       20             0.000548        0.001797        0.001186
1960-1964       21             0.000550        0.002021        0.001301
1960-1964       22             0.000563        0.001739        0.001164
1960-1964       23             0.000675        0.001845        0.001274
1960-1964       24             0.000647        0.001693        0.001182
1960-1964       25             0.000652        0.001838        0.001256
1960-1964       26             0.000683        0.001889        0.001296
