Czechia, Death rates (period 1x5), 	Last modified: 25 Jan 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1954        0             0.042396        0.053419        0.048060
1950-1954        1             0.003845        0.004261        0.004058
1950-1954        2             0.001999        0.002140        0.002071
1950-1954        3             0.001157        0.001507        0.001336
1950-1954        4             0.000935        0.001143        0.001041
1950-1954        5             0.000654        0.000824        0.000741
1950-1954        6             0.000569        0.000854        0.000714
1950-1954        7             0.000580        0.000761        0.000672
1950-1954        8             0.000406        0.000666        0.000538
1950-1954        9             0.000416        0.000654        0.000537
1950-1954       10             0.000427        0.000694        0.000563
1950-1954       11             0.000454        0.000711        0.000584
1950-1954       12             0.000498        0.000679        0.000590
1950-1954       13             0.000506        0.000698        0.000603
1950-1954       14             0.000561        0.000910        0.000737
1950-1954       15             0.000599        0.000919        0.000760
1950-1954       16             0.000699        0.001224        0.000964
1950-1954       17             0.000821        0.001516        0.001172
1950-1954       18             0.000913        0.001785        0.001354
1950-1954       19             0.000979        0.001821        0.001405
1950-1954       20             0.000961        0.001901        0.001437
1950-1954       21             0.001092        0.002019        0.001560
1950-1954       22             0.001109        0.001979        0.001548
1950-1954       23             0.001193        0.002053        0.001628
1950-1954       24             0.001117        0.002018        0.001572
1950-1954       25             0.001288        0.002068        0.001678
1950-1954       26             0.001250        0.002046        0.001645
1950-1954       27             0.001327        0.002002        0.001660
1950-1954       28             0.001236        0.002166        0.001692
1950-1954       29             0.001317        0.002165        0.001732
1950-1954       30             0.001497        0.002202        0.001841
1950-1954       31             0.001514        0.002177        0.001838
1950-1954       32             0.001557        0.002208        0.001875
1950-1954       33             0.001625        0.002479        0.002043
1950-1954       34             0.001740        0.002677        0.002198
1950-1954       35             0.001947        0.002906        0.002416
1950-1954       36             0.002017        0.002708        0.002355
1950-1954       37             0.002171        0.002926        0.002540
1950-1954       38             0.002344        0.002827        0.002581
1950-1954       39             0.002603        0.003209        0.002900
1950-1954       40             0.002629        0.003438        0.003026
1950-1954       41             0.002698        0.003909        0.003293
1950-1954       42             0.002958        0.004063        0.003502
1950-1954       43             0.003182        0.004532        0.003846
1950-1954       44             0.003331        0.005067        0.004184
1950-1954       45             0.003904        0.005494        0.004685
1950-1954       46             0.003945        0.005860        0.004884
1950-1954       47             0.004342        0.006562        0.005429
1950-1954       48             0.004743        0.007523        0.006101
1950-1954       49             0.005248        0.008455        0.006810
1950-1954       50             0.005412        0.009720        0.007499
1950-1954       51             0.006157        0.010297        0.008145
1950-1954       52             0.006276        0.012027        0.009008
1950-1954       53             0.007552        0.013034        0.010123
1950-1954       54             0.007888        0.014401        0.010900
1950-1954       55             0.008769        0.015628        0.011901
1950-1954       56             0.009621        0.017369        0.013122
1950-1954       57             0.010184        0.018866        0.014072
1950-1954       58             0.011228        0.020786        0.015483
1950-1954       59             0.012773        0.022367        0.017033
1950-1954       60             0.013743        0.025572        0.018976
1950-1954       61             0.015629        0.026882        0.020583
1950-1954       62             0.017234        0.028948        0.022371
1950-1954       63             0.019277        0.032090        0.024870
1950-1954       64             0.021760        0.035299        0.027640
1950-1954       65             0.024485        0.038269        0.030448
1950-1954       66             0.026677        0.041774        0.033191
1950-1954       67             0.030322        0.045189        0.036725
1950-1954       68             0.033626        0.049582        0.040477
1950-1954       69             0.037307        0.053876        0.044396
1950-1954       70             0.043492        0.059048        0.050130
1950-1954       71             0.047927        0.064652        0.055038
1950-1954       72             0.054054        0.069892        0.060767
1950-1954       73             0.058440        0.076278        0.065983
1950-1954       74             0.067596        0.085041        0.074938
1950-1954       75             0.075204        0.091412        0.081997
1950-1954       76             0.083683        0.100869        0.090872
1950-1954       77             0.094532        0.109849        0.100924
1950-1954       78             0.105099        0.121613        0.111986
1950-1954       79             0.117642        0.132747        0.123956
