West Germany, Death rates (period 1x5), 	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1956-1959        0             0.033328        0.042475        0.038028
1956-1959        1             0.002248        0.002850        0.002557
1956-1959        2             0.001251        0.001469        0.001363
1956-1959        3             0.000893        0.001103        0.001001
1956-1959        4             0.000710        0.000940        0.000828
1956-1959        5             0.000609        0.000788        0.000701
1956-1959        6             0.000472        0.000748        0.000613
1956-1959        7             0.000429        0.000679        0.000557
1956-1959        8             0.000362        0.000588        0.000478
1956-1959        9             0.000334        0.000555        0.000447
1956-1959       10             0.000308        0.000469        0.000390
1956-1959       11             0.000300        0.000483        0.000393
1956-1959       12             0.000300        0.000508        0.000406
1956-1959       13             0.000304        0.000504        0.000406
1956-1959       14             0.000409        0.000641        0.000527
1956-1959       15             0.000461        0.000800        0.000634
1956-1959       16             0.000487        0.001001        0.000748
1956-1959       17             0.000518        0.001127        0.000827
1956-1959       18             0.000549        0.001522        0.001044
1956-1959       19             0.000578        0.001815        0.001209
1956-1959       20             0.000667        0.001975        0.001334
1956-1959       21             0.000626        0.002025        0.001339
1956-1959       22             0.000690        0.001942        0.001326
1956-1959       23             0.000727        0.001881        0.001313
1956-1959       24             0.000749        0.001839        0.001303
1956-1959       25             0.000834        0.001761        0.001305
1956-1959       26             0.000868        0.001809        0.001346
1956-1959       27             0.000936        0.001786        0.001368
1956-1959       28             0.001050        0.001765        0.001411
1956-1959       29             0.001078        0.001784        0.001429
1956-1959       30             0.001100        0.001790        0.001435
1956-1959       31             0.001159        0.001877        0.001494
1956-1959       32             0.001246        0.001952        0.001562
1956-1959       33             0.001271        0.001930        0.001557
1956-1959       34             0.001367        0.002036        0.001652
1956-1959       35             0.001433        0.002217        0.001764
1956-1959       36             0.001637        0.002334        0.001930
1956-1959       37             0.001686        0.002366        0.001972
1956-1959       38             0.001834        0.002560        0.002138
1956-1959       39             0.001970        0.002896        0.002360
1956-1959       40             0.002074        0.002787        0.002375
1956-1959       41             0.002385        0.003214        0.002735
1956-1959       42             0.002482        0.003479        0.002904
1956-1959       43             0.002635        0.003687        0.003082
1956-1959       44             0.002877        0.004110        0.003405
1956-1959       45             0.003126        0.004528        0.003731
1956-1959       46             0.003265        0.005034        0.004034
1956-1959       47             0.003571        0.005496        0.004412
1956-1959       48             0.003873        0.006135        0.004868
1956-1959       49             0.004327        0.006797        0.005424
1956-1959       50             0.004674        0.007727        0.006047
1956-1959       51             0.005089        0.008620        0.006702
1956-1959       52             0.005582        0.009605        0.007441
1956-1959       53             0.006001        0.010526        0.008112
1956-1959       54             0.006582        0.011990        0.009116
1956-1959       55             0.007129        0.013470        0.010095
1956-1959       56             0.007816        0.014830        0.011081
1956-1959       57             0.008550        0.016791        0.012342
1956-1959       58             0.009353        0.018388        0.013434
1956-1959       59             0.010241        0.020160        0.014613
1956-1959       60             0.011531        0.022124        0.016076
1956-1959       61             0.012652        0.023801        0.017329
1956-1959       62             0.014407        0.026013        0.019191
1956-1959       63             0.015891        0.028144        0.020887
1956-1959       64             0.017849        0.030306        0.022908
1956-1959       65             0.019932        0.034050        0.025668
1956-1959       66             0.022283        0.036567        0.028103
1956-1959       67             0.024834        0.039746        0.030930
1956-1959       68             0.028418        0.043192        0.034481
1956-1959       69             0.031667        0.047008        0.037991
1956-1959       70             0.036104        0.052051        0.042712
1956-1959       71             0.040762        0.057142        0.047587
1956-1959       72             0.045595        0.062812        0.052799
1956-1959       73             0.052311        0.068832        0.059255
1956-1959       74             0.058563        0.075647        0.065781
1956-1959       75             0.066778        0.083100        0.073696
1956-1959       76             0.074428        0.092466        0.082094
1956-1959       77             0.083793        0.101760        0.091443
1956-1959       78             0.093071        0.112534        0.101370
1956-1959       79             0.103629        0.122012        0.111486
1956-1959       80             0.113614        0.132164        0.121553
1956-1959       81             0.125057        0.144845        0.133534
1956-1959       82             0.138368        0.159609        0.147456
1956-1959       83             0.153595        0.174700        0.162575
1956-1959       84             0.168491        0.188962        0.177156
1956-1959       85             0.188514        0.210035        0.197551
1956-1959       86             0.205164        0.229245        0.215162
1956-1959       87             0.224804        0.252790        0.236218
1956-1959       88             0.243690        0.274557        0.255996
1956-1959       89             0.261838        0.297392        0.275634
1956-1959       90             0.282927        0.325421        0.298963
1956-1959       91             0.306273        0.345074        0.320539
1956-1959       92             0.329972        0.372730        0.345257
1956-1959       93             0.344060        0.391618        0.360593
1956-1959       94             0.383827        0.401761        0.389912
1956-1959       95             0.420078        0.432873        0.424313
1956-1959       96             0.435502        0.481875        0.450661
1956-1959       97             0.476220        0.508888        0.486645
1956-1959       98             0.482127        0.418594        0.462212
1956-1959       99             0.591626        0.608478        0.597156
1956-1959      100             0.702868        0.714266        0.706087
1956-1959      101             0.579550        0.695843        0.611376
1956-1959      102             0.736361        0.941193        0.787192
1956-1959      103             0.817609        1.473397        0.935870
1956-1959      104             1.035714        4.974093        1.215621
1956-1959      105             1.758520              .        1.758520
1956-1959      106             6.000000              .        6.000000
1956-1959      107                   .              .              .
1956-1959      108                   .              .              .
1956-1959      109                   .              .              .
1956-1959      110+                  .              .              .
1960-1964        0             0.026521        0.033871        0.030290
1960-1964        1             0.001871        0.002209        0.002044
1960-1964        2             0.001014        0.001327        0.001174
1960-1964        3             0.000768        0.001004        0.000889
1960-1964        4             0.000624        0.000817        0.000723
1960-1964        5             0.000536        0.000753        0.000647
1960-1964        6             0.000464        0.000691        0.000580
1960-1964        7             0.000412        0.000605        0.000511
1960-1964        8             0.000340        0.000590        0.000468
1960-1964        9             0.000319        0.000514        0.000419
1960-1964       10             0.000264        0.000475        0.000372
1960-1964       11             0.000272        0.000459        0.000367
1960-1964       12             0.000298        0.000438        0.000370
1960-1964       13             0.000295        0.000501        0.000401
1960-1964       14             0.000320        0.000567        0.000447
1960-1964       15             0.000393        0.000710        0.000555
1960-1964       16             0.000482        0.000979        0.000736
1960-1964       17             0.000500        0.001187        0.000851
1960-1964       18             0.000557        0.001502        0.001042
1960-1964       19             0.000591        0.001719        0.001171
1960-1964       20             0.000570        0.001758        0.001181
1960-1964       21             0.000589        0.001836        0.001230
1960-1964       22             0.000594        0.001772        0.001200
1960-1964       23             0.000640        0.001734        0.001203
1960-1964       24             0.000658        0.001688        0.001189
1960-1964       25             0.000674        0.001634        0.001170
1960-1964       26             0.000744        0.001616        0.001195
1960-1964       27             0.000765        0.001628        0.001211
1960-1964       28             0.000860        0.001624        0.001254
1960-1964       29             0.000940        0.001663        0.001313
1960-1964       30             0.000924        0.001687        0.001317
1960-1964       31             0.001031        0.001708        0.001380
1960-1964       32             0.001074        0.001835        0.001464
1960-1964       33             0.001139        0.001894        0.001521
1960-1964       34             0.001223        0.001975        0.001596
1960-1964       35             0.001407        0.002104        0.001742
1960-1964       36             0.001424        0.002191        0.001779
1960-1964       37             0.001589        0.002370        0.001938
1960-1964       38             0.001717        0.002514        0.002064
1960-1964       39             0.001817        0.002775        0.002226
1960-1964       40             0.002003        0.003007        0.002428
1960-1964       41             0.002188        0.003069        0.002560
1960-1964       42             0.002343        0.003496        0.002829
1960-1964       43             0.002590        0.003761        0.003083
1960-1964       44             0.002654        0.004107        0.003267
1960-1964       45             0.003008        0.004430        0.003608
1960-1964       46             0.003258        0.004846        0.003929
1960-1964       47             0.003494        0.005499        0.004345
1960-1964       48             0.003870        0.005976        0.004768
1960-1964       49             0.004148        0.006644        0.005217
1960-1964       50             0.004410        0.007459        0.005723
1960-1964       51             0.004752        0.008284        0.006282
1960-1964       52             0.005257        0.009159        0.006957
1960-1964       53             0.005605        0.010304        0.007664
1960-1964       54             0.006212        0.011614        0.008602
1960-1964       55             0.006656        0.013059        0.009525
1960-1964       56             0.007271        0.014445        0.010518
1960-1964       57             0.008111        0.016259        0.011826
1960-1964       58             0.008881        0.017992        0.013055
1960-1964       59             0.009792        0.020061        0.014498
1960-1964       60             0.011035        0.022297        0.016159
1960-1964       61             0.012040        0.024605        0.017685
1960-1964       62             0.013313        0.027305        0.019488
1960-1964       63             0.014819        0.029851        0.021304
1960-1964       64             0.016786        0.032414        0.023352
1960-1964       65             0.018480        0.035554        0.025462
1960-1964       66             0.020974        0.038693        0.028058
1960-1964       67             0.023198        0.041368        0.030348
1960-1964       68             0.025999        0.045140        0.033461
1960-1964       69             0.029546        0.048883        0.037052
1960-1964       70             0.033221        0.053080        0.040912
1960-1964       71             0.036828        0.057551        0.044877
1960-1964       72             0.042051        0.062538        0.050041
1960-1964       73             0.047011        0.068176        0.055295
