Israel, Total Population, Death rates (period 1x5), 	Last modified: 31 Oct 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1983-1984        0             0.012976        0.013852        0.013427
1983-1984        1             0.001212        0.000970        0.001087
1983-1984        2             0.000754        0.000722        0.000737
1983-1984        3             0.000451        0.000554        0.000504
1983-1984        4             0.000329        0.000484        0.000409
1983-1984        5             0.000282        0.000310        0.000296
1983-1984        6             0.000244        0.000315        0.000280
1983-1984        7             0.000218        0.000351        0.000286
1983-1984        8             0.000253        0.000230        0.000241
1983-1984        9             0.000216        0.000184        0.000199
1983-1984       10             0.000141        0.000224        0.000183
1983-1984       11             0.000157        0.000310        0.000235
1983-1984       12             0.000244        0.000220        0.000232
1983-1984       13             0.000201        0.000357        0.000281
1983-1984       14             0.000289        0.000412        0.000352
1983-1984       15             0.000207        0.000470        0.000342
1983-1984       16             0.000286        0.000430        0.000360
1983-1984       17             0.000346        0.000629        0.000493
1983-1984       18             0.000232        0.000992        0.000629
1983-1984       19             0.000474        0.001191        0.000848
1983-1984       20             0.000274        0.001211        0.000761
1983-1984       21             0.000312        0.001054        0.000694
1983-1984       22             0.000343        0.001039        0.000699
1983-1984       23             0.000400        0.001041        0.000726
1983-1984       24             0.000262        0.001029        0.000649
1983-1984       25             0.000341        0.000938        0.000640
1983-1984       26             0.000450        0.000884        0.000667
1983-1984       27             0.000325        0.000776        0.000550
1983-1984       28             0.000481        0.001012        0.000746
1983-1984       29             0.000419        0.000891        0.000654
1983-1984       30             0.000443        0.000990        0.000715
1983-1984       31             0.000424        0.001146        0.000784
1983-1984       32             0.000583        0.000923        0.000753
1983-1984       33             0.000612        0.000986        0.000798
1983-1984       34             0.000772        0.001064        0.000917
1983-1984       35             0.000672        0.001297        0.000980
1983-1984       36             0.000835        0.001214        0.001021
1983-1984       37             0.000749        0.001198        0.000971
1983-1984       38             0.000792        0.001511        0.001148
1983-1984       39             0.000859        0.001529        0.001191
1983-1984       40             0.001129        0.001652        0.001386
1983-1984       41             0.000987        0.001780        0.001377
1983-1984       42             0.001451        0.001544        0.001497
1983-1984       43             0.001650        0.002342        0.001991
1983-1984       44             0.001599        0.002645        0.002113
1983-1984       45             0.001692        0.003046        0.002354
1983-1984       46             0.001693        0.002772        0.002217
1983-1984       47             0.001916        0.003965        0.002916
1983-1984       48             0.002868        0.004633        0.003729
1983-1984       49             0.002776        0.004944        0.003828
1983-1984       50             0.002680        0.005036        0.003811
1983-1984       51             0.003686        0.005718        0.004658
1983-1984       52             0.003612        0.006809        0.005145
1983-1984       53             0.004399        0.007416        0.005836
1983-1984       54             0.005164        0.008327        0.006652
1983-1984       55             0.005822        0.009799        0.007674
1983-1984       56             0.005628        0.010571        0.007902
1983-1984       57             0.005770        0.011107        0.008179
1983-1984       58             0.007239        0.012120        0.009416
1983-1984       59             0.008113        0.013197        0.010386
1983-1984       60             0.008696        0.013833        0.011035
1983-1984       61             0.010057        0.016688        0.013201
1983-1984       62             0.010631        0.017169        0.013817
1983-1984       63             0.013663        0.018193        0.015845
1983-1984       64             0.013575        0.019157        0.016188
1983-1984       65             0.017878        0.022985        0.020228
1983-1984       66             0.017691        0.022536        0.019935
1983-1984       67             0.021029        0.026501        0.023548
1983-1984       68             0.019837        0.029189        0.024076
1983-1984       69             0.023329        0.032375        0.027429
1983-1984       70             0.025728        0.037200        0.030931
1983-1984       71             0.030118        0.040418        0.034911
1983-1984       72             0.032641        0.042658        0.037489
1983-1984       73             0.036604        0.048756        0.042455
1983-1984       74             0.041285        0.057299        0.048874
1983-1984       75             0.048839        0.059015        0.053685
1983-1984       76             0.059937        0.066366        0.063086
1983-1984       77             0.057464        0.072409        0.064928
1983-1984       78             0.065497        0.078425        0.071814
1983-1984       79             0.073258        0.089681        0.081104
1983-1984       80             0.073890        0.090279        0.081467
1983-1984       81             0.079643        0.092072        0.085321
1983-1984       82             0.086784        0.095806        0.090859
1983-1984       83             0.111354        0.125210        0.117483
1983-1984       84             0.119062        0.136439        0.126641
1983-1984       85             0.123360        0.126633        0.124798
1983-1984       86             0.138567        0.149255        0.143300
1983-1984       87             0.157493        0.143211        0.151137
1983-1984       88             0.173490        0.182756        0.177638
1983-1984       89             0.181740        0.178878        0.180458
1983-1984       90             0.188436        0.214338        0.199903
1983-1984       91             0.227523        0.211757        0.220653
1983-1984       92             0.189075        0.205765        0.196401
1983-1984       93             0.263290        0.219840        0.244389
1983-1984       94             0.304520        0.272875        0.291086
1983-1984       95             0.284933        0.274503        0.280460
1983-1984       96             0.306238        0.293920        0.300841
1983-1984       97             0.327775        0.314452        0.321940
1983-1984       98             0.349820        0.336306        0.343901
1983-1984       99             0.372579        0.360193        0.367155
1983-1984      100             0.396867        0.386428        0.392292
1983-1984      101             0.422506        0.415467        0.419415
1983-1984      102             0.449303        0.447848        0.448664
1983-1984      103             0.484925        0.495300        0.489473
1983-1984      104             0.553733        0.567318        0.559763
1983-1984      105             0.677613        0.730949        0.700859
1983-1984      106             0.944751        1.458128        1.129204
1983-1984      107             1.398496        6.000000        1.836735
1983-1984      108                   .              .              .
1983-1984      109                   .              .              .
1983-1984      110+                  .              .              .
1985-1989        0             0.010269        0.011767        0.011037
1985-1989        1             0.000983        0.000839        0.000909
1985-1989        2             0.000422        0.000547        0.000486
1985-1989        3             0.000343        0.000444        0.000395
1985-1989        4             0.000232        0.000336        0.000286
1985-1989        5             0.000236        0.000317        0.000278
1985-1989        6             0.000204        0.000289        0.000248
1985-1989        7             0.000202        0.000297        0.000250
1985-1989        8             0.000201        0.000254        0.000228
1985-1989        9             0.000169        0.000240        0.000206
1985-1989       10             0.000217        0.000219        0.000218
1985-1989       11             0.000147        0.000254        0.000202
1985-1989       12             0.000144        0.000201        0.000173
