New Zealand -- Maori, Death rates (period 1x5), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1948-1949        0             0.078875        0.094391        0.086815
1948-1949        1             0.021109        0.018862        0.019959
1948-1949        2             0.008058        0.008831        0.008453
1948-1949        3             0.006590        0.006571        0.006580
1948-1949        4             0.006391        0.003671        0.005000
1948-1949        5             0.004996        0.005099        0.005049
1948-1949        6             0.002580        0.002826        0.002705
1948-1949        7             0.002206        0.002155        0.002180
1948-1949        8             0.002852        0.003059        0.002957
1948-1949        9             0.002584        0.001246        0.001903
1948-1949       10             0.003329        0.003881        0.003609
1948-1949       11             0.001378        0.005046        0.003235
1948-1949       12             0.003236        0.003486        0.003363
1948-1949       13             0.005656        0.004992        0.005315
1948-1949       14             0.003486        0.004011        0.003757
1948-1949       15             0.003907        0.002998        0.003443
1948-1949       16             0.005113        0.004670        0.004890
1948-1949       17             0.008113        0.004081        0.006101
1948-1949       18             0.007751        0.007275        0.007512
1948-1949       19             0.007517        0.004962        0.006213
1948-1949       20             0.005542        0.002415        0.003943
1948-1949       21             0.010960        0.005717        0.008332
1948-1949       22             0.006413        0.011791        0.009036
1948-1949       23             0.005534        0.005373        0.005456
1948-1949       24             0.012156        0.006018        0.009143
1948-1949       25             0.009613        0.007791        0.008700
1948-1949       26             0.006249        0.007939        0.007104
1948-1949       27             0.005801        0.003768        0.004771
1948-1949       28             0.009438        0.003941        0.006653
1948-1949       29             0.007892        0.004173        0.006003
1948-1949       30             0.007507        0.005908        0.006701
1948-1949       31             0.005298        0.005354        0.005326
1948-1949       32             0.002981        0.006948        0.004933
1948-1949       33             0.006181        0.003945        0.005074
1948-1949       34             0.009144        0.002445        0.005754
1948-1949       35             0.009892        0.008402        0.009121
1948-1949       36             0.012235        0.009396        0.010746
1948-1949       37             0.005775        0.004273        0.004980
1948-1949       38             0.010814        0.006869        0.008709
1948-1949       39             0.011302        0.007090        0.009039
1948-1949       40             0.014897        0.008256        0.011328
1948-1949       41             0.014977        0.007549        0.011027
1948-1949       42             0.008659        0.018732        0.013935
1948-1949       43             0.008174        0.010784        0.009532
1948-1949       44             0.013341        0.004831        0.008877
1948-1949       45             0.012978        0.022268        0.017853
1948-1949       46             0.016587        0.002658        0.009193
1948-1949       47             0.021006        0.009043        0.014569
1948-1949       48             0.012338        0.024555        0.018992
1948-1949       49             0.018755        0.022318        0.020717
1948-1949       50             0.017118        0.027232        0.022749
1948-1949       51             0.009544        0.007494        0.008395
1948-1949       52             0.022214        0.017736        0.019723
1948-1949       53             0.007861        0.014697        0.011598
1948-1949       54             0.024018        0.035427        0.030291
1948-1949       55             0.049421        0.027034        0.036810
1948-1949       56             0.059159        0.025874        0.039733
1948-1949       57             0.024003        0.016593        0.019624
1948-1949       58             0.040073        0.038939        0.039417
1948-1949       59             0.020237        0.031784        0.026928
1948-1949       60             0.030843        0.044902        0.038985
1948-1949       61             0.030107        0.017887        0.023181
1948-1949       62             0.047016        0.035774        0.040822
1948-1949       63             0.033092        0.067866        0.051867
1948-1949       64             0.050675        0.045660        0.047946
1948-1949       65             0.058579        0.090485        0.076286
1948-1949       66             0.045011        0.032882        0.038306
1948-1949       67             0.071751        0.081702        0.077264
1948-1949       68             0.036493        0.069828        0.054406
1948-1949       69             0.047921        0.067614        0.058226
1948-1949       70             0.097814        0.102835        0.100384
1948-1949       71             0.033396        0.024794        0.028842
1948-1949       72             0.082629        0.077366        0.079817
1948-1949       73             0.054454        0.064285        0.059956
1948-1949       74             0.059751        0.140189        0.105813
1948-1949       75             0.143606        0.100520        0.117270
1948-1949       76             0.167214        0.241234        0.213474
1948-1949       77             0.100321        0.200976        0.150638
1948-1949       78             0.087932        0.165447        0.127858
1948-1949       79             0.267639        0.307390        0.290947
1948-1949       80             0.285708        0.117286        0.197526
1948-1949       81             0.062637        0.040941        0.051026
1948-1949       82             0.105282        0.086334        0.095611
1948-1949       83             0.058842        0.081607        0.069654
1948-1949       84             0.047039        0.158935        0.096534
1948-1949       85             0.147413        0.077902        0.118603
1948-1949       86             0.064683        0.131346        0.091145
1948-1949       87             0.094264        0.152704        0.116570
1948-1949       88             0.103444        0.199097        0.141049
1948-1949       89             0.189192        0.116936        0.156909
1948-1949       90             0.545990        0.356704        0.450370
1948-1949       91             0.057203        0.000000        0.026899
1948-1949       92             0.257712        0.105771        0.174173
1948-1949       93             0.000000        0.127795        0.068640
1948-1949       94             0.143181        0.308462        0.222854
1948-1949       95             0.403699        0.412229        0.407438
1948-1949       96             0.364736        0.176263        0.300689
1948-1949       97             0.158479        0.268938        0.183617
1948-1949       98             0.072385        1.333333        0.248988
