New Zealand -- Non-Maori, Death rates (period 1x5), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1901-1904        0             0.073116        0.089439        0.081472
1901-1904        1             0.012089        0.012990        0.012549
1901-1904        2             0.005254        0.005804        0.005534
1901-1904        3             0.004298        0.004969        0.004639
1901-1904        4             0.003456        0.002942        0.003195
1901-1904        5             0.002770        0.002442        0.002603
1901-1904        6             0.002314        0.002544        0.002431
1901-1904        7             0.001928        0.002512        0.002224
1901-1904        8             0.001640        0.002364        0.002006
1901-1904        9             0.001468        0.002130        0.001802
1901-1904       10             0.001418        0.001875        0.001649
1901-1904       11             0.001464        0.001740        0.001604
1901-1904       12             0.001586        0.001735        0.001662
1901-1904       13             0.001758        0.001836        0.001798
1901-1904       14             0.001961        0.002029        0.001995
1901-1904       15             0.002211        0.002320        0.002266
1901-1904       16             0.002483        0.002630        0.002557
1901-1904       17             0.002756        0.002918        0.002838
1901-1904       18             0.003029        0.003183        0.003107
1901-1904       19             0.003270        0.003409        0.003341
1901-1904       20             0.003469        0.003594        0.003532
1901-1904       21             0.003627        0.003734        0.003681
1901-1904       22             0.003772        0.003846        0.003809
1901-1904       23             0.003933        0.003961        0.003947
1901-1904       24             0.004129        0.004105        0.004116
1901-1904       25             0.004351        0.004252        0.004300
1901-1904       26             0.004575        0.004391        0.004480
1901-1904       27             0.004764        0.004530        0.004642
1901-1904       28             0.004862        0.004629        0.004740
1901-1904       29             0.004834        0.004669        0.004748
1901-1904       30             0.004728        0.004667        0.004696
1901-1904       31             0.004675        0.004702        0.004690
1901-1904       32             0.004714        0.004816        0.004768
1901-1904       33             0.004867        0.005027        0.004951
1901-1904       34             0.005149        0.005351        0.005255
1901-1904       35             0.005544        0.005742        0.005649
1901-1904       36             0.005942        0.006104        0.006028
1901-1904       37             0.006309        0.006430        0.006374
1901-1904       38             0.006615        0.006697        0.006659
1901-1904       39             0.006830        0.006867        0.006850
1901-1904       40             0.006973        0.006925        0.006948
1901-1904       41             0.007085        0.007011        0.007045
1901-1904       42             0.007165        0.007207        0.007188
1901-1904       43             0.007217        0.007548        0.007401
1901-1904       44             0.007209        0.008052        0.007678
1901-1904       45             0.007214        0.008670        0.008029
1901-1904       46             0.007414        0.009314        0.008487
1901-1904       47             0.007831        0.009985        0.009059
1901-1904       48             0.008496        0.010718        0.009773
1901-1904       49             0.009398        0.011570        0.010650
1901-1904       50             0.010456        0.012549        0.011658
1901-1904       51             0.011434        0.013579        0.012657
1901-1904       52             0.012281        0.014598        0.013593
1901-1904       53             0.012925        0.015495        0.014372
1901-1904       54             0.013414        0.016206        0.014985
1901-1904       55             0.013870        0.016826        0.015539
1901-1904       56             0.014516        0.017619        0.016279
1901-1904       57             0.015318        0.018599        0.017193
1901-1904       58             0.016244        0.019742        0.018253
1901-1904       59             0.017283        0.021030        0.019445
1901-1904       60             0.018747        0.022556        0.020964
1901-1904       61             0.020634        0.024317        0.022808
1901-1904       62             0.022737        0.026268        0.024852
1901-1904       63             0.024991        0.028450        0.027090
1901-1904       64             0.027207        0.031052        0.029557
1901-1904       65             0.029580        0.034211        0.032421
1901-1904       66             0.032494        0.037875        0.035811
1901-1904       67             0.035906        0.041942        0.039651
1901-1904       68             0.039078        0.045663        0.043189
1901-1904       69             0.041597        0.048952        0.046206
1901-1904       70             0.044311        0.053122        0.049825
1901-1904       71             0.048781        0.059345        0.055369
1901-1904       72             0.055296        0.067324        0.062775
1901-1904       73             0.062620        0.075214        0.070428
1901-1904       74             0.067961        0.079407        0.075029
1901-1904       75             0.068422        0.079088        0.074894
1901-1904       76             0.070102        0.081109        0.076630
1901-1904       77             0.079476        0.090724        0.086051
1901-1904       78             0.096351        0.109189        0.103761
1901-1904       79             0.121403        0.135561        0.129552
1901-1904       80             0.100354        0.128158        0.116068
1901-1904       81             0.108397        0.138983        0.125468
1901-1904       82             0.116011        0.148866        0.134104
1901-1904       83             0.124474        0.158274        0.142847
1901-1904       84             0.134515        0.167937        0.152414
1901-1904       85             0.146643        0.177997        0.163137
1901-1904       86             0.162319        0.190568        0.176900
1901-1904       87             0.182703        0.207068        0.195031
1901-1904       88             0.205511        0.225295        0.215327
1901-1904       89             0.226677        0.240634        0.233496
1901-1904       90             0.245611        0.249109        0.247321
1901-1904       91             0.260826        0.248242        0.254605
