Ukraine, Death rates (period 1x5), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1960-1964        0             0.022259        0.028733        0.025585
1960-1964        1             0.003320        0.003653        0.003491
1960-1964        2             0.001362        0.001476        0.001420
1960-1964        3             0.000890        0.001052        0.000973
1960-1964        4             0.000725        0.000935        0.000832
1960-1964        5             0.000608        0.000857        0.000736
1960-1964        6             0.000600        0.000864        0.000735
1960-1964        7             0.000529        0.000824        0.000680
1960-1964        8             0.000442        0.000784        0.000617
1960-1964        9             0.000417        0.000723        0.000573
1960-1964       10             0.000449        0.000769        0.000612
1960-1964       11             0.000384        0.000650        0.000519
1960-1964       12             0.000447        0.000743        0.000597
1960-1964       13             0.000442        0.000707        0.000576
1960-1964       14             0.000479        0.000808        0.000645
1960-1964       15             0.000504        0.000862        0.000684
1960-1964       16             0.000565        0.001116        0.000842
1960-1964       17             0.000616        0.001224        0.000920
1960-1964       18             0.000737        0.001463        0.001098
1960-1964       19             0.000747        0.001528        0.001133
1960-1964       20             0.000985        0.001649        0.001313
1960-1964       21             0.000863        0.001430        0.001141
1960-1964       22             0.000983        0.001648        0.001307
1960-1964       23             0.000963        0.001977        0.001457
1960-1964       24             0.000956        0.002027        0.001477
1960-1964       25             0.001072        0.002235        0.001640
1960-1964       26             0.001011        0.002205        0.001597
1960-1964       27             0.001070        0.002298        0.001673
1960-1964       28             0.001114        0.002416        0.001752
1960-1964       29             0.001074        0.002255        0.001650
1960-1964       30             0.001403        0.002977        0.002163
1960-1964       31             0.001151        0.002513        0.001802
1960-1964       32             0.001470        0.002986        0.002190
1960-1964       33             0.001345        0.002963        0.002104
1960-1964       34             0.001356        0.003071        0.002141
1960-1964       35             0.001598        0.003404        0.002402
1960-1964       36             0.001646        0.003607        0.002491
1960-1964       37             0.001665        0.003690        0.002505
1960-1964       38             0.001870        0.003964        0.002709
1960-1964       39             0.001770        0.003918        0.002615
1960-1964       40             0.002402        0.004742        0.003310
1960-1964       41             0.001934        0.004114        0.002772
1960-1964       42             0.002736        0.005230        0.003692
1960-1964       43             0.002691        0.005057        0.003598
1960-1964       44             0.002711        0.005071        0.003609
1960-1964       45             0.003227        0.006070        0.004298
1960-1964       46             0.003266        0.006199        0.004362
1960-1964       47             0.003251        0.006362        0.004406
1960-1964       48             0.003869        0.007120        0.005074
1960-1964       49             0.003712        0.006882        0.004886
1960-1964       50             0.004962        0.009191        0.006534
1960-1964       51             0.004096        0.007974        0.005549
1960-1964       52             0.005279        0.010051        0.007083
1960-1964       53             0.005284        0.010201        0.007160
1960-1964       54             0.005515        0.010733        0.007514
1960-1964       55             0.006668        0.012182        0.008784
