Chile, Death rates (period 5x1), 	Last modified: 18 Apr 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1992           0             0.013842        0.016239        0.015067
  1992         1-4             0.000600        0.000873        0.000739
  1992         5-9             0.000236        0.000288        0.000262
  1992        10-14            0.000212        0.000364        0.000289
  1992        15-19            0.000388        0.000878        0.000636
  1992        20-24            0.000467        0.001553        0.001006
  1992        25-29            0.000533        0.001689        0.001101
  1992        30-34            0.000630        0.001949        0.001277
  1992        35-39            0.001076        0.002351        0.001696
  1992        40-44            0.001679        0.003261        0.002449
  1992        45-49            0.002639        0.004792        0.003684
  1992        50-54            0.004178        0.007124        0.005596
  1992        55-59            0.006628        0.011525        0.008947
  1992        60-64            0.010375        0.019082        0.014405
  1992        65-69            0.017254        0.027886        0.022128
  1992        70-74            0.028799        0.046435        0.036516
  1992        75-79            0.048243        0.072209        0.058139
  1992        80-84            0.076028        0.107992        0.088052
  1992        85-89            0.122648        0.164251        0.136403
  1992        90-94            0.198547        0.229042        0.207395
  1992        95-99            0.309958        0.294483        0.306336
  1992       100-104           0.381371        0.488129        0.405080
  1992       105-109           0.525131        0.097119        0.405881
  1992       110+              0.796813        0.000000        0.601805
  1993           0             0.012412        0.015060        0.013766
  1993         1-4             0.000573        0.000699        0.000637
  1993         5-9             0.000235        0.000321        0.000279
  1993        10-14            0.000231        0.000359        0.000296
  1993        15-19            0.000373        0.000935        0.000658
  1993        20-24            0.000408        0.001591        0.000997
  1993        25-29            0.000493        0.001891        0.001180
  1993        30-34            0.000632        0.001916        0.001261
  1993        35-39            0.001069        0.002393        0.001714
  1993        40-44            0.001570        0.003177        0.002353
  1993        45-49            0.002811        0.004824        0.003787
  1993        50-54            0.004315        0.007148        0.005682
  1993        55-59            0.006379        0.011835        0.008964
  1993        60-64            0.010343        0.019043        0.014364
  1993        65-69            0.016671        0.028302        0.022007
  1993        70-74            0.028334        0.046273        0.036196
  1993        75-79            0.049452        0.073384        0.059307
  1993        80-84            0.074889        0.111929        0.088716
  1993        85-89            0.125926        0.168858        0.140167
  1993        90-94            0.198820        0.234848        0.209377
  1993        95-99            0.292653        0.334856        0.302519
  1993       100-104           0.367810        0.317373        0.356903
  1993       105-109           0.267097        0.357888        0.291770
  1993       110+              0.000000        0.686499        0.226929
  1994           0             0.011797        0.013642        0.012739
  1994         1-4             0.000485        0.000688        0.000589
  1994         5-9             0.000229        0.000305        0.000268
  1994        10-14            0.000219        0.000348        0.000284
  1994        15-19            0.000345        0.000895        0.000623
  1994        20-24            0.000385        0.001453        0.000919
  1994        25-29            0.000452        0.001810        0.001121
  1994        30-34            0.000598        0.001925        0.001248
  1994        35-39            0.001019        0.002426        0.001706
  1994        40-44            0.001659        0.003096        0.002359
  1994        45-49            0.002837        0.005223        0.003994
  1994        50-54            0.004245        0.007600        0.005866
  1994        55-59            0.006536        0.011615        0.008946
  1994        60-64            0.010334        0.018332        0.014047
  1994        65-69            0.015917        0.027378        0.021164
  1994        70-74            0.026745        0.046059        0.035241
  1994        75-79            0.043944        0.067964        0.053817
  1994        80-84            0.071387        0.104742        0.083776
  1994        85-89            0.120415        0.156651        0.132459
  1994        90-94            0.184615        0.225132        0.196458
  1994        95-99            0.258556        0.290480        0.266212
  1994       100-104           0.376329        0.279362        0.354905
  1994       105-109           0.454567        0.370714        0.434893
  1994       110+              0.288739        0.000000        0.193112
  1995           0             0.010515        0.012603        0.011581
  1995         1-4             0.000654        0.000716        0.000686
  1995         5-9             0.000206        0.000279        0.000243
  1995        10-14            0.000244        0.000314        0.000280
  1995        15-19            0.000325        0.000905        0.000618
  1995        20-24            0.000400        0.001532        0.000967
  1995        25-29            0.000477        0.001711        0.001086
  1995        30-34            0.000616        0.001938        0.001264
  1995        35-39            0.001068        0.002378        0.001708
  1995        40-44            0.001569        0.003409        0.002464
  1995        45-49            0.002598        0.005250        0.003887
  1995        50-54            0.004074        0.007829        0.005889
  1995        55-59            0.006399        0.011881        0.009009
  1995        60-64            0.010770        0.019630        0.014893
  1995        65-69            0.015643        0.028130        0.021362
  1995        70-74            0.028210        0.046890        0.036440
  1995        75-79            0.044224        0.067087        0.053649
  1995        80-84            0.070919        0.107321        0.084379
  1995        85-89            0.118486        0.159681        0.132219
  1995        90-94            0.186913        0.230213        0.199445
  1995        95-99            0.258096        0.316518        0.272503
  1995       100-104           0.375204        0.302730        0.358918
  1995       105-109           0.370828        0.315333        0.356871
  1995       110+              0.288323        0.577478        0.384615
  1996           0             0.010705        0.012914        0.011835
  1996         1-4             0.000443        0.000594        0.000520
  1996         5-9             0.000196        0.000283        0.000240
  1996        10-14            0.000215        0.000376        0.000297
  1996        15-19            0.000332        0.000894        0.000616
  1996        20-24            0.000375        0.001621        0.001000
  1996        25-29            0.000455        0.001643        0.001043
  1996        30-34            0.000691        0.001950        0.001308
  1996        35-39            0.000935        0.002356        0.001630
  1996        40-44            0.001457        0.003247        0.002328
  1996        45-49            0.002490        0.004996        0.003709
  1996        50-54            0.004142        0.007847        0.005935
  1996        55-59            0.005904        0.011498        0.008572
  1996        60-64            0.009832        0.018723        0.013980
  1996        65-69            0.015680        0.028142        0.021375
  1996        70-74            0.026239        0.044835        0.034452
  1996        75-79            0.043359        0.068720        0.053843
  1996        80-84            0.071483        0.103446        0.083260
  1996        85-89            0.119270        0.156363        0.131674
  1996        90-94            0.182565        0.218214        0.192826
  1996        95-99            0.265324        0.288089        0.271001
  1996       100-104           0.307259        0.391695        0.325465
  1996       105-109           0.398142        0.199225        0.343923
  1996       110+              0.000000        0.000000        0.000000
  1997           0             0.009528        0.011381        0.010477
  1997         1-4             0.000483        0.000506        0.000495
  1997         5-9             0.000221        0.000341        0.000283
  1997        10-14            0.000257        0.000324        0.000291
  1997        15-19            0.000361        0.000733        0.000549
  1997        20-24            0.000396        0.001503        0.000952
  1997        25-29            0.000438        0.001687        0.001057
  1997        30-34            0.000614        0.002009        0.001298
  1997        35-39            0.000891        0.002270        0.001566
  1997        40-44            0.001455        0.003324        0.002365
  1997        45-49            0.002305        0.004532        0.003390
  1997        50-54            0.003902        0.007354        0.005576
  1997        55-59            0.006013        0.011032        0.008408
  1997        60-64            0.009100        0.016585        0.012604
  1997        65-69            0.015083        0.027279        0.020630
  1997        70-74            0.024544        0.041276        0.031967
  1997        75-79            0.040385        0.063695        0.050037
  1997        80-84            0.066559        0.104922        0.080671
  1997        85-89            0.116812        0.162908        0.132142
  1997        90-94            0.195592        0.241042        0.208720
  1997        95-99            0.284969        0.365329        0.304903
  1997       100-104           0.413089        0.493720        0.429465
  1997       105-109           0.496463        0.320616        0.447387
  1997       110+              0.506899        0.447094        0.490497
  1998           0             0.009868        0.012043        0.010980
  1998         1-4             0.000491        0.000626        0.000560
  1998         5-9             0.000206        0.000288        0.000248
  1998        10-14            0.000188        0.000281        0.000235
  1998        15-19            0.000315        0.000811        0.000566
  1998        20-24            0.000349        0.001368        0.000861
  1998        25-29            0.000413        0.001655        0.001030
  1998        30-34            0.000593        0.001911        0.001240
