England and Wales, Civilian National Population, Death rates (period 5x1), 	Last modified: 23 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1841           0             0.136067        0.169189        0.152777
  1841         1-4             0.035751        0.037354        0.036548
  1841         5-9             0.009277        0.009614        0.009446
  1841        10-14            0.005401        0.005107        0.005252
  1841        15-19            0.007967        0.007168        0.007574
  1841        20-24            0.008955        0.009230        0.009084
  1841        25-29            0.009988        0.009843        0.009919
  1841        30-34            0.010247        0.009740        0.010002
  1841        35-39            0.012524        0.012056        0.012294
  1841        40-44            0.012005        0.012407        0.012202
  1841        45-49            0.015165        0.016955        0.016043
  1841        50-54            0.015729        0.018582        0.017111
  1841        55-59            0.026112        0.030241        0.028107
  1841        60-64            0.028219        0.032153        0.030089
  1841        65-69            0.050663        0.056947        0.053591
  1841        70-74            0.066053        0.071833        0.068734
  1841        75-79            0.113454        0.120098        0.116518
  1841        80-84            0.144390        0.162246        0.152207
  1841        85-89            0.207801        0.227472        0.215942
  1841        90-94            0.286633        0.315919        0.297634
  1841        95-99            0.372440        0.423774        0.389173
  1841       100-104           0.461807        0.579146        0.492271
  1841       105-109           0.666953        2.098266        0.765881
  1841       110+                    .              .              .
  1842           0             0.148491        0.184007        0.166481
  1842         1-4             0.035921        0.037303        0.036609
  1842         5-9             0.009037        0.009180        0.009108
  1842        10-14            0.005263        0.005015        0.005138
  1842        15-19            0.007849        0.006871        0.007366
  1842        20-24            0.008959        0.008923        0.008942
  1842        25-29            0.009807        0.009278        0.009556
  1842        30-34            0.010195        0.009249        0.009738
  1842        35-39            0.012247        0.011601        0.011930
  1842        40-44            0.012130        0.012454        0.012289
  1842        45-49            0.014714        0.016220        0.015453
  1842        50-54            0.015830        0.018211        0.016984
  1842        55-59            0.024841        0.027925        0.026329
  1842        60-64            0.029829        0.032824        0.031254
  1842        65-69            0.050625        0.055404        0.052856
  1842        70-74            0.069718        0.076153        0.072694
  1842        75-79            0.111607        0.122415        0.116578
  1842        80-84            0.140377        0.165947        0.151538
  1842        85-89            0.204968        0.228618        0.214753
  1842        90-94            0.294605        0.306706        0.299190
  1842        95-99            0.413431        0.389033        0.405291
  1842       100-104           0.574206        0.490059        0.551269
  1842       105-109           1.018947        1.174935        1.031773
  1842       110+                    .              .              .
  1843           0             0.148233        0.183746        0.166277
  1843         1-4             0.034755        0.035449        0.035102
  1843         5-9             0.008404        0.008719        0.008561
  1843        10-14            0.004924        0.004799        0.004862
  1843        15-19            0.007256        0.006638        0.006950
  1843        20-24            0.008752        0.008963        0.008852
  1843        25-29            0.009322        0.009135        0.009234
  1843        30-34            0.010055        0.009313        0.009697
  1843        35-39            0.011956        0.011492        0.011729
  1843        40-44            0.012601        0.013045        0.012819
  1843        45-49            0.013915        0.015681        0.014781
  1843        50-54            0.015875        0.018572        0.017185
  1843        55-59            0.022756        0.025808        0.024225
  1843        60-64            0.031187        0.034665        0.032842
  1843        65-69            0.046825        0.052430        0.049446
  1843        70-74            0.070774        0.078883        0.074510
  1843        75-79            0.106636        0.115266        0.110580
  1843        80-84            0.140626        0.159038        0.148635
  1843        85-89            0.203876        0.220144        0.210606
  1843        90-94            0.289640        0.299647        0.293477
  1843        95-99            0.397565        0.391185        0.395354
  1843       100-104           0.536469        0.512348        0.529283
  1843       105-109           0.920493        1.053929        0.941009
  1843       110+                    .              .              .
  1844           0             0.145522        0.182267        0.164201
  1844         1-4             0.035099        0.036437        0.035770
  1844         5-9             0.009029        0.009332        0.009180
  1844        10-14            0.005063        0.004760        0.004912
  1844        15-19            0.007442        0.006384        0.006919
  1844        20-24            0.009169        0.009053        0.009113
  1844        25-29            0.009560        0.009216        0.009397
