United Kingdom, Death rates (period 5x1), 	Last modified: 28 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1922           0             0.070053        0.092574        0.081500
  1922         1-4             0.012851        0.013792        0.013327
  1922         5-9             0.002555        0.002660        0.002608
  1922        10-14            0.001868        0.001769        0.001818
  1922        15-19            0.002661        0.002773        0.002716
  1922        20-24            0.003362        0.003804        0.003570
  1922        25-29            0.003801        0.004159        0.003963
  1922        30-34            0.004328        0.004828        0.004557
  1922        35-39            0.005139        0.006240        0.005648
  1922        40-44            0.006068        0.007664        0.006817
  1922        45-49            0.007967        0.010248        0.009065
  1922        50-54            0.011504        0.014258        0.012836
  1922        55-59            0.016138        0.021291        0.018606
  1922        60-64            0.024906        0.032210        0.028337
  1922        65-69            0.038337        0.049843        0.043581
  1922        70-74            0.063339        0.078689        0.069934
  1922        75-79            0.100850        0.123747        0.110051
  1922        80-84            0.151881        0.180739        0.162535
  1922        85-89            0.229798        0.258645        0.239398
  1922        90-94            0.309788        0.360918        0.324770
  1922        95-99            0.456429        0.482067        0.463116
  1922       100-104           0.493366        0.541451        0.504054
  1922       105-109           0.311549        1.022147        0.394065
  1922       110+                    .              .              .
  1923           0             0.063283        0.082999        0.073306
  1923         1-4             0.009149        0.009933        0.009546
  1923         5-9             0.002223        0.002391        0.002307
  1923        10-14            0.001671        0.001661        0.001666
  1923        15-19            0.002540        0.002606        0.002573
  1923        20-24            0.003062        0.003457        0.003251
  1923        25-29            0.003426        0.003805        0.003598
  1923        30-34            0.003759        0.004261        0.003988
  1923        35-39            0.004510        0.005561        0.004995
  1923        40-44            0.005493        0.007094        0.006243
  1923        45-49            0.007385        0.009667        0.008477
  1923        50-54            0.010298        0.013172        0.011688
  1923        55-59            0.014915        0.019814        0.017260
  1923        60-64            0.022862        0.030001        0.026216
  1923        65-69            0.035010        0.046325        0.040163
  1923        70-74            0.057614        0.071516        0.063624
  1923        75-79            0.090278        0.113091        0.099434
  1923        80-84            0.139088        0.166029        0.149024
  1923        85-89            0.211116        0.255200        0.225777
  1923        90-94            0.279639        0.334287        0.295485
  1923        95-99            0.376410        0.458188        0.397459
  1923       100-104           0.594638        0.707864        0.619372
  1923       105-109           1.038702        0.827586        1.011029
  1923       110+                    .              .              .
  1924           0             0.069413        0.091424        0.080602
  1924         1-4             0.010114        0.011235        0.010681
  1924         5-9             0.002238        0.002403        0.002321
  1924        10-14            0.001698        0.001727        0.001713
  1924        15-19            0.002567        0.002665        0.002616
  1924        20-24            0.003170        0.003489        0.003324
  1924        25-29            0.003513        0.003696        0.003596
  1924        30-34            0.003876        0.004313        0.004075
  1924        35-39            0.004677        0.005778        0.005185
  1924        40-44            0.005724        0.007338        0.006478
  1924        45-49            0.007574        0.009934        0.008696
  1924        50-54            0.010659        0.013675        0.012117
  1924        55-59            0.015512        0.020272        0.017790
  1924        60-64            0.023867        0.031252        0.027339
  1924        65-69            0.037079        0.048828        0.042428
  1924        70-74            0.062084        0.076713        0.068439
  1924        75-79            0.098553        0.119641        0.107026
  1924        80-84            0.147339        0.180345        0.159474
  1924        85-89            0.219305        0.262036        0.233445
  1924        90-94            0.313568        0.339450        0.321043
  1924        95-99            0.413737        0.468692        0.427568
  1924       100-104           0.572774        0.595129        0.577847
  1924       105-109           1.841060        0.804290        1.617783
  1924       110+                    .              .              .
  1925           0             0.069642        0.090825        0.080413
  1925         1-4             0.009670        0.010446        0.010062
  1925         5-9             0.002421        0.002576        0.002499
  1925        10-14            0.001712        0.001720        0.001716
  1925        15-19            0.002591        0.002710        0.002650
  1925        20-24            0.003147        0.003340        0.003241
  1925        25-29            0.003476        0.003672        0.003566
  1925        30-34            0.003693        0.004140        0.003897
  1925        35-39            0.004499        0.005386        0.004907
  1925        40-44            0.005379        0.007377        0.006310
  1925        45-49            0.007473        0.009880        0.008612
  1925        50-54            0.010448        0.013520        0.011931
  1925        55-59            0.015075        0.019873        0.017373
  1925        60-64            0.022523        0.030590        0.026316
  1925        65-69            0.035870        0.047922        0.041358
  1925        70-74            0.059370        0.075590        0.066440
  1925        75-79            0.096271        0.120624        0.106073
  1925        80-84            0.146055        0.178139        0.157804
  1925        85-89            0.225093        0.266285        0.238684
  1925        90-94            0.312465        0.357282        0.325378
  1925        95-99            0.456546        0.442348        0.452937
  1925       100-104           0.613279        0.666561        0.625754
  1925       105-109           1.812689        1.022147        1.569859
  1925       110+                    .              .              .
  1926           0             0.065061        0.085394        0.075389
  1926         1-4             0.008310        0.009248        0.008784
  1926         5-9             0.002303        0.002550        0.002428
  1926        10-14            0.001506        0.001589        0.001548
  1926        15-19            0.002423        0.002540        0.002481
  1926        20-24            0.003021        0.003138        0.003078
  1926        25-29            0.003364        0.003531        0.003442
  1926        30-34            0.003599        0.003883        0.003728
  1926        35-39            0.004370        0.005217        0.004760
  1926        40-44            0.005310        0.007001        0.006095
  1926        45-49            0.007217        0.009442        0.008265
  1926        50-54            0.009952        0.013084        0.011459
  1926        55-59            0.014485        0.019129        0.016711
  1926        60-64            0.021829        0.029194        0.025290
  1926        65-69            0.034099        0.046614        0.039795
  1926        70-74            0.056926        0.071687        0.063374
  1926        75-79            0.091025        0.115734        0.101001
  1926        80-84            0.137975        0.169750        0.149580
  1926        85-89            0.215535        0.259444        0.229989
  1926        90-94            0.287052        0.356671        0.306833
  1926        95-99            0.383250        0.446806        0.399382
  1926       100-104           0.574934        0.828513        0.627738
  1926       105-109           0.458182        2.097902        0.880288
  1926       110+                    .              .              .
  1927           0             0.063506        0.083481        0.073641
  1927         1-4             0.008824        0.009940        0.009388
  1927         5-9             0.002256        0.002469        0.002364
  1927        10-14            0.001570        0.001625        0.001597
  1927        15-19            0.002467        0.002598        0.002531
  1927        20-24            0.002994        0.003315        0.003151
  1927        25-29            0.003389        0.003582        0.003480
  1927        30-34            0.003748        0.004054        0.003887
  1927        35-39            0.004491        0.005610        0.005005
  1927        40-44            0.005632        0.007593        0.006539
  1927        45-49            0.007503        0.010117        0.008731
  1927        50-54            0.010669        0.013875        0.012205
  1927        55-59            0.014849        0.019948        0.017294
  1927        60-64            0.023255        0.030708        0.026755
  1927        65-69            0.036465        0.048382        0.041889
  1927        70-74            0.060061        0.077702        0.067764
  1927        75-79            0.099842        0.122858        0.109185
  1927        80-84            0.149234        0.182466        0.161353
  1927        85-89            0.229020        0.278634        0.245265
  1927        90-94            0.311478        0.353777        0.323403
  1927        95-99            0.413381        0.469927        0.427225
  1927       100-104           0.551905        0.753030        0.587788
  1927       105-109           1.249349        1.022147        1.196172
  1927       110+                    .              .              .
  1928           0             0.061387        0.081383        0.071540
  1928         1-4             0.007841        0.008732        0.008291
  1928         5-9             0.002289        0.002444        0.002367
  1928        10-14            0.001560        0.001716        0.001638
  1928        15-19            0.002413        0.002665        0.002538
  1928        20-24            0.003002        0.003245        0.003121
  1928        25-29            0.003303        0.003357        0.003329
  1928        30-34            0.003531        0.004061        0.003772
  1928        35-39            0.004194        0.005105        0.004613
  1928        40-44            0.005378        0.006978        0.006117
  1928        45-49            0.006967        0.009366        0.008091
  1928        50-54            0.010086        0.013232        0.011584
