Canada, Death rates (period 5x10), 	Last modified: 15 Jul 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1921-1929        0             0.095841        0.126060        0.111023
1921-1929      1-4             0.007663        0.008550        0.008111
1921-1929      5-9             0.002401        0.002699        0.002551
1921-1929     10-14            0.001910        0.002091        0.002001
1921-1929     15-19            0.002863        0.002974        0.002918
1921-1929     20-24            0.004013        0.003689        0.003853
1921-1929     25-29            0.004253        0.003825        0.004039
1921-1929     30-34            0.004568        0.003824        0.004186
1921-1929     35-39            0.005520        0.004699        0.005085
1921-1929     40-44            0.006133        0.005868        0.005991
1921-1929     45-49            0.007408        0.007530        0.007474
1921-1929     50-54            0.009758        0.010344        0.010073
1921-1929     55-59            0.013734        0.015877        0.014862
1921-1929     60-64            0.020954        0.023450        0.022269
1921-1929     65-69            0.034048        0.037917        0.036071
1921-1929     70-74            0.052728        0.058442        0.055667
1921-1929     75-79            0.086942        0.094366        0.090683
1921-1929     80-84            0.121091        0.137761        0.128832
1921-1929     85-89            0.188989        0.213892        0.199993
1921-1929     90-94            0.258854        0.276534        0.266188
1921-1929     95-99            0.342220        0.344789        0.343268
1921-1929    100-104           0.482729        0.495581        0.488381
1921-1929    105-109           0.927727        1.027300        0.973343
1921-1929    110+                    .              .              .
1930-1939        0             0.071800        0.092972        0.082554
1930-1939      1-4             0.005104        0.005886        0.005500
1930-1939      5-9             0.001604        0.001955        0.001781
1930-1939     10-14            0.001297        0.001463        0.001381
1930-1939     15-19            0.001982        0.002186        0.002085
1930-1939     20-24            0.002781        0.002787        0.002784
1930-1939     25-29            0.003248        0.002961        0.003101
1930-1939     30-34            0.003700        0.003267        0.003474
1930-1939     35-39            0.004386        0.004035        0.004203
1930-1939     40-44            0.004976        0.005139        0.005062
1930-1939     45-49            0.006438        0.007109        0.006801
1930-1939     50-54            0.008925        0.010351        0.009703
1930-1939     55-59            0.012898        0.015260        0.014181
1930-1939     60-64            0.020073        0.024032        0.022193
1930-1939     65-69            0.030841        0.036103        0.033602
1930-1939     70-74            0.049920        0.057285        0.053700
1930-1939     75-79            0.081062        0.090483        0.085804
1930-1939     80-84            0.117025        0.134572        0.125316
1930-1939     85-89            0.184477        0.208598        0.195113
1930-1939     90-94            0.258454        0.276931        0.265982
1930-1939     95-99            0.351394        0.358212        0.354097
1930-1939    100-104           0.486994        0.500275        0.492161
1930-1939    105-109           0.931909        1.214351        1.016840
1930-1939    110+                    .              .              .
1940-1949        0             0.048989        0.062242        0.055785
1940-1949      1-4             0.002877        0.003387        0.003137
1940-1949      5-9             0.001051        0.001397        0.001226
1940-1949     10-14            0.000848        0.001117        0.000984
1940-1949     15-19            0.001295        0.001826        0.001563
1940-1949     20-24            0.001751        0.002271        0.002011
1940-1949     25-29            0.002002        0.002199        0.002101
1940-1949     30-34            0.002279        0.002392        0.002336
1940-1949     35-39            0.002923        0.003222        0.003076
1940-1949     40-44            0.003765        0.004526        0.004158
1940-1949     45-49            0.005327        0.006875        0.006128
1940-1949     50-54            0.007711        0.010266        0.009052
1940-1949     55-59            0.011434        0.015703        0.013709
1940-1949     60-64            0.017624        0.024318        0.021201
1940-1949     65-69            0.028070        0.036992        0.032780
1940-1949     70-74            0.045482        0.056385        0.051088
1940-1949     75-79            0.075428        0.088514        0.081937
1940-1949     80-84            0.112725        0.133400        0.122334
1940-1949     85-89            0.181710        0.209502        0.193932
1940-1949     90-94            0.257463        0.292040        0.271500
1940-1949     95-99            0.360309        0.371997        0.364775
1940-1949    100-104           0.473778        0.532925        0.495478
1940-1949    105-109           0.442940        0.378091        0.418218
1940-1949    110+              0.000000        0.000000        0.000000
1950-1959        0             0.031861        0.040821        0.036445
1950-1959      1-4             0.001409        0.001704        0.001560
1950-1959      5-9             0.000535        0.000833        0.000687
1950-1959     10-14            0.000421        0.000686        0.000556
1950-1959     15-19            0.000595        0.001275        0.000939
1950-1959     20-24            0.000741        0.001753        0.001247
1950-1959     25-29            0.000925        0.001655        0.001290
1950-1959     30-34            0.001154        0.001856        0.001502
1950-1959     35-39            0.001675        0.002373        0.002025
1950-1959     40-44            0.002550        0.003683        0.003127
1950-1959     45-49            0.003914        0.006003        0.004995
1950-1959     50-54            0.005921        0.009953        0.008007
1950-1959     55-59            0.009189        0.015652        0.012497
1950-1959     60-64            0.014704        0.024336        0.019625
1950-1959     65-69            0.023316        0.035830        0.029759
1950-1959     70-74            0.038105        0.053317        0.045791
1950-1959     75-79            0.065885        0.083078        0.074449
1950-1959     80-84            0.101261        0.125074        0.112374
1950-1959     85-89            0.163473        0.195325        0.177285
1950-1959     90-94            0.241812        0.276437        0.255403
1950-1959     95-99            0.352568        0.389554        0.365797
1950-1959    100-104           0.486054        0.444403        0.471127
1950-1959    105-109           0.470485        0.306415        0.407719
1950-1959    110+              1.083032        0.559643        0.737957
1960-1969        0             0.021573        0.027591        0.024660
1960-1969      1-4             0.000909        0.001131        0.001023
1960-1969      5-9             0.000410        0.000622        0.000518
1960-1969     10-14            0.000304        0.000530        0.000420
1960-1969     15-19            0.000501        0.001220        0.000866
1960-1969     20-24            0.000571        0.001763        0.001166
1960-1969     25-29            0.000655        0.001509        0.001084
1960-1969     30-34            0.000884        0.001631        0.001263
1960-1969     35-39            0.001331        0.002249        0.001793
1960-1969     40-44            0.002052        0.003471        0.002760
1960-1969     45-49            0.003279        0.005745        0.004514
1960-1969     50-54            0.005091        0.009489        0.007316
1960-1969     55-59            0.007799        0.015230        0.011567
1960-1969     60-64            0.012346        0.023901        0.018102
1960-1969     65-69            0.019750        0.035731        0.027482
1960-1969     70-74            0.032246        0.053369        0.042221
1960-1969     75-79            0.055039        0.081115        0.067231
1960-1969     80-84            0.089417        0.119658        0.103010
1960-1969     85-89            0.147692        0.183774        0.162954
1960-1969     90-94            0.225962        0.269769        0.242854
1960-1969     95-99            0.337929        0.376548        0.351281
1960-1969    100-104           0.444666        0.424222        0.437809
1960-1969    105-109           0.585705        0.595583        0.590209
1960-1969    110+                    .        0.313992        0.313992
1970-1979        0             0.013015        0.016649        0.014879
1970-1979      1-4             0.000657        0.000808        0.000734
1970-1979      5-9             0.000333        0.000501        0.000419
1970-1979     10-14            0.000280        0.000472        0.000378
1970-1979     15-19            0.000539        0.001488        0.001022
1970-1979     20-24            0.000544        0.001816        0.001184
1970-1979     25-29            0.000579        0.001434        0.001011
1970-1979     30-34            0.000778        0.001512        0.001152
1970-1979     35-39            0.001212        0.002103        0.001667
1970-1979     40-44            0.001875        0.003337        0.002620
1970-1979     45-49            0.003006        0.005465        0.004242
1970-1979     50-54            0.004567        0.008933        0.006717
1970-1979     55-59            0.006940        0.014168        0.010468
1970-1979     60-64            0.010633        0.022111        0.016194
1970-1979     65-69            0.016633        0.033692        0.024687
1970-1979     70-74            0.026907        0.050754        0.037671
1970-1979     75-79            0.045117        0.076136        0.058194
1970-1979     80-84            0.076011        0.115078        0.091437
1970-1979     85-89            0.127455        0.171801        0.144212
1970-1979     90-94            0.202548        0.250099        0.219355
1970-1979     95-99            0.293874        0.359354        0.314376
1970-1979    100-104           0.411205        0.475956        0.428235
1970-1979    105-109           0.525454        0.526707        0.525837
1970-1979    110+              0.255319        0.252525        0.253759
1980-1989        0             0.007398        0.009420        0.008434
1980-1989      1-4             0.000410        0.000504        0.000458
1980-1989      5-9             0.000201        0.000285        0.000244
1980-1989     10-14            0.000195        0.000325        0.000262
1980-1989     15-19            0.000402        0.001111        0.000765
1980-1989     20-24            0.000410        0.001348        0.000887
1980-1989     25-29            0.000453        0.001223        0.000841
1980-1989     30-34            0.000586        0.001299        0.000944
1980-1989     35-39            0.000865        0.001591        0.001232
1980-1989     40-44            0.001420        0.002367        0.001900
1980-1989     45-49            0.002343        0.003969        0.003165
1980-1989     50-54            0.003783        0.006850        0.005323
1980-1989     55-59            0.005883        0.011339        0.008555
1980-1989     60-64            0.009063        0.018195        0.013380
1980-1989     65-69            0.014337        0.028751        0.020930
1980-1989     70-74            0.023057        0.044718        0.032587
1980-1989     75-79            0.038174        0.068856        0.050824
1980-1989     80-84            0.065903        0.106648        0.081090
1980-1989     85-89            0.110194        0.159703        0.126316
1980-1989     90-94            0.180267        0.238191        0.196956
1980-1989     95-99            0.275735        0.338367        0.292152
1980-1989    100-104           0.390039        0.449612        0.403877
1980-1989    105-109           0.519798        0.467928        0.508469
1980-1989    110+              0.955414        0.323353        0.629630
1990-1999        0             0.005346        0.006520        0.005948
1990-1999      1-4             0.000266        0.000332        0.000300
1990-1999      5-9             0.000148        0.000179        0.000164
1990-1999     10-14            0.000155        0.000228        0.000193
1990-1999     15-19            0.000336        0.000802        0.000575
1990-1999     20-24            0.000344        0.001044        0.000701
1990-1999     25-29            0.000393        0.001068        0.000734
1990-1999     30-34            0.000516        0.001269        0.000895
1990-1999     35-39            0.000780        0.001587        0.001184
1990-1999     40-44            0.001213        0.002135        0.001674
1990-1999     45-49            0.001923        0.003133        0.002529
1990-1999     50-54            0.003085        0.005045        0.004065
1990-1999     55-59            0.005016        0.008567        0.006780
1990-1999     60-64            0.007908        0.014328        0.011049
1990-1999     65-69            0.012590        0.023378        0.017656
1990-1999     70-74            0.020218        0.037239        0.027727
1990-1999     75-79            0.034204        0.059835        0.044721
1990-1999     80-84            0.060873        0.100050        0.075361
1990-1999     85-89            0.105618        0.156995        0.122025
1990-1999     90-94            0.179505        0.239107        0.195202
1990-1999     95-99            0.283200        0.356674        0.298535
1990-1999    100-104           0.421066        0.484914        0.432007
1990-1999    105-109           0.567425        0.666195        0.582307
1990-1999    110+              0.614699        0.870968        0.645793
2000-2009        0             0.004791        0.005640        0.005226
2000-2009      1-4             0.000185        0.000229        0.000207
2000-2009      5-9             0.000096        0.000127        0.000112
2000-2009     10-14            0.000113        0.000158        0.000136
2000-2009     15-19            0.000282        0.000601        0.000446
2000-2009     20-24            0.000318        0.000838        0.000584
2000-2009     25-29            0.000341        0.000802        0.000574
2000-2009     30-34            0.000449        0.000903        0.000677
2000-2009     35-39            0.000681        0.001196        0.000940
2000-2009     40-44            0.001057        0.001714        0.001388
2000-2009     45-49            0.001736        0.002674        0.002205
2000-2009     50-54            0.002716        0.004264        0.003486
2000-2009     55-59            0.004182        0.006720        0.005440
2000-2009     60-64            0.006620        0.010818        0.008682
2000-2009     65-69            0.010579        0.017542        0.013933
2000-2009     70-74            0.017331        0.028525        0.022543
2000-2009     75-79            0.029209        0.046915        0.036895
2000-2009     80-84            0.052517        0.081264        0.063562
2000-2009     85-89            0.095848        0.136940        0.109364
2000-2009     90-94            0.169190        0.225357        0.184255
2000-2009     95-99            0.278917        0.343518        0.292252
2000-2009    100-104           0.423795        0.492497        0.434305
2000-2009    105-109           0.585030        0.788773        0.604354
2000-2009    110+              0.738674        0.193548        0.696056
2010-2019        0             0.004370        0.005065        0.004726
2010-2019      1-4             0.000164        0.000193        0.000179
2010-2019      5-9             0.000079        0.000086        0.000083
2010-2019     10-14            0.000105        0.000119        0.000112
2010-2019     15-19            0.000242        0.000457        0.000353
2010-2019     20-24            0.000321        0.000744        0.000539
2010-2019     25-29            0.000378        0.000858        0.000622
2010-2019     30-34            0.000476        0.000948        0.000712
2010-2019     35-39            0.000623        0.001127        0.000874
2010-2019     40-44            0.000927        0.001520        0.001222
2010-2019     45-49            0.001474        0.002300        0.001887
2010-2019     50-54            0.002394        0.003630        0.003012
2010-2019     55-59            0.003734        0.005784        0.004754
2010-2019     60-64            0.005709        0.009087        0.007372
2010-2019     65-69            0.008912        0.013963        0.011368
2010-2019     70-74            0.014524        0.022096        0.018132
2010-2019     75-79            0.024370        0.036371        0.029881
2010-2019     80-84            0.044333        0.064104        0.052799
2010-2019     85-89            0.081884        0.114870        0.094185
2010-2019     90-94            0.150878        0.199258        0.165429
2010-2019     95-99            0.258112        0.321597        0.272431
2010-2019    100-104           0.400617        0.473256        0.412305
2010-2019    105-109           0.546306        0.576059        0.549884
2010-2019    110+              0.789442        1.396781        0.830395
2020-2022        0             0.004105        0.004808        0.004466
2020-2022      1-4             0.000148        0.000180        0.000164
2020-2022      5-9             0.000077        0.000090        0.000084
2020-2022     10-14            0.000101        0.000121        0.000111
2020-2022     15-19            0.000265        0.000462        0.000366
2020-2022     20-24            0.000424        0.000826        0.000633
2020-2022     25-29            0.000512        0.001141        0.000837
2020-2022     30-34            0.000646        0.001386        0.001022
2020-2022     35-39            0.000841        0.001669        0.001258
2020-2022     40-44            0.001075        0.002050        0.001562
2020-2022     45-49            0.001524        0.002704        0.002110
2020-2022     50-54            0.002320        0.004012        0.003159
2020-2022     55-59            0.003704        0.006145        0.004918
2020-2022     60-64            0.005792        0.009319        0.007532
2020-2022     65-69            0.008889        0.014249        0.011490
2020-2022     70-74            0.014216        0.021907        0.017901
2020-2022     75-79            0.024164        0.035390        0.029436
2020-2022     80-84            0.042681        0.061077        0.050832
2020-2022     85-89            0.080245        0.111581        0.092871
2020-2022     90-94            0.149890        0.201255        0.167121
2020-2022     95-99            0.258652        0.324279        0.274901
2020-2022    100-104           0.400850        0.463423        0.411820
2020-2022    105-109           0.575261        0.542891        0.570687
2020-2022    110+              0.894069        1.161082        0.929737
