Estonia, Death rates (period 5x10), 	Last modified: 21 Jan 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1960-1969        0             0.020249        0.026472        0.023446
1960-1969      1-4             0.001075        0.001427        0.001255
1960-1969      5-9             0.000451        0.000740        0.000599
1960-1969     10-14            0.000350        0.000613        0.000485
1960-1969     15-19            0.000589        0.001407        0.001014
1960-1969     20-24            0.000763        0.002407        0.001598
1960-1969     25-29            0.000892        0.002877        0.001880
1960-1969     30-34            0.001082        0.003604        0.002296
1960-1969     35-39            0.001454        0.004361        0.002755
1960-1969     40-44            0.002139        0.005548        0.003551
1960-1969     45-49            0.003262        0.007404        0.004957
1960-1969     50-54            0.004965        0.010771        0.007312
1960-1969     55-59            0.007301        0.016878        0.011057
1960-1969     60-64            0.012199        0.026961        0.017683
1960-1969     65-69            0.021107        0.043068        0.028503
1960-1969     70-74            0.037629        0.064246        0.045813
1960-1969     75-79            0.067656        0.098319        0.076349
1960-1969     80-84            0.113751        0.146961        0.122337
1960-1969     85-89            0.188388        0.223116        0.196455
1960-1969     90-94            0.278754        0.319300        0.287255
1960-1969     95-99            0.388562        0.483444        0.402856
1960-1969    100-104           0.619971        1.461632        0.670118
1960-1969    105-109           2.385542              .        2.385542
1960-1969    110+                    .              .              .
1970-1979        0             0.014571        0.020314        0.017512
1970-1979      1-4             0.000956        0.001357        0.001161
1970-1979      5-9             0.000376        0.000665        0.000524
1970-1979     10-14            0.000322        0.000580        0.000454
1970-1979     15-19            0.000522        0.001542        0.001051
1970-1979     20-24            0.000633        0.002357        0.001532
1970-1979     25-29            0.000691        0.003058        0.001894
1970-1979     30-34            0.001064        0.003932        0.002490
1970-1979     35-39            0.001394        0.005298        0.003301
1970-1979     40-44            0.002165        0.006858        0.004404
1970-1979     45-49            0.003341        0.009342        0.006006
1970-1979     50-54            0.005399        0.013619        0.008734
1970-1979     55-59            0.007793        0.019147        0.012243
1970-1979     60-64            0.011998        0.027482        0.017827
1970-1979     65-69            0.020399        0.043043        0.028398
1970-1979     70-74            0.036665        0.064985        0.045734
1970-1979     75-79            0.065834        0.101538        0.075705
1970-1979     80-84            0.113098        0.149607        0.121955
1970-1979     85-89            0.177738        0.222457        0.187519
1970-1979     90-94            0.269952        0.303455        0.276439
1970-1979     95-99            0.354740        0.378911        0.359102
1970-1979    100-104           0.574556        0.518689        0.564779
1970-1979    105-109           2.764045        0.000000        1.835821
1970-1979    110+                    .              .              .
1980-1989        0             0.013288        0.017882        0.015639
1980-1989      1-4             0.000911        0.001252        0.001085
1980-1989      5-9             0.000449        0.000615        0.000533
1980-1989     10-14            0.000302        0.000571        0.000440
1980-1989     15-19            0.000517        0.001413        0.000980
1980-1989     20-24            0.000639        0.002138        0.001410
1980-1989     25-29            0.000741        0.002705        0.001736
1980-1989     30-34            0.000992        0.003475        0.002227
1980-1989     35-39            0.001359        0.004867        0.003074
1980-1989     40-44            0.002197        0.006936        0.004480
1980-1989     45-49            0.003352        0.010296        0.006636
1980-1989     50-54            0.005289        0.014497        0.009506
1980-1989     55-59            0.008088        0.021394        0.013656
1980-1989     60-64            0.012913        0.030378        0.019439
1980-1989     65-69            0.021287        0.044058        0.029293
1980-1989     70-74            0.036090        0.065386        0.045572
1980-1989     75-79            0.063435        0.097995        0.073423
1980-1989     80-84            0.109627        0.146788        0.118840
1980-1989     85-89            0.176615        0.218363        0.185121
1980-1989     90-94            0.264018        0.317520        0.273068
1980-1989     95-99            0.371173        0.396254        0.375071
1980-1989    100-104           0.523195        0.860090        0.563178
1980-1989    105-109           1.375482        1.048113        1.291110
1980-1989    110+                    .              .              .
1990-1999        0             0.010935        0.013968        0.012501
1990-1999      1-4             0.000708        0.000933        0.000824
1990-1999      5-9             0.000329        0.000534        0.000434
1990-1999     10-14            0.000261        0.000543        0.000405
1990-1999     15-19            0.000549        0.001548        0.001061
1990-1999     20-24            0.000691        0.002804        0.001771
1990-1999     25-29            0.000723        0.003334        0.002035
1990-1999     30-34            0.000987        0.004402        0.002681
1990-1999     35-39            0.001776        0.006257        0.003969
1990-1999     40-44            0.002634        0.009054        0.005728
1990-1999     45-49            0.003974        0.013004        0.008243
1990-1999     50-54            0.005942        0.018258        0.011635
1990-1999     55-59            0.008640        0.025472        0.016143
1990-1999     60-64            0.013424        0.035543        0.022760
1990-1999     65-69            0.020623        0.047754        0.030747
1990-1999     70-74            0.033868        0.065033        0.043827
1990-1999     75-79            0.057724        0.094322        0.068276
1990-1999     80-84            0.101593        0.139970        0.111291
1990-1999     85-89            0.166781        0.208703        0.175943
1990-1999     90-94            0.263519        0.306931        0.271259
1990-1999     95-99            0.402760        0.416955        0.404761
1990-1999    100-104           0.619542        0.787208        0.642668
1990-1999    105-109           2.487805              .        2.487805
1990-1999    110+                    .              .              .
2000-2009        0             0.005087        0.006769        0.005952
2000-2009      1-4             0.000371        0.000441        0.000407
2000-2009      5-9             0.000207        0.000285        0.000247
2000-2009     10-14            0.000178        0.000291        0.000236
2000-2009     15-19            0.000332        0.001027        0.000691
2000-2009     20-24            0.000566        0.002174        0.001392
2000-2009     25-29            0.000540        0.002616        0.001603
2000-2009     30-34            0.000782        0.002990        0.001900
2000-2009     35-39            0.001197        0.004067        0.002626
2000-2009     40-44            0.002016        0.006745        0.004327
2000-2009     45-49            0.003297        0.010421        0.006692
2000-2009     50-54            0.005033        0.015313        0.009777
2000-2009     55-59            0.007422        0.021034        0.013471
2000-2009     60-64            0.009888        0.030367        0.018540
2000-2009     65-69            0.014895        0.041548        0.025347
2000-2009     70-74            0.025128        0.058074        0.036861
2000-2009     75-79            0.044440        0.080824        0.055350
2000-2009     80-84            0.079927        0.118735        0.089433
2000-2009     85-89            0.142114        0.180426        0.150296
2000-2009     90-94            0.238205        0.284613        0.246807
2000-2009     95-99            0.357498        0.397138        0.363688
2000-2009    100-104           0.496832        0.551250        0.503297
2000-2009    105-109           1.042243        0.000000        1.016696
2000-2009    110+                    .              .              .
2010-2019        0             0.002189        0.002663        0.002433
2010-2019      1-4             0.000202        0.000257        0.000231
2010-2019      5-9             0.000108        0.000148        0.000129
2010-2019     10-14            0.000153        0.000157        0.000155
2010-2019     15-19            0.000300        0.000562        0.000434
2010-2019     20-24            0.000310        0.001026        0.000679
2010-2019     25-29            0.000452        0.001507        0.000999
2010-2019     30-34            0.000639        0.002101        0.001394
2010-2019     35-39            0.000837        0.002370        0.001622
2010-2019     40-44            0.001180        0.003416        0.002309
2010-2019     45-49            0.001869        0.005382        0.003603
2010-2019     50-54            0.003049        0.008527        0.005674
2010-2019     55-59            0.004585        0.013645        0.008750
2010-2019     60-64            0.007208        0.021307        0.013332
2010-2019     65-69            0.011019        0.030517        0.018924
2010-2019     70-74            0.018117        0.044031        0.027658
2010-2019     75-79            0.031111        0.062922        0.041423
2010-2019     80-84            0.059220        0.096752        0.069667
2010-2019     85-89            0.113162        0.149498        0.121388
2010-2019     90-94            0.196139        0.237848        0.203590
2010-2019     95-99            0.320514        0.387022        0.330055
2010-2019    100-104           0.558524        0.818929        0.582933
2010-2019    105-109           1.180740        3.045113        1.215306
2010-2019    110+                    .              .              .
