Scotland, Death rates (period 5x10), 	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1855-1859        0             0.115436        0.138822        0.127374
1855-1859      1-4             0.036581        0.036514        0.036547
1855-1859      5-9             0.008962        0.009305        0.009136
1855-1859     10-14            0.004643        0.005012        0.004825
1855-1859     15-19            0.006159        0.007745        0.006898
1855-1859     20-24            0.007797        0.010795        0.009129
1855-1859     25-29            0.008791        0.010284        0.009457
1855-1859     30-34            0.009853        0.010568        0.010176
1855-1859     35-39            0.010477        0.010950        0.010692
1855-1859     40-44            0.011571        0.013221        0.012332
1855-1859     45-49            0.012090        0.015219        0.013527
1855-1859     50-54            0.016436        0.019040        0.017627
1855-1859     55-59            0.018853        0.023282        0.020818
1855-1859     60-64            0.030566        0.035644        0.032778
1855-1859     65-69            0.040566        0.049912        0.044520
1855-1859     70-74            0.067810        0.075205        0.070900
1855-1859     75-79            0.095947        0.112347        0.102611
1855-1859     80-84            0.140295        0.155379        0.146101
1855-1859     85-89            0.197630        0.226547        0.208369
1855-1859     90-94            0.246469        0.272770        0.255164
1855-1859     95-99            0.330248        0.307078        0.322683
1855-1859    100-104           0.454011        0.407062        0.438953
1855-1859    105-109           0.983255        1.096447        0.993266
1855-1859    110+                    .              .              .
1860-1869        0             0.121704        0.145094        0.133638
1860-1869      1-4             0.037805        0.038311        0.038061
1860-1869      5-9             0.009295        0.009564        0.009431
1860-1869     10-14            0.005251        0.005191        0.005221
1860-1869     15-19            0.007296        0.007552        0.007422
1860-1869     20-24            0.008616        0.010410        0.009456
1860-1869     25-29            0.009616        0.010605        0.010061
1860-1869     30-34            0.010038        0.011045        0.010487
1860-1869     35-39            0.011650        0.012340        0.011961
1860-1869     40-44            0.012635        0.014325        0.013404
1860-1869     45-49            0.013867        0.017054        0.015323
1860-1869     50-54            0.017264        0.021049        0.018987
1860-1869     55-59            0.020355        0.025271        0.022569
1860-1869     60-64            0.031792        0.038058        0.034553
1860-1869     65-69            0.041406        0.049851        0.045028
1860-1869     70-74            0.069939        0.079004        0.073711
1860-1869     75-79            0.104308        0.118518        0.110053
1860-1869     80-84            0.147428        0.163872        0.153734
1860-1869     85-89            0.203474        0.230974        0.213362
1860-1869     90-94            0.251259        0.288644        0.263451
1860-1869     95-99            0.350307        0.350332        0.350315
1860-1869    100-104           0.484794        0.560069        0.508876
1860-1869    105-109           1.022431        1.395979        1.088801
1860-1869    110+                    .              .              .
1870-1879        0             0.121572        0.147023        0.134555
1870-1879      1-4             0.033239        0.034154        0.033702
1870-1879      5-9             0.008901        0.009115        0.009009
1870-1879     10-14            0.005305        0.005262        0.005283
1870-1879     15-19            0.007253        0.007400        0.007326
1870-1879     20-24            0.008817        0.009678        0.009233
1870-1879     25-29            0.009720        0.009992        0.009847
1870-1879     30-34            0.009983        0.010660        0.010294
1870-1879     35-39            0.011407        0.012552        0.011928
1870-1879     40-44            0.012488        0.014839        0.013556
1870-1879     45-49            0.013931        0.017816        0.015697
1870-1879     50-54            0.018624        0.023035        0.020619
1870-1879     55-59            0.022484        0.028096        0.024992
1870-1879     60-64            0.033845        0.041357        0.037147
