Croatia, Death rates (period 5x10), 	Last modified: 24 Feb 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2001-2009        0             0.005721        0.006287        0.006011
2001-2009      1-4             0.000200        0.000313        0.000258
2001-2009      5-9             0.000121        0.000161        0.000142
2001-2009     10-14            0.000104        0.000197        0.000152
2001-2009     15-19            0.000284        0.000723        0.000508
2001-2009     20-24            0.000316        0.001145        0.000740
2001-2009     25-29            0.000312        0.001126        0.000726
2001-2009     30-34            0.000448        0.001271        0.000863
2001-2009     35-39            0.000744        0.001778        0.001261
2001-2009     40-44            0.001190        0.003077        0.002130
2001-2009     45-49            0.002142        0.005362        0.003752
2001-2009     50-54            0.003449        0.009021        0.006220
2001-2009     55-59            0.005090        0.013602        0.009178
2001-2009     60-64            0.008177        0.020737        0.013963
2001-2009     65-69            0.014233        0.031966        0.022049
2001-2009     70-74            0.026093        0.050398        0.036045
2001-2009     75-79            0.050374        0.079000        0.060605
2001-2009     80-84            0.092406        0.123767        0.101684
2001-2009     85-89            0.159665        0.190148        0.167768
2001-2009     90-94            0.260246        0.299005        0.269894
2001-2009     95-99            0.376566        0.409764        0.383758
2001-2009    100-104           0.559223        0.605146        0.568715
2001-2009    105-109           0.696429        0.827586        0.723404
2001-2009    110+                    .              .              .
2010-2019        0             0.003732        0.004674        0.004217
2010-2019      1-4             0.000156        0.000208        0.000183
2010-2019      5-9             0.000097        0.000113        0.000105
2010-2019     10-14            0.000097        0.000137        0.000117
2010-2019     15-19            0.000170        0.000453        0.000315
2010-2019     20-24            0.000203        0.000700        0.000458
2010-2019     25-29            0.000270        0.000732        0.000506
2010-2019     30-34            0.000345        0.000905        0.000630
2010-2019     35-39            0.000584        0.001336        0.000965
2010-2019     40-44            0.000965        0.002086        0.001530
2010-2019     45-49            0.001702        0.003843        0.002768
2010-2019     50-54            0.002889        0.006804        0.004816
2010-2019     55-59            0.004630        0.011400        0.007935
2010-2019     60-64            0.007071        0.017796        0.012187
2010-2019     65-69            0.011411        0.026430        0.018195
2010-2019     70-74            0.020075        0.039815        0.028396
2010-2019     75-79            0.039230        0.064317        0.048945
2010-2019     80-84            0.077988        0.106340        0.087725
2010-2019     85-89            0.144591        0.174114        0.153091
2010-2019     90-94            0.239148        0.272278        0.247034
2010-2019     95-99            0.365470        0.391533        0.371019
2010-2019    100-104           0.499315        0.553910        0.509721
2010-2019    105-109           0.701052        1.102041        0.743002
2010-2019    110+              6.000000              .        6.000000
