Slovakia , Death rates (period 5x10), 	Last modified: 29 Oct 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1959        0             0.056930        0.069559        0.063418
1950-1959      1-4             0.002697        0.002843        0.002772
1950-1959      5-9             0.000571        0.000843        0.000709
1950-1959     10-14            0.000498        0.000789        0.000644
1950-1959     15-19            0.000894        0.001498        0.001198
1950-1959     20-24            0.001305        0.002173        0.001737
1950-1959     25-29            0.001460        0.002253        0.001851
1950-1959     30-34            0.001626        0.002448        0.002031
1950-1959     35-39            0.002118        0.002900        0.002499
1950-1959     40-44            0.002899        0.004031        0.003451
1950-1959     45-49            0.004170        0.006154        0.005139
1950-1959     50-54            0.006439        0.009819        0.008068
1950-1959     55-59            0.009894        0.015558        0.012536
1950-1959     60-64            0.016646        0.024430        0.020105
1950-1959     65-69            0.028987        0.036860        0.032353
1950-1959     70-74            0.050735        0.057927        0.053823
1950-1959     75-79            0.083943        0.093305        0.087927
1950-1959     80-84            0.139171        0.154725        0.145780
1950-1959     85-89            0.223015        0.244517        0.231699
1950-1959     90-94            0.328829        0.357025        0.339043
1950-1959     95-99            0.501261        0.455984        0.485880
1950-1959    100-104           0.857563        1.029268        0.912421
1950-1959    105-109                 .              .              .
1950-1959    110+                    .              .              .
1960-1969        0             0.023608        0.029787        0.026781
1960-1969      1-4             0.001217        0.001526        0.001376
1960-1969      5-9             0.000388        0.000614        0.000503
1960-1969     10-14            0.000293        0.000500        0.000398
1960-1969     15-19            0.000417        0.001184        0.000807
1960-1969     20-24            0.000567        0.001894        0.001236
1960-1969     25-29            0.000677        0.001765        0.001220
1960-1969     30-34            0.000935        0.002147        0.001536
1960-1969     35-39            0.001350        0.002750        0.002041
1960-1969     40-44            0.002103        0.003734        0.002903
1960-1969     45-49            0.003261        0.005431        0.004324
1960-1969     50-54            0.004967        0.008237        0.006575
1960-1969     55-59            0.007932        0.013896        0.010836
1960-1969     60-64            0.013327        0.023250        0.018020
1960-1969     65-69            0.023492        0.036721        0.029433
1960-1969     70-74            0.042245        0.057442        0.048631
1960-1969     75-79            0.074746        0.090971        0.081249
1960-1969     80-84            0.128378        0.145778        0.135222
1960-1969     85-89            0.207827        0.235209        0.218385
1960-1969     90-94            0.313880        0.346774        0.325903
1960-1969     95-99            0.426920        0.524080        0.457828
1960-1969    100-104           0.682126        1.226755        0.761943
1960-1969    105-109                 .              .              .
1960-1969    110+                    .              .              .
1970-1979        0             0.020466        0.027457        0.024039
1970-1979      1-4             0.000849        0.001080        0.000967
1970-1979      5-9             0.000358        0.000542        0.000452
1970-1979     10-14            0.000257        0.000480        0.000371
1970-1979     15-19            0.000400        0.001078        0.000747
1970-1979     20-24            0.000446        0.001589        0.001029
1970-1979     25-29            0.000551        0.001659        0.001109
1970-1979     30-34            0.000842        0.002310        0.001569
1970-1979     35-39            0.001304        0.003300        0.002284
1970-1979     40-44            0.002048        0.004979        0.003485
1970-1979     45-49            0.003281        0.007694        0.005429
1970-1979     50-54            0.005250        0.011465        0.008241
1970-1979     55-59            0.008232        0.016831        0.012338
1970-1979     60-64            0.013213        0.025318        0.018945
1970-1979     65-69            0.022025        0.040158        0.030322
1970-1979     70-74            0.039597        0.063991        0.050104
1970-1979     75-79            0.070395        0.098594        0.081612
1970-1979     80-84            0.123117        0.152440        0.133833
1970-1979     85-89            0.200803        0.228228        0.210295
1970-1979     90-94            0.301054        0.336918        0.313149
1970-1979     95-99            0.416928        0.440861        0.424213
1970-1979    100-104           0.671431        0.605796        0.651506
1970-1979    105-109           6.000000              .        6.000000
1970-1979    110+                    .              .              .
1980-1989        0             0.014197        0.019066        0.016685
1980-1989      1-4             0.000564        0.000680        0.000623
1980-1989      5-9             0.000251        0.000379        0.000317
1980-1989     10-14            0.000205        0.000339        0.000273
1980-1989     15-19            0.000343        0.000857        0.000606
1980-1989     20-24            0.000359        0.001254        0.000816
1980-1989     25-29            0.000484        0.001455        0.000979
1980-1989     30-34            0.000696        0.002054        0.001383
1980-1989     35-39            0.001200        0.003184        0.002189
1980-1989     40-44            0.001930        0.005465        0.003657
1980-1989     45-49            0.003248        0.008925        0.005984
1980-1989     50-54            0.005102        0.013668        0.009182
1980-1989     55-59            0.008157        0.020318        0.013834
1980-1989     60-64            0.013086        0.030188        0.020842
1980-1989     65-69            0.021549        0.043072        0.031047
1980-1989     70-74            0.038187        0.064131        0.049229
1980-1989     75-79            0.065685        0.098411        0.078565
1980-1989     80-84            0.116670        0.156704        0.130867
1980-1989     85-89            0.191625        0.231404        0.204253
1980-1989     90-94            0.299969        0.330398        0.308768
1980-1989     95-99            0.423985        0.476215        0.437837
1980-1989    100-104           0.678761        0.984718        0.744725
1980-1989    105-109           6.000000        6.000000        6.000000
1980-1989    110+                    .              .              .
1990-1999        0             0.009457        0.012042        0.010782
1990-1999      1-4             0.000442        0.000513        0.000479
1990-1999      5-9             0.000213        0.000284        0.000249
1990-1999     10-14            0.000181        0.000299        0.000241
1990-1999     15-19            0.000313        0.000727        0.000524
1990-1999     20-24            0.000327        0.001201        0.000773
1990-1999     25-29            0.000393        0.001345        0.000876
1990-1999     30-34            0.000630        0.001852        0.001248
1990-1999     35-39            0.001086        0.002935        0.002018
1990-1999     40-44            0.001718        0.005080        0.003397
1990-1999     45-49            0.002830        0.008177        0.005444
1990-1999     50-54            0.004599        0.013174        0.008654
1990-1999     55-59            0.007395        0.019742        0.013062
1990-1999     60-64            0.011856        0.030268        0.020014
1990-1999     65-69            0.020192        0.043421        0.029980
1990-1999     70-74            0.033634        0.062956        0.045252
1990-1999     75-79            0.059347        0.091456        0.071386
1990-1999     80-84            0.105067        0.142100        0.117930
1990-1999     85-89            0.172598        0.212113        0.184728
1990-1999     90-94            0.274757        0.311322        0.284539
1990-1999     95-99            0.400471        0.446084        0.411138
1990-1999    100-104           0.570142        0.777618        0.602534
1990-1999    105-109           1.900837              .        1.900837
1990-1999    110+                    .              .              .
2000-2009        0             0.006140        0.007622        0.006901
2000-2009      1-4             0.000342        0.000417        0.000381
2000-2009      5-9             0.000158        0.000232        0.000196
2000-2009     10-14            0.000145        0.000229        0.000188
2000-2009     15-19            0.000268        0.000571        0.000423
2000-2009     20-24            0.000264        0.000965        0.000622
2000-2009     25-29            0.000324        0.001087        0.000713
2000-2009     30-34            0.000456        0.001434        0.000953
2000-2009     35-39            0.000800        0.002304        0.001559
2000-2009     40-44            0.001469        0.004005        0.002742
2000-2009     45-49            0.002507        0.006880        0.004682
2000-2009     50-54            0.003843        0.011040        0.007351
2000-2009     55-59            0.006199        0.016476        0.011034
2000-2009     60-64            0.009559        0.025189        0.016518
2000-2009     65-69            0.016109        0.037074        0.024884
2000-2009     70-74            0.028425        0.055340        0.038885
2000-2009     75-79            0.051390        0.082875        0.062543
2000-2009     80-84            0.091013        0.126039        0.102274
2000-2009     85-89            0.159044        0.194285        0.169524
2000-2009     90-94            0.265036        0.302250        0.275164
2000-2009     95-99            0.393177        0.438973        0.403921
