Slovenia, Death rates (period 5x10), 	Last modified: 01 Nov 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1983-1989        0             0.010397        0.012928        0.011695
1983-1989      1-4             0.000462        0.000600        0.000533
1983-1989      5-9             0.000228        0.000316        0.000274
1983-1989     10-14            0.000151        0.000327        0.000242
1983-1989     15-19            0.000406        0.000955        0.000685
1983-1989     20-24            0.000457        0.001668        0.001061
1983-1989     25-29            0.000517        0.001717        0.001122
1983-1989     30-34            0.000718        0.002106        0.001432
1983-1989     35-39            0.001105        0.002975        0.002070
1983-1989     40-44            0.001854        0.004598        0.003259
1983-1989     45-49            0.003090        0.007466        0.005304
1983-1989     50-54            0.004887        0.012630        0.008672
1983-1989     55-59            0.007305        0.019450        0.012817
1983-1989     60-64            0.011070        0.026968        0.017409
1983-1989     65-69            0.018204        0.038910        0.026139
1983-1989     70-74            0.033776        0.060713        0.044108
1983-1989     75-79            0.059987        0.095161        0.072571
1983-1989     80-84            0.109651        0.153073        0.123153
1983-1989     85-89            0.180337        0.225604        0.192352
1983-1989     90-94            0.278953        0.339826        0.292451
1983-1989     95-99            0.424235        0.416120        0.422637
1983-1989    100-104           0.502732        0.553846        0.516129
1983-1989    105-109           0.800000              .        0.800000
1983-1989    110+                    .              .              .
1990-1999        0             0.005454        0.007357        0.006432
1990-1999      1-4             0.000280        0.000397        0.000340
1990-1999      5-9             0.000148        0.000231        0.000190
1990-1999     10-14            0.000148        0.000265        0.000208
1990-1999     15-19            0.000332        0.000929        0.000639
1990-1999     20-24            0.000405        0.001482        0.000952
1990-1999     25-29            0.000418        0.001430        0.000926
1990-1999     30-34            0.000563        0.001774        0.001173
1990-1999     35-39            0.000981        0.002520        0.001766
1990-1999     40-44            0.001659        0.003902        0.002814
1990-1999     45-49            0.002702        0.006057        0.004420
1990-1999     50-54            0.004167        0.009600        0.006883
1990-1999     55-59            0.005915        0.015199        0.010406
1990-1999     60-64            0.009446        0.024097        0.016083
1990-1999     65-69            0.015323        0.035440        0.023386
1990-1999     70-74            0.026478        0.051277        0.035180
1990-1999     75-79            0.048468        0.081099        0.059241
1990-1999     80-84            0.091262        0.130808        0.103507
1990-1999     85-89            0.156000        0.194988        0.166540
1990-1999     90-94            0.253487        0.302555        0.264556
1990-1999     95-99            0.408688        0.449007        0.416609
1990-1999    100-104           0.569878        0.434389        0.552212
1990-1999    105-109           0.428571              .        0.428571
1990-1999    110+                    .              .              .
2000-2009        0             0.003292        0.003789        0.003547
2000-2009      1-4             0.000152        0.000237        0.000196
2000-2009      5-9             0.000135        0.000121        0.000128
2000-2009     10-14            0.000100        0.000153        0.000127
2000-2009     15-19            0.000276        0.000681        0.000484
2000-2009     20-24            0.000285        0.001124        0.000719
2000-2009     25-29            0.000276        0.001092        0.000699
2000-2009     30-34            0.000405        0.001168        0.000798
2000-2009     35-39            0.000664        0.001685        0.001184
2000-2009     40-44            0.001124        0.002836        0.001996
2000-2009     45-49            0.002056        0.004798        0.003465
2000-2009     50-54            0.003393        0.007498        0.005500
2000-2009     55-59            0.004726        0.011518        0.008125
2000-2009     60-64            0.006924        0.017416        0.011950
2000-2009     65-69            0.011044        0.026274        0.017921
2000-2009     70-74            0.019720        0.041792        0.028717
2000-2009     75-79            0.035721        0.064871        0.045743
2000-2009     80-84            0.067428        0.103442        0.077634
2000-2009     85-89            0.126489        0.169010        0.137147
2000-2009     90-94            0.220287        0.275823        0.232563
2000-2009     95-99            0.343236        0.382319        0.350268
2000-2009    100-104           0.442402        0.657136        0.469207
2000-2009    105-109           0.692088        0.315789        0.649116
2000-2009    110+                    .              .              .
2010-2019        0             0.002022        0.002220        0.002124
2010-2019      1-4             0.000147        0.000132        0.000139
2010-2019      5-9             0.000077        0.000076        0.000076
2010-2019     10-14            0.000072        0.000114        0.000094
2010-2019     15-19            0.000158        0.000377        0.000271
2010-2019     20-24            0.000209        0.000646        0.000435
2010-2019     25-29            0.000168        0.000648        0.000419
2010-2019     30-34            0.000307        0.000795        0.000563
2010-2019     35-39            0.000477        0.001063        0.000785
2010-2019     40-44            0.000754        0.001612        0.001200
2010-2019     45-49            0.001356        0.002701        0.002045
2010-2019     50-54            0.002275        0.005005        0.003663
2010-2019     55-59            0.003773        0.008423        0.006127
2010-2019     60-64            0.005880        0.013029        0.009439
2010-2019     65-69            0.008756        0.019093        0.013689
2010-2019     70-74            0.014093        0.029672        0.021058
2010-2019     75-79            0.026463        0.047250        0.034928
2010-2019     80-84            0.053139        0.082926        0.063532
2010-2019     85-89            0.106455        0.142150        0.116253
2010-2019     90-94            0.193489        0.234991        0.202404
2010-2019     95-99            0.333969        0.359258        0.338538
2010-2019    100-104           0.594234        0.655575        0.603179
2010-2019    105-109           1.070701        1.824945        1.086826
2010-2019    110+                    .              .              .
