Sweden, Death rates (period 5x10), 	Last modified: 23 May 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1751-1759        0             0.231269        0.261793        0.246673
1751-1759      1-4             0.039463        0.041248        0.040350
1751-1759      5-9             0.012408        0.013440        0.012922
1751-1759     10-14            0.006428        0.006643        0.006536
1751-1759     15-19            0.006115        0.006726        0.006410
1751-1759     20-24            0.006901        0.009262        0.007993
1751-1759     25-29            0.008750        0.010195        0.009425
1751-1759     30-34            0.011541        0.011514        0.011528
1751-1759     35-39            0.010607        0.012198        0.011365
1751-1759     40-44            0.014931        0.017114        0.015960
1751-1759     45-49            0.014272        0.019533        0.016714
1751-1759     50-54            0.018710        0.025326        0.021697
1751-1759     55-59            0.024209        0.031183        0.027246
1751-1759     60-64            0.035920        0.041679        0.038280
1751-1759     65-69            0.048165        0.052836        0.050050
1751-1759     70-74            0.082405        0.085190        0.083510
1751-1759     75-79            0.118510        0.124173        0.120732
1751-1759     80-84            0.149937        0.153860        0.151401
1751-1759     85-89            0.195233        0.209857        0.200508
1751-1759     90-94            0.274505        0.300741        0.283582
1751-1759     95-99            0.368657        0.425575        0.387715
1751-1759    100-104           0.525528        0.680180        0.574347
1751-1759    105-109           1.313453        1.765528        1.413586
1751-1759    110+                    .              .              .
1760-1769        0             0.245215        0.276036        0.260794
1760-1769      1-4             0.037945        0.039441        0.038688
1760-1769      5-9             0.012732        0.013106        0.012921
1760-1769     10-14            0.006049        0.006751        0.006399
1760-1769     15-19            0.006114        0.006930        0.006517
1760-1769     20-24            0.006952        0.009264        0.008031
1760-1769     25-29            0.008838        0.010650        0.009677
1760-1769     30-34            0.011871        0.012135        0.011995
1760-1769     35-39            0.011017        0.012855        0.011889
1760-1769     40-44            0.015673        0.017395        0.016485
1760-1769     45-49            0.015400        0.020738        0.017881
1760-1769     50-54            0.019729        0.027033        0.023057
1760-1769     55-59            0.023454        0.031012        0.026832
1760-1769     60-64            0.037200        0.043632        0.039980
1760-1769     65-69            0.050709        0.059811        0.054459
1760-1769     70-74            0.085178        0.087244        0.085992
1760-1769     75-79            0.119645        0.122500        0.120761
1760-1769     80-84            0.170286        0.176235        0.172545
1760-1769     85-89            0.207429        0.226748        0.214589
1760-1769     90-94            0.288693        0.306058        0.294713
1760-1769     95-99            0.373362        0.398414        0.381326
1760-1769    100-104           0.582649        0.730982        0.614695
1760-1769    105-109           2.400000              .        2.400000
1760-1769    110+                    .              .              .
1770-1779        0             0.225423        0.250562        0.238140
1770-1779      1-4             0.046651        0.048559        0.047598
1770-1779      5-9             0.015220        0.016842        0.016028
1770-1779     10-14            0.008188        0.009693        0.008933
1770-1779     15-19            0.007925        0.008465        0.008191
1770-1779     20-24            0.008757        0.010748        0.009711
1770-1779     25-29            0.010702        0.012134        0.011385
1770-1779     30-34            0.013020        0.013519        0.013257
1770-1779     35-39            0.013293        0.013903        0.013584
1770-1779     40-44            0.017243        0.018182        0.017691
1770-1779     45-49            0.017747        0.021211        0.019351
1770-1779     50-54            0.022754        0.027535        0.024967
1770-1779     55-59            0.027349        0.032112        0.029517
1770-1779     60-64            0.042665        0.046467        0.044374
1770-1779     65-69            0.061378        0.069855        0.064960
1770-1779     70-74            0.095954        0.100762        0.097940
1770-1779     75-79            0.127260        0.130734        0.128658
1770-1779     80-84            0.189649        0.198357        0.192881
1770-1779     85-89            0.243574        0.273081        0.254160
1770-1779     90-94            0.308946        0.340533        0.319276
1770-1779     95-99            0.378647        0.427067        0.393396
1770-1779    100-104           0.510831        0.686878        0.552064
1770-1779    105-109           1.086882        2.133333        1.131275
1770-1779    110+                    .              .              .
