Belgium, Death rates (period 5x5), 	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1841-1844        0             0.149371        0.182907        0.166407
1841-1844      1-4             0.041055        0.039806        0.040425
1841-1844      5-9             0.011250        0.009445        0.010334
1841-1844     10-14            0.007500        0.005110        0.006289
1841-1844     15-19            0.009066        0.007000        0.008031
1841-1844     20-24            0.009513        0.010669        0.010095
1841-1844     25-29            0.010207        0.009033        0.009619
1841-1844     30-34            0.010860        0.008624        0.009736
1841-1844     35-39            0.012422        0.009145        0.010756
1841-1844     40-44            0.013890        0.011146        0.012490
1841-1844     45-49            0.013392        0.013388        0.013390
1841-1844     50-54            0.017436        0.018858        0.018071
1841-1844     55-59            0.021921        0.024164        0.022952
1841-1844     60-64            0.032013        0.035663        0.033735
1841-1844     65-69            0.047620        0.052082        0.049742
1841-1844     70-74            0.073121        0.075928        0.074459
1841-1844     75-79            0.105908        0.110893        0.108246
1841-1844     80-84            0.164757        0.174020        0.168949
1841-1844     85-89            0.233739        0.247730        0.239715
1841-1844     90-94            0.304944        0.318804        0.310423
1841-1844     95-99            0.399208        0.415733        0.405775
1841-1844    100-104           0.636180        0.763026        0.680532
1841-1844    105-109                 .              .              .
1841-1844    110+                    .              .              .
1845-1849        0             0.156501        0.190952        0.173961
1845-1849      1-4             0.042083        0.040736        0.041405
1845-1849      5-9             0.012656        0.010718        0.011674
1845-1849     10-14            0.009399        0.006235        0.007785
1845-1849     15-19            0.010614        0.007544        0.009054
1845-1849     20-24            0.010880        0.012058        0.011472
1845-1849     25-29            0.011127        0.010497        0.010810
1845-1849     30-34            0.012881        0.010781        0.011824
1845-1849     35-39            0.014448        0.012175        0.013299
1845-1849     40-44            0.016425        0.015467        0.015935
1845-1849     45-49            0.017033        0.019873        0.018479
1845-1849     50-54            0.021121        0.025723        0.023336
1845-1849     55-59            0.026927        0.032956        0.029597
1845-1849     60-64            0.039313        0.046840        0.042740
1845-1849     65-69            0.054809        0.064168        0.059155
1845-1849     70-74            0.085785        0.097735        0.091356
1845-1849     75-79            0.121698        0.132156        0.126562
1845-1849     80-84            0.187965        0.204411        0.195386
1845-1849     85-89            0.256893        0.287905        0.270235
1845-1849     90-94            0.339683        0.371428        0.352357
1845-1849     95-99            0.494934        0.505614        0.499112
