Switzerland, Death rates (period 5x5), 	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1876-1879        0             0.216715        0.268028        0.242522
1876-1879      1-4             0.022029        0.022202        0.022116
1876-1879      5-9             0.006285        0.006566        0.006426
1876-1879     10-14            0.004175        0.003755        0.003967
1876-1879     15-19            0.005902        0.005590        0.005748
1876-1879     20-24            0.007245        0.007736        0.007485
1876-1879     25-29            0.008674        0.009282        0.008969
1876-1879     30-34            0.009796        0.010457        0.010115
1876-1879     35-39            0.011191        0.012229        0.011691
1876-1879     40-44            0.011430        0.014284        0.012812
1876-1879     45-49            0.013319        0.017953        0.015557
1876-1879     50-54            0.018525        0.023692        0.021004
1876-1879     55-59            0.026468        0.032795        0.029480
1876-1879     60-64            0.040566        0.045553        0.042946
1876-1879     65-69            0.065433        0.066060        0.065733
1876-1879     70-74            0.103117        0.104508        0.103788
1876-1879     75-79            0.140497        0.148460        0.144386
1876-1879     80-84            0.211453        0.214503        0.212978
1876-1879     85-89            0.304660        0.319380        0.312031
1876-1879     90-94            0.440823        0.439817        0.440326
1876-1879     95-99            0.507369        0.574916        0.533047
1876-1879    100-104           0.816728              .        0.816728
1876-1879    105-109                 .              .              .
1876-1879    110+                    .              .              .
1880-1884        0             0.177154        0.218751        0.198156
1880-1884      1-4             0.020105        0.020225        0.020165
1880-1884      5-9             0.005993        0.005862        0.005927
1880-1884     10-14            0.003558        0.003280        0.003420
1880-1884     15-19            0.005496        0.004862        0.005185
1880-1884     20-24            0.006960        0.007176        0.007065
1880-1884     25-29            0.008019        0.007952        0.007986
1880-1884     30-34            0.009311        0.009601        0.009452
1880-1884     35-39            0.010643        0.011665        0.011135
1880-1884     40-44            0.011544        0.013916        0.012686
1880-1884     45-49            0.012526        0.016624        0.014503
1880-1884     50-54            0.017273        0.022340        0.019696
1880-1884     55-59            0.024803        0.030854        0.027668
1880-1884     60-64            0.038941        0.043140        0.040914
1880-1884     65-69            0.059745        0.062794        0.061187
1880-1884     70-74            0.095526        0.097016        0.096234
1880-1884     75-79            0.142303        0.145819        0.143991
1880-1884     80-84            0.208207        0.209324        0.208749
1880-1884     85-89            0.292833        0.294548        0.293695
1880-1884     90-94            0.419481        0.398609        0.409072
1880-1884     95-99            0.582616        0.558688        0.570571
1880-1884    100-104           1.757709        0.682864        1.260355
1880-1884    105-109                 .              .              .
1880-1884    110+                    .              .              .
1885-1889        0             0.163619        0.201571        0.182754
1885-1889      1-4             0.016984        0.017338        0.017162
1885-1889      5-9             0.004893        0.004948        0.004921
1885-1889     10-14            0.003278        0.002906        0.003092
1885-1889     15-19            0.005486        0.004528        0.005013
1885-1889     20-24            0.007136        0.006701        0.006926
1885-1889     25-29            0.007891        0.007805        0.007850
1885-1889     30-34            0.008851        0.008930        0.008889
1885-1889     35-39            0.010084        0.011166        0.010606
1885-1889     40-44            0.010971        0.014012        0.012427
1885-1889     45-49            0.012925        0.017144        0.014938
1885-1889     50-54            0.017234        0.022151        0.019566
1885-1889     55-59            0.025325        0.029517        0.027300
1885-1889     60-64            0.039166        0.042714        0.040822
1885-1889     65-69            0.060006        0.062424        0.061133
1885-1889     70-74            0.091660        0.094047        0.092779
1885-1889     75-79            0.146499        0.152460        0.149303
1885-1889     80-84            0.207110        0.214454        0.210574
1885-1889     85-89            0.290113        0.306385        0.297922
1885-1889     90-94            0.369286        0.453897        0.409259
1885-1889     95-99            0.541727        0.761126        0.630885
1885-1889    100-104           6.000000        2.739669        3.093923
1885-1889    105-109                 .              .              .
1885-1889    110+                    .              .              .
1890-1894        0             0.152816        0.191427        0.172290
1890-1894      1-4             0.016270        0.017158        0.016715
1890-1894      5-9             0.005168        0.005224        0.005196
1890-1894     10-14            0.003458        0.003035        0.003247
1890-1894     15-19            0.005369        0.004390        0.004881
1890-1894     20-24            0.006441        0.006246        0.006345
1890-1894     25-29            0.007637        0.007348        0.007497
1890-1894     30-34            0.008469        0.008648        0.008555
1890-1894     35-39            0.009470        0.010287        0.009865
1890-1894     40-44            0.010514        0.013484        0.011942
1890-1894     45-49            0.012247        0.016982        0.014499
1890-1894     50-54            0.017108        0.022070        0.019449
1890-1894     55-59            0.024859        0.030133        0.027328
1890-1894     60-64            0.038956        0.043091        0.040881
1890-1894     65-69            0.061074        0.063679        0.062280
1890-1894     70-74            0.095409        0.096894        0.096099
1890-1894     75-79            0.146115        0.148118        0.147043
1890-1894     80-84            0.215168        0.221076        0.217883
1890-1894     85-89            0.299826        0.319868        0.308979
1890-1894     90-94            0.429026        0.407439        0.419427
1890-1894     95-99            0.538664        0.596518        0.562289
1890-1894    100-104           2.125984              .        2.125984
1890-1894    105-109                 .              .              .
1890-1894    110+                    .              .              .
1895-1899        0             0.144127        0.180047        0.162245
1895-1899      1-4             0.012583        0.013086        0.012835
1895-1899      5-9             0.003747        0.003848        0.003797
1895-1899     10-14            0.002939        0.002378        0.002657
1895-1899     15-19            0.004767        0.004142        0.004456
1895-1899     20-24            0.005659        0.005650        0.005654
1895-1899     25-29            0.006426        0.006183        0.006305
1895-1899     30-34            0.007162        0.007468        0.007312
1895-1899     35-39            0.008307        0.009620        0.008946
1895-1899     40-44            0.008971        0.011830        0.010355
1895-1899     45-49            0.011062        0.016162        0.013498
1895-1899     50-54            0.015264        0.021635        0.018268
1895-1899     55-59            0.022312        0.028666        0.025272
1895-1899     60-64            0.034682        0.040927        0.037569
1895-1899     65-69            0.054723        0.059579        0.056957
1895-1899     70-74            0.085158        0.089501        0.087156
1895-1899     75-79            0.129105        0.137225        0.132839
1895-1899     80-84            0.192392        0.201640        0.196595
1895-1899     85-89            0.271780        0.287614        0.278954
1895-1899     90-94            0.372887        0.402482        0.385687
1895-1899     95-99            0.523893        0.718563        0.604792
1895-1899    100-104           2.550898              .        2.550898
1895-1899    105-109                 .              .              .
1895-1899    110+                    .              .              .
1900-1904        0             0.135691        0.168314        0.152150
1900-1904      1-4             0.012324        0.012692        0.012508
1900-1904      5-9             0.003631        0.003503        0.003567
1900-1904     10-14            0.002724        0.002327        0.002526
1900-1904     15-19            0.004877        0.003973        0.004423
1900-1904     20-24            0.005815        0.005498        0.005658
1900-1904     25-29            0.006416        0.006055        0.006236
1900-1904     30-34            0.007109        0.006863        0.006986
1900-1904     35-39            0.008171        0.008708        0.008435
1900-1904     40-44            0.008941        0.011472        0.010172
1900-1904     45-49            0.010289        0.014938        0.012524
1900-1904     50-54            0.014940        0.021680        0.018118
1900-1904     55-59            0.022228        0.029319        0.025524
1900-1904     60-64            0.034825        0.041597        0.037931
1900-1904     65-69            0.054853        0.060017        0.057208
1900-1904     70-74            0.084181        0.089468        0.086593
1900-1904     75-79            0.132983        0.135003        0.133906
1900-1904     80-84            0.191876        0.197714        0.194511
1900-1904     85-89            0.272780        0.290920        0.280841
1900-1904     90-94            0.418629        0.430822        0.423681
1900-1904     95-99            0.513018        0.590273        0.544088
1900-1904    100-104           2.052632        1.046809        1.349851
1900-1904    105-109                 .              .              .
1900-1904    110+                    .              .              .
1905-1909        0             0.115210        0.146032        0.130786
1905-1909      1-4             0.010251        0.010705        0.010479
1905-1909      5-9             0.003055        0.003081        0.003068
1905-1909     10-14            0.002470        0.002056        0.002262
1905-1909     15-19            0.004586        0.003861        0.004225
1905-1909     20-24            0.005734        0.005354        0.005544
1905-1909     25-29            0.006331        0.005786        0.006060
1905-1909     30-34            0.006750        0.006552        0.006651
1905-1909     35-39            0.007346        0.008394        0.007868
1905-1909     40-44            0.008549        0.011159        0.009829
1905-1909     45-49            0.010339        0.014685        0.012432
1905-1909     50-54            0.013998        0.020389        0.017026
1905-1909     55-59            0.021620        0.029306        0.025175
1905-1909     60-64            0.033074        0.042003        0.037133
1905-1909     65-69            0.053356        0.061065        0.056824
1905-1909     70-74            0.083343        0.089676        0.086174
1905-1909     75-79            0.128383        0.137685        0.132557
1905-1909     80-84            0.190334        0.209244        0.198658
1905-1909     85-89            0.276903        0.301840        0.287576
1905-1909     90-94            0.382492        0.401474        0.390392
1905-1909     95-99            0.554670        0.552529        0.553854
1905-1909    100-104           1.784030        6.000000        1.899408
1905-1909    105-109                 .              .              .
1905-1909    110+                    .              .              .
1910-1914        0             0.097181        0.121775        0.109656
1910-1914      1-4             0.008330        0.008928        0.008630
1910-1914      5-9             0.002515        0.002676        0.002596
1910-1914     10-14            0.002212        0.001946        0.002080
1910-1914     15-19            0.003968        0.003618        0.003794
1910-1914     20-24            0.004904        0.005023        0.004963
1910-1914     25-29            0.005357        0.005339        0.005348
1910-1914     30-34            0.005913        0.005976        0.005944
1910-1914     35-39            0.006590        0.007700        0.007143
1910-1914     40-44            0.007427        0.009947        0.008673
1910-1914     45-49            0.009568        0.013413        0.011433
1910-1914     50-54            0.013182        0.019047        0.015965
1910-1914     55-59            0.018785        0.026858        0.022533
1910-1914     60-64            0.030430        0.039742        0.034631
1910-1914     65-69            0.050251        0.058890        0.054078
1910-1914     70-74            0.079270        0.089600        0.083803
1910-1914     75-79            0.118740        0.134582        0.125644
1910-1914     80-84            0.181700        0.199033        0.189133
1910-1914     85-89            0.266027        0.289904        0.276049
1910-1914     90-94            0.373764        0.416643        0.390226
1910-1914     95-99            0.511459        0.623139        0.554424
1910-1914    100-104           0.905172        6.000000        1.312181
1910-1914    105-109                 .              .              .
1910-1914    110+                    .              .              .
1915-1919        0             0.077012        0.099136        0.088228
1915-1919      1-4             0.007800        0.008160        0.007982
1915-1919      5-9             0.002896        0.002868        0.002882
1915-1919     10-14            0.002368        0.002136        0.002253
1915-1919     15-19            0.004611        0.004564        0.004588
1915-1919     20-24            0.006123        0.007268        0.006676
1915-1919     25-29            0.006950        0.008431        0.007661
1915-1919     30-34            0.007477        0.008422        0.007938
1915-1919     35-39            0.007381        0.008804        0.008080
1915-1919     40-44            0.008064        0.010271        0.009149
1915-1919     45-49            0.009593        0.013070        0.011288
1915-1919     50-54            0.013325        0.018203        0.015652
1915-1919     55-59            0.019521        0.026329        0.022686
1915-1919     60-64            0.029714        0.037513        0.033247
1915-1919     65-69            0.048776        0.058544        0.053064
1915-1919     70-74            0.079665        0.090215        0.084201
1915-1919     75-79            0.122070        0.135871        0.127898
1915-1919     80-84            0.181311        0.200291        0.189178
1915-1919     85-89            0.264790        0.289830        0.274908
1915-1919     90-94            0.367577        0.440240        0.394145
1915-1919     95-99            0.549952        0.696421        0.594662
1915-1919    100-104           1.306355        6.000000        1.382034
1915-1919    105-109                 .              .              .
1915-1919    110+                    .              .              .
1920-1924        0             0.063905        0.082816        0.073529
1920-1924      1-4             0.005930        0.006390        0.006163
1920-1924      5-9             0.002167        0.002312        0.002240
1920-1924     10-14            0.001719        0.001724        0.001722
1920-1924     15-19            0.003068        0.002965        0.003017
1920-1924     20-24            0.004033        0.004098        0.004064
1920-1924     25-29            0.004493        0.004212        0.004361
1920-1924     30-34            0.004921        0.004847        0.004886
1920-1924     35-39            0.005554        0.005994        0.005766
1920-1924     40-44            0.006432        0.008018        0.007200
1920-1924     45-49            0.008307        0.011111        0.009667
1920-1924     50-54            0.011472        0.016064        0.013677
1920-1924     55-59            0.017597        0.024236        0.020704
1920-1924     60-64            0.026936        0.035800        0.030964
1920-1924     65-69            0.043987        0.051928        0.047493
1920-1924     70-74            0.073769        0.083853        0.078073
1920-1924     75-79            0.117251        0.126076        0.120924
1920-1924     80-84            0.176079        0.190990        0.182104
1920-1924     85-89            0.256004        0.280828        0.265753
1920-1924     90-94            0.377083        0.368970        0.374022
1920-1924     95-99            0.494948        0.483243        0.491487
1920-1924    100-104           2.009112        1.314211        1.829169
1920-1924    105-109                 .              .              .
1920-1924    110+                    .              .              .
1925-1929        0             0.050194        0.064065        0.057239
1925-1929      1-4             0.004915        0.005323        0.005122
1925-1929      5-9             0.001802        0.002019        0.001912
1925-1929     10-14            0.001394        0.001537        0.001466
1925-1929     15-19            0.002782        0.002729        0.002756
1925-1929     20-24            0.003713        0.003872        0.003790
1925-1929     25-29            0.004036        0.003970        0.004004
1925-1929     30-34            0.003904        0.004350        0.004114
1925-1929     35-39            0.004579        0.005276        0.004908
1925-1929     40-44            0.005532        0.007414        0.006436
1925-1929     45-49            0.007268        0.010788        0.008962
1925-1929     50-54            0.010994        0.015555        0.013183
1925-1929     55-59            0.015628        0.022110        0.018694
1925-1929     60-64            0.025467        0.033950        0.029352
1925-1929     65-69            0.041423        0.051501        0.045882
1925-1929     70-74            0.066474        0.077647        0.071270
1925-1929     75-79            0.110769        0.125776        0.116965
1925-1929     80-84            0.170533        0.188383        0.177591
1925-1929     85-89            0.251665        0.272616        0.259579
1925-1929     90-94            0.357371        0.374300        0.363633
1925-1929     95-99            0.477465        0.496412        0.484856
1925-1929    100-104           1.417059        2.143278        1.584521
1925-1929    105-109                 .              .              .
1925-1929    110+                    .              .              .
1930-1934        0             0.044023        0.056805        0.050532
1930-1934      1-4             0.003894        0.004508        0.004206
1930-1934      5-9             0.001540        0.001762        0.001652
1930-1934     10-14            0.001181        0.001386        0.001285
1930-1934     15-19            0.002280        0.002568        0.002424
