Denmark, Death rates (period 5x5), 	Last modified: 24 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1835-1839        0             0.181595        0.222027        0.202147
1835-1839      1-4             0.028820        0.029764        0.029295
1835-1839      5-9             0.008913        0.008951        0.008932
1835-1839     10-14            0.006023        0.005358        0.005689
1835-1839     15-19            0.005717        0.005298        0.005508
1835-1839     20-24            0.007239        0.008099        0.007665
1835-1839     25-29            0.008557        0.008100        0.008331
1835-1839     30-34            0.009869        0.009451        0.009660
1835-1839     35-39            0.011768        0.012427        0.012096
1835-1839     40-44            0.012318        0.014185        0.013232
1835-1839     45-49            0.014812        0.019480        0.017068
1835-1839     50-54            0.018366        0.023290        0.020721
1835-1839     55-59            0.023628        0.030381        0.026833
1835-1839     60-64            0.035205        0.043926        0.039273
1835-1839     65-69            0.050171        0.059612        0.054471
1835-1839     70-74            0.075632        0.084105        0.079406
1835-1839     75-79            0.105126        0.118235        0.110832
1835-1839     80-84            0.161977        0.184854        0.171463
1835-1839     85-89            0.232477        0.270901        0.246894
1835-1839     90-94            0.281620        0.279784        0.280932
1835-1839     95-99            0.362262        0.357175        0.360509
1835-1839    100-104           0.708084        0.327531        0.525223
1835-1839    105-109           1.037165        0.099083        0.250839
1835-1839    110+                    .              .              .
1840-1844        0             0.182972        0.222762        0.203169
1840-1844      1-4             0.022259        0.023020        0.022642
1840-1844      5-9             0.007753        0.007298        0.007524
1840-1844     10-14            0.005687        0.004592        0.005134
1840-1844     15-19            0.005785        0.005337        0.005560
1840-1844     20-24            0.006724        0.008005        0.007361
1840-1844     25-29            0.007811        0.007317        0.007567
1840-1844     30-34            0.009479        0.008078        0.008783
1840-1844     35-39            0.010771        0.010149        0.010460
1840-1844     40-44            0.012370        0.013042        0.012704
1840-1844     45-49            0.013479        0.017306        0.015338
1840-1844     50-54            0.016405        0.022476        0.019307
1840-1844     55-59            0.023028        0.028577        0.025649
1840-1844     60-64            0.034739        0.042372        0.038291
1840-1844     65-69            0.049264        0.056510        0.052572
1840-1844     70-74            0.077742        0.087857        0.082253
1840-1844     75-79            0.108968        0.121597        0.114413
1840-1844     80-84            0.163341        0.180578        0.170465
1840-1844     85-89            0.231401        0.260170        0.242579
1840-1844     90-94            0.288459        0.336451        0.304246
1840-1844     95-99            0.397911        0.435667        0.412001
1840-1844    100-104           0.444374        0.371742        0.407621
1840-1844    105-109           0.297350        0.649351        0.464745
1840-1844    110+                    .        2.777778        2.777778
1845-1849        0             0.195194        0.241513        0.218581
1845-1849      1-4             0.027021        0.028088        0.027556
1845-1849      5-9             0.009566        0.008925        0.009242
1845-1849     10-14            0.006100        0.005113        0.005601
1845-1849     15-19            0.005940        0.005570        0.005756
1845-1849     20-24            0.007130        0.009913        0.008487
1845-1849     25-29            0.007882        0.007992        0.007936
1845-1849     30-34            0.009476        0.008303        0.008892
1845-1849     35-39            0.010939        0.010016        0.010477
1845-1849     40-44            0.011396        0.012811        0.012102
1845-1849     45-49            0.013020        0.017053        0.015007
1845-1849     50-54            0.016526        0.021366        0.018868
1845-1849     55-59            0.022713        0.029709        0.026035
1845-1849     60-64            0.034127        0.040594        0.037119
1845-1849     65-69            0.050819        0.058256        0.054196
1845-1849     70-74            0.078635        0.086521        0.082174
1845-1849     75-79            0.115043        0.126398        0.119928
1845-1849     80-84            0.164411        0.186589        0.173375
1845-1849     85-89            0.230307        0.267748        0.244634
1845-1849     90-94            0.283463        0.328944        0.299418
1845-1849     95-99            0.412708        0.376885        0.402058
1845-1849    100-104           0.837978        0.706799        0.785932
1845-1849    105-109                 .              .              .
1845-1849    110+                    .              .              .
1850-1854        0             0.182748        0.225312        0.204320
1850-1854      1-4             0.023742        0.023926        0.023834
1850-1854      5-9             0.008576        0.008367        0.008470
1850-1854     10-14            0.005214        0.004754        0.004981
