Japan, Death rates (period 5x5), 	Last modified: 05 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1947-1949        0             0.067571        0.077411        0.072600
1947-1949      1-4             0.012794        0.013161        0.012980
1947-1949      5-9             0.002537        0.002820        0.002680
1947-1949     10-14            0.001627        0.001575        0.001600
1947-1949     15-19            0.003746        0.003602        0.003674
1947-1949     20-24            0.006593        0.007334        0.006951
1947-1949     25-29            0.006683        0.007788        0.007169
1947-1949     30-34            0.006308        0.007324        0.006775
1947-1949     35-39            0.006463        0.007653        0.007028
1947-1949     40-44            0.007124        0.008745        0.007932
1947-1949     45-49            0.008368        0.011038        0.009722
1947-1949     50-54            0.011391        0.015578        0.013521
1947-1949     55-59            0.015776        0.023180        0.019465
1947-1949     60-64            0.024151        0.035885        0.029725
1947-1949     65-69            0.036948        0.054640        0.044835
1947-1949     70-74            0.058198        0.080108        0.067388
1947-1949     75-79            0.091093        0.117018        0.101156
1947-1949     80-84            0.146132        0.177181        0.156916
1947-1949     85-89            0.220695        0.259967        0.232873
1947-1949     90-94            0.316576        0.357499        0.328013
1947-1949     95-99            0.431624        0.469714        0.442436
1947-1949    100-104           0.475071        0.622723        0.515147
1947-1949    105-109           0.452830        1.066667        0.635762
1947-1949    110+              0.594059        1.090909        0.716418
1950-1954        0             0.048500        0.055462        0.052059
1950-1954      1-4             0.007057        0.007125        0.007092
1950-1954      5-9             0.001620        0.001839        0.001731
1950-1954     10-14            0.000892        0.000944        0.000918
1950-1954     15-19            0.001679        0.001880        0.001780
1950-1954     20-24            0.002976        0.003494        0.003234
1950-1954     25-29            0.003509        0.003943        0.003715
1950-1954     30-34            0.003692        0.004018        0.003837
1950-1954     35-39            0.004128        0.004588        0.004341
1950-1954     40-44            0.004877        0.005911        0.005374
1950-1954     45-49            0.006438        0.008376        0.007405
1950-1954     50-54            0.009068        0.012331        0.010716
1950-1954     55-59            0.013174        0.019314        0.016252
1950-1954     60-64            0.020183        0.029953        0.024924
1950-1954     65-69            0.033244        0.048565        0.040221
1950-1954     70-74            0.053868        0.075419        0.062983
1950-1954     75-79            0.085724        0.112896        0.096334
1950-1954     80-84            0.137972        0.171015        0.149600
1950-1954     85-89            0.213603        0.255941        0.226655
1950-1954     90-94            0.320610        0.371665        0.334274
1950-1954     95-99            0.427852        0.464514        0.436684
1950-1954    100-104           0.480950        0.450340        0.471604
1950-1954    105-109           0.278571        0.510638        0.311927
1950-1954    110+              0.638298        0.600000        0.631579
1955-1959        0             0.035049        0.041315        0.038261
1955-1959      1-4             0.003314        0.003596        0.003458
1955-1959      5-9             0.000991        0.001275        0.001136
1955-1959     10-14            0.000552        0.000700        0.000627
1955-1959     15-19            0.000977        0.001374        0.001177
1955-1959     20-24            0.001733        0.002488        0.002109
1955-1959     25-29            0.002001        0.002610        0.002304
1955-1959     30-34            0.002306        0.002740        0.002513
1955-1959     35-39            0.002747        0.003328        0.003007
1955-1959     40-44            0.003521        0.004504        0.003977
1955-1959     45-49            0.005002        0.006976        0.005947
1955-1959     50-54            0.007455        0.011012        0.009220
1955-1959     55-59            0.011002        0.017452        0.014221
1955-1959     60-64            0.017157        0.027653        0.022310
1955-1959     65-69            0.028667        0.044292        0.036012
1955-1959     70-74            0.049627        0.072036        0.059322
1955-1959     75-79            0.081824        0.112028        0.093655
1955-1959     80-84            0.132497        0.169446        0.145571
1955-1959     85-89            0.206096        0.247159        0.218835
1955-1959     90-94            0.307958        0.362151        0.322026
1955-1959     95-99            0.446786        0.467152        0.451276
1955-1959    100-104           0.574149        0.536662        0.565998
1955-1959    105-109           0.393443        0.626087        0.483221
1955-1959    110+              0.310345              .        0.310345
1960-1964        0             0.023543        0.029229        0.026458
1960-1964      1-4             0.001725        0.002103        0.001918
1960-1964      5-9             0.000603        0.000876        0.000742
1960-1964     10-14            0.000370        0.000551        0.000462
1960-1964     15-19            0.000623        0.001152        0.000889
1960-1964     20-24            0.001093        0.001849        0.001468
1960-1964     25-29            0.001318        0.002019        0.001667
1960-1964     30-34            0.001567        0.002212        0.001890
1960-1964     35-39            0.002003        0.002828        0.002397
1960-1964     40-44            0.002730        0.003953        0.003277
1960-1964     45-49            0.004105        0.006031        0.004996
1960-1964     50-54            0.006230        0.009657        0.007864
1960-1964     55-59            0.009441        0.016016        0.012669
1960-1964     60-64            0.014803        0.025506        0.020037
1960-1964     65-69            0.025312        0.041440        0.032979
1960-1964     70-74            0.044794        0.067811        0.055077
1960-1964     75-79            0.079615        0.110357        0.091949
1960-1964     80-84            0.132308        0.172288        0.146375
1960-1964     85-89            0.207150        0.252371        0.221025
1960-1964     90-94            0.311890        0.356538        0.323696
1960-1964     95-99            0.434605        0.492497        0.446836
1960-1964    100-104           0.614637        0.602854        0.612184
1960-1964    105-109           0.439655        2.571429        0.502092
1960-1964    110+              0.193548              .        0.193548
1965-1969        0             0.014542        0.018728        0.016693
1965-1969      1-4             0.001063        0.001361        0.001215
1965-1969      5-9             0.000405        0.000653        0.000532
1965-1969     10-14            0.000290        0.000447        0.000370
1965-1969     15-19            0.000446        0.000969        0.000710
