Norway, Death rates (period 5x5), 	Last modified: 01 Aug 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1846-1849        0             0.107000        0.128193        0.117781
1846-1849      1-4             0.029747        0.030621        0.030190
1846-1849      5-9             0.008073        0.008031        0.008052
1846-1849     10-14            0.003875        0.004219        0.004048
1846-1849     15-19            0.004743        0.005843        0.005295
1846-1849     20-24            0.005664        0.008360        0.006988
1846-1849     25-29            0.006257        0.007767        0.006992
1846-1849     30-34            0.008077        0.008444        0.008257
1846-1849     35-39            0.009555        0.010595        0.010070
1846-1849     40-44            0.010421        0.011474        0.010938
1846-1849     45-49            0.011272        0.015221        0.013180
1846-1849     50-54            0.015137        0.019316        0.017140
1846-1849     55-59            0.019718        0.025572        0.022478
1846-1849     60-64            0.030992        0.035196        0.032926
1846-1849     65-69            0.042711        0.048435        0.045257
1846-1849     70-74            0.063391        0.070199        0.066351
1846-1849     75-79            0.117655        0.124515        0.120591
1846-1849     80-84            0.139729        0.148374        0.143200
1846-1849     85-89            0.195512        0.221150        0.205098
1846-1849     90-94            0.285389        0.313876        0.295175
1846-1849     95-99            0.395296        0.382012        0.391110
1846-1849    100-104           0.724638        0.751843        0.732316
1846-1849    105-109           1.384615              .        1.384615
1846-1849    110+                    .              .              .
1850-1854        0             0.092713        0.111148        0.102082
1850-1854      1-4             0.020982        0.021898        0.021446
1850-1854      5-9             0.005966        0.006136        0.006052
1850-1854     10-14            0.004087        0.004230        0.004159
1850-1854     15-19            0.004496        0.005770        0.005124
1850-1854     20-24            0.006188        0.009122        0.007611
1850-1854     25-29            0.006933        0.008255        0.007578
1850-1854     30-34            0.008224        0.008800        0.008508
1850-1854     35-39            0.010076        0.010543        0.010307
1850-1854     40-44            0.010892        0.011545        0.011213
1850-1854     45-49            0.010904        0.013508        0.012157
1850-1854     50-54            0.014175        0.017599        0.015802
1850-1854     55-59            0.018436        0.023224        0.020699
1850-1854     60-64            0.026983        0.032079        0.029343
1850-1854     65-69            0.041077        0.047210        0.043830
1850-1854     70-74            0.058649        0.066681        0.062102
1850-1854     75-79            0.104503        0.114727        0.108795
1850-1854     80-84            0.119656        0.136062        0.126218
1850-1854     85-89            0.181716        0.202372        0.189606
1850-1854     90-94            0.270737        0.292818        0.278384
1850-1854     95-99            0.407607        0.486385        0.430104
1850-1854    100-104           0.680255        1.255814        0.839779
1850-1854    105-109           2.571429              .        2.571429
1850-1854    110+                    .              .              .
1855-1859        0             0.088528        0.106609        0.097764
1855-1859      1-4             0.021513        0.022444        0.021987
1855-1859      5-9             0.005877        0.006143        0.006012
1855-1859     10-14            0.003916        0.003881        0.003898
1855-1859     15-19            0.004509        0.005425        0.004968
1855-1859     20-24            0.005563        0.008937        0.007179
1855-1859     25-29            0.006207        0.007837        0.006982
1855-1859     30-34            0.007927        0.008041        0.007983
1855-1859     35-39            0.009081        0.008856        0.008969
1855-1859     40-44            0.009848        0.010253        0.010048
1855-1859     45-49            0.011037        0.013631        0.012298
1855-1859     50-54            0.012390        0.014946        0.013597
1855-1859     55-59            0.016737        0.021249        0.018858
1855-1859     60-64            0.025677        0.029649        0.027525
1855-1859     65-69            0.038170        0.043599        0.040644
1855-1859     70-74            0.059271        0.062937        0.060878
1855-1859     75-79            0.098779        0.104513        0.101161
1855-1859     80-84            0.118524        0.133963        0.124712
1855-1859     85-89            0.193144        0.222982        0.204367
1855-1859     90-94            0.282724        0.300678        0.289195
1855-1859     95-99            0.372596        0.406036        0.383126
1855-1859    100-104           1.371007        2.444444        1.437788
1855-1859    105-109           6.000000              .        6.000000
1855-1859    110+                    .              .              .
