Russia, Death rates (period 5x5), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1960-1964        0             0.028869        0.036656        0.032852
1960-1964      1-4             0.001992        0.002256        0.002126
1960-1964      5-9             0.000665        0.001061        0.000867
1960-1964     10-14            0.000516        0.000808        0.000665
1960-1964     15-19            0.000739        0.001532        0.001140
1960-1964     20-24            0.001087        0.002528        0.001809
1960-1964     25-29            0.001210        0.003189        0.002197
1960-1964     30-34            0.001533        0.004036        0.002753
1960-1964     35-39            0.001963        0.004944        0.003235
1960-1964     40-44            0.002727        0.006340        0.004114
1960-1964     45-49            0.003763        0.008661        0.005594
1960-1964     50-54            0.005385        0.012709        0.008052
1960-1964     55-59            0.007885        0.019506        0.011821
1960-1964     60-64            0.013420        0.030317        0.018541
1960-1964     65-69            0.021107        0.041316        0.027397
1960-1964     70-74            0.036666        0.061579        0.044007
1960-1964     75-79            0.060282        0.087681        0.067895
1960-1964     80-84            0.101924        0.130347        0.109542
1960-1964     85-89            0.154366        0.188478        0.162833
1960-1964     90-94            0.193770        0.216251        0.199018
1960-1964     95-99            0.251877        0.263769        0.254484
1960-1964    100-104           0.337720        0.363055        0.343192
1960-1964    105-109           0.441861        0.482573        0.450519
1960-1964    110+              0.609132        0.744864        0.637097
1965-1969        0             0.022253        0.029168        0.025784
1965-1969      1-4             0.001366        0.001620        0.001496
1965-1969      5-9             0.000530        0.000882        0.000709
1965-1969     10-14            0.000420        0.000709        0.000567
1965-1969     15-19            0.000620        0.001537        0.001092
1965-1969     20-24            0.000850        0.002426        0.001649
1965-1969     25-29            0.001058        0.003544        0.002298
1965-1969     30-34            0.001378        0.004533        0.002942
1965-1969     35-39            0.001826        0.005676        0.003687
1965-1969     40-44            0.002582        0.007372        0.004597
1965-1969     45-49            0.003861        0.009631        0.006044
1965-1969     50-54            0.005447        0.013604        0.008420
1965-1969     55-59            0.007844        0.019642        0.011983
1965-1969     60-64            0.012801        0.030498        0.018493
1965-1969     65-69            0.021838        0.044940        0.028406
1965-1969     70-74            0.037777        0.065745        0.045817
1965-1969     75-79            0.062584        0.094416        0.071161
1965-1969     80-84            0.105118        0.138992        0.113619
1965-1969     85-89            0.159383        0.195580        0.167972
1965-1969     90-94            0.213487        0.245028        0.220392
1965-1969     95-99            0.279758        0.290964        0.282171
1965-1969    100-104           0.368492        0.358566        0.366394
1965-1969    105-109           0.471606        0.433516        0.463405
1965-1969    110+              0.628496        0.638765        0.630383
1970-1974        0             0.018335        0.024786        0.021618
1970-1974      1-4             0.001249        0.001558        0.001406
1970-1974      5-9             0.000510        0.000836        0.000676
1970-1974     10-14            0.000395        0.000674        0.000538
1970-1974     15-19            0.000571        0.001625        0.001103
1970-1974     20-24            0.000770        0.002819        0.001818
1970-1974     25-29            0.000950        0.003651        0.002314
1970-1974     30-34            0.001348        0.005078        0.003190
1970-1974     35-39            0.001836        0.006355        0.004054
1970-1974     40-44            0.002644        0.008450        0.005415
1970-1974     45-49            0.003820        0.010835        0.006702
1970-1974     50-54            0.005744        0.015012        0.009116
1970-1974     55-59            0.008293        0.021248        0.012825
1970-1974     60-64            0.012901        0.031105        0.018957
1970-1974     65-69            0.021296        0.046649        0.028807
1970-1974     70-74            0.038871        0.070116        0.046911
