Bulgaria, Deaths (period 1x1), 	Last modified: 15 Sep 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1947           0             10197.46        12378.73        22576.19
  1947           1              2152.10         2298.13         4450.23
  1947           2               871.04          856.05         1727.09
  1947           3               423.02          386.02          809.04
  1947           4               306.02          300.02          606.04
  1947           5               221.01          268.02          489.03
  1947           6               166.00          189.01          355.01
  1947           7               134.00          172.01          306.01
  1947           8               117.00          145.00          262.00
  1947           9               106.00          152.00          258.00
  1947          10               128.00          139.00          267.00
  1947          11               106.00          121.00          227.00
  1947          12               141.00          130.00          271.00
  1947          13               145.00          140.00          285.00
  1947          14               187.00          146.00          333.00
  1947          15               194.00          185.01          379.01
  1947          16               210.01          229.02          439.03
  1947          17               321.02          258.02          579.04
  1947          18               306.02          293.02          599.04
  1947          19               332.02          339.02          671.04
  1947          20               385.02          369.02          754.04
  1947          21               335.02          423.02          758.04
  1947          22               360.02          443.02          803.04
  1947          23               370.02          341.02          711.04
  1947          24               330.02          345.02          675.04
  1947          25               317.02          345.02          662.04
  1947          26               310.02          296.02          606.04
  1947          27               289.02          286.02          575.04
  1947          28               214.01          188.02          402.03
  1947          29               139.00          124.00          263.00
  1947          30               161.00          148.00          309.00
  1947          31               204.00          203.01          407.01
  1947          32               230.01          277.02          507.03
  1947          33               180.00          226.01          406.01
  1947          34               214.01          232.02          446.03
  1947          35               250.01          276.02          526.03
  1947          36               205.01          265.02          470.03
  1947          37               245.02          264.02          509.04
  1947          38               250.02          261.02          511.04
  1947          39               210.01          283.02          493.03
  1947          40               238.02          321.02          559.04
  1947          41               210.01          303.02          513.03
  1947          42               238.02          310.02          548.04
  1947          43               227.01          317.02          544.03
  1947          44               206.00          288.02          494.02
  1947          45               219.01          377.02          596.03
  1947          46               228.01          356.02          584.03
  1947          47               224.01          361.02          585.03
  1947          48               209.01          331.02          540.03
  1947          49               233.02          312.02          545.04
  1947          50               264.02          388.02          652.04
  1947          51               281.02          373.02          654.04
  1947          52               277.02          414.02          691.04
  1947          53               257.01          379.02          636.03
  1947          54               236.02          358.02          594.04
  1947          55               341.02          436.02          777.04
  1947          56               326.02          409.02          735.04
  1947          57               372.02          452.02          824.04
  1947          58               345.02          486.02          831.04
  1947          59               381.02          503.03          884.05
  1947          60               506.02          608.04         1114.06
  1947          61               583.02          637.04         1220.06
  1947          62               586.02          729.04         1315.06
  1947          63               504.02          641.04         1145.06
  1947          64               477.02          658.04         1135.06
  1947          65               552.02          748.05         1300.07
  1947          66               634.03          747.04         1381.07
  1947          67               707.03          736.05         1443.08
  1947          68               545.02          633.04         1178.06
  1947          69               553.02          632.04         1185.06
  1947          70               723.04          778.04         1501.08
  1947          71               702.03          682.04         1384.07
  1947          72               698.03          654.04         1352.07
  1947          73               551.03          565.03         1116.06
  1947          74               509.02          563.03         1072.05
  1947          75               636.03          622.04         1258.07
  1947          76               695.03          720.05         1415.08
  1947          77               730.03          785.05         1515.08
  1947          78               534.02          556.04         1090.06
  1947          79               452.02          536.03          988.05
  1947          80               570.02          559.04         1129.06
  1947          81               557.02          523.03         1080.05
  1947          82               548.02          535.03         1083.05
  1947          83               419.02          461.03          880.05
  1947          84               315.02          367.02          682.04
  1947          85               410.02          397.02          807.04
  1947          86               450.02          371.02          821.04
  1947          87               336.01          353.02          689.03
  1947          88               193.01          224.02          417.03
  1947          89               147.00          156.01          303.01
  1947          90               230.01          188.02          418.03
  1947          91               168.01          155.01          323.02
  1947          92               112.00          114.00          226.00
  1947          93               106.00           84.00          190.00
  1947          94                76.00           72.00          148.00
  1947          95                96.00           57.00          153.00
  1947          96                97.00           70.00          167.00
  1947          97                78.00           61.00          139.00
  1947          98                40.00           30.00           70.00
  1947          99                30.00           19.00           49.00
  1947         100                28.01           21.87           49.88
  1947         101                21.83           16.74           38.57
  1947         102                16.82           12.68           29.50
  1947         103                12.81            9.48           22.29
  1947         104                 9.64            7.02           16.66
  1947         105                 7.18            5.14           12.32
  1947         106                 5.27            3.71            8.98
  1947         107                 3.83            2.65            6.48
  1947         108                 2.75            1.87            4.62
  1947         109                 1.95            1.30            3.25
  1947         110+                2.93            1.52            4.45
  1948           0              9440.67        11337.20        20777.87
  1948           1              2027.14         2035.22         4062.36
  1948           2               971.07          920.10         1891.17
  1948           3               477.03          440.05          917.08
  1948           4               306.02          275.03          581.05
  1948           5               210.02          222.02          432.04
  1948           6               170.02          180.02          350.04
  1948           7               147.02          185.02          332.04
  1948           8               128.01          146.02          274.03
  1948           9               101.00          109.02          210.02
  1948          10                99.00          104.02          203.02
  1948          11               108.00          112.01          220.01
  1948          12               105.00          110.02          215.02
  1948          13               145.01          127.02          272.03
  1948          14               150.02          165.02          315.04
  1948          15               183.02          148.02          331.04
  1948          16               225.02          206.02          431.04
  1948          17               251.02          253.02          504.04
  1948          18               241.02          234.02          475.04
  1948          19               313.02          300.03          613.05
  1948          20               328.02          341.04          669.06
  1948          21               291.02          431.05          722.07
  1948          22               336.02          406.04          742.06
  1948          23               347.02          343.04          690.06
  1948          24               313.02          344.04          657.06
  1948          25               297.02          307.03          604.05
  1948          26               289.02          313.04          602.06
  1948          27               256.02          265.03          521.05
