Germany, Deaths (period 1x1), 	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1990           0              2665.01         3720.02         6385.03
  1990           1               269.00          311.00          580.00
  1990           2               155.00          213.00          368.00
  1990           3               136.00          192.00          328.00
  1990           4                87.00          132.00          219.00
  1990           5                84.00          127.00          211.00
  1990           6                89.00           93.00          182.00
  1990           7                93.00          117.00          210.00
  1990           8                80.00          114.00          194.00
  1990           9                62.00           81.00          143.00
  1990          10                57.00           91.00          148.00
  1990          11                53.00           99.00          152.00
  1990          12                57.00           77.00          134.00
  1990          13                75.00          102.00          177.00
  1990          14                86.00          141.00          227.00
  1990          15                95.00          158.00          253.00
  1990          16               106.00          232.00          338.00
  1990          17               128.00          297.00          425.00
  1990          18               168.00          570.00          738.00
  1990          19               209.00          621.00          830.00
  1990          20               231.00          637.00          868.00
  1990          21               228.00          760.00          988.00
  1990          22               252.00          741.00          993.00
  1990          23               280.00          757.00         1037.00
  1990          24               271.00          695.00          966.00
  1990          25               289.00          808.00         1097.00
  1990          26               264.00          791.00         1055.00
  1990          27               282.00          779.00         1061.00
  1990          28               273.00          798.00         1071.00
  1990          29               348.00          866.00         1214.00
  1990          30               342.00          907.00         1249.00
  1990          31               360.00          818.00         1178.00
  1990          32               357.00          914.00         1271.00
  1990          33               364.00         1000.00         1364.00
  1990          34               441.00          988.00         1429.00
  1990          35               465.00         1055.00         1520.00
  1990          36               552.00         1023.00         1575.00
  1990          37               568.00         1193.00         1761.00
  1990          38               599.00         1211.00         1810.00
  1990          39               677.00         1303.00         1980.00
  1990          40               739.00         1385.00         2124.00
  1990          41               710.00         1367.00         2077.00
  1990          42               731.00         1456.00         2187.00
  1990          43               739.00         1531.00         2270.00
  1990          44               703.00         1292.00         1995.00
  1990          45               912.00         1786.00         2698.00
  1990          46              1146.00         2334.01         3480.01
  1990          47              1203.00         2402.01         3605.01
  1990          48              1450.00         2978.02         4428.02
  1990          49              1668.00         3561.03         5229.03
  1990          50              1907.02         4270.04         6177.06
  1990          51              1960.02         4335.04         6295.06
  1990          52              2025.02         4369.04         6394.06
  1990          53              2146.02         4874.04         7020.06
  1990          54              2363.02         5165.04         7528.06
  1990          55              2558.02         5787.04         8345.06
  1990          56              2397.02         5235.04         7632.06
  1990          57              2458.02         5223.04         7681.06
  1990          58              2693.02         5801.04         8494.06
  1990          59              3115.02         6801.06         9916.08
  1990          60              3545.02         7534.06        11079.08
  1990          61              3864.02         8030.06        11894.08
  1990          62              4166.02         7886.06        12052.08
  1990          63              4558.02         7794.06        12352.08
  1990          64              5248.04         7856.06        13104.10
  1990          65              5679.04         7995.06        13674.10
  1990          66              6230.04         7964.06        14194.10
  1990          67              6960.04         8663.06        15623.10
  1990          68              8415.05         9867.06        18282.11
  1990          69              9321.06        10647.08        19968.14
  1990          70             10155.06        11004.07        21159.13
  1990          71              6376.04         6935.06        13311.10
  1990          72              5982.04         6054.05        12036.09
  1990          73              6829.04         6824.06        13653.10
  1990          74              8730.05         8103.06        16833.11
  1990          75             13821.08        11973.08        25794.16
  1990          76             16395.10        13824.09        30219.19
  1990          77             18265.11        14941.11        33206.22
  1990          78             19408.12        15012.11        34420.23
  1990          79             20215.12        14833.11        35048.23
  1990          80             22230.13        15290.11        37520.24
