Iceland, Deaths (period 1x1), 	Last modified: 24 Apr 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1838           0               288.00          334.00          622.00
  1838           1                32.07           31.78           63.85
  1838           2                20.94           20.22           41.16
  1838           3                14.79           15.96           30.75
  1838           4                11.21           13.04           24.25
  1838           5                 9.28           10.08           19.36
  1838           6                 7.84            7.57           15.41
  1838           7                 6.60            5.63           12.23
  1838           8                 5.56            4.26            9.82
  1838           9                 4.73            3.45            8.18
  1838          10                 4.09            3.14            7.23
  1838          11                 3.60            2.93            6.53
  1838          12                 3.26            2.77            6.03
  1838          13                 3.06            2.63            5.69
  1838          14                 3.00            2.54            5.54
  1838          15                 3.06            2.49            5.55
  1838          16                 3.13            2.59            5.72
  1838          17                 3.21            2.84            6.05
  1838          18                 3.27            3.26            6.53
  1838          19                 3.34            3.83            7.17
  1838          20                 3.41            4.51            7.92
  1838          21                 3.48            5.00            8.48
  1838          22                 3.58            5.24            8.82
  1838          23                 3.70            5.24            8.94
  1838          24                 3.83            5.00            8.83
  1838          25                 3.98            4.57            8.55
  1838          26                 4.01            4.18            8.19
  1838          27                 3.92            3.90            7.82
  1838          28                 3.71            3.71            7.42
  1838          29                 3.38            3.64            7.02
  1838          30                 3.00            3.67            6.67
  1838          31                 2.92            3.87            6.79
  1838          32                 3.23            4.23            7.46
  1838          33                 3.90            4.76            8.66
  1838          34                 4.95            5.47           10.42
  1838          35                 6.23            6.25           12.48
  1838          36                 7.13            6.78           13.91
  1838          37                 7.53            6.95           14.48
  1838          38                 7.38            6.77           14.15
  1838          39                 6.73            6.25           12.98
  1838          40                 5.68            5.49           11.17
  1838          41                 4.82            4.98            9.80
  1838          42                 4.28            4.84            9.12
  1838          43                 4.06            5.05            9.11
  1838          44                 4.15            5.64            9.79
  1838          45                 4.51            6.47           10.98
  1838          46                 4.84            7.03           11.87
  1838          47                 5.09            7.19           12.28
  1838          48                 5.24            6.97           12.21
  1838          49                 5.31            6.34           11.65
  1838          50                 5.30            5.47           10.77
  1838          51                 5.21            4.85           10.06
  1838          52                 5.06            4.62            9.68
  1838          53                 4.85            4.77            9.62
  1838          54                 4.58            5.31            9.89
  1838          55                 4.32            6.14           10.46
  1838          56                 4.36            6.92           11.28
  1838          57                 4.80            7.55           12.35
  1838          58                 5.64            8.03           13.67
  1838          59                 6.87            8.36           15.23
  1838          60                 8.33            8.56           16.89
  1838          61                 9.46            8.72           18.18
  1838          62                10.09            8.83           18.92
  1838          63                10.24            8.91           19.15
  1838          64                 9.88            8.97           18.85
  1838          65                 9.23            9.01           18.24
  1838          66                 9.00            9.07           18.07
  1838          67                 9.39            9.16           18.55
  1838          68                10.39            9.29           19.68
  1838          69                12.00            9.46           21.46
  1838          70                14.00            9.67           23.67
  1838          71                15.46            9.90           25.36
  1838          72                16.16           10.17           26.33
  1838          73                16.10           10.47           26.57
  1838          74                15.28           10.79           26.07
  1838          75                13.83           11.07           24.90
  1838          76                12.38           10.99           23.37
  1838          77                11.06           10.44           21.50
  1838          78                 9.89            9.46           19.35
  1838          79                 8.84            8.03           16.87
  1838          80                 7.94            6.28           14.22
  1838          81                 7.20            4.73           11.93
  1838          82                 6.63            3.48           10.11
  1838          83                 6.23            2.56            8.79
  1838          84                 5.99            1.95            7.94
  1838          85                 5.88            1.62            7.50
  1838          86                 5.68            1.37            7.05
  1838          87                 5.33            1.16            6.49
  1838          88                 4.86            0.99            5.85
  1838          89                 4.25            0.86            5.11
  1838          90                 3.53            0.77            4.30
  1838          91                 2.87            0.68            3.55
  1838          92                 2.31            0.60            2.91
  1838          93                 1.84            0.51            2.35
