Chile, Deaths (period 1x10), 	Last modified: 18 Apr 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1992-1999        0             11482.00        14355.05        25837.05
1992-1999        1               861.00         1129.00         1990.00
1992-1999        2               650.00          776.00         1426.00
1992-1999        3               409.00          577.01          986.01
1992-1999        4               320.00          413.00          733.00
1992-1999        5               290.00          390.01          680.01
1992-1999        6               248.00          329.00          577.00
1992-1999        7               205.00          337.00          542.00
1992-1999        8               204.00          312.00          516.00
1992-1999        9               214.00          292.00          506.00
1992-1999       10               211.00          297.00          508.00
1992-1999       11               211.00          310.00          521.00
1992-1999       12               197.00          285.00          482.00
1992-1999       13               215.00          348.00          563.00
1992-1999       14               237.00          474.00          711.00
1992-1999       15               289.00          538.01          827.01
1992-1999       16               327.00          678.00         1005.00
1992-1999       17               326.00          862.00         1188.00
1992-1999       18               357.00          955.00         1312.00
1992-1999       19               344.00         1126.00         1470.00
1992-1999       20               380.00         1302.00         1682.00
1992-1999       21               370.00         1347.01         1717.01
1992-1999       22               396.00         1477.00         1873.00
1992-1999       23               406.00         1533.01         1939.01
1992-1999       24               373.00         1519.01         1892.01
1992-1999       25               400.00         1570.00         1970.00
1992-1999       26               429.00         1650.01         2079.01
1992-1999       27               447.00         1644.00         2091.00
1992-1999       28               491.00         1683.00         2174.00
1992-1999       29               516.00         1669.01         2185.01
1992-1999       30               537.00         1792.01         2329.01
1992-1999       31               562.00         1746.01         2308.01
1992-1999       32               605.00         1856.01         2461.01
1992-1999       33               637.00         1855.00         2492.00
1992-1999       34               709.00         1867.01         2576.01
1992-1999       35               776.00         1914.01         2690.01
1992-1999       36               747.00         1906.01         2653.01
1992-1999       37               830.00         1948.01         2778.01
1992-1999       38               939.00         1923.00         2862.00
1992-1999       39               937.00         1954.01         2891.01
1992-1999       40               946.00         2035.00         2981.00
1992-1999       41              1048.00         2113.01         3161.01
1992-1999       42              1069.00         2266.00         3335.00
1992-1999       43              1122.00         2244.00         3366.00
1992-1999       44              1259.00         2290.01         3549.01
1992-1999       45              1317.00         2481.01         3798.01
1992-1999       46              1406.00         2568.01         3974.01
1992-1999       47              1503.00         2596.00         4099.00
1992-1999       48              1600.00         2823.01         4423.01
1992-1999       49              1723.00         2965.01         4688.01
1992-1999       50              1783.00         3162.00         4945.00
1992-1999       51              1960.00         3204.01         5164.01
1992-1999       52              2002.00         3432.01         5434.01
1992-1999       53              2206.00         3578.01         5784.01
1992-1999       54              2232.00         3815.01         6047.01
1992-1999       55              2337.00         4085.01         6422.01
1992-1999       56              2462.00         4186.01         6648.01
1992-1999       57              2591.00         4193.01         6784.01
1992-1999       58              2671.00         4542.02         7213.02
1992-1999       59              2896.00         4767.01         7663.01
1992-1999       60              2995.00         4952.01         7947.01
1992-1999       61              3202.00         5336.02         8538.02
1992-1999       62              3586.00         5707.02         9293.02
1992-1999       63              3916.00         6113.02        10029.02
1992-1999       64              4201.00         6428.02        10629.02
1992-1999       65              4514.00         6797.02        11311.02
1992-1999       66              4723.00         7069.02        11792.02
1992-1999       67              5009.00         7530.02        12539.02
1992-1999       68              5098.00         7611.02        12709.02
1992-1999       69              5586.00         7750.02        13336.02
1992-1999       70              5634.00         7977.02        13611.02
1992-1999       71              5885.00         7927.02        13812.02
1992-1999       72              6098.00         8074.02        14172.02
1992-1999       73              6161.00         7914.02        14075.02
1992-1999       74              6481.00         8060.02        14541.02
1992-1999       75              6836.00         8185.02        15021.02
1992-1999       76              7093.00         8162.02        15255.02
1992-1999       77              7296.00         7885.03        15181.03
1992-1999       78              7817.00         8158.03        15975.03
1992-1999       79              8061.00         8031.02        16092.02
1992-1999       80              8257.00         7941.02        16198.02
1992-1999       81              8511.00         7622.02        16133.02
1992-1999       82              8688.00         7423.03        16111.03
1992-1999       83              8471.00         7209.02        15680.02
1992-1999       84              8311.00         6605.02        14916.02
1992-1999       85              8281.00         6191.02        14472.02
1992-1999       86              7654.00         5534.02        13188.02
1992-1999       87              7347.00         4902.01        12249.01
1992-1999       88              6756.00         4113.01        10869.01
1992-1999       89              6247.00         3543.01         9790.01
1992-1999       90              5417.00         2973.01         8390.01
1992-1999       91              4804.00         2538.01         7342.01
1992-1999       92              4150.00         1929.00         6079.00
1992-1999       93              3286.00         1531.00         4817.00
1992-1999       94              2711.00         1234.00         3945.00
1992-1999       95              2204.00          856.00         3060.00
1992-1999       96              1582.00          603.01         2185.01
1992-1999       97              1231.00          467.00         1698.00
1992-1999       98               887.00          298.00         1185.00
1992-1999       99               663.00          230.00          893.00
1992-1999      100               449.00          124.00          573.00
1992-1999      101               288.00           78.00          366.00
1992-1999      102               185.00           70.00          255.00
1992-1999      103               113.00           28.00          141.00
1992-1999      104                82.00           24.00          106.00
1992-1999      105                41.00            9.00           50.00
1992-1999      106                37.00           10.00           47.00
1992-1999      107                17.00            7.00           24.00
1992-1999      108                11.00            5.00           16.00
1992-1999      109                10.00            3.00           13.00
1992-1999      110+               10.00            3.00           13.00
2000-2009        0              8925.00        11215.00        20140.00
2000-2009        1               687.00          885.00         1572.00
2000-2009        2               412.00          534.00          946.00
2000-2009        3               299.00          385.00          684.00
2000-2009        4               249.00          330.00          579.00
2000-2009        5               224.00          283.00          507.00
2000-2009        6               206.00          281.00          487.00
2000-2009        7               214.00          270.00          484.00
2000-2009        8               154.00          289.00          443.00
2000-2009        9               200.00          281.00          481.00
2000-2009       10               199.00          284.00          483.00
2000-2009       11               221.00          300.00          521.00
2000-2009       12               237.00          325.00          562.00
2000-2009       13               247.00          382.00          629.00
2000-2009       14               304.00          483.00          787.00
2000-2009       15               353.00          639.00          992.00
2000-2009       16               378.00          830.00         1208.00
2000-2009       17               421.00         1035.00         1456.00
2000-2009       18               402.00         1244.00         1646.00
2000-2009       19               419.00         1394.00         1813.00
2000-2009       20               427.00         1510.00         1937.00
2000-2009       21               396.00         1571.00         1967.00
2000-2009       22               440.00         1542.00         1982.00
2000-2009       23               454.00         1544.00         1998.00
2000-2009       24               444.00         1623.00         2067.00
2000-2009       25               450.00         1645.00         2095.00
2000-2009       26               475.00         1645.00         2120.00
2000-2009       27               499.00         1634.00         2133.00
2000-2009       28               545.00         1702.00         2247.00
2000-2009       29               532.00         1739.00         2271.00
2000-2009       30               541.00         1778.00         2319.00
2000-2009       31               569.00         1868.00         2437.00
2000-2009       32               652.00         1938.00         2590.00
2000-2009       33               698.00         1981.00         2679.00
2000-2009       34               795.00         2102.00         2897.00
2000-2009       35               791.00         2124.00         2915.00
2000-2009       36               904.00         2273.00         3177.00
2000-2009       37               964.00         2302.00         3266.00
2000-2009       38              1006.00         2473.00         3479.00
2000-2009       39              1107.00         2613.00         3720.00
2000-2009       40              1216.00         2762.00         3978.00
2000-2009       41              1380.00         2979.00         4359.00
