Hong Kong, Deaths (period 1x10), 	Last modified: 27 Sep 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1986-1989        0               966.01         1180.92         2146.93
1986-1989        1                84.04           91.11          175.15
1986-1989        2                43.02           54.07           97.09
1986-1989        3                44.02           59.08          103.10
1986-1989        4                36.00           37.06           73.06
1986-1989        5                28.01           35.04           63.05
1986-1989        6                26.00           29.03           55.03
1986-1989        7                36.01           35.05           71.06
1986-1989        8                19.01           28.03           47.04
1986-1989        9                25.45           32.59           58.04
1986-1989       10                18.01           39.05           57.06
1986-1989       11                24.01           26.02           50.03
1986-1989       12                30.00           37.03           67.03
1986-1989       13                36.02           43.06           79.08
1986-1989       14                31.01           47.08           78.09
1986-1989       15                26.35           56.73           83.08
1986-1989       16                36.01           50.05           86.06
1986-1989       17                41.01           75.08          116.09
1986-1989       18                47.01           89.11          136.12
1986-1989       19                58.03           87.11          145.14
1986-1989       20                64.03          101.14          165.17
1986-1989       21                61.04           95.12          156.16
1986-1989       22                71.04          106.14          177.18
1986-1989       23                78.04          145.18          223.22
1986-1989       24                81.03          125.17          206.20
1986-1989       25                79.04          176.23          255.27
1986-1989       26                80.04          141.18          221.22
1986-1989       27                79.04          152.20          231.24
1986-1989       28                93.04          180.22          273.26
1986-1989       29               116.06          175.22          291.28
1986-1989       30               107.05          231.30          338.35
1986-1989       31               126.05          195.26          321.31
1986-1989       32               114.06          211.27          325.33
1986-1989       33               124.07          190.24          314.31
1986-1989       34               115.05          182.24          297.29
1986-1989       35               120.06          212.26          332.32
1986-1989       36               149.06          248.32          397.38
1986-1989       37               135.06          247.32          382.38
1986-1989       38               123.05          260.31          383.36
1986-1989       39               159.09          259.32          418.41
1986-1989       40               128.06          294.36          422.42
1986-1989       41               117.06          258.31          375.37
1986-1989       42                97.05          266.35          363.40
1986-1989       43               121.06          270.36          391.42
1986-1989       44               109.06          303.40          412.46
1986-1989       45               125.05          339.44          464.49
1986-1989       46               125.06          363.49          488.55
1986-1989       47               146.07          389.52          535.59
1986-1989       48               180.08          444.59          624.67
1986-1989       49               216.10          507.65          723.75
1986-1989       50               248.10          685.90          934.00
1986-1989       51               283.12          661.84          944.96
1986-1989       52               325.13          708.90         1034.03
1986-1989       53               382.17          847.09         1229.26
1986-1989       54               367.16          891.14         1258.30
1986-1989       55               456.20         1000.25         1456.45
1986-1989       56               470.20         1139.48         1609.68
1986-1989       57               493.25         1100.39         1593.64
1986-1989       58               542.25         1303.65         1845.90
1986-1989       59               527.23         1199.51         1726.74
1986-1989       60               665.32         1454.88         2120.20
1986-1989       61               656.29         1378.74         2035.03
1986-1989       62               800.37         1491.91         2292.28
1986-1989       63               749.35         1605.06         2354.41
1986-1989       64               880.40         1563.03         2443.43
1986-1989       65               963.42         1776.31         2739.73
1986-1989       66              1003.46         1784.32         2787.78
1986-1989       67               998.46         1784.25         2782.71
1986-1989       68              1106.49         1833.36         2939.85
1986-1989       69              1150.52         1859.38         3009.90
1986-1989       70              1186.53         1948.52         3135.05
1986-1989       71              1260.57         1926.50         3187.07
1986-1989       72              1374.65         1931.47         3306.12
1986-1989       73              1436.64         2045.59         3482.23
1986-1989       74              1433.64         1934.49         3368.13
1986-1989       75              1498.66         1842.40         3341.06
1986-1989       76              1527.69         1848.33         3376.02
1986-1989       77              1573.72         1680.11         3253.83
1986-1989       78              1549.73         1482.86         3032.59
1986-1989       79              1396.65         1318.61         2715.26
1986-1989       80              1430.64         1214.55         2645.19
1986-1989       81              1357.65          992.28         2349.93
1986-1989       82              1332.63          959.19         2291.82
1986-1989       83              1335.63          824.04         2159.67
1986-1989       84              1245.55          690.88         1936.43
1986-1989       85              1176.52          629.81         1806.33
1986-1989       86              1223.55          533.70         1757.25
1986-1989       87              1038.50          456.57         1495.07
1986-1989       88               976.47          374.45         1350.92
1986-1989       89               844.40          293.36         1137.76
1986-1989       90               768.36          229.29          997.65
1986-1989       91               601.27          166.21          767.48
1986-1989       92               538.24          109.15          647.39
1986-1989       93               473.21           90.11          563.32
1986-1989       94               395.19           80.10          475.29
1986-1989       95               288.12           49.05          337.17
1986-1989       96               228.11           42.05          270.16
1986-1989       97               170.08           21.02          191.10
1986-1989       98               128.06           21.02          149.08
1986-1989       99                78.05           14.78           92.83
1986-1989      100                53.58            9.41           62.99
1986-1989      101                36.89            7.52           44.41
1986-1989      102                24.31            5.42           29.73
1986-1989      103                15.19            2.36           17.55
1986-1989      104                 9.24            1.13           10.37
1986-1989      105                 5.46            0.42            5.88
1986-1989      106                 2.45            0.00            2.45
1986-1989      107                 0.97            0.00            0.97
1986-1989      108                 0.00            0.00            0.00
1986-1989      109                 0.00            0.00            0.00
1986-1989      110+                0.00            0.00            0.00
1990-1999        0              1383.64         1598.94         2982.58
1990-1999        1               152.07          173.23          325.30
1990-1999        2                95.04          103.16          198.20
1990-1999        3                75.05           78.10          153.15
1990-1999        4                46.00           79.10          125.10
1990-1999        5                35.01           52.09           87.10
1990-1999        6                45.00           48.07           93.07
1990-1999        7                40.02           46.07           86.09
1990-1999        8                40.01           62.06          102.07
1990-1999        9                40.02           52.07           92.09
1990-1999       10                52.05           73.13          125.18
1990-1999       11                45.02           65.11          110.13
1990-1999       12                58.01           62.06          120.07
1990-1999       13                66.03           87.11          153.14
1990-1999       14                62.02           92.10          154.12
1990-1999       15                83.03          103.16          186.19
1990-1999       16                98.04          135.19          233.23
1990-1999       17               110.04          148.17          258.21
1990-1999       18               103.05          212.30          315.35
1990-1999       19               104.07          235.31          339.38
1990-1999       20               137.06          262.37          399.43
1990-1999       21               113.07          271.39          384.46
1990-1999       22               128.06          313.46          441.52
1990-1999       23               163.05          307.43          470.48
1990-1999       24               128.05          310.45          438.50
1990-1999       25               157.06          377.51          534.57
1990-1999       26               173.08          368.53          541.61
1990-1999       27               197.10          373.49          570.59
1990-1999       28               211.07          419.56          630.63
1990-1999       29               202.11          387.48          589.59
1990-1999       30               232.09          472.58          704.67
1990-1999       31               251.09          431.58          682.67
1990-1999       32               258.12          499.65          757.77
1990-1999       33               269.14          530.72          799.86
1990-1999       34               334.15          597.81          931.96
1990-1999       35               326.15          633.86          960.01
1990-1999       36               389.18          706.00         1095.18
