Hungary, Deaths (period 1x10), 	Last modified: 30 Nov 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1959        0             53977.39        71697.56       125674.95
1950-1959        1              4633.31         5279.93         9913.24
1950-1959        2              1823.31         2046.89         3870.20
1950-1959        3              1179.84         1360.29         2540.13
1950-1959        4               844.57         1003.90         1848.47
1950-1959        5               615.45          811.68         1427.13
1950-1959        6               546.42          793.77         1340.19
1950-1959        7               518.41          704.64         1223.05
1950-1959        8               371.25          631.55         1002.80
1950-1959        9               387.30          594.54          981.84
1950-1959       10               364.24          619.56          983.80
1950-1959       11               372.29          549.54          921.83
1950-1959       12               402.28          596.64          998.92
1950-1959       13               434.30          622.61         1056.91
1950-1959       14               492.39          693.67         1186.06
1950-1959       15               567.45          808.80         1376.25
1950-1959       16               614.47          989.06         1603.53
1950-1959       17               740.58         1152.23         1892.81
1950-1959       18               716.57         1345.50         2062.07
1950-1959       19               824.60         1444.65         2269.25
1950-1959       20               933.73         1637.81         2571.54
1950-1959       21               930.72         1702.85         2633.57
1950-1959       22               947.74         1711.84         2659.58
1950-1959       23               984.74         1690.70         2675.44
1950-1959       24              1070.81         1638.68         2709.49
1950-1959       25              1110.85         1626.72         2737.57
1950-1959       26              1155.85         1681.69         2837.54
1950-1959       27              1193.90         1717.75         2911.65
1950-1959       28              1282.96         1754.85         3037.81
1950-1959       29              1256.91         1794.70         3051.61
1950-1959       30              1305.96         1762.74         3068.70
1950-1959       31              1332.89         1677.63         3010.52
1950-1959       32              1320.89         1547.44         2868.33
1950-1959       33              1170.75         1520.41         2691.16
1950-1959       34              1265.84         1508.49         2774.33
1950-1959       35              1254.84         1562.63         2817.47
1950-1959       36              1385.02         1588.61         2973.63
1950-1959       37              1429.97         1825.61         3255.58
1950-1959       38              1577.10         1859.52         3436.62
1950-1959       39              1683.27         1885.60         3568.87
1950-1959       40              1766.33         2106.96         3873.29
1950-1959       41              1865.43         2376.37         4241.80
1950-1959       42              2161.60         2693.71         4855.31
1950-1959       43              2338.64         3031.02         5369.66
1950-1959       44              2591.78         3303.14         5894.92
1950-1959       45              2886.99         3586.41         6473.40
1950-1959       46              2964.00         3820.49         6784.49
1950-1959       47              3190.15         4259.00         7449.15
1950-1959       48              3364.32         4431.12         7795.44
1950-1959       49              3652.52         4846.53         8499.05
1950-1959       50              3797.65         5260.80         9058.45
1950-1959       51              4031.72         5691.23         9722.95
1950-1959       52              4354.02         6083.49        10437.51
1950-1959       53              4642.17         6414.88        11057.05
1950-1959       54              4891.38         6894.33        11785.71
1950-1959       55              5346.60         7191.69        12538.29
1950-1959       56              5526.74         7543.08        13069.82
1950-1959       57              5971.05         7981.21        13952.26
1950-1959       58              6275.26         8251.59        14526.85
1950-1959       59              6717.39         8404.76        15122.15
1950-1959       60              7208.77         8760.01        15968.78
1950-1959       61              7456.98         8962.15        16419.13
1950-1959       62              8280.53         9401.52        17682.05
1950-1959       63              8610.74         9661.78        18272.52
1950-1959       64              9190.06        10238.05        19428.11
1950-1959       65             10064.68        10537.26        20601.94
1950-1959       66             10449.01        10716.28        21165.29
1950-1959       67             11193.59        11355.22        22548.81
1950-1959       68             11620.82        11818.71        23439.53
1950-1959       69             12581.27        12160.13        24741.40
1950-1959       70             13240.76        12553.52        25794.28
1950-1959       71             13819.03        12941.53        26760.56
1950-1959       72             14399.40        13144.94        27544.34
1950-1959       73             14792.53        13141.89        27934.42
1950-1959       74             14957.68        13458.21        28415.89
1950-1959       75             15250.89        13420.01        28670.90
1950-1959       76             15157.72        13224.02        28381.74
1950-1959       77             15163.73        12728.30        27892.03
1950-1959       78             14373.34        12167.81        26541.15
1950-1959       79             13789.86        11478.38        25268.24
1950-1959       80             13531.79        11061.09        24592.88
1950-1959       81             12241.72        10303.26        22544.98
1950-1959       82             11523.32         9467.25        20990.57
1950-1959       83             10376.69         8586.38        18963.07
1950-1959       84              9190.02         7401.67        16591.69
1950-1959       85              8008.14         6465.98        14474.12
1950-1959       86              6770.37         5390.05        12160.42
1950-1959       87              5698.72         4497.02        10195.74
1950-1959       88              4771.03         3524.16         8295.19
1950-1959       89              3804.39         2750.30         6554.69
1950-1959       90              3000.94         2072.80         5073.74
1950-1959       91              2201.37         1449.28         3650.65
1950-1959       92              1548.97         1082.03         2631.00
1950-1959       93              1134.72          730.64         1865.36
1950-1959       94               775.48          481.48         1256.96
1950-1959       95               573.36          291.26          864.62
1950-1959       96               374.23          192.16          566.39
1950-1959       97               229.12          112.05          341.17
1950-1959       98               135.08           68.03          203.11
1950-1959       99                94.02           50.02          144.04
1950-1959      100                39.66           20.75           60.41
1950-1959      101                22.99           10.61           33.60
1950-1959      102                11.77            4.50           16.27
1950-1959      103                 5.95            1.89            7.84
1950-1959      104                 2.91            0.28            3.19
1950-1959      105                 1.19            0.00            1.19
1950-1959      106                 0.59            0.00            0.59
1950-1959      107                 0.00            0.00            0.00
1950-1959      108                 0.00            0.00            0.00
1950-1959      109                 0.00            0.00            0.00
1950-1959      110+                0.00            0.00            0.00
1960-1969        0             24732.19        32656.75        57388.94
1960-1969        1              1753.50         1993.58         3747.08
1960-1969        2               730.20          851.24         1581.44
1960-1969        3               480.13          599.18         1079.31
1960-1969        4               363.10          481.16          844.26
1960-1969        5               326.07          431.12          757.19
1960-1969        6               300.08          414.11          714.19
1960-1969        7               271.06          434.12          705.18
1960-1969        8               245.04          404.12          649.16
1960-1969        9               222.02          391.13          613.15
1960-1969       10               241.04          411.13          652.17
1960-1969       11               215.03          419.11          634.14
1960-1969       12               256.03          421.12          677.15
1960-1969       13               290.03          472.16          762.19
1960-1969       14               277.05          559.18          836.23
