Slovakia , Deaths (period 1x10), 	Last modified: 29 Oct 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1959        0             25809.41        33315.93        59125.34
1950-1959        1              2471.62         2605.19         5076.81
1950-1959        2              1062.68         1225.57         2288.25
1950-1959        3               643.25          752.10         1395.35
1950-1959        4               428.56          499.58          928.14
1950-1959        5               271.99          394.04          666.03
1950-1959        6               240.90          359.19          600.09
1950-1959        7               210.70          309.73          520.43
1950-1959        8               180.19          302.80          482.99
1950-1959        9               160.08          254.37          414.45
1950-1959       10               159.46          265.56          425.02
1950-1959       11               152.45          254.70          407.15
1950-1959       12               133.22          222.39          355.61
1950-1959       13               174.37          266.62          440.99
1950-1959       14               177.23          276.44          453.67
1950-1959       15               211.83          320.19          532.02
1950-1959       16               243.63          366.58          610.21
1950-1959       17               264.93          461.29          726.22
1950-1959       18               299.23          511.44          810.67
1950-1959       19               318.30          608.09          926.39
1950-1959       20               370.03          600.20          970.23
1950-1959       21               378.17          634.55         1012.72
1950-1959       22               418.71          630.26         1048.97
1950-1959       23               388.16          660.17         1048.33
1950-1959       24               396.70          685.23         1081.93
1950-1959       25               394.61          657.27         1051.88
1950-1959       26               444.31          689.21         1133.52
1950-1959       27               439.13          659.91         1099.04
1950-1959       28               468.58          672.16         1140.74
1950-1959       29               495.77          694.67         1190.44
1950-1959       30               484.99          701.04         1186.03
1950-1959       31               493.32          709.87         1203.19
1950-1959       32               390.65          641.38         1032.03
1950-1959       33               454.94          590.10         1045.04
1950-1959       34               419.26          624.53         1043.79
1950-1959       35               421.21          583.74         1004.95
1950-1959       36               426.75          604.82         1031.57
1950-1959       37               494.89          649.22         1144.11
1950-1959       38               553.08          641.65         1194.73
1950-1959       39               501.85          635.46         1137.31
1950-1959       40               529.10          713.48         1242.58
1950-1959       41               608.31          781.43         1389.74
1950-1959       42               667.23          880.81         1548.04
1950-1959       43               765.60          957.81         1723.41
1950-1959       44               800.45         1129.36         1929.81
1950-1959       45               836.32         1224.55         2060.87
1950-1959       46               959.29         1305.86         2265.15
1950-1959       47              1026.74         1404.37         2431.11
1950-1959       48              1031.66         1537.51         2569.17
1950-1959       49              1214.94         1673.31         2888.25
1950-1959       50              1289.55         1840.87         3130.42
1950-1959       51              1187.41         1840.67         3028.08
1950-1959       52              1435.14         1966.37         3401.51
1950-1959       53              1498.18         2078.58         3576.76
1950-1959       54              1626.52         2255.20         3881.72
1950-1959       55              1675.56         2382.18         4057.74
1950-1959       56              1674.96         2459.20         4134.16
1950-1959       57              1834.00         2458.60         4292.60
1950-1959       58              1871.20         2625.49         4496.69
1950-1959       59              2050.10         2591.23         4641.33
1950-1959       60              2165.94         2729.28         4895.22
1950-1959       61              2156.99         2707.80         4864.79
1950-1959       62              2367.69         2811.54         5179.23
1950-1959       63              2556.11         2848.92         5405.03
1950-1959       64              2697.65         2919.94         5617.59
1950-1959       65              2849.61         2946.03         5795.64
1950-1959       66              2953.72         2933.83         5887.55
1950-1959       67              3268.90         3060.06         6328.96
1950-1959       68              3465.80         3107.03         6572.83
1950-1959       69              3622.53         3300.28         6922.81
1950-1959       70              3849.49         3424.42         7273.91
1950-1959       71              4009.07         3467.02         7476.09
