Sweden, Deaths (period 1x10), 	Last modified: 23 May 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1751-1759        0             57425.00        66222.00       123647.00
1751-1759        1             14437.64        14730.64        29168.28
1751-1759        2              9467.37         9576.35        19043.72
1751-1759        3              6738.52         7040.93        13779.45
1751-1759        4              4918.45         5315.08        10233.53
1751-1759        5              3619.40         3932.33         7551.73
1751-1759        6              2623.19         2836.23         5459.42
1751-1759        7              1875.17         2012.66         3887.83
1751-1759        8              1375.38         1461.64         2837.02
1751-1759        9              1123.85         1183.14         2306.99
1751-1759       10              1077.63         1129.80         2207.43
1751-1759       11              1065.16         1112.07         2177.23
1751-1759       12              1043.53         1082.57         2126.10
1751-1759       13              1012.79         1041.29         2054.08
1751-1759       14               972.87          988.27         1961.14
1751-1759       15               928.57          930.93         1859.50
1751-1759       16               898.84          899.33         1798.17
1751-1759       17               888.45          900.94         1789.39
1751-1759       18               897.42          935.83         1833.25
1751-1759       19               925.73         1003.94         1929.67
1751-1759       20               969.14         1095.64         2064.78
1751-1759       21              1010.74         1172.78         2183.52
1751-1759       22              1046.39         1225.76         2272.15
1751-1759       23              1076.04         1254.60         2330.64
1751-1759       24              1099.71         1259.22         2358.93
1751-1759       25              1121.51         1245.95         2367.46
1751-1759       26              1158.17         1239.51         2397.68
1751-1759       27              1213.80         1246.27         2460.07
1751-1759       28              1288.44         1266.14         2554.58
1751-1759       29              1382.06         1299.13         2681.19
1751-1759       30              1481.95         1338.74         2820.69
1751-1759       31              1537.28         1358.86         2896.14
1751-1759       32              1535.30         1353.00         2888.30
1751-1759       33              1476.00         1321.12         2797.12
1751-1759       34              1359.43         1263.28         2622.71
1751-1759       35              1206.72         1190.83         2397.55
1751-1759       36              1102.64         1149.24         2251.88
1751-1759       37              1068.39         1149.93         2218.32
1751-1759       38              1103.92         1192.88         2296.80
1751-1759       39              1209.32         1278.11         2487.43
1751-1759       40              1361.56         1391.38         2752.94
1751-1759       41              1469.13         1475.76         2944.89
1751-1759       42              1509.04         1517.08         3026.12
1751-1759       43              1481.34         1515.32         2996.66
1751-1759       44              1386.02         1470.48         2856.50
1751-1759       45              1244.71         1396.60         2641.31
1751-1759       46              1144.00         1349.75         2493.75
1751-1759       47              1105.53         1344.09         2449.62
1751-1759       48              1129.35         1379.52         2508.87
1751-1759       49              1215.41         1456.04         2671.45
1751-1759       50              1345.90         1560.00         2905.90
1751-1759       51              1449.68         1636.68         3086.36
1751-1759       52              1508.94         1672.37         3181.31
1751-1759       53              1523.65         1667.09         3190.74
1751-1759       54              1493.84         1620.83         3114.67
1751-1759       55              1438.19         1547.72         2985.91
1751-1759       56              1431.12         1504.34         2935.46
1751-1759       57              1491.33         1504.78         2996.11
1751-1759       58              1618.78         1549.01         3167.79
1751-1759       59              1813.53         1637.12         3450.65
1751-1759       60              2052.88         1754.95         3807.83
1751-1759       61              2246.35         1846.04         4092.39
1751-1759       62              2371.32         1896.27         4267.59
1751-1759       63              2427.76         1905.62         4333.38
1751-1759       64              2415.66         1874.13         4289.79
1751-1759       65              2357.49         1815.12         4172.61
1751-1759       66              2343.02         1781.90         4124.92
1751-1759       67              2394.68         1787.85         4182.53
1751-1759       68              2512.47         1832.96         4345.43
1751-1759       69              2696.36         1917.20         4613.56
1751-1759       70              2917.53         2024.16         4941.69
1751-1759       71              3060.43         2088.18         5148.61
1751-1759       72              3096.15         2092.80         5188.95
1751-1759       73              3024.73         2038.02         5062.75
1751-1759       74              2846.14         1923.85         4769.99
1751-1759       75              2587.57         1764.30         4351.87
1751-1759       76              2357.65         1615.23         3972.88
1751-1759       77              2183.58         1490.73         3674.31
1751-1759       78              2065.32         1390.63         3455.95
1751-1759       79              2002.88         1315.10         3317.98
1751-1759       80              1979.32         1257.19         3236.51
1751-1759       81              1926.57         1189.59         3116.16
1751-1759       82              1827.73         1105.38         2933.11
1751-1759       83              1682.78         1004.59         2687.37
1751-1759       84              1491.66          887.23         2378.89
1751-1759       85              1267.31          758.81         2026.12
1751-1759       86              1061.34          641.26         1702.60
1751-1759       87               886.56          540.17         1426.73
1751-1759       88               743.02          455.49         1198.51
1751-1759       89               630.74          387.25         1017.99
1751-1759       90               585.72          341.11          926.83
1751-1759       91               484.21          280.86          765.07
1751-1759       92               394.88          228.37          623.25
1751-1759       93               317.57          183.33          500.90
1751-1759       94               251.71          145.27          396.98
1751-1759       95               196.65          113.59          310.24
1751-1759       96               151.31           87.62          238.93
1751-1759       97               114.63           66.70          181.33
1751-1759       98                85.51           50.05          135.56
1751-1759       99                62.78           37.02           99.80
1751-1759      100                45.36           27.05           72.41
1751-1759      101                32.24           19.44           51.68
1751-1759      102                22.52           13.78           36.30
1751-1759      103                15.49            9.65           25.14
1751-1759      104                10.48            5.36           15.84
1751-1759      105                 6.16            2.62            8.78
1751-1759      106                 2.88            1.17            4.05
1751-1759      107                 0.87            0.00            0.87
1751-1759      108                 0.00            0.00            0.00
1751-1759      109                 0.00            0.00            0.00
1751-1759      110+                0.00            0.00            0.00
1760-1769        0             67219.00        77339.00       144558.00
1760-1769        1             15488.10        15999.07        31487.17
1760-1769        2              9943.92        10338.91        20282.83
1760-1769        3              7661.48         7759.36        15420.84
1760-1769        4              6035.54         5992.62        12028.16
1760-1769        5              4468.74         4481.58         8950.32
1760-1769        6              3176.52         3265.44         6441.96
1760-1769        7              2212.76         2354.07         4566.83
1760-1769        8              1577.43         1747.39         3324.82
1760-1769        9              1270.60         1445.50         2716.10
1760-1769       10              1234.84         1395.21         2630.05
1760-1769       11              1240.72         1384.29         2625.01
1760-1769       12              1230.88         1359.70         2590.58
1760-1769       13              1205.38         1321.39         2526.77
1760-1769       14              1164.20         1269.38         2433.58
1760-1769       15              1113.19         1210.64         2323.83
1760-1769       16              1076.05         1173.11         2249.16
1760-1769       17              1058.66         1163.81         2222.47
1760-1769       18              1061.00         1182.70         2243.70
1760-1769       19              1083.12         1229.76         2312.88
1760-1769       20              1120.70         1297.33         2418.03
1760-1769       21              1156.64         1354.64         2511.28
1760-1769       22              1186.70         1393.95         2580.65
1760-1769       23              1210.86         1415.36         2626.22
1760-1769       24              1229.07         1418.75         2647.82
1760-1769       25              1247.60         1410.11         2657.71
1760-1769       26              1291.05         1413.29         2704.34
1760-1769       27              1365.69         1434.25         2799.94
1760-1769       28              1471.39         1472.94         2944.33
1760-1769       29              1608.26         1529.44         3137.70
1760-1769       30              1758.91         1595.72         3354.63
1760-1769       31              1853.98         1640.29         3494.27
1760-1769       32              1876.10         1655.21         3531.31
1760-1769       33              1825.35         1640.54         3465.89
1760-1769       34              1701.69         1596.19         3297.88
1760-1769       35              1531.74         1534.63         3066.37
1760-1769       36              1422.32         1505.46         2927.78
1760-1769       37              1400.04         1521.16         2921.20
1760-1769       38              1464.93         1581.69         3046.62
1760-1769       39              1616.97         1687.06         3304.03
1760-1769       40              1826.90         1821.89         3648.79
1760-1769       41              1977.68         1924.75         3902.43
1760-1769       42              2040.01         1980.32         4020.33
1760-1769       43              2013.95         1988.57         4002.52
1760-1769       44              1899.44         1949.48         3848.92
1760-1769       45              1723.00         1877.89         3600.89
1760-1769       46              1590.59         1832.82         3423.41
1760-1769       47              1528.69         1829.06         3357.75
1760-1769       48              1537.30         1866.64         3403.94
1760-1769       49              1616.41         1945.54         3561.95
1760-1769       50              1745.21         2050.67         3795.88
1760-1769       51              1840.34         2121.66         3962.00
1760-1769       52              1880.91         2143.42         4024.33
1760-1769       53              1867.01         2115.95         3982.96
1760-1769       54              1798.58         2039.26         3837.84
1760-1769       55              1699.45         1932.03         3631.48
1760-1769       56              1664.82         1868.85         3533.67
1760-1769       57              1718.50         1868.44         3586.94
1760-1769       58              1860.46         1930.77         3791.23
1760-1769       59              2090.75         2055.88         4146.63
1760-1769       60              2379.10         2223.31         4602.41
1760-1769       61              2604.43         2351.27         4955.70
1760-1769       62              2736.46         2419.31         5155.77
1760-1769       63              2775.28         2427.45         5202.73
1760-1769       64              2720.77         2375.71         5096.48
1760-1769       65              2602.77         2279.54         4882.31
1760-1769       66              2540.39         2201.06         4741.45
1760-1769       67              2563.41         2155.64         4719.05
1760-1769       68              2671.82         2143.41         4815.23
1760-1769       69              2865.61         2164.30         5029.91
1760-1769       70              3112.79         2206.47         5319.26
1760-1769       71              3285.31         2222.49         5507.80
1760-1769       72              3351.23         2200.59         5551.82
1760-1769       73              3310.50         2140.67         5451.17
1760-1769       74              3163.14         2042.76         5205.90
1760-1769       75              2936.69         1917.60         4854.29
1760-1769       76              2741.26         1808.11         4549.37
1760-1769       77              2604.44         1724.98         4329.42
1760-1769       78              2526.17         1668.30         4194.47
1760-1769       79              2506.47         1637.98         4144.45
1760-1769       80              2522.58         1622.78         4145.36
1760-1769       81              2483.34         1577.53         4060.87
1760-1769       82              2365.96         1490.94         3856.90
1760-1769       83              2170.42         1363.02         3533.44
1760-1769       84              1896.70         1193.76         3090.46
