Belgium, Deaths (period 1x5), 	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1841-1844        0             35714.00        45152.00        80866.00
1841-1844        1             16238.00        16465.00        32703.00
1841-1844        2              8383.00         8282.00        16665.00
1841-1844        3              5276.00         4976.00        10252.00
1841-1844        4              3590.00         3370.00         6960.00
1841-1844        5              2633.00         2449.00         5082.00
1841-1844        6              2195.00         1889.00         4084.00
1841-1844        7              1885.00         1580.00         3465.00
1841-1844        8              1643.00         1373.00         3016.00
1841-1844        9              1562.00         1280.00         2842.00
1841-1844       10              1384.86         1075.80         2460.66
1841-1844       11              1229.60          892.15         2121.75
1841-1844       12              1148.06          781.54         1929.60
1841-1844       13              1140.27          743.99         1884.26
1841-1844       14              1206.17          779.51         1985.68
1841-1844       15              1327.16          877.24         2204.40
1841-1844       16              1428.60          993.96         2422.56
1841-1844       17              1491.81         1118.84         2610.65
1841-1844       18              1516.81         1251.88         2768.69
1841-1844       19              1503.60         1393.06         2896.66
1841-1844       20              1459.53         1530.27         2989.80
1841-1844       21              1414.06         1614.97         3029.03
1841-1844       22              1374.47         1635.04         3009.51
1841-1844       23              1340.82         1590.46         2931.28
1841-1844       24              1313.09         1481.27         2794.36
1841-1844       25              1291.44         1324.77         2616.21
1841-1844       26              1276.64         1190.43         2467.07
1841-1844       27              1268.81         1095.53         2364.34
1841-1844       28              1267.97         1040.12         2308.09
1841-1844       29              1274.14         1024.17         2298.31
1841-1844       30              1285.69         1039.45         2325.14
1841-1844       31              1296.29         1052.88         2349.17
1841-1844       32              1304.36         1056.27         2360.63
1841-1844       33              1309.84         1049.57         2359.41
1841-1844       34              1312.80         1032.81         2345.61
1841-1844       35              1315.50         1010.93         2326.43
1841-1844       36              1327.12         1003.92         2331.04
1841-1844       37              1349.97         1016.74         2366.71
1841-1844       38              1384.05         1049.44         2433.49
1841-1844       39              1429.37         1101.98         2531.35
1841-1844       40              1478.49         1167.20         2645.69
1841-1844       41              1501.75         1216.38         2718.13
1841-1844       42              1491.71         1242.41         2734.12
1841-1844       43              1448.38         1245.21         2693.59
1841-1844       44              1371.72         1224.83         2596.55
1841-1844       45              1273.12         1186.76         2459.88
1841-1844       46              1197.93         1152.88         2350.81
1841-1844       47              1157.46         1128.73         2286.19
1841-1844       48              1151.74         1114.22         2265.96
1841-1844       49              1180.76         1109.44         2290.20
1841-1844       50              1236.40         1113.47         2349.87
1841-1844       51              1286.18         1122.93         2409.11
1841-1844       52              1321.97         1137.01         2458.98
1841-1844       53              1343.79         1155.66         2499.45
1841-1844       54              1351.65         1178.93         2530.58
1841-1844       55              1351.45         1208.99         2560.44
1841-1844       56              1366.98         1254.78         2621.76
1841-1844       57              1404.14         1318.48         2722.62
1841-1844       58              1462.97         1400.09         2863.06
1841-1844       59              1543.48         1499.66         3043.14
1841-1844       60              1639.14         1610.83         3249.97
1841-1844       61              1723.97         1708.37         3432.34
1841-1844       62              1791.51         1785.94         3577.45
1841-1844       63              1841.74         1843.59         3685.33
1841-1844       64              1874.65         1881.26         3755.91
1841-1844       65              1895.30         1903.30         3798.60
1841-1844       66              1923.74         1926.89         3850.63
1841-1844       67              1964.98         1956.35         3921.33
1841-1844       68              2019.05         1991.65         4010.70
1841-1844       69              2085.93         2032.84         4118.77
1841-1844       70              2159.00         2075.55         4234.55
1841-1844       71              2211.63         2102.55         4314.18
1841-1844       72              2237.24         2109.46         4346.70
1841-1844       73              2235.81         2096.31         4332.12
1841-1844       74              2207.31         2063.11         4270.42
1841-1844       75              2154.55         2010.95         4165.50
1841-1844       76              2088.66         1944.31         4032.97
1841-1844       77              2012.36         1864.35         3876.71
1841-1844       78              1925.71         1771.02         3696.73
1841-1844       79              1828.69         1664.36         3493.05
1841-1844       80              1721.25         1545.44         3266.69
1841-1844       81              1603.34         1418.78         3022.12
1841-1844       82              1474.90         1285.45         2760.35
1841-1844       83              1335.98         1145.47         2481.45
1841-1844       84              1186.53          998.86         2185.39
1841-1844       85              1030.27          849.01         1879.28
1841-1844       86               881.76          709.53         1591.29
1841-1844       87               744.75          583.81         1328.56
1841-1844       88               619.19          471.90         1091.09
1841-1844       89               505.06          373.74          878.80
1841-1844       90               402.84          289.27          692.11
1841-1844       91               314.15          218.06          532.21
1841-1844       92               239.43          160.03          399.46
1841-1844       93               178.69          115.16          293.85
1841-1844       94               131.91           83.46          215.37
1841-1844       95                97.66           63.17          160.83
1841-1844       96                70.23           47.32          117.55
1841-1844       97                48.19           34.12           82.31
1841-1844       98                31.56           23.61           55.17
1841-1844       99                20.33           15.78           36.11
1841-1844      100                13.90            9.45           23.35
1841-1844      101                 8.44            5.91           14.35
1841-1844      102                 5.21            3.92            9.13
1841-1844      103                 2.70            0.71            3.41
1841-1844      104                 0.75            0.00            0.75
1841-1844      105                 0.00            0.00            0.00
1841-1844      106                 0.00            0.00            0.00
1841-1844      107                 0.00            0.00            0.00
1841-1844      108                 0.00            0.00            0.00
1841-1844      109                 0.00            0.00            0.00
1841-1844      110+                0.00            0.00            0.00
1845-1849        0             42555.00        53357.00        95912.00
1845-1849        1             18845.00        19216.00        38061.00
1845-1849        2             10366.00         9891.00        20257.00
1845-1849        3              6769.00         6438.00        13207.00
1845-1849        4              4851.00         4516.00         9367.00
1845-1849        5              3722.00         3509.00         7231.00
1845-1849        6              3137.00         2805.00         5942.00
1845-1849        7              2825.00         2411.00         5236.00
1845-1849        8              2532.00         2108.00         4640.00
1845-1849        9              2524.00         1978.00         4502.00
1845-1849       10              2282.23         1709.44         3991.67
1845-1849       11              2030.32         1454.05         3484.37
1845-1849       12              1871.72         1277.91         3149.63
1845-1849       13              1806.40         1181.07         2987.47
1845-1849       14              1834.36         1163.48         2997.84
1845-1849       15              1935.54         1219.35         3154.89
1845-1849       16              2029.58         1325.17         3354.75
1845-1849       17              2096.40         1475.11         3571.51
1845-1849       18              2136.01         1669.11         3805.12
1845-1849       19              2148.44         1907.26         4055.70
1845-1849       20              2136.78         2165.21         4301.99
1845-1849       21              2113.62         2345.76         4459.38
1845-1849       22              2082.13         2424.68         4506.81
1845-1849       23              2042.32         2401.91         4444.23
1845-1849       24              1994.15         2277.45         4271.60
1845-1849       25              1941.39         2075.67         4017.06
1845-1849       26              1898.91         1893.83         3792.74
1845-1849       27              1870.40         1756.17         3626.57
1845-1849       28              1855.90         1662.77         3518.67
1845-1849       29              1855.38         1613.59         3468.97
1845-1849       30              1867.26         1602.42         3469.68
1845-1849       31              1884.88         1604.55         3489.43
1845-1849       32              1906.67         1613.74         3520.41
1845-1849       33              1932.58         1629.98         3562.56
1845-1849       34              1962.66         1653.30         3615.96
1845-1849       35              1995.32         1683.19         3678.51
1845-1849       36              2024.54         1717.72         3742.26
1845-1849       37              2048.78         1756.44         3805.22
1845-1849       38              2068.03         1799.31         3867.34
1845-1849       39              2082.32         1846.32         3928.64
1845-1849       40              2091.79         1899.57         3991.36
1845-1849       41              2097.19         1967.15         4064.34
1845-1849       42              2098.69         2051.19         4149.88
1845-1849       43              2096.33         2151.61         4247.94
1845-1849       44              2090.00         2268.48         4358.48
1845-1849       45              2081.16         2392.94         4474.10
1845-1849       46              2075.30         2489.80         4565.10
1845-1849       47              2073.68         2550.23         4623.91
1845-1849       48              2076.41         2574.22         4650.63
1845-1849       49              2083.44         2561.81         4645.25
1845-1849       50              2094.10         2517.94         4612.04
1845-1849       51              2105.73         2462.43         4568.16
1845-1849       52              2117.70         2400.26         4517.96
1845-1849       53              2129.95         2331.43         4461.38
1845-1849       54              2142.51         2255.92         4398.43
1845-1849       55              2159.09         2182.99         4342.08
1845-1849       56              2194.41         2149.51         4343.92
1845-1849       57              2252.17         2164.72         4416.89
1845-1849       58              2332.36         2228.59         4560.95
1845-1849       59              2435.00         2341.19         4776.19
1845-1849       60              2553.97         2491.15         5045.12
1845-1849       61              2664.92         2633.24         5298.16
1845-1849       62              2761.72         2756.18         5517.90
1845-1849       63              2844.41         2859.92         5704.33
1845-1849       64              2912.96         2944.53         5857.49
1845-1849       65              2969.47         3012.12         5981.59
1845-1849       66              3022.32         3071.30         6093.62
1845-1849       67              3073.60         3124.24         6197.84
1845-1849       68              3123.24         3170.94         6294.18
1845-1849       69              3171.36         3211.40         6382.76
1845-1849       70              3214.20         3241.90         6456.10
1845-1849       71              3236.99         3247.53         6484.52
1845-1849       72              3236.10         3224.57         6460.67
1845-1849       73              3211.51         3173.06         6384.57
1845-1849       74              3163.21         3092.95         6256.16
1845-1849       75              3092.34         2986.97         6079.31
1845-1849       76              3003.51         2865.94         5869.45
1845-1849       77              2897.83         2732.54         5630.37
1845-1849       78              2775.33         2586.81         5362.14
1845-1849       79              2635.98         2428.77         5064.75
1845-1849       80              2479.18         2258.15         4737.33
1845-1849       81              2302.40         2074.36         4376.76
1845-1849       82              2105.00         1877.17         3982.17
1845-1849       83              1887.03         1666.62         3553.65
1845-1849       84              1648.41         1442.68         3091.09
1845-1849       85              1397.23         1211.73         2608.96
1845-1849       86              1165.41          999.23         2164.64
1845-1849       87               961.00          811.58         1772.58
1845-1849       88               783.99          648.74         1432.73
1845-1849       89               634.37          510.73         1145.10
1845-1849       90               510.17          396.26          906.43
1845-1849       91               403.48          300.15          703.63
1845-1849       92               312.29          221.14          533.43
1845-1849       93               236.61          159.18          395.79
1845-1849       94               176.45          114.28          290.73
1845-1849       95               130.46           84.39          214.85
1845-1849       96                93.27           61.04          154.31
1845-1849       97                63.54           42.14          105.68
1845-1849       98                41.26           27.72           68.98
1845-1849       99                26.46           17.75           44.21
1845-1849      100                18.47           12.27           30.74
1845-1849      101                11.54            7.48           19.02
1845-1849      102                 6.97            2.97            9.94
1845-1849      103                 4.11            1.27            5.38
1845-1849      104                 0.92            0.00            0.92
1845-1849      105                 0.00            0.00            0.00
1845-1849      106                 0.00            0.00            0.00
1845-1849      107                 0.00            0.00            0.00
1845-1849      108                 0.00            0.00            0.00
1845-1849      109                 0.00            0.00            0.00
1845-1849      110+                0.00            0.00            0.00
1850-1854        0             42679.00        53946.00        96625.00
1850-1854        1             17180.00        17941.00        35121.00
1850-1854        2              8897.00         8915.00        17812.00
1850-1854        3              5840.00         5399.00        11239.00
1850-1854        4              3941.00         3759.00         7700.00
1850-1854        5              3001.00         2728.00         5729.00
1850-1854        6              2494.00         2257.00         4751.00
1850-1854        7              2234.00         1934.00         4168.00
1850-1854        8              2039.00         1738.00         3777.00
1850-1854        9              2018.00         1556.00         3574.00
1850-1854       10              1847.52         1342.66         3190.18
1850-1854       11              1679.45         1170.90         2850.35
1850-1854       12              1580.89         1060.96         2641.85
1850-1854       13              1551.83         1012.87         2564.70
1850-1854       14              1592.29         1026.63         2618.92
1850-1854       15              1685.21         1094.55         2779.76
1850-1854       16              1762.52         1185.96         2948.48
1850-1854       17              1807.20         1293.20         3100.40
1850-1854       18              1819.31         1416.24         3235.55
1850-1854       19              1798.76         1555.08         3353.84
1850-1854       20              1753.62         1698.18         3451.80
1850-1854       21              1715.98         1799.11         3515.09
1850-1854       22              1693.88         1846.32         3540.20
1850-1854       23              1687.29         1839.82         3527.11
1850-1854       24              1696.25         1779.56         3475.81
1850-1854       25              1716.37         1677.43         3393.80
1850-1854       26              1730.21         1580.68         3310.89
1850-1854       27              1733.44         1501.16         3234.60
1850-1854       28              1725.99         1438.90         3164.89
1850-1854       29              1707.96         1393.82         3101.78
1850-1854       30              1682.60         1364.05         3046.65
1850-1854       31              1663.25         1341.87         3005.12
1850-1854       32              1653.25         1325.34         2978.59
1850-1854       33              1652.62         1314.48         2967.10
1850-1854       34              1661.30         1309.26         2970.56
1850-1854       35              1676.71         1310.51         2987.22
1850-1854       36              1688.24         1321.36         3009.60
1850-1854       37              1693.30         1342.61         3035.91
1850-1854       38              1691.84         1374.25         3066.09
1850-1854       39              1683.89         1416.30         3100.19
1850-1854       40              1669.34         1465.55         3134.89
1850-1854       41              1647.78         1509.30         3157.08
1850-1854       42              1619.10         1544.31         3163.41
1850-1854       43              1583.33         1570.64         3153.97
1850-1854       44              1540.45         1588.21         3128.66
1850-1854       45              1497.12         1602.96         3100.08
1850-1854       46              1479.89         1638.41         3118.30
1850-1854       47              1495.45         1700.43         3195.88
1850-1854       48              1543.74         1789.01         3332.75
1850-1854       49              1624.83         1904.17         3529.00
1850-1854       50              1727.96         2033.65         3761.61
1850-1854       51              1810.24         2128.50         3938.74
1850-1854       52              1860.98         2176.47         4037.45
1850-1854       53              1880.12         2177.57         4057.69
1850-1854       54              1867.71         2131.82         3999.53
1850-1854       55              1835.67         2051.34         3887.01
1850-1854       56              1831.83         1984.86         3816.69
1850-1854       57              1868.06         1944.47         3812.53
1850-1854       58              1944.47         1930.23         3874.70
1850-1854       59              2060.96         1942.14         4003.10
1850-1854       60              2207.15         1977.07         4184.22
1850-1854       61              2341.30         2022.78         4364.08
1850-1854       62              2453.03         2076.14         4529.17
1850-1854       63              2542.34         2137.17         4679.51
1850-1854       64              2609.18         2205.85         4815.03
1850-1854       65              2658.41         2281.04         4939.45
1850-1854       66              2709.22         2357.97         5067.19
1850-1854       67              2766.40         2435.46         5201.86
1850-1854       68              2830.01         2513.48         5343.49
1850-1854       69              2899.97         2592.08         5492.05
1850-1854       70              2970.38         2666.60         5636.98
1850-1854       71              3017.27         2718.36         5735.63
1850-1854       72              3034.67         2742.78         5777.45
1850-1854       73              3022.61         2739.79         5762.40
1850-1854       74              2981.05         2709.46         5690.51
1850-1854       75              2911.71         2652.49         5564.20
1850-1854       76              2821.31         2571.85         5393.16
1850-1854       77              2711.56         2468.30         5179.86
1850-1854       78              2582.43         2341.85         4924.28
1850-1854       79              2433.96         2192.52         4626.48
1850-1854       80              2267.90         2023.16         4291.06
1850-1854       81              2091.35         1845.48         3936.83
1850-1854       82              1906.09         1662.41         3568.50
1850-1854       83              1712.13         1473.92         3186.05
1850-1854       84              1509.49         1280.00         2789.49
1850-1854       85              1302.24         1084.53         2386.77
1850-1854       86              1106.95          902.78         2009.73
1850-1854       87               927.73          738.63         1666.36
1850-1854       88               764.58          592.04         1356.62
1850-1854       89               617.53          463.05         1080.58
1850-1854       90               486.98          351.73          838.71
1850-1854       91               374.69          258.65          633.34
1850-1854       92               281.11          183.88          464.99
1850-1854       93               206.21          127.43          333.64
1850-1854       94               150.00           89.31          239.31
1850-1854       95               110.40           66.94          177.34
1850-1854       96                78.99           49.96          128.95
1850-1854       97                53.70           35.77           89.47
1850-1854       98                34.51           24.43           58.94
1850-1854       99                21.43           15.90           37.33
1850-1854      100                13.01            8.10           21.11
1850-1854      101                 7.95            4.70           12.65
1850-1854      102                 3.69            2.62            6.31
1850-1854      103                 1.33            0.60            1.93
1850-1854      104                 0.00            0.00            0.00
1850-1854      105                 0.00            0.00            0.00
1850-1854      106                 0.00            0.00            0.00
1850-1854      107                 0.00            0.00            0.00
1850-1854      108                 0.00            0.00            0.00
1850-1854      109                 0.00            0.00            0.00
1850-1854      110+                0.00            0.00            0.00
1855-1859        0             50935.00        63826.00       114761.00
1855-1859        1             22102.00        22757.00        44859.00
1855-1859        2              8130.00         8310.00        16440.00
1855-1859        3              5819.00         5653.00        11472.00
1855-1859        4              4349.00         4091.00         8440.00
1855-1859        5              3427.00         3143.00         6570.00
1855-1859        6              2678.00         2476.00         5154.00
1855-1859        7              2202.00         2024.00         4226.00
1855-1859        8              1821.00         1635.00         3456.00
1855-1859        9              1642.00         1400.00         3042.00
1855-1859       10              1519.76         1258.82         2778.58
1855-1859       11              1439.91         1166.90         2606.81
1855-1859       12              1412.82         1119.81         2532.63
1855-1859       13              1438.53         1117.49         2556.02
1855-1859       14              1516.98         1159.99         2676.97
1855-1859       15              1634.14         1241.94         2876.08
1855-1859       16              1733.66         1342.03         3075.69
1855-1859       17              1801.51         1454.99         3256.50
1855-1859       18              1837.64         1580.72         3418.36
1855-1859       19              1842.07         1719.31         3561.38
1855-1859       20              1820.31         1858.05         3678.36
1855-1859       21              1794.13         1946.27         3740.40
1855-1859       22              1769.10         1971.36         3740.46
1855-1859       23              1745.16         1933.27         3678.43
1855-1859       24              1722.31         1832.04         3554.35
1855-1859       25              1701.79         1684.54         3386.33
1855-1859       26              1688.41         1558.24         3246.65
1855-1859       27              1683.45         1470.07         3153.52
1855-1859       28              1686.81         1420.05         3106.86
1855-1859       29              1698.55         1408.13         3106.68
1855-1859       30              1716.51         1427.03         3143.54
1855-1859       31              1732.24         1447.67         3179.91
1855-1859       32              1743.59         1462.75         3206.34
1855-1859       33              1750.53         1472.27         3222.80
1855-1859       34              1753.14         1476.25         3229.39
1855-1859       35              1751.66         1476.18         3227.84
1855-1859       36              1747.40         1478.17         3225.57
1855-1859       37              1740.68         1483.79         3224.47
1855-1859       38              1731.48         1493.01         3224.49
1855-1859       39              1719.81         1505.83         3225.64
1855-1859       40              1705.47         1523.31         3228.78
1855-1859       41              1687.72         1549.70         3237.42
1855-1859       42              1666.39         1586.04         3252.43
1855-1859       43              1641.48         1632.35         3273.83
1855-1859       44              1612.94         1688.64         3301.58
1855-1859       45              1584.07         1752.74         3336.81
1855-1859       46              1567.71         1816.10         3383.81
1855-1859       47              1567.06         1876.66         3443.72
1855-1859       48              1582.16         1934.33         3516.49
1855-1859       49              1612.98         1989.17         3602.15
1855-1859       50              1659.35         2044.89         3704.24
1855-1859       51              1720.50         2116.51         3837.01
1855-1859       52              1796.21         2207.76         4003.97
1855-1859       53              1886.52         2318.64         4205.16
1855-1859       54              1991.43         2449.17         4440.60
1855-1859       55              2105.43         2587.74         4693.17
1855-1859       56              2206.52         2687.92         4894.44
1855-1859       57              2289.20         2738.17         5027.37
1855-1859       58              2353.48         2738.43         5091.91
1855-1859       59              2399.36         2688.70         5088.06
1855-1859       60              2433.85         2601.43         5035.28
1855-1859       61              2485.15         2526.13         5011.28
1855-1859       62              2560.20         2475.23         5035.43
1855-1859       63              2659.08         2448.69         5107.77
1855-1859       64              2781.75         2446.54         5228.29
1855-1859       65              2920.75         2465.93         5386.68
1855-1859       66              3046.21         2495.66         5541.87
1855-1859       67              3150.63         2532.92         5683.55
1855-1859       68              3234.02         2577.63         5811.65
1855-1859       69              3296.40         2629.86         5926.26
1855-1859       70              3337.68         2685.79         6023.47
1855-1859       71              3357.59         2730.16         6087.75
1855-1859       72              3356.02         2759.16         6115.18
1855-1859       73              3333.07         2772.80         6105.87
1855-1859       74              3288.63         2771.10         6059.73
1855-1859       75              3220.77         2749.40         5970.17
1855-1859       76              3121.39         2689.33         5810.72
1855-1859       77              2988.51         2586.23         5574.74
1855-1859       78              2822.12         2440.09         5262.21
1855-1859       79              2622.21         2250.96         4873.17
1855-1859       80              2395.09         2027.52         4422.61
1855-1859       81              2165.82         1804.71         3970.53
1855-1859       82              1940.68         1591.25         3531.93
1855-1859       83              1719.64         1387.14         3106.78
1855-1859       84              1502.76         1192.35         2695.11
1855-1859       85              1291.78         1008.19         2299.97
1855-1859       86              1093.75          839.73         1933.48
1855-1859       87               910.46          688.22         1598.68
1855-1859       88               741.92          553.70         1295.62
1855-1859       89               588.10          436.15         1024.25
1855-1859       90               450.36          335.32          785.68
1855-1859       91               334.17          250.18          584.35
1855-1859       92               240.91          180.54          421.45
1855-1859       93               170.51          126.33          296.84
1855-1859       94               123.04           87.58          210.62
1855-1859       95                95.14           62.37          157.51
1855-1859       96                73.46           43.08          116.54
1855-1859       97                54.71           27.78           82.49
1855-1859       98                38.83           16.52           55.35
1855-1859       99                25.88            9.22           35.10
1855-1859      100                11.09            6.52           17.61
1855-1859      101                 6.65            1.47            8.12
1855-1859      102                 2.60            0.00            2.60
1855-1859      103                 0.64            0.00            0.64
1855-1859      104                 0.00            0.00            0.00
1855-1859      105                 0.00            0.00            0.00
1855-1859      106                 0.00            0.00            0.00
1855-1859      107                 0.00            0.00            0.00
1855-1859      108                 0.00            0.00            0.00
1855-1859      109                 0.00            0.00            0.00
1855-1859      110+                0.00            0.00            0.00
1860-1864        0             51351.00        64893.00       116244.00
1860-1864        1             20122.00        21229.00        41351.00
1860-1864        2              9106.00         9299.00        18405.00
1860-1864        3              6297.00         6144.00        12441.00
1860-1864        4              4507.00         4423.00         8930.00
1860-1864        5              3328.00         3250.00         6578.00
1860-1864        6              2601.00         2449.00         5050.00
1860-1864        7              2088.00         1958.00         4046.00
1860-1864        8              1683.00         1492.00         3175.00
1860-1864        9              1644.00         1307.00         2951.00
1860-1864       10              1433.92         1119.79         2553.71
1860-1864       11              1224.51          964.37         2188.88
1860-1864       12              1105.96          876.86         1982.82
1860-1864       13              1078.24          857.31         1935.55
1860-1864       14              1141.35          905.66         2047.01
1860-1864       15              1275.16         1011.41         2286.57
1860-1864       16              1399.15         1132.35         2531.50
1860-1864       17              1493.17         1257.94         2751.11
1860-1864       18              1557.22         1388.20         2945.42
1860-1864       19              1591.30         1523.10         3114.40
1860-1864       20              1600.45         1653.18         3253.63
1860-1864       21              1604.69         1740.35         3345.04
1860-1864       22              1609.08         1775.06         3384.14
1860-1864       23              1613.59         1757.29         3370.88
1860-1864       24              1618.21         1687.11         3305.32
1860-1864       25              1622.18         1576.99         3199.17
1860-1864       26              1622.21         1477.03         3099.24
1860-1864       27              1617.53         1399.73         3017.26
1860-1864       28              1608.12         1345.11         2953.23
1860-1864       29              1593.97         1313.16         2907.13
1860-1864       30              1578.18         1301.69         2879.87
