Denmark, Deaths (period 1x5), 	Last modified: 24 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1835-1839        0             16032.00        20265.00        36297.00
1835-1839        1              3631.60         3896.67         7528.27
1835-1839        2              2467.40         2695.33         5162.73
1835-1839        3              1496.76         1500.36         2997.12
1835-1839        4               926.23          821.64         1747.87
1835-1839        5               735.48          678.55         1414.03
1835-1839        6               636.53          638.78         1275.31
1835-1839        7               557.40          594.32         1151.72
1835-1839        8               498.05          545.13         1043.18
1835-1839        9               458.54          491.23          949.77
1835-1839       10               435.88          435.27          871.15
1835-1839       11               418.32          387.99          806.31
1835-1839       12               402.89          352.06          754.95
1835-1839       13               389.57          327.47          717.04
1835-1839       14               378.40          314.22          692.62
1835-1839       15               369.74          311.76          681.50
1835-1839       16               365.00          317.87          682.87
1835-1839       17               364.52          331.99          696.51
1835-1839       18               368.33          354.14          722.47
1835-1839       19               376.43          384.26          760.69
1835-1839       20               387.52          418.71          806.23
1835-1839       21               396.54          442.55          839.09
1835-1839       22               402.15          452.13          854.28
1835-1839       23               404.44          447.35          851.79
1835-1839       24               403.32          428.27          831.59
1835-1839       25               399.89          398.97          798.86
1835-1839       26               398.32          375.73          774.05
1835-1839       27               399.68          362.67          762.35
1835-1839       28               403.96          359.71          763.67
1835-1839       29               411.14          366.91          778.05
1835-1839       30               420.80          382.77          803.57
1835-1839       31               431.11          401.16          832.27
1835-1839       32               441.61          420.59          862.20
1835-1839       33               452.29          441.02          893.31
1835-1839       34               463.18          462.50          925.68
1835-1839       35               473.34          483.53          956.87
1835-1839       36               479.19          498.25          977.44
1835-1839       37               479.81          505.17          984.98
1835-1839       38               475.21          504.35          979.56
1835-1839       39               465.43          495.71          961.14
1835-1839       40               451.88          482.00          933.88
1835-1839       41               440.73          474.00          914.73
1835-1839       42               433.49          474.39          907.88
1835-1839       43               430.16          483.21          913.37
1835-1839       44               430.72          500.41          931.13
1835-1839       45               434.60          523.48          958.08
1835-1839       46               439.42          542.26          981.68
1835-1839       47               444.62          554.23          998.85
1835-1839       48               450.19          559.36         1009.55
1835-1839       49               456.16          557.65         1013.81
1835-1839       50               462.78          551.45         1014.23
1835-1839       51               471.30          550.06         1021.36
1835-1839       52               481.99          555.84         1037.83
1835-1839       53               494.91          568.77         1063.68
1835-1839       54               510.02          588.89         1098.91
1835-1839       55               527.56          614.93         1142.49
1835-1839       56               548.31          642.07         1190.38
1835-1839       57               572.54          669.12         1241.66
1835-1839       58               600.22          696.02         1296.24
1835-1839       59               631.37          722.86         1354.23
1835-1839       60               664.35          748.43         1412.78
1835-1839       61               692.87          768.08         1460.95
1835-1839       62               715.29          780.64         1495.93
1835-1839       63               731.62          786.18         1517.80
1835-1839       64               741.86          784.65         1526.51
1835-1839       65               747.94          777.75         1525.69
1835-1839       66               757.50          772.25         1529.75
1835-1839       67               772.43          769.88         1542.31
1835-1839       68               792.70          770.63         1563.33
1835-1839       69               818.42          774.48         1592.90
1835-1839       70               846.24          779.60         1625.84
1835-1839       71               863.21          778.41         1641.62
1835-1839       72               866.09          769.15         1635.24
1835-1839       73               854.89          751.69         1606.58
1835-1839       74               829.58          726.16         1555.74
1835-1839       75               793.16          694.06         1487.22
1835-1839       76               757.52          661.76         1419.28
1835-1839       77               725.64          630.82         1356.46
1835-1839       78               697.52          601.27         1298.79
1835-1839       79               673.16          573.11         1246.27
1835-1839       80               650.40          544.92         1195.32
1835-1839       81               620.75          511.07         1131.82
1835-1839       82               582.06          470.23         1052.29
1835-1839       83               534.29          422.34          956.63
1835-1839       84               477.48          367.43          844.91
1835-1839       85               413.79          307.71          721.50
1835-1839       86               351.85          251.91          603.76
1835-1839       87               293.86          202.25          496.11
1835-1839       88               239.81          158.73          398.54
1835-1839       89               189.70          121.35          311.05
1835-1839       90               144.20           90.03          234.23
1835-1839       91               106.04           64.39          170.43
1835-1839       92                75.95           44.39          120.34
1835-1839       93                53.93           29.98           83.91
1835-1839       94                39.91           21.18           61.09
1835-1839       95                32.64           17.10           49.74
1835-1839       96                27.00           14.09           41.09
1835-1839       97                21.68           11.23           32.91
1835-1839       98                16.69            8.55           25.24
1835-1839       99                11.98            6.05           18.03
1835-1839      100                 7.71            2.93           10.64
1835-1839      101                 3.96            1.37            5.33
1835-1839      102                 1.40            0.74            2.14
1835-1839      103                 0.61            0.54            1.15
1835-1839      104                 0.32            0.41            0.73
1835-1839      105                 0.28            0.22            0.50
1835-1839      106                 0.43            0.23            0.66
1835-1839      107                 0.49            0.22            0.71
1835-1839      108                 0.46            0.19            0.65
1835-1839      109                 0.34            0.13            0.47
1835-1839      110+                0.00            0.00            0.00
1840-1844        0             16043.00        20134.00        36177.00
1840-1844        1              2899.89         3149.57         6049.46
1840-1844        2              1955.10         2180.45         4135.55
1840-1844        3              1213.89         1199.06         2412.95
1840-1844        4               792.10          655.95         1448.05
1840-1844        5               661.72          569.14         1230.86
1840-1844        6               594.82          560.27         1155.09
1840-1844        7               534.48          534.70         1069.18
1840-1844        8               480.62          492.42          973.04
1840-1844        9               433.35          433.46          866.81
1840-1844       10               393.34          363.95          757.29
1840-1844       11               363.68          308.45          672.13
1840-1844       12               345.10          273.08          618.18
1840-1844       13               337.61          257.82          595.43
1840-1844       14               341.24          262.71          603.95
1840-1844       15               353.95          285.14          639.09
1840-1844       16               367.77          314.81          682.58
1840-1844       17               380.69          349.16          729.85
1840-1844       18               392.71          388.15          780.86
1840-1844       19               403.84          431.78          835.62
1840-1844       20               413.70          476.13          889.83
1840-1844       21               420.73          505.36          926.09
1840-1844       22               424.59          515.49          940.08
1840-1844       23               425.25          506.54          931.79
1840-1844       24               422.73          478.50          901.23
1840-1844       25               417.81          436.09          853.90
1840-1844       26               413.64          398.26          811.90
1840-1844       27               411.03          369.71          780.74
1840-1844       28               409.99          350.45          760.44
1840-1844       29               410.52          340.48          751.00
1840-1844       30               412.60          339.02          751.62
1840-1844       31               416.31          342.86          759.17
1840-1844       32               421.74          351.26          773.00
1840-1844       33               428.80          364.19          792.99
1840-1844       34               437.54          381.66          819.20
1840-1844       35               447.35          402.41          849.76
1840-1844       36               455.81          421.29          877.10
1840-1844       37               462.33          437.10          899.43
1840-1844       38               466.93          449.80          916.73
1840-1844       39               469.59          459.41          929.00
1840-1844       40               470.48          466.75          937.23
1840-1844       41               470.29          475.22          945.51
1840-1844       42               469.14          485.64          954.78
1840-1844       43               467.05          498.02          965.07
1840-1844       44               464.01          512.36          976.37
1840-1844       45               460.22          527.85          988.07
1840-1844       46               456.29          541.17          997.46
1840-1844       47               452.35          551.57         1003.92
1840-1844       48               448.48          558.97         1007.45
1840-1844       49               444.63          563.41         1008.04
1840-1844       50               441.52          565.31         1006.83
1840-1844       51               442.04          566.29         1008.33
1840-1844       52               446.87          566.71         1013.58
1840-1844       53               456.02          566.65         1022.67
1840-1844       54               469.56          566.04         1035.60
1840-1844       55               487.76          566.91         1054.67
1840-1844       56               512.10          577.16         1089.26
1840-1844       57               542.91          598.81         1141.72
1840-1844       58               580.21          631.85         1212.06
1840-1844       59               624.00          676.27         1300.27
1840-1844       60               671.64          727.72         1399.36
1840-1844       61               712.57          768.70         1481.27
1840-1844       62               744.14          794.85         1538.99
1840-1844       63               766.40          806.15         1572.55
1840-1844       64               779.31          802.60         1581.91
1840-1844       65               785.14          787.94         1573.08
1840-1844       66               793.00          776.81         1569.81
1840-1844       67               805.13          772.95         1578.08
1840-1844       68               821.52          776.32         1597.84
1840-1844       69               842.20          786.96         1629.16
1840-1844       70               864.79          801.91         1666.70
1840-1844       71               879.78          809.27         1689.05
1840-1844       72               884.79          806.13         1690.92
1840-1844       73               879.82          792.45         1672.27
1840-1844       74               864.86          768.24         1633.10
1840-1844       75               841.36          735.22         1576.58
1840-1844       76               815.16          700.30         1515.46
1840-1844       77               787.67          665.19         1452.86
1840-1844       78               758.92          629.89         1388.81
1840-1844       79               728.87          594.39         1323.26
1840-1844       80               696.37          557.96         1254.33
1840-1844       81               656.68          517.45         1174.13
1840-1844       82               608.62          472.20         1080.82
1840-1844       83               552.13          422.11          974.24
1840-1844       84               487.23          367.27          854.50
1840-1844       85               416.54          309.37          725.91
1840-1844       86               350.37          255.50          605.87
1840-1844       87               291.30          207.41          498.71
1840-1844       88               239.34          165.10          404.44
1840-1844       89               194.44          128.58          323.02
1840-1844       90               156.30           97.79          254.09
1840-1844       91               123.42           72.33          195.75
1840-1844       92                95.49           52.14          147.63
1840-1844       93                72.46           37.21          109.67
1840-1844       94                54.36           27.55           81.91
1840-1844       95                40.70           22.33           63.03
1840-1844       96                29.56           18.20           47.76
1840-1844       97                20.39           14.32           34.71
1840-1844       98                13.25           10.75           24.00
1840-1844       99                 8.12            7.42           15.54
1840-1844      100                 3.67            3.45            7.12
1840-1844      101                 1.48            1.89            3.37
1840-1844      102                 0.92            0.52            1.44
1840-1844      103                 0.59            0.09            0.68
1840-1844      104                 0.33            0.04            0.37
1840-1844      105                 0.00            0.13            0.13
1840-1844      106                 0.02            0.36            0.38
1840-1844      107                 0.32            0.48            0.80
1840-1844      108                 0.37            0.53            0.90
1840-1844      109                 0.30            0.50            0.80
1840-1844      110+                0.00            1.00            1.00
1845-1849        0             18214.00        22983.00        41197.00
1845-1849        1              3666.12         3946.95         7613.07
1845-1849        2              2437.88         2680.04         5117.92
1845-1849        3              1607.12         1618.16         3225.28
1845-1849        4              1122.89         1010.81         2133.70
1845-1849        5               920.20          834.87         1755.07
1845-1849        6               790.40          748.51         1538.91
1845-1849        7               681.29          666.28         1347.57
1845-1849        8               592.90          588.17         1181.07
1845-1849        9               525.19          514.16         1039.35
1845-1849       10               475.99          445.57          921.56
1845-1849       11               436.39          387.50          823.89
1845-1849       12               404.20          341.20          745.40
1845-1849       13               379.40          306.69          686.09
1845-1849       14               362.00          284.01          646.01
1845-1849       15               352.20          274.81          627.01
1845-1849       16               350.55          286.11          636.66
1845-1849       17               357.24          319.61          676.85
1845-1849       18               372.32          375.29          747.61
1845-1849       19               395.72          453.17          848.89
1845-1849       20               424.90          543.94          968.84
1845-1849       21               449.49          610.16         1059.65
1845-1849       22               466.95          642.61         1109.56
1845-1849       23               477.24          641.25         1118.49
1845-1849       24               480.41          606.05         1086.46
1845-1849       25               477.70          545.00         1022.70
1845-1849       26               474.44          489.86          964.30
1845-1849       27               471.89          448.55          920.44
1845-1849       28               470.05          421.11          891.16
1845-1849       29               468.90          407.50          876.40
1845-1849       30               468.43          405.53          873.96
1845-1849       31               468.42          406.18          874.60
1845-1849       32               468.81          407.22          876.03
1845-1849       33               469.58          408.63          878.21
1845-1849       34               470.77          410.44          881.21
1845-1849       35               472.04          413.08          885.12
1845-1849       36               472.31          418.50          890.81
1845-1849       37               471.30          427.16          898.46
1845-1849       38               468.98          439.05          908.03
1845-1849       39               465.36          454.20          919.56
1845-1849       40               460.95          472.20          933.15
1845-1849       41               457.77          491.53          949.30
1845-1849       42               456.28          511.84          968.12
1845-1849       43               456.52          533.10          989.62
1845-1849       44               458.49          555.32         1013.81
1845-1849       45               461.98          577.32         1039.30
1845-1849       46               466.22          594.48         1060.70
1845-1849       47               471.04          605.63         1076.67
1845-1849       48               476.40          610.74         1087.14
1845-1849       49               482.34          609.83         1092.17
1845-1849       50               488.78          604.66         1093.44
1845-1849       51               495.47          602.33         1097.80
1845-1849       52               502.40          604.60         1107.00
1845-1849       53               509.52          611.46         1120.98
1845-1849       54               516.85          622.95         1139.80
1845-1849       55               525.22          637.96         1163.18
1845-1849       56               537.98          652.39         1190.37
1845-1849       57               555.99          665.22         1221.21
1845-1849       58               579.18          676.42         1255.60
1845-1849       59               607.64          686.01         1293.65
1845-1849       60               640.69          695.11         1335.80
1845-1849       61               675.96          708.21         1384.17
1845-1849       62               712.82          726.45         1439.27
1845-1849       63               751.24          749.85         1501.09
1845-1849       64               791.27          778.39         1569.66
1845-1849       65               831.65          810.07         1641.72
1845-1849       66               867.30          836.80         1704.10
1845-1849       67               896.97          856.58         1753.55
1845-1849       68               920.66          869.37         1790.03
1845-1849       69               938.39          875.19         1813.58
1845-1849       70               949.74          873.99         1823.73
1845-1849       71               953.05          865.28         1818.33
1845-1849       72               947.86          848.99         1796.85
1845-1849       73               934.23          825.12         1759.35
1845-1849       74               912.13          793.66         1705.79
1845-1849       75               883.28          756.30         1639.58
1845-1849       76               854.44          719.59         1574.03
1845-1849       77               827.28          685.26         1512.54
1845-1849       78               801.87          653.25         1455.12
1845-1849       79               778.12          623.59         1401.71
1845-1849       80               753.62          594.46         1348.08
1845-1849       81               718.46          558.62         1277.08
1845-1849       82               670.13          514.29         1184.42
1845-1849       83               608.69          461.48         1070.17
1845-1849       84               534.08          400.16          934.24
1845-1849       85               450.14          333.09          783.23
1845-1849       86               371.92          271.26          643.18
1845-1849       87               303.26          217.41          520.67
1845-1849       88               244.13          171.55          415.68
1845-1849       89               194.55          133.70          328.25
1845-1849       90               153.88          103.22          257.10
1845-1849       91               119.80           77.81          197.61
1845-1849       92                91.65           56.78          148.43
1845-1849       93                69.45           40.18          109.63
1845-1849       94                53.21           28.01           81.22
1845-1849       95                42.14           19.78           61.92
1845-1849       96                33.08           13.52           46.60
1845-1849       97                25.19            8.72           33.91
1845-1849       98                18.52            5.41           23.93
1845-1849       99                13.05            3.56           16.61
1845-1849      100                 8.73            2.89           11.62
1845-1849      101                 4.66            2.46            7.12
1845-1849      102                 2.47            1.98            4.45
1845-1849      103                 1.41            1.56            2.97
1845-1849      104                 0.72            1.09            1.81
1845-1849      105                 0.00            0.00            0.00
1845-1849      106                 0.00            0.00            0.00
1845-1849      107                 0.00            0.00            0.00
1845-1849      108                 0.00            0.00            0.00
1845-1849      109                 0.00            0.00            0.00
1845-1849      110+                0.00            0.00            0.00
1850-1854        0             18582.00        23544.00        42126.00
1850-1854        1              3373.22         3465.81         6839.03
1850-1854        2              2210.77         2290.17         4500.94
1850-1854        3              1548.66         1552.20         3100.86
1850-1854        4              1149.34         1113.82         2263.16
1850-1854        5               924.81          900.43         1825.24
1850-1854        6               760.16          751.76         1511.92
1850-1854        7               626.65          627.76         1254.41
1850-1854        8               524.29          528.39         1052.68
1850-1854        9               453.12          453.67          906.79
1850-1854       10               409.44          401.26          810.70
1850-1854       11               378.89          361.81          740.70
1850-1854       12               357.76          332.98          690.74
1850-1854       13               346.06          314.76          660.82
