England and Wales, Total Population, Deaths (period 1x5), 	Last modified: 27 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1841-1844        0            137214.00       175428.00       312642.00
1841-1844        1             54010.00        57176.00       111186.00
1841-1844        2             29753.00        29872.00        59625.00
1841-1844        3             19606.00        19770.00        39376.00
1841-1844        4             13927.00        14164.00        28091.00
1841-1844        5             10497.49        10696.62        21194.11
1841-1844        6              8125.78         8338.33        16464.11
1841-1844        7              6263.32         6470.52        12733.84
1841-1844        8              4910.17         5093.20        10003.37
1841-1844        9              4066.26         4206.36         8272.62
1841-1844       10              3673.27         3750.90         7424.17
1841-1844       11              3497.65         3490.49         6988.14
1841-1844       12              3481.02         3366.06         6847.08
1841-1844       13              3623.37         3377.55         7000.92
1841-1844       14              3924.72         3525.00         7449.72
1841-1844       15              4347.97         3785.00         8132.97
1841-1844       16              4744.64         4063.94         8808.58
1841-1844       17              5077.66         4338.46         9416.12
1841-1844       18              5347.02         4608.51         9955.53
1841-1844       19              5552.71         4874.10        10426.81
1841-1844       20              5696.45         5120.43        10816.88
1841-1844       21              5785.00         5288.20        11073.20
1841-1844       22              5820.08         5362.58        11182.66
1841-1844       23              5801.68         5343.58        11145.26
1841-1844       24              5729.80         5231.19        10960.99
1841-1844       25              5614.62         5044.91        10659.53
1841-1844       26              5496.92         4862.75        10359.67
1841-1844       27              5386.88         4704.13        10091.01
1841-1844       28              5284.51         4569.11         9853.62
1841-1844       29              5189.78         4457.67         9647.45
1841-1844       30              5102.74         4369.84         9472.58
1841-1844       31              5023.32         4305.58         9328.90
1841-1844       32              4951.59         4264.89         9216.48
1841-1844       33              4887.51         4247.81         9135.32
1841-1844       34              4831.09         4254.30         9085.39
1841-1844       35              4780.58         4279.81         9060.39
1841-1844       36              4729.12         4306.02         9035.14
1841-1844       37              4674.94         4328.33         9003.27
1841-1844       38              4618.05         4346.75         8964.80
1841-1844       39              4558.49         4361.30         8919.79
1841-1844       40              4496.18         4371.96         8868.14
1841-1844       41              4431.18         4378.73         8809.91
1841-1844       42              4363.48         4381.65         8745.13
1841-1844       43              4293.04         4380.67         8673.71
1841-1844       44              4219.93         4375.81         8595.74
1841-1844       45              4147.32         4368.70         8516.02
1841-1844       46              4087.97         4365.92         8453.89
1841-1844       47              4045.11         4369.13         8414.24
1841-1844       48              4018.74         4378.34         8397.08
1841-1844       49              4008.86         4393.50         8402.36
1841-1844       50              4015.45         4414.64         8430.09
1841-1844       51              4038.55         4441.79         8480.34
1841-1844       52              4078.12         4474.91         8553.03
1841-1844       53              4134.19         4514.00         8648.19
1841-1844       54              4206.73         4559.07         8765.80
1841-1844       55              4294.94         4611.04         8905.98
1841-1844       56              4395.63         4673.54         9069.17
1841-1844       57              4507.94         4747.50         9255.44
1841-1844       58              4631.88         4832.88         9464.76
1841-1844       59              4767.51         4929.75         9697.26
1841-1844       60              4914.76         5038.06         9952.82
1841-1844       61              5073.64         5157.79        10231.43
1841-1844       62              5244.18         5289.01        10533.19
1841-1844       63              5426.37         5431.65        10858.02
1841-1844       64              5620.17         5585.74        11205.91
1841-1844       65              5819.60         5745.25        11564.85
1841-1844       66              6000.58         5886.12        11886.70
1841-1844       67              6157.03         6002.29        12159.32
1841-1844       68              6288.98         6093.78        12382.76
1841-1844       69              6396.43         6160.57        12557.00
1841-1844       70              6479.38         6202.71        12682.09
1841-1844       71              6537.83         6220.13        12757.96
1841-1844       72              6571.77         6212.89        12784.66
1841-1844       73              6581.22         6180.95        12762.17
1841-1844       74              6566.15         6124.34        12690.49
1841-1844       75              6523.58         6041.14        12564.72
1841-1844       76              6441.47         5923.76        12365.23
1841-1844       77              6316.81         5770.30        12087.11
1841-1844       78              6149.60         5580.76        11730.36
1841-1844       79              5939.84         5355.16        11295.00
1841-1844       80              5687.54         5093.46        10781.00
1841-1844       81              5392.67         4795.70        10188.37
1841-1844       82              5055.28         4461.84         9517.12
1841-1844       83              4675.34         4091.93         8767.27
1841-1844       84              4252.85         3685.92         7938.77
1841-1844       85              3690.56         2988.02         6678.58
1841-1844       86              3259.83         2590.26         5850.09
1841-1844       87              2848.56         2210.70         5059.26
1841-1844       88              2455.40         1852.25         4307.65
1841-1844       89              2092.31         1526.31         3618.62
1841-1844       90              1753.89         1231.73         2985.62
1841-1844       91              1439.02          973.03         2412.05
1841-1844       92              1158.85          754.92         1913.77
1841-1844       93               916.25          573.70         1489.95
1841-1844       94               710.79          426.77         1137.56
1841-1844       95               540.69          310.59          851.28
1841-1844       96               403.11          221.03          624.14
1841-1844       97               294.38          153.77          448.15
1841-1844       98               210.50          104.52          315.02
1841-1844       99               147.30           69.41          216.71
1841-1844      100               100.86           45.01          145.87
1841-1844      101                67.57           28.51           96.08
