Northern Ireland, Deaths (period 1x5), 	Last modified: 21 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1922-1924        0              3035.00         3958.00         6993.00
1922-1924        1               898.00         1012.00         1910.00
1922-1924        2               412.00          429.00          841.00
1922-1924        3               236.00          274.00          510.00
1922-1924        4               146.00          148.00          294.00
1922-1924        5               108.81          104.55          213.36
1922-1924        6                92.70           95.00          187.70
1922-1924        7                80.58           86.23          166.81
1922-1924        8                72.50           78.22          150.72
1922-1924        9                68.42           70.98          139.40
1922-1924       10                68.29           65.25          133.54
1922-1924       11                71.97           63.95          135.92
1922-1924       12                79.43           67.83          147.26
1922-1924       13                90.67           76.88          167.55
1922-1924       14               105.65           91.11          196.76
1922-1924       15               123.27          109.15          232.42
1922-1924       16               138.93          125.79          264.72
1922-1924       17               151.49          139.60          291.09
1922-1924       18               160.97          150.62          311.59
1922-1924       19               167.35          158.86          326.21
1922-1924       20               171.27          164.34          335.61
1922-1924       21               175.19          167.22          342.41
1922-1924       22               179.76          167.55          347.31
1922-1924       23               184.98          165.34          350.32
1922-1924       24               190.81          160.57          351.38
1922-1924       25               196.66          153.89          350.55
1922-1924       26               199.89          148.06          347.95
1922-1924       27               199.86          143.70          343.56
1922-1924       28               196.57          140.85          337.42
1922-1924       29               190.01          139.48          329.49
1922-1924       30               181.33          139.39          320.72
1922-1924       31               174.98          139.75          314.73
1922-1924       32               172.12          140.35          312.47
1922-1924       33               172.74          141.20          313.94
1922-1924       34               176.84          142.29          319.13
1922-1924       35               183.61          143.62          327.23
1922-1924       36               189.94          145.35          335.29
1922-1924       37               195.03          147.42          342.45
1922-1924       38               198.90          149.90          348.80
1922-1924       39               201.51          152.73          354.24
1922-1924       40               203.11          155.96          359.07
1922-1924       41               204.46          159.60          364.06
1922-1924       42               205.83          163.61          369.44
1922-1924       43               207.14          168.02          375.16
1922-1924       44               208.48          172.82          381.30
1922-1924       45               210.81          178.75          389.56
1922-1924       46               218.14          188.76          406.90
1922-1924       47               231.55          203.59          435.14
1922-1924       48               251.00          223.22          474.22
1922-1924       49               276.50          247.69          524.19
1922-1924       50               305.45          274.82          580.27
1922-1924       51               327.44          296.10          623.54
1922-1924       52               339.93          309.40          649.33
1922-1924       53               342.87          314.69          657.56
1922-1924       54               336.29          312.01          648.30
1922-1924       55               323.61          304.07          627.68
1922-1924       56               318.60          301.87          620.47
1922-1924       57               324.69          308.13          632.82
1922-1924       58               341.88          322.85          664.73
1922-1924       59               370.21          346.07          716.28
1922-1924       60               405.73          375.20          780.93
1922-1924       61               432.87          400.23          833.10
1922-1924       62               447.70          418.63          866.33
1922-1924       63               450.23          430.39          880.62
1922-1924       64               440.48          435.53          876.01
1922-1924       65               424.81          437.06          861.87
1922-1924       66               428.68          447.10          875.78
1922-1924       67               458.48          468.67          927.15
1922-1924       68               514.20          501.75         1015.95
1922-1924       69               595.86          546.40         1142.26
1922-1924       70               692.65          596.87         1289.52
1922-1924       71               761.51          630.48         1391.99
1922-1924       72               791.70          641.55         1433.25
1922-1924       73               783.18          630.06         1413.24
1922-1924       74               735.97          596.04         1332.01
1922-1924       75               659.41          544.69         1204.10
1922-1924       76               591.01          496.98         1087.99
1922-1924       77               540.10          458.13          998.23
1922-1924       78               506.70          428.16          934.86
1922-1924       79               490.78          407.04          897.82
1922-1924       80               487.33          392.47          879.80
1922-1924       81               476.15          375.18          851.33
1922-1924       82               452.19          352.84          805.03
1922-1924       83               415.42          325.46          740.88
1922-1924       84               365.90          293.03          658.93
1922-1924       85               307.06          256.83          563.89
1922-1924       86               252.84          221.83          474.67
1922-1924       87               206.71          189.32          396.03
1922-1924       88               168.67          159.29          327.96
1922-1924       89               138.72          131.75          270.47
1922-1924       90               115.92          106.83          222.75
1922-1924       91                96.47           85.29          181.76
1922-1924       92                79.40           67.27          146.67
1922-1924       93                64.74           52.78          117.52
1922-1924       94                52.45           41.82           94.27
1922-1924       95                40.97           37.75           78.72
1922-1924       96                31.04           26.73           57.77
1922-1924       97                22.78           19.13           41.91
1922-1924       98                16.65           13.87           30.52
1922-1924       99                11.97            9.88           21.85
1922-1924      100                 8.45            6.90           15.35
1922-1924      101                 5.87            4.74           10.61
1922-1924      102                 4.00            3.19            7.19
1922-1924      103                 2.69            1.93            4.62
1922-1924      104                 1.55            0.89            2.44
1922-1924      105                 0.00            0.00            0.00
1922-1924      106                 0.00            0.00            0.00
1922-1924      107                 0.00            0.00            0.00
1922-1924      108                 0.00            0.00            0.00
1922-1924      109                 0.00            0.00            0.00
1922-1924      110+                0.00            0.00            0.00
1925-1929        0              4691.00         6360.00        11051.00
1925-1929        1              1439.00         1696.00         3135.00
1925-1929        2               620.00          688.00         1308.00
1925-1929        3               374.00          372.00          746.00
1925-1929        4               262.00          277.00          539.00
1925-1929        5               200.39          213.87          414.26
1925-1929        6               166.62          173.33          339.95
1925-1929        7               140.74          142.32          283.06
1925-1929        8               122.70          120.77          243.47
1925-1929        9               112.55          108.73          221.28
1925-1929       10               109.87          105.16          215.03
1925-1929       11               113.11          106.14          219.25
1925-1929       12               121.87          110.66          232.53
1925-1929       13               136.16          118.72          254.88
1925-1929       14               156.00          130.31          286.31
1925-1929       15               179.96          144.86          324.82
1925-1929       16               202.50          159.88          362.38
1925-1929       17               222.22          174.73          396.95
1925-1929       18               239.11          189.48          428.59
1925-1929       19               253.17          204.09          457.26
1925-1929       20               264.49          217.66          482.15
1925-1929       21               273.15          226.67          499.82
1925-1929       22               279.20          230.23          509.43
1925-1929       23               282.68          228.35          511.03
1925-1929       24               283.52          221.03          504.55
1925-1929       25               282.33          209.73          492.06
1925-1929       26               281.28          200.41          481.69
1925-1929       27               280.92          194.56          475.48
1925-1929       28               281.24          192.15          473.39
1925-1929       29               282.25          193.18          475.43
1925-1929       30               283.56          196.91          480.47
1925-1929       31               283.67          200.24          483.91
1925-1929       32               282.20          202.38          484.58
1925-1929       33               279.11          203.35          482.46
1925-1929       34               274.47          203.14          477.61
1925-1929       35               269.33          202.25          471.58
1925-1929       36               268.05          202.68          470.73
1925-1929       37               271.82          204.97          476.79
1925-1929       38               280.54          209.08          489.62
1925-1929       39               294.25          215.01          509.26
1925-1929       40               311.43          222.86          534.29
1925-1929       41               325.89          232.90          558.79
1925-1929       42               336.07          245.15          581.22
1925-1929       43               341.97          259.66          601.63
1925-1929       44               343.63          276.46          620.09
1925-1929       45               343.28          295.46          638.74
1925-1929       46               349.81          316.61          666.42
