United Kingdom, Deaths (period 1x5), 	Last modified: 28 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1922-1924        0             86992.00       118452.35       205444.35
1922-1924        1             28699.00        32710.12        61409.12
1922-1924        2             12581.00        13755.04        26336.04
1922-1924        3              6847.00         7460.02        14307.02
1922-1924        4              4411.00         4664.02         9075.02
1922-1924        5              3471.01         3644.42         7115.43
1922-1924        6              2866.88         3064.59         5931.47
1922-1924        7              2527.56         2752.48         5280.04
1922-1924        8              2223.09         2441.09         4664.18
1922-1924        9              2141.46         2304.44         4445.90
1922-1924       10              2041.42         2142.87         4184.29
1922-1924       11              1939.08         2039.80         3978.88
1922-1924       12              2075.29         2031.55         4106.84
1922-1924       13              2303.00         2179.17         4482.17
1922-1924       14              2623.20         2445.62         5068.82
1922-1924       15              2815.59         2721.46         5537.05
1922-1924       16              3138.94         2969.12         6108.06
1922-1924       17              3297.95         3336.07         6634.02
1922-1924       18              3429.61         3640.37         7069.98
1922-1924       19              3592.92         3902.01         7494.93
1922-1924       20              3692.90         3972.69         7665.59
1922-1924       21              3810.61         3911.20         7721.81
1922-1924       22              3912.06         3909.27         7821.33
1922-1924       23              3831.26         3900.89         7732.15
1922-1924       24              3958.18         3887.02         7845.20
1922-1924       25              3956.33         3568.55         7524.88
1922-1924       26              3953.54         3569.92         7523.46
1922-1924       27              4150.26         3684.93         7835.19
1922-1924       28              4162.53         3648.64         7811.17
1922-1924       29              4058.30         3748.00         7806.30
1922-1924       30              4253.54         3731.93         7985.47
1922-1924       31              4146.90         3723.07         7869.97
1922-1924       32              4208.33         4136.29         8344.62
1922-1924       33              4222.83         4087.65         8310.48
1922-1924       34              4341.40         4273.07         8614.47
1922-1924       35              4453.30         4569.49         9022.79
1922-1924       36              4654.74         4663.60         9318.34
1922-1924       37              4708.99         4876.25         9585.24
1922-1924       38              5024.06         5444.49        10468.55
1922-1924       39              5152.93         5677.25        10830.18
1922-1924       40              5281.53         5787.39        11068.92
1922-1924       41              5258.57         5685.99        10944.56
1922-1924       42              5821.04         6735.78        12556.82
1922-1924       43              5652.83         6553.82        12206.65
1922-1924       44              5857.05         6636.08        12493.13
1922-1924       45              6020.72         7404.94        13425.66
1922-1924       46              6288.16         7453.79        13741.95
1922-1924       47              6645.52         7881.06        14526.58
1922-1924       48              7090.75         8336.65        15427.40
1922-1924       49              7335.86         8796.65        16132.51
1922-1924       50              7707.87         9142.93        16850.80
1922-1924       51              7443.99         8639.14        16083.13
1922-1924       52              8358.26        10021.19        18379.45
1922-1924       53              8471.65        10146.06        18617.71
1922-1924       54              9009.19        10653.80        19662.99
1922-1924       55              8251.90        10045.25        18297.15
1922-1924       56              9497.92        11319.00        20816.92
1922-1924       57              9392.25        11520.88        20913.13
1922-1924       58             10286.93        12422.88        22709.81
1922-1924       59             10567.00        12786.10        23353.10
1922-1924       60             11013.77        12877.04        23890.81
1922-1924       61             10642.02        12516.36        23158.38
1922-1924       62             12318.14        14332.65        26650.79
1922-1924       63             12783.11        14650.90        27434.01
1922-1924       64             13192.95        14962.17        28155.12
1922-1924       65             13794.81        15557.54        29352.35
1922-1924       66             13061.11        14496.57        27557.68
1922-1924       67             13876.01        15353.43        29229.44
1922-1924       68             15173.50        16536.07        31709.57
1922-1924       69             15638.61        16642.56        32281.17
1922-1924       70             16364.99        16203.10        32568.09
1922-1924       71             15973.51        15402.81        31376.32
1922-1924       72             17990.94        16950.99        34941.93
1922-1924       73             17854.21        16270.60        34124.81
1922-1924       74             17260.36        15785.66        33046.02
1922-1924       75             17291.33        14941.02        32232.35
1922-1924       76             16896.12        14276.14        31172.26
1922-1924       77             16286.64        13442.82        29729.46
1922-1924       78             16371.93        13193.14        29565.07
1922-1924       79             15251.96        11964.02        27215.98
1922-1924       80             14414.79        10885.46        25300.25
1922-1924       81             13105.51         9573.24        22678.75
1922-1924       82             13268.11         9396.33        22664.44
1922-1924       83             11933.58         8042.69        19976.27
1922-1924       84             11063.98         6883.34        17947.32
1922-1924       85              9043.41         5630.37        14673.78
1922-1924       86              7817.35         4730.96        12548.31
1922-1924       87              6502.95         3763.18        10266.13
1922-1924       88              5271.20         2940.03         8211.23
1922-1924       89              4458.10         2282.53         6740.63
1922-1924       90              3506.48         1701.81         5208.29
1922-1924       91              2503.49         1262.69         3766.18
1922-1924       92              2031.95          948.26         2980.21
1922-1924       93              1557.87          671.60         2229.47
1922-1924       94              1187.20          475.64         1662.84
1922-1924       95               787.09          332.52         1119.61
1922-1924       96               586.98          229.27          816.25
1922-1924       97               422.65          148.98          571.63
1922-1924       98               280.60          101.59          382.19
1922-1924       99               163.09           62.01          225.10
1922-1924      100               100.32           37.90          138.22
1922-1924      101                65.83           14.74           80.57
1922-1924      102                44.55           12.19           56.74
1922-1924      103                22.43           10.93           33.36
1922-1924      104                14.45            2.89           17.34
1922-1924      105                 8.98            1.00            9.98
1922-1924      106                 6.00            2.00            8.00
1922-1924      107                 4.00            0.00            4.00
1922-1924      108                 0.00            0.00            0.00
1922-1924      109                 0.00            0.00            0.00
1922-1924      110+                0.00            0.00            0.00
1925-1929        0            124257.00       168185.62       292442.62
1925-1929        1             36709.00        42101.16        78810.16
1925-1929        2             15836.00        17491.06        33327.06
1925-1929        3              9929.00        10822.04        20751.04
1925-1929        4              7470.00         8429.03        15899.03
1925-1929        5              6855.84         7678.51        14534.35
1925-1929        6              5241.27         5699.23        10940.50
1925-1929        7              4094.17         4617.62         8711.79
1925-1929        8              3469.48         3878.58         7348.06
1925-1929        9              2962.24         3327.16         6289.40
1925-1929       10              2629.07         3006.24         5635.31
1925-1929       11              2723.48         2987.48         5710.96
1925-1929       12              3010.16         3051.77         6061.93
1925-1929       13              3274.08         3372.09         6646.17
1925-1929       14              3783.25         3822.45         7605.70
1925-1929       15              4316.72         4309.03         8625.75
1925-1929       16              4899.64         4937.30         9836.94
1925-1929       17              5238.07         5544.37        10782.44
1925-1929       18              5661.05         6041.31        11702.36
1925-1929       19              5890.48         6259.05        12149.53
1925-1929       20              6056.51         6617.67        12674.18
1925-1929       21              6213.18         6637.33        12850.51
1925-1929       22              6175.53         6359.10        12534.63
1925-1929       23              6405.58         6320.98        12726.56
1925-1929       24              6495.27         6401.97        12897.24
1925-1929       25              6541.47         6164.84        12706.31
1925-1929       26              6549.23         6244.85        12794.08
1925-1929       27              6538.43         6254.87        12793.30
1925-1929       28              6712.98         5914.82        12627.80
1925-1929       29              6481.91         5966.74        12448.65
1925-1929       30              6542.62         5890.76        12433.38
1925-1929       31              6267.81         5825.46        12093.27
1925-1929       32              6847.92         6195.99        13043.91
1925-1929       33              6607.88         6313.35        12921.23
1925-1929       34              6915.76         6641.53        13557.29
1925-1929       35              7022.01         6937.79        13959.80
1925-1929       36              7215.38         7239.19        14454.57
1925-1929       37              7326.53         7707.01        15033.54
1925-1929       38              7955.30         8313.25        16268.55
1925-1929       39              8072.76         8741.84        16814.60
1925-1929       40              8213.37         9302.94        17516.31
1925-1929       41              8169.11         9313.78        17482.89
1925-1929       42              9329.42        10914.42        20243.84
1925-1929       43              9227.31        10756.87        19984.18
1925-1929       44              9400.83        11310.15        20710.98
1925-1929       45             10067.38        12105.89        22173.27
1925-1929       46             10482.63        12435.57        22918.20
