Slovenia, Deaths (period 1x5), 	Last modified: 01 Nov 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1983-1984        0               329.00          413.00          742.00
1983-1984        1                30.00           35.00           65.00
1983-1984        2                17.00           10.00           27.00
1983-1984        3                16.00           17.00           33.00
1983-1984        4                 7.00           17.00           24.00
1983-1984        5                 5.00            5.00           10.00
1983-1984        6                 6.00           16.00           22.00
1983-1984        7                 7.00           11.00           18.00
1983-1984        8                 8.00           16.00           24.00
1983-1984        9                 3.00            9.00           12.00
1983-1984       10                 5.00            6.00           11.00
1983-1984       11                 6.00            9.00           15.00
1983-1984       12                 7.00            6.00           13.00
1983-1984       13                 2.00            8.00           10.00
1983-1984       14                 6.00           13.00           19.00
1983-1984       15                 9.00           11.00           20.00
1983-1984       16                13.00           18.00           31.00
1983-1984       17                12.00           38.00           50.00
1983-1984       18                10.00           44.00           54.00
1983-1984       19                13.00           30.00           43.00
1983-1984       20                13.00           44.00           57.00
1983-1984       21                11.00           52.00           63.00
1983-1984       22                14.00           58.00           72.00
1983-1984       23                17.00           44.00           61.00
1983-1984       24                10.00           48.00           58.00
1983-1984       25                14.00           69.00           83.00
1983-1984       26                18.00           52.00           70.00
1983-1984       27                15.00           64.00           79.00
1983-1984       28                17.00           57.00           74.00
1983-1984       29                17.00           69.00           86.00
1983-1984       30                14.00           70.00           84.00
1983-1984       31                24.00           73.00           97.00
1983-1984       32                27.00           87.00          114.00
1983-1984       33                21.00           82.00          103.00
1983-1984       34                27.00           79.00          106.00
1983-1984       35                28.00           96.00          124.00
1983-1984       36                34.00           78.00          112.00
1983-1984       37                33.00           76.00          109.00
1983-1984       38                15.00           74.00           89.00
1983-1984       39                30.00          108.00          138.00
1983-1984       40                41.00          107.00          148.00
1983-1984       41                42.00          109.00          151.00
1983-1984       42                62.00          125.00          187.00
1983-1984       43                50.00          126.00          176.00
1983-1984       44                68.00          184.00          252.00
1983-1984       45                63.00          172.00          235.00
1983-1984       46                82.00          188.00          270.00
1983-1984       47                81.00          187.00          268.00
1983-1984       48                93.00          229.00          322.00
1983-1984       49               102.00          255.00          357.00
1983-1984       50               102.00          260.00          362.00
1983-1984       51               112.00          304.00          416.00
1983-1984       52               166.00          351.00          517.00
1983-1984       53               156.00          374.00          530.00
1983-1984       54               140.00          359.00          499.00
1983-1984       55               169.00          381.00          550.00
1983-1984       56               174.00          374.00          548.00
1983-1984       57               174.00          348.00          522.00
1983-1984       58               202.00          338.00          540.00
1983-1984       59               241.00          361.00          602.00
1983-1984       60               201.00          385.00          586.00
1983-1984       61               240.00          347.00          587.00
1983-1984       62               247.00          352.00          599.00
1983-1984       63               228.00          355.00          583.00
1983-1984       64               235.00          306.00          541.00
1983-1984       65               180.00          264.00          444.00
1983-1984       66               159.00          233.00          392.00
1983-1984       67               200.00          252.00          452.00
1983-1984       68               313.00          429.00          742.00
1983-1984       69               385.00          507.00          892.00
1983-1984       70               505.00          564.00         1069.00
