East Germany, Deaths (period 5x1), 	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1956           0              5553.00         7529.00        13082.00
  1956         1-4               918.00         1281.00         2199.00
  1956         5-9               236.00          425.00          661.00
  1956        10-14              209.00          352.00          561.00
  1956        15-19              474.00          872.00         1346.00
  1956        20-24              532.00         1037.00         1569.00
  1956        25-29              571.00          866.00         1437.00
  1956        30-34              864.00          636.00         1500.00
  1956        35-39              941.00          668.00         1609.00
  1956        40-44             1791.00         1421.00         3212.00
  1956        45-49             3078.00         2760.00         5838.00
  1956        50-54             4269.00         5366.00         9635.00
  1956        55-59             6036.00         7922.00        13958.00
  1956        60-64             8499.00         9578.00        18077.00
  1956        65-69            12501.00        13118.00        25619.00
  1956        70-74            16415.00        15139.00        31554.00
  1956        75-79            19147.00        16753.00        35900.00
  1956        80-84            15949.00        12752.00        28701.00
  1956        85-89             7409.00         5376.00        12785.00
  1956        90-94             1950.00         1177.00         3127.00
  1956        95-99              224.00           93.00          317.00
  1956       100-104              10.01            1.00           11.01
  1956       105-109               0.00            0.00            0.00
  1956       110+                  0.00            0.00            0.00
  1957           0              5278.00         7161.00        12439.00
  1957         1-4               966.00         1265.00         2231.00
  1957         5-9               305.00          525.00          830.00
  1957        10-14              212.00          331.00          543.00
  1957        15-19              451.00          954.00         1405.00
  1957        20-24              581.00         1099.00         1680.00
  1957        25-29              591.00          851.00         1442.00
  1957        30-34              815.00          693.00         1508.00
  1957        35-39             1031.00          805.00         1836.00
  1957        40-44             1633.00         1199.00         2832.00
  1957        45-49             2994.00         2741.00         5735.00
  1957        50-54             4447.00         5319.00         9766.00
  1957        55-59             6234.00         8767.00        15001.00
  1957        60-64             9148.00        10537.00        19685.00
  1957        65-69            13217.00        14011.00        27228.00
  1957        70-74            17648.00        16798.00        34446.00
  1957        75-79            20437.00        17306.00        37743.00
  1957        80-84            17142.00        13756.00        30898.00
  1957        85-89             8088.00         5816.00        13904.00
  1957        90-94             2244.00         1366.00         3610.00
  1957        95-99              282.00          116.00          398.00
  1957       100-104              12.99            6.00           18.99
  1957       105-109               0.00            0.00            0.00
  1957       110+                  0.00            0.00            0.00
  1958           0              5072.00         6915.00        11987.00
  1958         1-4               838.00         1110.00         1948.00
  1958         5-9               270.00          444.00          714.00
  1958        10-14              175.00          231.00          406.00
  1958        15-19              439.00          870.00         1309.00
  1958        20-24              497.00         1012.00         1509.00
  1958        25-29              553.00          826.00         1379.00
  1958        30-34              741.00          737.00         1478.00
  1958        35-39             1125.00          832.00         1957.00
  1958        40-44             1284.00          963.00         2247.00
  1958        45-49             2818.00         2511.00         5329.00
  1958        50-54             4261.00         5036.00         9297.00
  1958        55-59             6300.00         8487.00        14787.00
  1958        60-64             9104.00        10355.00        19459.00
  1958        65-69            12844.00        12986.00        25830.00
  1958        70-74            17669.00        16169.00        33838.00
  1958        75-79            20054.00        16703.00        36757.00
  1958        80-84            17753.00        14137.00        31890.00
