Republic of Korea, Deaths (period 5x1), 	Last modified: 20 Jul 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  2003           0              1075.17         1453.06         2528.23
  2003         1-4               367.05          459.01          826.06
  2003         5-9               264.05          409.01          673.06
  2003        10-14              197.02          325.00          522.02
  2003        15-19              403.06          850.02         1253.08
  2003        20-24              688.12         1453.05         2141.17
  2003        25-29              853.13         1814.05         2667.18
  2003        30-34             1244.20         2762.10         4006.30
  2003        35-39             1587.25         4025.13         5612.38
  2003        40-44             2472.37         7085.25         9557.62
  2003        45-49             2871.45         8676.32        11547.77
  2003        50-54             3047.47         9251.35        12298.82
  2003        55-59             3839.60        10031.38        13870.98
  2003        60-64             6372.97        15293.55        21666.52
  2003        65-69             9442.45        17395.65        26838.10
  2003        70-74            13225.03        16220.60        29445.63
  2003        75-79            17073.63        15111.56        32185.19
  2003        80-84            19400.99        12998.47        32399.46
  2003        85-89            15136.34         7037.26        22173.60
  2003        90-94             8192.26         2687.10        10879.36
  2003        95-99             2294.36          464.01         2758.37
  2003       100-104             482.80           77.25          560.05
  2003       105-109              45.53            4.75           50.28
  2003       110+                  1.76            0.00            1.76
  2004           0              1015.08         1226.02         2241.10
  2004         1-4               325.02          417.00          742.02
  2004         5-9               246.02          404.01          650.03
  2004        10-14              203.02          324.00          527.02
  2004        15-19              311.03          714.00         1025.03
  2004        20-24              592.05         1217.01         1809.06
  2004        25-29              724.05         1482.02         2206.07
  2004        30-34             1113.07         2226.03         3339.10
  2004        35-39             1606.10         3759.05         5365.15
  2004        40-44             2424.17         6550.11         8974.28
  2004        45-49             2951.21         8911.13        11862.34
  2004        50-54             3002.23         9203.13        12205.36
  2004        55-59             3635.26        10419.14        14054.40
  2004        60-64             6046.44        14771.21        20817.65
  2004        65-69             9184.66        17893.27        27077.93
  2004        70-74            12905.94        17010.24        29916.18
  2004        75-79            17061.24        15489.23        32550.47
  2004        80-84            19735.44        13598.20        33333.64
  2004        85-89            15486.12         7269.09        22755.21
  2004        90-94             8369.62         2705.04        11074.66
  2004        95-99             2514.18          593.00         3107.18
  2004       100-104             486.66           50.95          537.61
  2004       105-109              44.99            2.07           47.06
  2004       110+                  1.42            0.00            1.42
  2005           0               853.06          980.00         1833.06
  2005         1-4               249.02          363.00          612.02
  2005         5-9               238.00          352.00          590.00
  2005        10-14              213.02          308.00          521.02
  2005        15-19              331.02          669.00         1000.02
  2005        20-24              720.06         1149.00         1869.06
  2005        25-29              843.07         1465.00         2308.07
  2005        30-34             1200.10         2270.00         3470.10
  2005        35-39             1628.14         3419.00         5047.14
  2005        40-44             2218.18         5879.00         8097.18
  2005        45-49             3061.24         8748.00        11809.24
  2005        50-54             3123.25         9113.00        12236.25
  2005        55-59             3651.29        10099.00        13750.29
  2005        60-64             5740.46        13843.00        19583.46
  2005        65-69             8768.72        17690.00        26458.72
  2005        70-74            12740.05        17649.00        30389.05
  2005        75-79            17526.41        16032.00        33558.41
  2005        80-84            20005.64        13814.00        33819.64
  2005        85-89            15683.27         7977.00        23660.27
  2005        90-94             8652.70         2815.00        11467.70
  2005        95-99             2610.20          610.00         3220.20
  2005       100-104             460.01           69.31          529.32
  2005       105-109              39.15            3.69           42.84
  2005       110+                  0.85            0.00            0.85
  2006           0               752.05          958.00         1710.05
  2006         1-4               254.02          294.00          548.02
  2006         5-9               214.03          290.01          504.04
  2006        10-14              186.02          329.00          515.02
  2006        15-19              311.02          647.00          958.02
  2006        20-24              548.04          951.01         1499.05
  2006        25-29              724.04         1392.01         2116.05
  2006        30-34              990.06         1848.00         2838.06
  2006        35-39             1488.10         3152.02         4640.12
  2006        40-44             1989.14         5299.05         7288.19
  2006        45-49             2906.19         8622.08        11528.27
  2006        50-54             3274.21         9468.08        12742.29
  2006        55-59             3630.23        10274.09        13904.32
  2006        60-64             5063.33        12549.09        17612.42
  2006        65-69             8438.54        17504.13        25942.67
  2006        70-74            12559.82        18548.13        31107.95
  2006        75-79            17256.10        16517.14        33773.24
  2006        80-84            20341.30        14041.10        34382.40
  2006        85-89            16241.04         8264.06        24505.10
  2006        90-94             9200.59         2889.00        12089.59
  2006        95-99             2687.17          717.01         3404.18
  2006       100-104             440.71           72.67          513.38
  2006       105-109              34.64            4.32           38.96
  2006       110+                  0.68            0.00            0.68
  2007           0               771.01          936.01         1707.02
  2007         1-4               221.01          287.00          508.01
  2007         5-9               183.01          256.00          439.01
  2007        10-14              179.00          297.00          476.00
  2007        15-19              320.00          751.01         1071.01
  2007        20-24              670.01          959.00         1629.01
  2007        25-29              929.01         1522.01         2451.02
  2007        30-34             1187.02         1831.01         3018.03
  2007        35-39             1580.02         2994.03         4574.05
  2007        40-44             1967.04         5116.05         7083.09
  2007        45-49             3081.05         8400.06        11481.11
