Taiwan, Deaths (period 5x1), 	Last modified: 18 Sep 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1970           0              2770.00         3396.00         6166.00
  1970         1-4              1990.00         2387.00         4377.00
  1970         5-9               517.00          733.00         1250.00
  1970        10-14              428.00          607.01         1035.01
  1970        15-19              614.00         1106.99         1720.99
  1970        20-24              519.99         1051.99         1571.98
  1970        25-29              526.00          980.01         1506.01
  1970        30-34              706.98         1165.01         1871.99
  1970        35-39              766.02         1486.99         2253.01
  1970        40-44              915.00         2093.00         3008.00
  1970        45-49             1130.99         2652.99         3783.98
  1970        50-54             1380.98         3027.01         4407.99
  1970        55-59             1704.01         3604.99         5309.00
  1970        60-64             2411.01         4319.00         6730.01
  1970        65-69             2758.01         4230.99         6989.00
  1970        70-74             3060.99         3680.01         6741.00
  1970        75-79             2808.00         2585.00         5393.00
  1970        80-84             2236.12         1553.48         3789.60
  1970        85-89             1378.64          699.73         2078.37
  1970        90-94              625.13          229.72          854.85
  1970        95-99              194.61           52.35          246.96
  1970       100-104              39.13            7.73           46.86
  1970       105-109               4.36            0.00            4.36
  1970       110+                  0.00            0.00            0.00
  1971           0              2492.00         3077.00         5569.00
  1971         1-4              1900.00         2179.00         4079.00
  1971         5-9               487.00          746.00         1233.00
  1971        10-14              358.01          569.00          927.01
  1971        15-19              591.00          986.01         1577.01
  1971        20-24              514.01         1129.01         1643.02
  1971        25-29              476.01          976.98         1452.99
  1971        30-34              608.00         1121.99         1729.99
  1971        35-39              780.00         1408.02         2188.02
  1971        40-44              972.99         2087.00         3059.99
  1971        45-49             1202.00         2552.99         3754.99
  1971        50-54             1447.01         3101.98         4548.99
  1971        55-59             1815.00         3834.02         5649.02
  1971        60-64             2389.00         4333.00         6722.00
  1971        65-69             2792.99         4316.01         7109.00
  1971        70-74             3208.99         3827.99         7036.98
  1971        75-79             2717.02         2712.01         5429.03
  1971        80-84             2287.52         1644.61         3932.13
  1971        85-89             1418.74          720.77         2139.51
  1971        90-94              649.13          221.56          870.69
  1971        95-99              204.89           45.46          250.35
  1971       100-104              41.96            5.62           47.58
  1971       105-109               4.78            0.00            4.78
  1971       110+                  0.00            0.00            0.00
  1972           0              2475.00         2953.00         5428.00
  1972         1-4              1337.00         1673.00         3010.00
  1972         5-9               417.01          694.99         1112.00
  1972        10-14              394.00          594.00          988.00
  1972        15-19              606.01         1066.99         1673.00
  1972        20-24              647.00         1231.99         1878.99
  1972        25-29              505.00          950.99         1455.99
  1972        30-34              665.99         1184.01         1850.00
  1972        35-39              760.00         1419.98         2179.98
  1972        40-44              972.00         2185.99         3157.99
  1972        45-49             1183.99         2759.99         3943.98
  1972        50-54             1394.99         3231.01         4626.00
  1972        55-59             1762.00         3917.00         5679.00
  1972        60-64             2363.99         4237.01         6601.00
  1972        65-69             3020.00         4441.00         7461.00
  1972        70-74             3147.98         3987.00         7134.98
  1972        75-79             2928.02         2732.99         5661.01
  1972        80-84             2424.01         1682.99         4107.00
  1972        85-89             1478.37          750.46         2228.83
  1972        90-94              697.06          254.60          951.66
  1972        95-99              230.08           60.85          290.93
  1972       100-104              50.05            9.86           59.91
  1972       105-109               6.43            0.25            6.68
  1972       110+                  0.00            0.00            0.00
  1973           0              2385.00         2885.00         5270.00
  1973         1-4              1351.00         1560.00         2911.00
  1973         5-9               403.00          675.00         1078.00
  1973        10-14              398.00          671.01         1069.01
  1973        15-19              625.00         1076.98         1701.98
  1973        20-24              660.01         1284.00         1944.01
  1973        25-29              478.00          954.00         1432.00
  1973        30-34              586.01         1180.99         1767.00
  1973        35-39              828.99         1492.99         2321.98
