Czechia, Deaths (period 5x10), 	Last modified: 25 Jan 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1959        0             25898.54        34911.51        60810.05
1950-1959      1-4              5240.04         6269.35        11509.39
1950-1959      5-9              1842.00         2958.11         4800.11
1950-1959     10-14             1396.00         2306.03         3702.03
1950-1959     15-19             1931.00         4111.17         6042.17
1950-1959     20-24             2809.00         5885.20         8694.20
1950-1959     25-29             3761.00         6454.24        10215.24
1950-1959     30-34             4375.00         6537.24        10912.24
1950-1959     35-39             5476.01         7321.39        12797.40
1950-1959     40-44             8936.13        12313.69        21249.82
1950-1959     45-49            14303.28        21331.02        35634.30
1950-1959     50-54            20573.36        33639.68        54213.04
1950-1959     55-59            27970.58        44709.05        72679.63
1950-1959     60-64            37781.76        52579.38        90361.14
1950-1959     65-69            52635.99        61178.78       113814.77
1950-1959     70-74            69304.32        67354.09       136658.41
1950-1959     75-79            75934.48        64046.94       139981.42
1950-1959     80-84            62165.18        48413.22       110578.40
1950-1959     85-89            32815.67        22975.98        55791.65
1950-1959     90-94             9932.13         5783.18        15715.31
1950-1959     95-99             1428.00          708.00         2136.00
1950-1959    100-104             100.00           30.99          130.99
1950-1959    105-109               0.00            0.00            0.00
1950-1959    110+                  0.00            0.00            0.00
1960-1969        0             12215.00        17237.00        29452.00
1960-1969      1-4              2093.00         3078.00         5171.00
1960-1969      5-9              1218.00         2069.00         3287.00
1960-1969     10-14             1095.00         2033.00         3128.00
1960-1969     15-19             2001.00         5098.00         7099.00
1960-1969     20-24             1882.00         6294.00         8176.00
1960-1969     25-29             1905.00         5019.00         6924.00
1960-1969     30-34             2714.00         5851.00         8565.00
1960-1969     35-39             4548.00         8128.00        12676.00
1960-1969     40-44             6509.00        11333.00        17842.00
1960-1969     45-49             9258.00        15259.00        24517.00
1960-1969     50-54            16475.00        28573.00        45048.00
1960-1969     55-59            27897.00        51712.00        79609.00
1960-1969     60-64            41805.00        73618.00       115423.00
1960-1969     65-69            60203.00        83223.00       143426.00
1960-1969     70-74            77852.00        79296.00       157148.00
1960-1969     75-79            87290.00        69942.00       157232.00
1960-1969     80-84            76892.00        52593.00       129485.00
1960-1969     85-89            44420.00        26856.00        71276.00
1960-1969     90-94            14224.00         7729.00        21953.00
1960-1969     95-99             2267.00         1026.00         3293.00
1960-1969    100-104             181.28           61.03          242.31
1960-1969    105-109               1.73            0.00            1.73
1960-1969    110+                  0.00            0.00            0.00
1970-1979        0             13562.00        19492.00        33054.00
1970-1979      1-4              1748.00         2381.00         4129.00
1970-1979      5-9              1019.00         1684.00         2703.00
1970-1979     10-14              767.00         1512.00         2279.00
1970-1979     15-19             1579.00         4019.00         5598.00
1970-1979     20-24             1948.00         6122.00         8070.00
1970-1979     25-29             2272.00         6118.00         8390.00
1970-1979     30-34             2543.00         6216.00         8759.00
1970-1979     35-39             3356.00         7614.00        10970.00
1970-1979     40-44             5857.00        12303.00        18160.00
1970-1979     45-49            10779.00        21328.00        32107.00
1970-1979     50-54            16029.00        31534.00        47563.00
1970-1979     55-59            22141.00        42481.00        64622.00
1970-1979     60-64            40196.00        71830.00       112026.00
1970-1979     65-69            69315.00       106987.00       176302.00
1970-1979     70-74            99599.00       114409.00       214008.00
1970-1979     75-79           117371.00        93875.00       211246.00
1970-1979     80-84           102264.00        59727.00       161991.00
1970-1979     85-89            60163.00        29303.00        89466.00
1970-1979     90-94            21265.00         8858.00        30123.00
1970-1979     95-99             3649.00         1327.00         4976.00
1970-1979    100-104             322.50          116.91          439.41
1970-1979    105-109              13.49            3.11           16.60
1970-1979    110+                  0.00            0.00            0.00
1980-1989        0              7566.00        10964.00        18530.00
1980-1989      1-4              1256.00         1685.00         2941.00
1980-1989      5-9               998.00         1631.00         2629.00
1980-1989     10-14              743.00         1326.00         2069.00
1980-1989     15-19             1186.00         2978.00         4164.00
1980-1989     20-24             1290.00         4048.00         5338.00
1980-1989     25-29             1721.00         4692.00         6413.00
1980-1989     30-34             2687.00         6829.00         9516.00
1980-1989     35-39             4113.00        10147.00        14260.00
1980-1989     40-44             6009.00        14148.00        20157.00
1980-1989     45-49             8588.00        19862.00        28450.00
1980-1989     50-54            14425.00        32385.00        46810.00
1980-1989     55-59            25707.00        53559.00        79266.00
1980-1989     60-64            38461.00        69890.00       108351.00
1980-1989     65-69            54004.00        80010.00       134014.00
1980-1989     70-74            92871.00       108421.00       201292.00
1980-1989     75-79           135436.00       116401.00       251837.00
1980-1989     80-84           132404.00        78724.00       211128.00
1980-1989     85-89            82724.00        33969.00       116693.00
1980-1989     90-94            28482.00         9146.00        37628.00
1980-1989     95-99             4894.00         1311.00         6205.00
1980-1989    100-104             449.39          128.36          577.75
1980-1989    105-109              10.61            2.65           13.26
1980-1989    110+                  0.00            0.00            0.00
1990-1999        0              3635.00         4900.00         8535.00
1990-1999      1-4               781.00         1004.00         1785.00
1990-1999      5-9               587.00          844.00         1431.00
1990-1999     10-14              589.00          973.00         1562.00
1990-1999     15-19             1326.00         3443.00         4769.00
1990-1999     20-24             1462.00         4627.00         6089.00
1990-1999     25-29             1351.00         4286.00         5637.00
1990-1999     30-34             1917.00         5123.00         7040.00
1990-1999     35-39             3413.00         8359.00        11772.00
1990-1999     40-44             6341.00        15454.00        21795.00
1990-1999     45-49            10340.00        24960.00        35300.00
1990-1999     50-54            13516.00        32770.00        46286.00
1990-1999     55-59            18486.00        41123.00        59609.00
1990-1999     60-64            30543.00        59888.00        90431.00
1990-1999     65-69            53540.00        82574.00       136114.00
1990-1999     70-74            74880.00        87292.00       162172.00
1990-1999     75-79            91544.00        79878.00       171422.00
