West Germany, Deaths (period 5x10), 	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1956-1959        0             55732.82        75080.20       130813.02
1956-1959      1-4              7992.07        10484.57        18476.64
1956-1959      5-9              3295.00         5261.27         8556.27
1956-1959     10-14             2223.00         3704.20         5927.20
1956-1959     15-19             4724.00        11945.64        16669.64
1956-1959     20-24             5688.00        16582.92        22270.92
1956-1959     25-29             7005.00        13333.77        20338.77
1956-1959     30-34            10039.08        12861.70        22900.78
1956-1959     35-39            13231.18        13886.76        27117.94
1956-1959     40-44            17951.23        18474.13        36425.36
1956-1959     45-49            33348.49        40090.30        73438.79
1956-1959     50-54            48251.71        71717.08       119968.79
1956-1959     55-59            66038.96       107544.94       173583.90
1956-1959     60-64            93689.36       119904.63       213593.99
1956-1959     65-69           130523.89       143077.02       273600.91
1956-1959     70-74           176124.58       172681.70       348806.28
1956-1959     75-79           204688.99       184678.42       389367.41
1956-1959     80-84           172851.54       147892.22       320743.76
1956-1959     85-89            83938.19        65195.60       149133.79
1956-1959     90-94            24223.35        15684.89        39908.24
1956-1959     95-99             3531.00         1781.04         5312.04
1956-1959    100-104             198.63           80.99          279.62
1956-1959    105-109               3.40            0.00            3.40
1956-1959    110+                  0.00            0.00            0.00
1960-1969        0            113114.64       153277.06       266391.70
1960-1969      1-4             18708.18        24624.77        43332.95
1960-1969      5-9              8668.00        14009.30        22677.30
1960-1969     10-14             5599.00         9847.21        15446.21
1960-1969     15-19             9488.00        24701.80        34189.80
1960-1969     20-24            12526.08        37243.27        49769.35
1960-1969     25-29            16054.13        37146.23        53200.36
1960-1969     30-34            20038.26        37310.25        57348.51
1960-1969     35-39            30712.35        44703.51        75415.86
1960-1969     40-44            45743.56        54580.74       100324.30
1960-1969     45-49            66618.76        77230.34       143849.10
1960-1969     50-54           109083.52       146406.98       255490.50
1960-1969     55-59           173812.32       276586.09       450398.41
1960-1969     60-64           259242.42       411150.30       670392.72
1960-1969     65-69           372686.74       476773.75       849460.49
1960-1969     70-74           500479.30       481301.15       981780.45
1960-1969     75-79           581603.34       477126.26      1058729.60
1960-1969     80-84           522924.56       395788.75       918713.31
1960-1969     85-89           308649.80       219995.10       528644.90
1960-1969     90-94            98338.08        63623.97       161962.05
1960-1969     95-99            15166.10         8055.11        23221.21
1960-1969    100-104            1056.36          428.71         1485.07
1960-1969    105-109              12.64            6.28           18.92
1960-1969    110+                  0.00            1.00            1.00
1970-1979        0             54018.52        74737.82       128756.34
1970-1979      1-4             10358.00        13852.25        24210.25
1970-1979      5-9              7931.00        12354.05        20285.05
1970-1979     10-14             6172.00        10325.01        16497.01
1970-1979     15-19            12183.00        31960.73        44143.73
1970-1979     20-24            12097.00        35527.85        47624.85
1970-1979     25-29            12589.00        30249.76        42838.76
1970-1979     30-34            18639.00        40073.95        58712.95
1970-1979     35-39            28117.03        56989.39        85106.42
1970-1979     40-44            39900.23        76998.87       116899.10
1970-1979     45-49            64779.60       104926.47       169706.07
1970-1979     50-54            95342.88       132624.21       227967.09
1970-1979     55-59           130904.10       184361.27       315265.37
1970-1979     60-64           224852.12       326304.93       551157.05
1970-1979     65-69           384898.60       536044.92       920943.52
1970-1979     70-74           560822.20       647333.44      1208155.64
1970-1979     75-79           700702.59       567424.37      1268126.96
1970-1979     80-84           676011.26       403828.55      1079839.81
1970-1979     85-89           431362.02       229183.43       660545.45
1970-1979     90-94           160464.48        82380.99       242845.47
1970-1979     95-99            30296.16        14281.24        44577.40
1970-1979    100-104            2360.00          931.00         3291.00
1970-1979    105-109              70.00           20.00           90.00
1970-1979    110+                  1.00            0.00            1.00
1980-1989        0             25360.10        34303.42        59663.52
