Scotland, Deaths (period 5x10), 	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1855-1859        0             26712.89        33500.07        60212.96
1855-1859      1-4             28713.47        29549.83        58263.30
1855-1859      5-9              7491.63         8038.08        15529.71
1855-1859     10-14             3713.77         3901.24         7615.01
1855-1859     15-19             4825.79         5297.57        10123.36
1855-1859     20-24             5431.92         6011.27        11443.19
1855-1859     25-29             5298.67         4991.79        10290.46
1855-1859     30-34             5078.29         4487.63         9565.92
1855-1859     35-39             4913.05         4296.24         9209.29
1855-1859     40-44             4632.52         4530.78         9163.30
1855-1859     45-49             4376.05         4677.11         9053.16
1855-1859     50-54             4915.01         4800.34         9715.35
1855-1859     55-59             5353.83         5272.51        10626.34
1855-1859     60-64             6613.12         5952.14        12565.26
1855-1859     65-69             6786.45         6123.58        12910.03
1855-1859     70-74             8308.29         6615.71        14924.00
1855-1859     75-79             8078.84         6475.36        14554.20
1855-1859     80-84             6997.85         4849.56        11847.41
1855-1859     85-89             3953.31         2677.35         6630.66
1855-1859     90-94             1611.96          881.13         2493.09
1855-1859     95-99              536.00          241.61          777.61
1855-1859    100-104             114.92           48.65          163.57
1855-1859    105-109              13.31            1.44           14.75
1855-1859    110+                  0.00            0.00            0.00
1860-1869        0             60262.22        74844.40       135106.62
1860-1869      1-4             63603.06        66342.59       129945.65
1860-1869      5-9             17281.50        18351.12        35632.62
1860-1869     10-14             8893.47         8971.25        17864.72
1860-1869     15-19            11501.31        11510.16        23011.47
1860-1869     20-24            12853.74        13674.24        26527.98
1860-1869     25-29            12889.83        11619.07        24508.90
1860-1869     30-34            11647.48        10318.11        21965.59
1860-1869     35-39            11797.55        10268.12        22065.67
1860-1869     40-44            11234.94        10631.48        21866.42
1860-1869     45-49            10845.56        11213.35        22058.91
1860-1869     50-54            11637.34        11859.31        23496.65
1860-1869     55-59            11833.60        12035.51        23869.11
1860-1869     60-64            15664.76        14767.74        30432.50
1860-1869     65-69            16048.03        14509.17        30557.20
1860-1869     70-74            18554.77        14938.07        33492.84
1860-1869     75-79            17479.61        13476.93        30956.54
1860-1869     80-84            15215.31        10518.63        25733.94
1860-1869     85-89             8580.17         5468.15        14048.32
1860-1869     90-94             3323.54         1847.76         5171.30
1860-1869     95-99             1080.15          480.71         1560.86
1860-1869    100-104             196.04          106.54          302.58
1860-1869    105-109              19.22            5.67           24.89
1860-1869    110+                  0.00            0.00            0.00
1870-1879        0             66347.75        83555.27       149903.02
1870-1879      1-4             61503.31        64879.25       126382.56
1870-1879      5-9             18252.53        19187.43        37439.96
1870-1879     10-14            10120.59        10252.69        20373.28
1870-1879     15-19            12817.48        12971.70        25789.18
1870-1879     20-24            13985.86        14340.86        28326.72
1870-1879     25-29            13580.73        12274.23        25854.96
1870-1879     30-34            12398.33        11241.51        23639.84
1870-1879     35-39            12596.37        11572.72        24169.09
1870-1879     40-44            12108.18        11968.93        24077.11
1870-1879     45-49            11900.06        12678.46        24578.52
1870-1879     50-54            13659.65        13951.49        27611.14
1870-1879     55-59            14281.82        14417.76        28699.58
1870-1879     60-64            17896.04        17151.74        35047.78
1870-1879     65-69            18238.03        17087.66        35325.69
1870-1879     70-74            21798.54        18403.65        40202.19
1870-1879     75-79            20190.59        15899.65        36090.24
1870-1879     80-84            16173.46        11003.14        27176.60
1870-1879     85-89             8971.07         5706.23        14677.30
1870-1879     90-94             3341.16         1836.30         5177.46
1870-1879     95-99             1034.31          472.35         1506.66
1870-1879    100-104             170.36           77.90          248.26
1870-1879    105-109              11.72            1.18           12.90
1870-1879    110+                  0.00            0.00            0.00
1880-1889        0             65739.60        82977.90       148717.50
1880-1889      1-4             54357.84        57096.97       111454.81
1880-1889      5-9             15410.07        15782.81        31192.88
1880-1889     10-14             9352.68         8872.27        18224.95
1880-1889     15-19            12208.85        11992.41        24201.26
1880-1889     20-24            13209.91        12990.77        26200.68
1880-1889     25-29            13409.93        11353.18        24763.11
1880-1889     30-34            12409.85        10599.93        23009.78
1880-1889     35-39            12182.83        11086.08        23268.91
1880-1889     40-44            12155.80        12318.53        24474.33
1880-1889     45-49            12090.86        13231.84        25322.70
1880-1889     50-54            14079.98        14518.41        28598.39
1880-1889     55-59            15127.07        15301.60        30428.67
1880-1889     60-64            18969.30        17947.57        36916.87
1880-1889     65-69            19937.38        17961.49        37898.87
1880-1889     70-74            21591.54        18069.57        39661.11
1880-1889     75-79            20187.41        15720.59        35908.00
1880-1889     80-84            16935.26        12049.44        28984.70
1880-1889     85-89             8942.57         5744.96        14687.53
1880-1889     90-94             3206.24         1697.69         4903.93
1880-1889     95-99              900.03          397.15         1297.18
1880-1889    100-104             180.65           67.75          248.40
1880-1889    105-109              16.35            0.33           16.68
1880-1889    110+                  0.00            0.00            0.00
1890-1899        0             71676.02        91098.83       162774.85
1890-1899      1-4             50484.44        52796.85       103281.29
1890-1899      5-9             12866.42        12386.93        25253.35
1890-1899     10-14             8375.26         7564.76        15940.02
1890-1899     15-19            11332.35        11503.74        22836.09
1890-1899     20-24            12428.37        12975.13        25403.50
1890-1899     25-29            13165.35        11512.73        24678.08
1890-1899     30-34            12856.40        11395.70        24252.10
1890-1899     35-39            13081.40        12663.96        25745.36
1890-1899     40-44            12803.34        13196.12        25999.46
1890-1899     45-49            13379.34        14893.51        28272.85
1890-1899     50-54            15813.38        17163.02        32976.40
1890-1899     55-59            17928.50        18424.34        36352.84
1890-1899     60-64            21781.62        20886.91        42668.53
1890-1899     65-69            23031.64        20359.76        43391.40
1890-1899     70-74            25357.73        20458.79        45816.52
1890-1899     75-79            23021.64        17409.07        40430.71
1890-1899     80-84            17639.52        12135.81        29775.33
1890-1899     85-89             9776.36         5899.39        15675.75
1890-1899     90-94             3600.04         2017.50         5617.54
1890-1899     95-99              851.04          393.13         1244.17
1890-1899    100-104             125.33           53.39          178.72
1890-1899    105-109               2.62            0.62            3.24
1890-1899    110+                  0.00            0.00            0.00
1900-1909        0             68253.25        87132.45       155385.70
1900-1909      1-4             42875.81        45585.06        88460.87
1900-1909      5-9             10999.21        10406.53        21405.74
1900-1909     10-14             7274.12         6528.58        13802.70
1900-1909     15-19             9679.16         9815.45        19494.61
1900-1909     20-24            11353.17        11577.95        22931.12
1900-1909     25-29            12432.21        11597.90        24030.11
1900-1909     30-34            12572.18        11743.81        24315.99
1900-1909     35-39            13322.24        12863.04        26185.28
1900-1909     40-44            12973.21        14254.47        27227.68
1900-1909     45-49            14313.30        16034.88        30348.18
1900-1909     50-54            16739.36        18831.52        35570.88
1900-1909     55-59            19416.33        20855.94        40272.27
1900-1909     60-64            24309.43        24434.83        48744.26
1900-1909     65-69            25486.45        23713.67        49200.12
1900-1909     70-74            27589.45        22710.44        50299.89
1900-1909     75-79            24236.45        18152.41        42388.86
1900-1909     80-84            18661.32        12452.04        31113.36
1900-1909     85-89            10459.19         6008.43        16467.62
1900-1909     90-94             3541.07         1706.41         5247.48
1900-1909     95-99              854.98          330.09         1185.07
1900-1909    100-104             134.66           48.01          182.67
1900-1909    105-109               3.29            0.00            3.29
1900-1909    110+                  0.00            0.00            0.00
1910-1919        0             53797.66        69470.93       123268.59
1910-1919      1-4             36037.48        38624.01        74661.49
1910-1919      5-9              9760.15         9737.73        19497.88
1910-1919     10-14             6682.05         6148.06        12830.11
1910-1919     15-19             8781.17         9164.51        17945.68
1910-1919     20-24             9782.19         9839.87        19622.06
1910-1919     25-29            11000.22        10421.02        21421.24
1910-1919     30-34            11724.16        10895.34        22619.50
1910-1919     35-39            12527.22        12013.86        24541.08
1910-1919     40-44            12728.19        13506.73        26234.92
1910-1919     45-49            13839.18        15866.95        29706.13
1910-1919     50-54            16363.19        18893.33        35256.52
1910-1919     55-59            19179.27        22007.96        41187.23
1910-1919     60-64            22169.30        25013.59        47182.89
1910-1919     65-69            24000.32        26084.10        50084.42
1910-1919     70-74            32478.45        27786.74        60265.19
1910-1919     75-79            30305.40        22181.25        52486.65
1910-1919     80-84            20845.24        13651.83        34497.07
1910-1919     85-89            11242.14         6431.27        17673.41
1910-1919     90-94             3992.09         1887.97         5880.06
1910-1919     95-99              928.04          320.19         1248.23
1910-1919    100-104             107.51           22.01          129.52
1910-1919    105-109               1.52            0.00            1.52
1910-1919    110+                  0.00            0.00            0.00
1920-1929        0             41408.31        56104.40        97512.71
1920-1929      1-4             23092.14        26287.95        49380.09
1920-1929      5-9              6039.01         6455.26        12494.27
1920-1929     10-14             4203.03         4453.17         8656.20
1920-1929     15-19             6511.05         6738.18        13249.23
1920-1929     20-24             7853.07         7489.33        15342.40
1920-1929     25-29             8516.04         7183.31        15699.35
1920-1929     30-34             8806.02         7462.29        16268.31
1920-1929     35-39             9859.07         9060.35        18919.42
1920-1929     40-44            10660.12        10924.43        21584.55
1920-1929     45-49            12880.06        14014.56        26894.62
1920-1929     50-54            15637.07        17886.72        33523.79
1920-1929     55-59            19087.14        22077.81        41164.95
1920-1929     60-64            23267.08        26862.00        50129.08
1920-1929     65-69            27399.14        30182.12        57581.26
1920-1929     70-74            33069.13        31744.13        64813.26
1920-1929     75-79            31967.15        25829.93        57797.08
1920-1929     80-84            25180.08        16294.56        41474.64
1920-1929     85-89            14116.09         7543.29        21659.38
1920-1929     90-94             4629.03         1938.07         6567.10
1920-1929     95-99             1019.01          361.06         1380.07
1920-1929    100-104             123.79           21.98          145.77
1920-1929    105-109               1.24            0.00            1.24
1920-1929    110+                  0.00            0.00            0.00
1930-1939        0             30102.00        40292.91        70394.91
1930-1939      1-4             12195.00        13876.60        26071.60
1930-1939      5-9              4464.01         5192.23         9656.24
1930-1939     10-14             3104.04         3551.13         6655.17
1930-1939     15-19             5150.99         5416.26        10567.25
