Greece, Deaths (period 5x10), 	Last modified: 08 Nov 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1981-1989        0              6256.22         8294.31        14550.53
1981-1989      1-4               860.03         1126.05         1986.08
1981-1989      5-9               631.01          859.04         1490.05
1981-1989     10-14              577.00          960.04         1537.04
1981-1989     15-19             1081.02         2843.08         3924.10
1981-1989     20-24             1289.04         4073.11         5362.15
1981-1989     25-29             1340.07         3406.10         4746.17
1981-1989     30-34             1606.03         3377.11         4983.14
1981-1989     35-39             2158.08         4055.13         6213.21
1981-1989     40-44             3151.08         5621.19         8772.27
1981-1989     45-49             5088.16         9313.33        14401.49
1981-1989     50-54             8622.28        16192.52        24814.80
1981-1989     55-59            12890.34        25243.83        38134.17
1981-1989     60-64            17735.52        32043.02        49778.54
1981-1989     65-69            27968.83        42086.44        70055.27
1981-1989     70-74            48891.43        60851.07       109742.50
1981-1989     75-79            70251.97        72641.40       142893.37
1981-1989     80-84            78750.17        65881.13       144631.30
1981-1989     85-89            59925.56        42122.37       102047.93
1981-1989     90-94            29028.82        18442.60        47471.42
1981-1989     95-99            10102.26         5601.19        15703.45
1981-1989    100-104            2277.34         1048.86         3326.20
1981-1989    105-109             321.99          129.18          451.17
1981-1989    110+                 21.78            3.06           24.84
1990-1999        0              3636.00         4349.00         7985.00
1990-1999      1-4               508.00          623.00         1131.00
1990-1999      5-9               393.00          550.00          943.00
1990-1999     10-14              498.00          765.00         1263.00
1990-1999     15-19             1008.00         3013.00         4021.00
1990-1999     20-24             1294.00         4854.00         6148.00
1990-1999     25-29             1499.00         4716.00         6215.00
1990-1999     30-34             1834.00         4708.00         6542.00
1990-1999     35-39             2409.00         5482.00         7891.00
1990-1999     40-44             3590.00         7526.00        11116.00
1990-1999     45-49             5195.00        10982.00        16177.00
1990-1999     50-54             7487.00        16182.00        23669.00
1990-1999     55-59            12197.00        25998.00        38195.00
1990-1999     60-64            20512.00        41841.00        62353.00
1990-1999     65-69            32655.00        57137.00        89792.00
1990-1999     70-74            48871.00        65929.00       114800.00
1990-1999     75-79            72541.00        75914.00       148455.00
1990-1999     80-84            99335.00        84163.00       183498.00
1990-1999     85-89            88706.00        65572.00       154278.00
1990-1999     90-94            47862.00        30558.00        78420.00
1990-1999     95-99            14201.00         7865.00        22066.00
1990-1999    100-104            3064.54         1288.05         4352.59
1990-1999    105-109             291.36          101.98          393.34
1990-1999    110+                 10.15            0.99           11.14
2000-2009        0              1932.00         2436.00         4368.00
2000-2009      1-4               357.00          434.00          791.00
2000-2009      5-9               275.00          383.00          658.00
2000-2009     10-14              289.00          465.00          754.00
2000-2009     15-19              673.00         2083.00         2756.00
2000-2009     20-24             1000.00         4268.00         5268.00
2000-2009     25-29             1255.00         4745.00         6000.00
2000-2009     30-34             1657.00         4740.00         6397.00
2000-2009     35-39             2353.00         5662.00         8015.00
2000-2009     40-44             3554.00         8076.00        11630.00
2000-2009     45-49             5511.00        12131.00        17642.00
2000-2009     50-54             7809.00        17856.00        25665.00
2000-2009     55-59            10683.00        25087.00        35770.00
2000-2009     60-64            15426.00        33984.00        49410.00
2000-2009     65-69            26702.00        51038.00        77740.00
2000-2009     70-74            49540.00        76690.00       126230.00
2000-2009     75-79            80851.00        93900.00       174751.00
2000-2009     80-84           102712.00        88304.00       191016.00
2000-2009     85-89            98973.00        68424.00       167397.00
2000-2009     90-94            65215.00        40346.00       105561.00
2000-2009     95-99            22455.00        12331.00        34786.00
2000-2009    100-104            4131.07         1706.30         5837.37
2000-2009    105-109             310.88          113.39          424.27
2000-2009    110+                  5.00            0.32            5.32
2010-2019        0              1528.00         1919.00         3447.00
2010-2019      1-4               309.00          352.00          661.00
2010-2019      5-9               208.00          274.00          482.00
2010-2019     10-14              230.00          315.00          545.00
2010-2019     15-19              423.00         1113.00         1536.00
2010-2019     20-24              628.00         2057.00         2685.00
2010-2019     25-29              709.00         2474.00         3183.00
2010-2019     30-34             1260.00         3373.00         4633.00
2010-2019     35-39             1955.00         4528.00         6483.00
2010-2019     40-44             3312.00         6830.00        10142.00
2010-2019     45-49             5419.00        11036.00        16455.00
2010-2019     50-54             8430.00        17446.00        25876.00
2010-2019     55-59            11880.00        26343.00        38223.00
2010-2019     60-64            16251.00        36064.00        52315.00
2010-2019     65-69            22938.00        46846.00        69784.00
2010-2019     70-74            35928.00        61273.00        97201.00
2010-2019     75-79            67050.00        87159.00       154209.00
2010-2019     80-84           120151.00       115320.00       235471.00
2010-2019     85-89           142485.00       104119.00       246604.00
2010-2019     90-94            91823.00        53986.00       145809.00
2010-2019     95-99            31392.00        15431.00        46823.00
2010-2019    100-104            6524.94         2314.41         8839.35
2010-2019    105-109             526.36          166.77          693.13
2010-2019    110+                 14.73            0.84           15.57
