New Zealand -- Maori, Deaths (period 5x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1948-1949        0               356.98          447.72          804.70
1948-1949      1-4               172.46          164.61          337.07
1948-1949      5-9                47.17           46.21           93.38
1948-1949     10-14               47.14           62.21          109.35
1948-1949     15-19               77.25           58.22          135.47
1948-1949     20-24               75.23           56.25          131.48
1948-1949     25-29               60.15           44.15          104.30
1948-1949     30-34               40.11           32.15           72.26
1948-1949     35-39               52.13           42.14           94.27
1948-1949     40-44               53.14           50.18          103.32
1948-1949     45-49               53.11           61.28          114.39
1948-1949     50-54               40.13           62.23          102.36
1948-1949     55-59               60.15           59.19          119.34
1948-1949     60-64               56.15           77.26          133.41
1948-1949     65-69               60.12           95.37          155.49
1948-1949     70-74               55.14           76.32          131.46
1948-1949     75-79               39.11           70.26          109.37
1948-1949     80-84               38.10           31.14           69.24
1948-1949     85-89               25.05           19.02           44.07
1948-1949     90-94               19.05           16.06           35.11
1948-1949     95-99               13.04            9.00           22.04
1948-1949    100-104               8.56            5.01           13.57
1948-1949    105-109               3.50            0.00            3.50
1948-1949    110+                  0.00            0.00            0.00
1950-1959        0              1622.83         2133.84         3756.67
1950-1959      1-4               502.25          556.27         1058.52
1950-1959      5-9               153.08          200.11          353.19
1950-1959     10-14              139.08          133.06          272.14
1950-1959     15-19              133.08          198.12          331.20
1950-1959     20-24              186.12          250.14          436.26
1950-1959     25-29              151.10          206.10          357.20
1950-1959     30-34              143.05          180.10          323.15
1950-1959     35-39              201.06          218.10          419.16
1950-1959     40-44              232.13          227.12          459.25
1950-1959     45-49              313.11          300.13          613.24
1950-1959     50-54              296.10          331.13          627.23
1950-1959     55-59              314.12          403.14          717.26
1950-1959     60-64              324.14          430.13          754.27
1950-1959     65-69              313.15          447.16          760.31
1950-1959     70-74              267.15          377.13          644.28
1950-1959     75-79              247.06          335.13          582.19
1950-1959     80-84              165.05          188.07          353.12
1950-1959     85-89              122.12          140.01          262.13
1950-1959     90-94               63.02           57.02          120.04
1950-1959     95-99               44.01           41.00           85.01
1950-1959    100-104              26.01            9.00           35.01
1950-1959    105-109              15.00            4.00           19.00
1950-1959    110+                  6.00            1.00            7.00
1960-1969        0              1081.00         1536.00         2617.00
1960-1969      1-4               299.00          398.00          697.00
1960-1969      5-9                94.00          163.00          257.00
1960-1969     10-14               80.00          110.00          190.00
1960-1969     15-19               97.00          198.00          295.00
1960-1969     20-24              108.00          194.00          302.00
1960-1969     25-29              124.00          188.00          312.00
1960-1969     30-34              138.00          213.00          351.00
1960-1969     35-39              204.00          235.00          439.00
1960-1969     40-44              242.00          270.00          512.00
1960-1969     45-49              338.00          379.00          717.00
1960-1969     50-54              396.00          444.00          840.00
1960-1969     55-59              449.00          521.00          970.00
1960-1969     60-64              411.00          567.00          978.00
1960-1969     65-69              389.00          613.00         1002.00
1960-1969     70-74              282.00          372.00          654.00
1960-1969     75-79              261.00          379.00          640.00
1960-1969     80-84              180.00          220.00          400.00
1960-1969     85-89              127.00          174.00          301.00
1960-1969     90-94               50.00           66.00          116.00
1960-1969     95-99               53.00           37.00           90.00
1960-1969    100-104              22.00           10.00           32.00
1960-1969    105-109               6.00            5.00           11.00
1960-1969    110+                  3.00            1.00            4.00
1970-1979        0               642.00          835.00         1477.00
1970-1979      1-4               164.00          205.00          369.00
1970-1979      5-9                85.00          124.00          209.00
1970-1979     10-14               64.00          115.00          179.00
1970-1979     15-19              152.00          298.00          450.00
1970-1979     20-24              116.00          288.00          404.00
1970-1979     25-29              119.00          225.50          344.50
1970-1979     30-34              143.00          210.00          353.00
1970-1979     35-39              235.00          269.00          504.00
1970-1979     40-44              303.00          395.00          698.00
1970-1979     45-49              379.00          500.00          879.00
1970-1979     50-54              461.00          581.00         1042.00
1970-1979     55-59              531.00          715.00         1246.00
1970-1979     60-64              540.00          767.50         1307.50
1970-1979     65-69              534.00          781.50         1315.50
1970-1979     70-74              433.00          589.00         1022.00
1970-1979     75-79              321.00          415.00          736.00
1970-1979     80-84              179.00          227.00          406.00
1970-1979     85-89              147.00          155.00          302.00
1970-1979     90-94               52.00           33.00           85.00
1970-1979     95-99               37.00           21.00           58.00
1970-1979    100-104               8.00            9.00           17.00
1970-1979    105-109               6.00            2.00            8.00
1970-1979    110+                  7.00            1.00            8.00
1980-1989        0               479.00          615.50         1094.50
1980-1989      1-4                61.00           81.00          142.00
1980-1989      5-9                23.00           55.00           78.00
1980-1989     10-14               45.00           60.00          105.00
