New Zealand -- Non-Maori, Deaths (period 5x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1901-1909        0              6638.33         8658.56        15296.89
1901-1909      1-4              2048.46         2219.05         4267.51
1901-1909      5-9               742.15          907.74         1649.89
1901-1909     10-14              623.05          672.58         1295.63
1901-1909     15-19              983.15         1085.91         2069.06
1901-1909     20-24             1452.27         1591.37         3043.64
1901-1909     25-29             1651.28         1666.21         3317.49
1901-1909     30-34             1368.24         1559.02         2927.26
1901-1909     35-39             1385.22         1625.24         3010.46
1901-1909     40-44             1214.22         1524.27         2738.49
1901-1909     45-49             1177.17         1860.29         3037.46
1901-1909     50-54             1308.27         2085.41         3393.68
1901-1909     55-59             1455.26         2290.82         3746.08
1901-1909     60-64             1770.37         2944.34         4714.71
1901-1909     65-69             2203.37         3993.99         6197.36
1901-1909     70-74             2129.36         4148.56         6277.92
1901-1909     75-79             1773.26         3136.87         4910.13
1901-1909     80-84             1205.75         1838.01         3043.76
1901-1909     85-89              684.34          861.58         1545.92
1901-1909     90-94              242.26          226.29          468.55
1901-1909     95-99               73.85           59.72          133.57
1901-1909    100-104               5.19            1.16            6.35
1901-1909    105-109               0.00            0.00            0.00
1901-1909    110+                  0.00            0.00            0.00
1910-1919        0              6132.00         8190.00        14322.00
1910-1919      1-4              2315.00         2646.00         4961.00
1910-1919      5-9              1073.96         1249.95         2323.91
1910-1919     10-14              671.99          815.03         1487.02
1910-1919     15-19             1044.01         1243.02         2287.03
1910-1919     20-24             1572.00         1732.01         3304.01
1910-1919     25-29             2165.97         2335.98         4501.95
1910-1919     30-34             2238.02         2874.00         5112.02
1910-1919     35-39             2210.01         3081.02         5291.03
1910-1919     40-44             1874.99         2756.99         4631.98
1910-1919     45-49             1859.02         2870.00         4729.02
1910-1919     50-54             2012.03         2915.00         4927.03
1910-1919     55-59             2142.00         3248.02         5390.02
1910-1919     60-64             2470.00         3786.03         6256.03
1910-1919     65-69             3016.98         4568.00         7584.98
1910-1919     70-74             3603.01         5501.03         9104.04
1910-1919     75-79             3641.98         5742.99         9384.97
1910-1919     80-84             2595.97         4237.97         6833.94
1910-1919     85-89             1361.99         1914.01         3276.00
1910-1919     90-94              478.95          483.02          961.97
1910-1919     95-99              115.02          112.44          227.46
1910-1919    100-104              10.95            5.55           16.50
1910-1919    105-109               0.00            1.00            1.00
1910-1919    110+                  0.00            0.00            0.00
1920-1929        0              4931.00         6748.00        11679.00
1920-1929      1-4              2022.00         2244.00         4266.00
1920-1929      5-9               987.00         1223.00         2210.00
1920-1929     10-14              709.00          881.00         1590.00
1920-1929     15-19             1006.00         1218.00         2224.00
1920-1929     20-24             1460.00         1536.00         2996.00
1920-1929     25-29             1621.00         1530.00         3151.00
1920-1929     30-34             1727.00         1724.00         3451.00
1920-1929     35-39             2039.00         2281.00         4320.00
1920-1929     40-44             2184.00         2743.00         4927.00
1920-1929     45-49             2540.00         3376.00         5916.00
1920-1929     50-54             2762.00         3809.00         6571.00
1920-1929     55-59             2881.00         4036.00         6917.00
1920-1929     60-64             3313.00         4681.00         7994.00
1920-1929     65-69             3892.00         5525.00         9417.00
1920-1929     70-74             4376.00         5889.00        10265.00
1920-1929     75-79             4656.00         5826.00        10482.00
1920-1929     80-84             3776.00         4928.00         8704.00
1920-1929     85-89             2402.00         3028.00         5430.00
1920-1929     90-94              745.00          909.00         1654.00
1920-1929     95-99              187.00          223.00          410.00
1920-1929    100-104              18.00           23.00           41.00
1920-1929    105-109               2.00            3.00            5.00
1920-1929    110+                  0.00            0.00            0.00
1930-1939        0              3521.50         4810.48         8331.98
1930-1939      1-4              1166.18         1454.13         2620.31
1930-1939      5-9               696.12          874.10         1570.22
1930-1939     10-14              499.05          697.07         1196.12
1930-1939     15-19              828.17         1228.11         2056.28
1930-1939     20-24             1258.19         1571.13         2829.32
1930-1939     25-29             1440.25         1514.13         2954.38
1930-1939     30-34             1469.27         1415.13         2884.40
1930-1939     35-39             1601.27         1777.18         3378.45
1930-1939     40-44             1944.29         2211.21         4155.50
1930-1939     45-49             2660.41         3165.31         5825.72
1930-1939     50-54             3329.47         4602.44         7931.91
1930-1939     55-59             4138.53         5813.48         9952.01
1930-1939     60-64             4868.69         6779.51        11648.20
1930-1939     65-69             5746.72         7454.56        13201.28
1930-1939     70-74             6201.80         7533.58        13735.38
1930-1939     75-79             6217.81         7456.65        13674.46
1930-1939     80-84             5082.63         5732.42        10815.05
