Japan, Deaths (period 5x5), 	Last modified: 05 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1947-1949        0            245738.04       294228.81       539966.85
1947-1949      1-4            142039.38       150537.06       292576.44
1947-1949      5-9             34702.70        39461.73        74164.43
1947-1949     10-14            21014.65        20755.05        41769.70
1947-1949     15-19            46377.72        45012.54        91390.26
1947-1949     20-24            73793.85        76643.22       150437.07
1947-1949     25-29            63170.30        57910.23       121080.53
1947-1949     30-34            52126.66        51415.01       103541.67
1947-1949     35-39            49760.26        53216.19       102976.45
1947-1949     40-44            45391.64        55371.08       100762.72
1947-1949     45-49            48166.86        65348.41       113515.27
1947-1949     50-54            53648.40        76013.71       129662.11
1947-1949     55-59            62978.06        91875.02       154853.08
1947-1949     60-64            81880.30       110112.28       191992.58
1947-1949     65-69           106168.92       126290.22       232459.14
1947-1949     70-74           120939.02       120266.17       241205.19
1947-1949     75-79            97796.27        79706.87       177503.14
1947-1949     80-84            71516.36        46144.26       117660.62
1947-1949     85-89            28867.49        15283.87        44151.36
1947-1949     90-94             8712.50         3816.43        12528.93
1947-1949     95-99             1223.47          527.76         1751.23
1947-1949    100-104              86.09           42.04          128.13
1947-1949    105-109               8.00            8.00           16.00
1947-1949    110+                 10.00            6.00           16.00
1950-1954        0            242910.56       290519.03       533429.59
1950-1954      1-4            152799.03       160727.17       313526.20
1950-1954      5-9             38038.90        44602.12        82641.02
1950-1954     10-14            19775.54        21422.54        41198.08
1950-1954     15-19            35807.17        40648.71        76455.88
1950-1954     20-24            59294.09        69201.17       128495.26
1950-1954     25-29            61957.79        62980.26       124938.05
1950-1954     30-34            54970.48        48300.35       103270.83
1950-1954     35-39            55414.60        53424.92       108839.52
1950-1954     40-44            59150.04        66302.03       125452.07
1950-1954     45-49            65028.75        84257.37       149286.12
1950-1954     50-54            80528.28       111658.49       192186.77
1950-1954     55-59            95326.22       140452.21       235778.43
1950-1954     60-64           122565.02       171474.92       294039.94
1950-1954     65-69           163288.28       199463.30       362751.58
1950-1954     70-74           204859.06       210244.24       415103.30
1950-1954     75-79           198739.76       167675.82       366415.58
1950-1954     80-84           131893.25        88764.56       220657.81
1950-1954     85-89            67108.37        35834.61       102942.98
1950-1954     90-94            17669.91         7485.76        25155.67
1950-1954     95-99             2853.75          983.29         3837.04
1950-1954    100-104             192.13           79.07          271.20
1950-1954    105-109              13.00            4.00           17.00
1950-1954    110+                  5.00            1.00            6.00
1955-1959        0            139043.69       172333.26       311376.95
1955-1959      1-4             56018.84        63572.88       119591.72
1955-1959      5-9             26053.40        34951.00        61004.40
1955-1959     10-14            12927.64        16911.59        29839.23
1955-1959     15-19            21531.95        30618.56        52150.51
1955-1959     20-24            36470.55        52110.95        88581.50
1955-1959     25-29            39253.28        50841.03        90094.31
1955-1959     30-34            40200.16        43458.15        83658.31
1955-1959     35-39            40354.32        39526.53        79880.85
1955-1959     40-44            46424.22        51456.99        97881.21
1955-1959     45-49            59344.69        76117.83       135462.52
1955-1959     50-54            72946.00       106052.37       178998.37
1955-1959     55-59            93587.92       147885.97       241473.89
1955-1959     60-64           115670.42       179788.41       295458.83
1955-1959     65-69           153805.44       210796.53       364601.97
1955-1959     70-74           200190.47       221581.10       421771.57
1955-1959     75-79           224632.94       198048.88       422681.82
1955-1959     80-84           177435.76       124270.34       301706.10
1955-1959     85-89            84507.91        45580.16       130088.07
1955-1959     90-94            26411.56        10889.84        37301.40
1955-1959     95-99             3651.52         1079.57         4731.09
1955-1959    100-104             308.28           80.07          388.35
1955-1959    105-109              12.00           12.00           24.00
1955-1959    110+                  3.00            0.00            3.00
1960-1964        0             91555.44       119558.27       211113.71
1960-1964      1-4             26284.39        33468.41        59752.80
1960-1964      5-9             12507.92        18940.22        31448.14
1960-1964     10-14             9730.52        15018.43        24748.95
1960-1964     15-19            14467.78        27109.22        41577.00
1960-1964     20-24            23767.00        39707.34        63474.34
1960-1964     25-29            27371.65        41653.16        69024.81
1960-1964     30-34            30423.99        42985.79        73409.78
1960-1964     35-39            34530.68        44515.34        79046.02
1960-1964     40-44            39471.84        46199.36        85671.20
1960-1964     45-49            53034.14        67147.25       120181.39
1960-1964     50-54            71579.35       101106.86       172686.21
1960-1964     55-59            88473.10       144757.49       233230.59
1960-1964     60-64           117876.14       194333.44       312209.58
1960-1964     65-69           152911.78       226818.56       379730.34
1960-1964     70-74           200433.59       245015.08       445448.67
1960-1964     75-79           233866.60       217193.44       451060.04
1960-1964     80-84           212772.66       150415.38       363188.04
1960-1964     85-89           119774.22        64593.94       184368.16
1960-1964     90-94            35022.55        14392.40        49414.95
1960-1964     95-99             5605.46         1701.48         7306.94
1960-1964    100-104             353.12           91.04          444.16
1960-1964    105-109              17.00            3.00           20.00
1960-1964    110+                  1.00            0.00            1.00
1965-1969        0             61198.36        83288.38       144486.74
1965-1969      1-4             16881.56        22615.37        39496.93
1965-1969      5-9              7745.93        13000.63        20746.56
1965-1969     10-14             6024.02         9622.49        15646.51
1965-1969     15-19            11703.94        25843.42        37547.36
1965-1969     20-24            17134.79        32284.12        49418.91
1965-1969     25-29            20509.53        33571.40        54080.93
1965-1969     30-34            24155.27        38702.57        62857.84
1965-1969     35-39            30111.50        50244.93        80356.43
1965-1969     40-44            37737.58        55260.46        92998.04
1965-1969     45-49            48117.98        61014.15       109132.13
1965-1969     50-54            65508.63        90258.86       155767.49
1965-1969     55-59            88527.06       138943.94       227471.00
1965-1969     60-64           114963.49       191356.05       306319.54
1965-1969     65-69           159337.07       246653.46       405990.53
1965-1969     70-74           201985.55       265586.86       467572.41
1965-1969     75-79           237395.34       242445.82       479841.16
1965-1969     80-84           219771.32       162993.10       382764.42
1965-1969     85-89           140472.70        75866.35       216339.05
1965-1969     90-94            48813.12        19954.59        68767.71
1965-1969     95-99             7481.00         2364.86         9845.86
1965-1969    100-104             509.26          136.17          645.43
1965-1969    105-109              11.00            2.00           13.00
1965-1969    110+                  1.00            0.00            1.00
1970-1974        0             50365.89        69359.41       119725.30
1970-1974      1-4             15706.25        21401.68        37107.93
1970-1974      5-9              6699.79        11173.72        17873.51
1970-1974     10-14             4372.16         7220.35        11592.51
1970-1974     15-19             8280.87        22137.93        30418.80
1970-1974     20-24            16575.84        32051.38        48627.22
1970-1974     25-29            17324.30        29438.43        46762.73
1970-1974     30-34            20344.48        33505.99        53850.47
1970-1974     35-39            26519.91        48018.85        74538.76
1970-1974     40-44            35928.59        65896.17       101824.76
1970-1974     45-49            47970.22        73095.78       121066.00
1970-1974     50-54            61534.83        81926.69       143461.52
1970-1974     55-59            82311.59       121820.26       204131.85
1970-1974     60-64           116377.97       180626.31       297004.28
1970-1974     65-69           155571.56       240136.07       395707.63
1970-1974     70-74           215132.27       287447.56       502579.83
1970-1974     75-79           251424.25       268077.19       519501.44
1970-1974     80-84           238902.29       190255.06       429157.35
1970-1974     85-89           156017.16        88587.35       244604.51
1970-1974     90-94            62701.75        24981.44        87683.19
1970-1974     95-99            11852.48         3732.97        15585.45
1970-1974    100-104             877.59          265.47         1143.06
1970-1974    105-109              33.00           13.01           46.01
1970-1974    110+                  2.00            0.00            2.00
1975-1979        0             33733.75        45494.01        79227.76
1975-1979      1-4             12116.73        16553.89        28670.62
1975-1979      5-9              5656.13         9529.64        15185.77
1975-1979     10-14             3477.91         5705.61         9183.52
1975-1979     15-19             5768.18        16227.08        21995.26
1975-1979     20-24             9700.40        20538.31        30238.71
1975-1979     25-29            14763.14        25823.86        40587.00
1975-1979     30-34            16542.16        27615.33        44157.49
1975-1979     35-39            21903.09        38252.95        60156.04
1975-1979     40-44            31296.33        60615.37        91911.70
1975-1979     45-49            44696.62        86264.14       130960.76
1975-1979     50-54            59797.99        95954.17       155752.16
1975-1979     55-59            74552.04       106999.11       181551.15
1975-1979     60-64           103918.39       155998.20       259916.59
1975-1979     65-69           151960.62       225048.26       377008.88
1975-1979     70-74           207051.09       278795.17       485846.26
1975-1979     75-79           270403.62       295804.14       566207.76
1975-1979     80-84           265567.82       220723.41       486291.23
1975-1979     85-89           181055.48       110533.45       291588.93
1975-1979     90-94            73541.32        31627.13       105168.45
1975-1979     95-99            15285.39         4905.01        20190.40
1975-1979    100-104            1437.78          355.65         1793.43
1975-1979    105-109              57.00           18.00           75.00
1975-1979    110+                  2.00            1.00            3.00
1980-1984        0             22110.28        28980.27        51090.55
1980-1984      1-4              7963.41        10649.87        18613.28
1980-1984      5-9              4355.44         7441.17        11796.61
1980-1984     10-14             3096.70         5337.35         8434.05
1980-1984     15-19             5315.92        15348.02        20663.94
1980-1984     20-24             6884.83        16870.78        23755.61
1980-1984     25-29             9381.23        18066.97        27448.20
1980-1984     30-34            15628.66        27009.55        42638.21
1980-1984     35-39            19785.88        34631.12        54417.00
1980-1984     40-44            27759.23        52128.81        79888.04
1980-1984     45-49            41165.65        83767.72       124933.37
1980-1984     50-54            57807.88       118483.25       176291.13
1980-1984     55-59            74522.96       132597.57       207120.53
1980-1984     60-64            97745.79       143648.00       241393.79
