Lithuania, Deaths (period 5x5), 	Last modified: 29 Jan 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1960-1964        0              4408.34         6031.10        10439.44
1960-1964      1-4               821.04          968.02         1789.06
1960-1964      5-9               371.03          505.00          876.03
1960-1964     10-14              277.02          421.01          698.03
1960-1964     15-19              353.04          827.01         1180.05
1960-1964     20-24              552.03         1238.01         1790.04
1960-1964     25-29              628.05         1536.00         2164.05
1960-1964     30-34              846.06         1793.03         2639.09
1960-1964     35-39             1008.08         1668.02         2676.10
1960-1964     40-44             1011.05         1529.01         2540.06
1960-1964     45-49             1259.08         1702.03         2961.11
1960-1964     50-54             2205.16         3314.06         5519.22
1960-1964     55-59             2992.21         4847.09         7839.30
1960-1964     60-64             4634.33         5825.10        10459.43
1960-1964     65-69             5482.37         6062.13        11544.50
1960-1964     70-74             7303.54         5819.11        13122.65
1960-1964     75-79             7657.52         5088.10        12745.62
1960-1964     80-84             6996.48         4120.07        11116.55
1960-1964     85-89             4538.33         2290.05         6828.38
1960-1964     90-94             2164.14          961.02         3125.16
1960-1964     95-99              976.77          332.15         1308.92
1960-1964    100-104             296.92           87.89          384.81
1960-1964    105-109              73.18           13.94           87.12
1960-1964    110+                  8.24            0.00            8.24
1965-1969        0              2515.18         3392.57         5907.75
1965-1969      1-4               650.06          847.12         1497.18
1965-1969      5-9               302.01          505.05          807.06
1965-1969     10-14              221.00          370.06          591.06
1965-1969     15-19              306.04          776.15         1082.19
1965-1969     20-24              408.02         1092.17         1500.19
1965-1969     25-29              472.06         1715.25         2187.31
1965-1969     30-34              622.08         1910.28         2532.36
1965-1969     35-39             1008.06         2201.36         3209.42
1965-1969     40-44             1255.09         2226.35         3481.44
1965-1969     45-49             1393.09         2153.33         3546.42
1965-1969     50-54             1818.13         2529.42         4347.55
1965-1969     55-59             3015.21         4603.73         7618.94
1965-1969     60-64             4574.36         7412.17        11986.53
1965-1969     65-69             6522.44         7711.23        14233.67
1965-1969     70-74             8200.50         7903.22        16103.72
1965-1969     75-79             9570.64         6660.02        16230.66
1965-1969     80-84             8802.55         4767.79        13570.34
1965-1969     85-89             5748.35         2946.44         8694.79
1965-1969     90-94             2586.14         1144.15         3730.29
1965-1969     95-99             1021.46          384.30         1405.76
1965-1969    100-104             294.81           88.60          383.41
1965-1969    105-109              57.35            9.18           66.53
1965-1969    110+                  3.50            0.00            3.50
1970-1974        0              2029.10         2765.19         4794.29
1970-1974      1-4               594.05          690.05         1284.10
1970-1974      5-9               294.02          452.01          746.03
1970-1974     10-14              214.02          416.04          630.06
1970-1974     15-19              318.02          920.06         1238.08
1970-1974     20-24              412.01         1718.13         2130.14
1970-1974     25-29              479.02         1862.14         2341.16
1970-1974     30-34              664.02         2241.14         2905.16
1970-1974     35-39              888.05         2738.17         3626.22
1970-1974     40-44             1400.10         3241.20         4641.30
1970-1974     45-49             1960.10         3472.22         5432.32
1970-1974     50-54             1960.09         3235.19         5195.28
1970-1974     55-59             2581.18         3836.27         6417.45
1970-1974     60-64             4481.28         6972.54        11453.82
1970-1974     65-69             6661.38         9728.64        16390.02
1970-1974     70-74             9802.56         9328.61        19131.17
1970-1974     75-79            10826.61         8657.58        19484.19
1970-1974     80-84            11082.66         6263.41        17346.07
1970-1974     85-89             7462.43         3496.26        10958.69
1970-1974     90-94             3374.20         1521.09         4895.29
1970-1974     95-99             1121.27          399.06         1520.33
1970-1974    100-104             316.05           96.65          412.70
1970-1974    105-109              56.15           10.33           66.48
1970-1974    110+                  3.63            0.00            3.63
1975-1979        0              1930.00         2753.00         4683.00
1975-1979      1-4               524.00          717.00         1241.00
1975-1979      5-9               299.00          464.00          763.00
1975-1979     10-14              200.00          395.00          595.00
1975-1979     15-19              356.00         1188.00         1544.00
1975-1979     20-24              390.00         1778.00         2168.00
1975-1979     25-29              468.00         2116.00         2584.00
1975-1979     30-34              630.00         2348.00         2978.00
1975-1979     35-39              934.00         3152.00         4086.00
1975-1979     40-44             1412.00         3866.00         5278.00
1975-1979     45-49             2184.00         4875.00         7059.00
1975-1979     50-54             2958.00         5012.00         7970.00
1975-1979     55-59             2945.00         4842.00         7787.00
1975-1979     60-64             4005.00         5569.00         9574.00
1975-1979     65-69             7026.00         9243.00        16269.00
1975-1979     70-74            10060.00        12109.00        22169.00
1975-1979     75-79            13216.00        10382.00        23598.00
1975-1979     80-84            12576.00         8314.00        20890.00
1975-1979     85-89             9889.00         4888.00        14777.00
1975-1979     90-94             4512.00         1860.00         6372.00
1975-1979     95-99             1536.69          640.45         2177.14
1975-1979    100-104             328.05          129.38          457.43
1975-1979    105-109              38.30           16.15           54.45
1975-1979    110+                  0.00            0.00            0.00
1980-1984        0              1652.11         2329.33         3981.44
1980-1984      1-4               522.04          648.09         1170.13
1980-1984      5-9               273.03          450.06          723.09
1980-1984     10-14              204.01          403.04          607.05
1980-1984     15-19              356.03         1218.14         1574.17
1980-1984     20-24              466.03         2002.25         2468.28
1980-1984     25-29              481.02         2268.31         2749.33
1980-1984     30-34              645.04         2674.36         3319.40
1980-1984     35-39             1053.08         3157.45         4210.53
1980-1984     40-44             1448.09         4468.63         5916.72
1980-1984     45-49             2238.14         5487.84         7725.98
1980-1984     50-54             3209.29         7048.06        10257.35
1980-1984     55-59             4289.37         7039.10        11328.47
1980-1984     60-64             4478.43         6568.12        11046.55
1980-1984     65-69             6039.43         7078.92        13118.35
1980-1984     70-74            10494.83        11309.39        21804.22
1980-1984     75-79            14051.13        13019.03        27070.16
1980-1984     80-84            14836.23         9094.40        23930.63
1980-1984     85-89            10698.92         5781.80        16480.72
1980-1984     90-94             5807.48         2711.50         8518.98
1980-1984     95-99             2042.38          796.57         2838.95
1980-1984    100-104             487.36          190.43          677.79
1980-1984    105-109              64.07           23.17           87.24
1980-1984    110+                  1.39            0.00            1.39
1985-1989        0              1503.50         2005.13         3508.63
1985-1989      1-4               476.15          603.32         1079.47
1985-1989      5-9               228.04          387.20          615.24
1985-1989     10-14              191.06          340.20          531.26
1985-1989     15-19              342.12          935.57         1277.69
1985-1989     20-24              404.14         1477.88         1882.02
1985-1989     25-29              518.15         1881.05         2399.20
1985-1989     30-34              630.25         2141.22         2771.47
1985-1989     35-39              894.28         2669.49         3563.77
1985-1989     40-44             1332.45         3439.98         4772.43
1985-1989     45-49             2004.69         5056.88         7061.57
1985-1989     50-54             2920.02         6615.73         9535.75
1985-1989     55-59             4368.51         8420.71        12789.22
1985-1989     60-64             5981.10         8879.96        14861.06
1985-1989     65-69             6479.28         7990.50        14469.78
1985-1989     70-74             9097.08         8375.70        17472.78
1985-1989     75-79            14999.17        11940.72        26939.89
1985-1989     80-84            16626.76        11844.67        28471.43
1985-1989     85-89            13167.62         6361.56        19529.18
1985-1989     90-94             6459.23         3038.71         9497.94
1985-1989     95-99             2595.72         1005.56         3601.28
1985-1989    100-104             694.50          200.27          894.77
1985-1989    105-109             114.08           24.87          138.95
1985-1989    110+                  7.90            0.00            7.90
1990-1994        0              1579.02         2057.64         3636.66
1990-1994      1-4               333.21          538.88          872.09
1990-1994      5-9               237.16          439.78          676.94
1990-1994     10-14              186.09          326.58          512.67
1990-1994     15-19              359.27         1008.77         1368.04
1990-1994     20-24              389.26         1887.33         2276.59
1990-1994     25-29              486.33         2341.00         2827.33
1990-1994     30-34              761.51         3249.56         4011.07
1990-1994     35-39             1093.73         3959.75         5053.48
1990-1994     40-44             1673.11         5002.54         6675.65
1990-1994     45-49             2355.56         6340.01         8695.57
1990-1994     50-54             3213.14         8604.83        11817.97
1990-1994     55-59             4758.16        10580.10        15338.26
1990-1994     60-64             6761.56        12779.11        19540.67
1990-1994     65-69             9277.10        12054.67        21331.77
1990-1994     70-74             9725.41         9935.96        19661.37
1990-1994     75-79            12681.50         9220.12        21901.62
1990-1994     80-84            17876.00        11298.72        29174.72
1990-1994     85-89            15030.13         8590.95        23621.08
1990-1994     90-94             7975.40         3059.37        11034.77
1990-1994     95-99             2507.54         1002.79         3510.33
1990-1994    100-104             816.14          291.34         1107.48
1990-1994    105-109             120.06           45.23          165.29
1990-1994    110+                  7.56            0.89            8.45
1995-1999        0               854.12         1104.35         1958.47
1995-1999      1-4               262.04          316.08          578.12
1995-1999      5-9               174.02          271.07          445.09
1995-1999     10-14              172.03          274.08          446.11
1995-1999     15-19              302.04          833.30         1135.34
1995-1999     20-24              380.03         1722.55         2102.58
1995-1999     25-29              469.05         2149.69         2618.74
1995-1999     30-34              685.12         2835.93         3521.05
1995-1999     35-39             1231.20         3931.28         5162.48
1995-1999     40-44             1646.25         5047.66         6693.91
1995-1999     45-49             2339.33         6469.09         8808.42
1995-1999     50-54             3004.46         7753.50        10757.96
1995-1999     55-59             4353.66         9903.23        14256.89
1995-1999     60-64             6156.92        11917.90        18074.82
1995-1999     65-69             8874.37        13896.51        22770.88
1995-1999     70-74            12404.88        12549.06        24953.94
1995-1999     75-79            12677.87         9585.13        22263.00
1995-1999     80-84            14921.27         7790.53        22711.80
1995-1999     85-89            15992.42         7422.39        23414.81
1995-1999     90-94             8773.33         4011.32        12784.65
1995-1999     95-99             2826.26          903.06         3729.32
1995-1999    100-104             643.93          198.30          842.23
1995-1999    105-109              62.05           11.99           74.04
1995-1999    110+                  0.28            0.00            0.28
2000-2004        0               539.02          689.11         1228.13
2000-2004      1-4               150.02          232.02          382.04
2000-2004      5-9                89.01          177.04          266.05
2000-2004     10-14              119.00          208.04          327.04
2000-2004     15-19              280.01          898.11         1178.12
2000-2004     20-24              286.02         1467.17         1753.19
2000-2004     25-29              394.01         1709.26         2103.27
2000-2004     30-34              584.02         2472.29         3056.31
2000-2004     35-39              899.09         3183.39         4082.48
2000-2004     40-44             1510.06         4799.57         6309.63
2000-2004     45-49             2119.14         5934.73         8053.87
2000-2004     50-54             2826.16         7485.86        10312.02
2000-2004     55-59             3650.18         8541.04        12191.22
2000-2004     60-64             5391.28        11319.35        16710.63
2000-2004     65-69             7630.41        13099.58        20729.99
2000-2004     70-74            11926.65        14423.72        26350.37
2000-2004     75-79            16207.89        12332.49        28540.38
2000-2004     80-84            15068.78         8339.97        23408.75
2000-2004     85-89            13102.69         5253.66        18356.35
2000-2004     90-94             9106.54         3490.45        12596.99
2000-2004     95-99             2730.91         1266.16         3997.07
2000-2004    100-104             547.00          182.78          729.78
2000-2004    105-109              41.23           15.28           56.51
2000-2004    110+                  0.00            0.00            0.00
2005-2009        0               431.00          534.00          965.00
2005-2009      1-4                88.00          131.00          219.00
2005-2009      5-9                71.00          153.00          224.00
2005-2009     10-14              107.00          176.00          283.00
2005-2009     15-19              239.00          752.01          991.01
2005-2009     20-24              271.00         1352.01         1623.01
2005-2009     25-29              357.00         1678.03         2035.03
2005-2009     30-34              560.00         2252.05         2812.05
2005-2009     35-39              956.00         3351.02         4307.02
2005-2009     40-44             1537.00         4916.05         6453.05
2005-2009     45-49             2420.00         7171.06         9591.06
2005-2009     50-54             3112.00         8561.10        11673.10
2005-2009     55-59             4190.00        10105.07        14295.07
2005-2009     60-64             5196.00        11511.11        16707.11
2005-2009     65-69             7464.00        13711.12        21175.12
2005-2009     70-74            11202.00        14390.14        25592.14
2005-2009     75-79            16914.00        14682.13        31596.13
2005-2009     80-84            21324.00        11288.11        32612.11
2005-2009     85-89            15028.00         5874.05        20902.05
2005-2009     90-94             8181.00         2589.01        10770.01
2005-2009     95-99             3295.21         1118.82         4414.03
2005-2009    100-104             494.55          266.93          761.48
