Portugal, Deaths (period 5x5), 	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1940-1944        0             57925.10        69315.14       127240.24
1940-1944      1-4             36722.00        39822.67        76544.67
1940-1944      5-9              6998.25         7836.05        14834.30
1940-1944     10-14             4565.68         4777.98         9343.66
1940-1944     15-19             6694.75         7065.43        13760.18
1940-1944     20-24             7203.58         8323.41        15526.99
1940-1944     25-29             7059.40         7867.22        14926.62
1940-1944     30-34             6943.21         8323.33        15266.54
1940-1944     35-39             7086.35         8733.31        15819.66
1940-1944     40-44             6889.18         9168.40        16057.58
1940-1944     45-49             6971.25        10073.49        17044.74
1940-1944     50-54             8764.85        11685.23        20450.08
1940-1944     55-59            10576.58        13707.01        24283.59
1940-1944     60-64            15078.18        17749.15        32827.33
1940-1944     65-69            19049.98        20726.15        39776.13
1940-1944     70-74            24342.76        22955.29        47298.05
1940-1944     75-79            26135.50        21438.72        47574.22
1940-1944     80-84            24180.54        15707.42        39887.96
1940-1944     85-89            14508.37         7752.99        22261.36
1940-1944     90-94             6255.26         2409.57         8664.83
1940-1944     95-99             2316.42          719.65         3036.07
1940-1944    100-104             448.66          115.31          563.97
1940-1944    105-109              80.11           15.03           95.14
1940-1944    110+                 26.05            6.00           32.05
1945-1949        0             52684.57        64162.18       116846.75
1945-1949      1-4             27935.77        30526.52        58462.29
1945-1949      5-9              4424.30         5198.99         9623.29
1945-1949     10-14             3331.26         3443.01         6774.27
1945-1949     15-19             5501.31         5755.55        11256.86
1945-1949     20-24             7069.21         8707.85        15777.06
1945-1949     25-29             6066.25         7401.02        13467.27
1945-1949     30-34             5750.81         7296.04        13046.85
1945-1949     35-39             6235.61         8762.95        14998.56
1945-1949     40-44             6351.77         9385.69        15737.46
1945-1949     45-49             6966.84        10463.77        17430.61
1945-1949     50-54             8030.84        11675.12        19705.96
1945-1949     55-59            10004.56        13779.16        23783.72
1945-1949     60-64            14025.89        16718.55        30744.44
1945-1949     65-69            18593.36        20431.05        39024.41
1945-1949     70-74            23747.79        22542.67        46290.46
1945-1949     75-79            25631.33        20850.01        46481.34
1945-1949     80-84            23463.32        14910.35        38373.67
1945-1949     85-89            14913.46         7742.99        22656.45
1945-1949     90-94             5769.65         2136.21         7905.86
1945-1949     95-99             2287.22          657.86         2945.08
1945-1949    100-104             401.76           80.25          482.01
1945-1949    105-109              65.14           14.06           79.20
1945-1949    110+                 12.04            2.01           14.05
1950-1954        0             41986.68        52102.97        94089.65
1950-1954      1-4             20891.46        23114.18        44005.64
1950-1954      5-9              3348.72         3867.07         7215.79
1950-1954     10-14             1863.10         2287.58         4150.68
1950-1954     15-19             3007.39         3534.52         6541.91
1950-1954     20-24             4012.53         5497.58         9510.11
1950-1954     25-29             4147.67         5529.67         9677.34
1950-1954     30-34             3672.13         4898.75         8570.88
1950-1954     35-39             4336.91         5909.24        10246.15
1950-1954     40-44             5085.64         7572.95        12658.59
1950-1954     45-49             5963.61         8972.16        14935.77
1950-1954     50-54             7214.96        10574.73        17789.69
1950-1954     55-59             9053.00        12736.16        21789.16
1950-1954     60-64            13418.87        16191.61        29610.48
