The United States of America, Deaths (period 5x5), 	Last modified: 05 Sep 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1933-1934        0            108910.29       142485.01       251395.30
1933-1934      1-4             38809.53        45488.20        84297.73
1933-1934      5-9             17820.55        22100.71        39921.26
1933-1934     10-14            14594.99        19163.50        33758.49
1933-1934     15-19            24404.77        29159.84        53564.61
1933-1934     20-24            35039.42        38764.62        73804.04
1933-1934     25-29            37729.38        39981.38        77710.76
1933-1934     30-34            38812.55        44268.51        83081.06
1933-1934     35-39            45075.42        55509.73       100585.15
1933-1934     40-44            51232.18        69531.78       120763.96
1933-1934     45-49            60396.22        86959.67       147355.89
1933-1934     50-54            71901.78       103788.69       175690.47
1933-1934     55-59            80194.91       114670.41       194865.32
1933-1934     60-64            97924.32       134329.65       232253.97
1933-1934     65-69           108907.34       140402.27       249309.61
1933-1934     70-74           122266.00       148187.67       270453.67
1933-1934     75-79           113578.45       127255.28       240833.73
1933-1934     80-84            86580.84        86667.26       173248.10
1933-1934     85-89            49250.94        43508.45        92759.39
1933-1934     90-94            19419.30        13924.96        33344.26
1933-1934     95-99             4720.17         2819.03         7539.20
1933-1934    100-104            1317.44          810.48         2127.92
1933-1934    105-109             195.64          118.23          313.87
1933-1934    110+                 19.60           11.65           31.25
1935-1939        0            253145.89       335492.00       588637.89
1935-1939      1-4             76334.06        90000.84       166334.90
1935-1939      5-9             35437.89        45463.62        80901.51
1935-1939     10-14            32099.51        43664.73        75764.24
1935-1939     15-19            56874.94        70575.13       127450.07
1935-1939     20-24            77908.14        90542.28       168450.42
1935-1939     25-29            87086.19        96943.30       184029.49
1935-1939     30-34            90583.35       106736.44       197319.79
1935-1939     35-39           107993.87       135094.58       243088.45
1935-1939     40-44           124993.08       173764.11       298757.19
1935-1939     45-49           152740.27       225204.32       377944.59
1935-1939     50-54           184652.16       278815.33       463467.49
1935-1939     55-59           210024.81       314217.55       524242.36
1935-1939     60-64           255020.53       357777.72       612798.25
1935-1939     65-69           305961.81       401088.97       707050.78
1935-1939     70-74           323599.48       389835.56       713435.04
1935-1939     75-79           324481.92       360995.63       685477.55
1935-1939     80-84           245757.55       247131.60       492889.15
1935-1939     85-89           141476.26       122930.88       264407.14
1935-1939     90-94            53132.12        38789.68        91921.80
1935-1939     95-99            13119.68         8261.79        21381.47
1935-1939    100-104            3366.45         1804.70         5171.15
1935-1939    105-109             487.14          225.54          712.68
1935-1939    110+                 46.09           15.71           61.80
1940-1944        0            243657.21       324999.07       568656.28
1940-1944      1-4             53726.47        64454.75       118181.22
1940-1944      5-9             22553.77        31259.21        53812.98
1940-1944     10-14            21065.57        31444.41        52509.98
1940-1944     15-19            40563.86        56869.12        97432.98
1940-1944     20-24            56504.04        78271.99       134776.03
1940-1944     25-29            62736.24        77311.54       140047.78
1940-1944     30-34            73154.73        88266.72       161421.45
1940-1944     35-39            88156.17       111646.91       199803.08
1940-1944     40-44           110053.22       150175.39       260228.61
1940-1944     45-49           139243.41       209520.07       348763.48
1940-1944     50-54           179257.27       284402.77       463660.04
1940-1944     55-59           211459.74       340380.86       551840.60
1940-1944     60-64           257822.10       385603.14       643425.24
1940-1944     65-69           319016.67       431820.70       750837.37
1940-1944     70-74           357144.91       438449.05       795593.96
1940-1944     75-79           339453.26       375333.76       714787.02
1940-1944     80-84           287159.99       283915.99       571075.98
1940-1944     85-89           164923.94       143273.73       308197.67
1940-1944     90-94            61001.28        44825.85       105827.13
1940-1944     95-99            14688.15         9385.12        24073.27
1940-1944    100-104            3363.25         1987.79         5351.04
1940-1944    105-109             407.22          223.38          630.60
1940-1944    110+                 31.66           14.67           46.33
1945-1949        0            237899.32       322197.57       560096.89
1945-1949      1-4             43050.99        53166.01        96217.00
1945-1949      5-9             18599.54        26940.82        45540.36
1945-1949     10-14            15147.16        24030.04        39177.20
