East Germany,  Deaths (Lexis triangle)	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1956    0      1956     4419.00     6047.00    10466.00
 1956    0      1955     1134.00     1482.00     2616.00
 1956    1      1955      239.00      355.00      594.00
 1956    1      1954      225.00      279.00      504.00
 1956    2      1954      111.00      159.00      270.00
 1956    2      1953      109.00      149.00      258.00
 1956    3      1953       62.00      101.00      163.00
 1956    3      1952       64.00       88.00      152.00
 1956    4      1952       43.00       83.00      126.00
 1956    4      1951       65.00       67.00      132.00
 1956    5      1951       41.00       72.00      113.00
 1956    5      1950       31.00       64.00       95.00
 1956    6      1950       28.00       54.00       82.00
 1956    6      1949       24.00       42.00       66.00
 1956    7      1949       20.00       30.00       50.00
 1956    7      1948       20.00       40.00       60.00
 1956    8      1948       21.00       38.00       59.00
 1956    8      1947       17.00       25.00       42.00
 1956    9      1947       19.00       29.00       48.00
 1956    9      1946       15.00       31.00       46.00
 1956   10      1946       12.00       18.00       30.00
 1956   10      1945       11.00       24.00       35.00
 1956   11      1945       16.00       32.00       48.00
 1956   11      1944       25.00       36.00       61.00
 1956   12      1944       26.00       33.00       59.00
 1956   12      1943       16.00       39.00       55.00
 1956   13      1943       18.00       35.00       53.00
 1956   13      1942       36.00       39.00       75.00
 1956   14      1942       22.00       31.00       53.00
 1956   14      1941       27.00       65.00       92.00
 1956   15      1941       32.00       55.00       87.00
 1956   15      1940       48.00       73.00      121.00
 1956   16      1940       41.00       70.00      111.00
 1956   16      1939       45.00       85.00      130.00
 1956   17      1939       44.00       70.00      114.00
 1956   17      1938       56.00       84.00      140.00
 1956   18      1938       58.00      105.00      163.00
 1956   18      1937       47.00      114.00      161.00
 1956   19      1937       44.00      102.00      146.00
 1956   19      1936       59.00      114.00      173.00
 1956   20      1936       49.00      139.00      188.00
 1956   20      1935       49.00       99.00      148.00
 1956   21      1935       64.00      138.00      202.00
 1956   21      1934       53.00       91.00      144.00
 1956   22      1934       44.00      114.00      158.00
 1956   22      1933       41.00       86.00      127.00
 1956   23      1933       55.00      104.00      159.00
 1956   23      1932       66.00       86.00      152.00
 1956   24      1932       58.00       77.00      135.00
 1956   24      1931       53.00      103.00      156.00
 1956   25      1931       43.00       89.00      132.00
 1956   25      1930       51.00      112.00      163.00
 1956   26      1930       72.00      107.00      179.00
 1956   26      1929       63.00       80.00      143.00
 1956   27      1929       55.00       76.00      131.00
 1956   27      1928       68.00       74.00      142.00
 1956   28      1928       53.00       85.00      138.00
 1956   28      1927       54.00       85.00      139.00
 1956   29      1927       50.00       74.00      124.00
 1956   29      1926       62.00       84.00      146.00
 1956   30      1926       68.00       61.00      129.00
 1956   30      1925       69.00       52.00      121.00
 1956   31      1925       79.00       61.00      140.00
 1956   31      1924       78.00       58.00      136.00
 1956   32      1924       83.00       65.00      148.00
 1956   32      1923       85.00       56.00      141.00
 1956   33      1923       78.00       68.00      146.00
 1956   33      1922      108.00       63.00      171.00
 1956   34      1922       93.00       69.00      162.00
 1956   34      1921      123.00       83.00      206.00
 1956   35      1921      116.00      101.00      217.00
 1956   35      1920      136.00       93.00      229.00
 1956   36      1920      132.00       89.00      221.00
 1956   36      1919      127.00       82.00      209.00
 1956   37      1919       88.00       60.00      148.00
 1956   37      1918       68.00       44.00      112.00
 1956   38      1918       61.00       56.00      117.00
 1956   38      1917       63.00       44.00      107.00
 1956   39      1917       81.00       57.00      138.00
 1956   39      1916       69.00       42.00      111.00
 1956   40      1916       88.00       68.00      156.00
 1956   40      1915      116.00       86.00      202.00
 1956   41      1915      147.00      113.00      260.00
