Northern Ireland,  Deaths (Lexis triangle)	Last modified: 21 Nov 2023;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1922    0      1922      725.69      909.93     1635.62
 1922    0      1921      277.31      367.07      644.38
 1922    1      1921      152.79      171.07      323.86
 1922    1      1920      117.21      130.93      248.14
 1922    2      1920       62.18       71.98      134.16
 1922    2      1919       58.82       68.02      126.84
 1922    3      1919       32.89       29.31       62.20
 1922    3      1918       31.11       27.69       58.80
 1922    4      1918       25.18       24.16       49.34
 1922    4      1917       23.82       22.84       46.66
 1922    5      1917       20.91       20.31       41.22
 1922    5      1916       20.69       19.62       40.31
 1922    6      1916       18.48       16.58       35.06
 1922    6      1915       18.28       16.02       34.30
 1922    7      1915       16.36       13.65       30.01
 1922    7      1914       16.19       13.19       29.38
 1922    8      1914       14.58       11.51       26.09
 1922    8      1913       14.42       11.12       25.54
 1922    9      1913       13.12       10.17       23.29
 1922    9      1912       12.98        9.83       22.81
 1922   10      1912       11.73        9.43       21.16
 1922   10      1911       12.37        9.55       21.92
 1922   11      1911       11.73        9.86       21.59
 1922   11      1910       12.37        9.99       22.36
 1922   12      1910       12.83       11.26       24.09
 1922   12      1909       13.52       11.40       24.92
 1922   13      1909       15.02       13.62       28.64
 1922   13      1908       15.83       13.79       29.62
 1922   14      1908       18.31       16.95       35.26
 1922   14      1907       19.30       17.16       36.46
 1922   15      1907       22.36       20.60       42.96
 1922   15      1906       23.52       21.61       45.13
 1922   16      1906       25.69       24.25       49.94
 1922   16      1905       27.02       25.44       52.46
 1922   17      1905       27.96       27.32       55.28
 1922   17      1904       29.41       28.66       58.07
 1922   18      1904       29.17       29.81       58.98
 1922   18      1903       30.69       31.28       61.97
 1922   19      1903       29.33       31.74       61.07
 1922   19      1902       30.85       33.30       64.15
 1922   20      1902       29.11       34.51       63.62
 1922   20      1901       29.73       33.28       63.01
 1922   21      1901       28.67       35.26       63.93
 1922   21      1900       29.28       34.01       63.29
 1922   22      1900       28.71       35.37       64.08
 1922   22      1899       29.32       34.11       63.43
 1922   23      1899       29.23       34.82       64.05
 1922   23      1898       29.85       33.59       63.44
 1922   24      1898       30.23       33.62       63.85
 1922   24      1897       30.87       32.43       63.30
 1922   25      1897       31.65       32.22       63.87
 1922   25      1896       32.13       30.51       62.64
 1922   26      1896       32.72       30.71       63.43
 1922   26      1895       33.21       29.08       62.29
 1922   27      1895       33.37       29.54       62.91
 1922   27      1894       33.87       27.97       61.84
 1922   28      1894       33.60       28.73       62.33
 1922   28      1893       34.11       27.20       61.31
 1922   29      1893       33.42       28.27       61.69
 1922   29      1892       33.92       26.77       60.69
 1922   30      1892       32.97       27.83       60.80
 1922   30      1891       33.40       26.88       60.28
 1922   31      1891       32.62       27.71       60.33
 1922   31      1890       33.05       26.77       59.82
 1922   32      1890       32.53       27.58       60.11
 1922   32      1889       32.96       26.64       59.60
 1922   33      1889       32.70       27.44       60.14
 1922   33      1888       33.12       26.51       59.63
 1922   34      1888       33.12       27.29       60.41
 1922   34      1887       33.55       26.36       59.91
 1922   35      1887       33.50       26.63       60.13
 1922   35      1886       34.36       26.74       61.10
 1922   36      1886       33.95       26.61       60.56
 1922   36      1885       34.82       26.71       61.53
 1922   37      1885       34.18       26.71       60.89
 1922   37      1884       35.06       26.82       61.88
 1922   38      1884       34.20       26.96       61.16
