United Kingdom,  Deaths (Lexis triangle)	Last modified: 28 Nov 2023;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1922    0      1922    22256.16    29719.98    51976.14
 1922    0      1921     9046.84    13042.21    22089.05
 1922    1      1921     6153.55     6921.86    13075.41
 1922    1      1920     5147.45     5724.21    10871.66
 1922    2      1920     2962.21     3222.29     6184.50
 1922    2      1919     2229.79     2476.74     4706.53
 1922    3      1919     1138.66     1216.20     2354.86
 1922    3      1918     1043.34     1108.81     2152.15
 1922    4      1918      740.28      732.08     1472.36
 1922    4      1917      702.72      694.93     1397.65
 1922    5      1917      641.85      646.55     1288.40
 1922    5      1916      707.74      696.27     1404.01
 1922    6      1916      556.97      611.38     1168.35
 1922    6      1915      566.59      604.40     1170.99
 1922    7      1915      479.49      509.72      989.21
 1922    7      1914      501.26      518.65     1019.91
 1922    8      1914      410.93      461.78      872.71
 1922    8      1913      405.27      446.81      852.08
 1922    9      1913      385.45      402.42      787.87
 1922    9      1912      378.45      388.04      766.49
 1922   10      1912      363.43      363.83      727.26
 1922   10      1911      384.78      370.36      755.14
 1922   11      1911      332.37      359.23      691.60
 1922   11      1910      354.30      368.53      722.83
 1922   12      1910      372.21      343.69      715.90
 1922   12      1909      397.46      353.66      751.12
 1922   13      1909      399.61      364.51      764.12
 1922   13      1908      429.58      375.50      805.08
 1922   14      1908      447.63      427.58      875.21
 1922   14      1907      462.63      427.13      889.76
 1922   15      1907      474.70      424.09      898.79
 1922   15      1906      504.99      451.42      956.41
 1922   16      1906      524.40      510.11     1034.51
 1922   16      1905      549.56      532.61     1082.17
 1922   17      1905      530.22      566.48     1096.70
 1922   17      1904      562.69      601.88     1164.57
 1922   18      1904      565.01      604.57     1169.58
 1922   18      1903      595.54      635.87     1231.41
 1922   19      1903      604.93      658.52     1263.45
 1922   19      1902      630.96      688.47     1319.43
 1922   20      1902      656.70      707.77     1364.47
 1922   20      1901      664.37      679.28     1343.65
 1922   21      1901      657.43      667.33     1324.76
 1922   21      1900      670.38      641.64     1312.02
 1922   22      1900      660.49      699.74     1360.23
 1922   22      1899      672.78      677.12     1349.90
 1922   23      1899      652.74      653.68     1306.42
 1922   23      1898      664.73      628.01     1292.74
 1922   24      1898      690.72      687.35     1378.07
 1922   24      1897      701.67      663.10     1364.77
 1922   25      1897      691.78      629.56     1321.34
 1922   25      1896      698.47      594.58     1293.05
 1922   26      1896      683.79      646.98     1330.77
 1922   26      1895      695.22      614.70     1309.92
 1922   27      1895      729.70      663.92     1393.62
 1922   27      1894      722.18      616.07     1338.25
 1922   28      1894      727.66      677.45     1405.11
 1922   28      1893      751.22      653.68     1404.90
 1922   29      1893      727.10      708.13     1435.23
 1922   29      1892      727.87      662.94     1390.81
 1922   30      1892      742.33      651.49     1393.82
 1922   30      1891      758.96      637.72     1396.68
 1922   31      1891      742.94      699.37     1442.31
 1922   31      1890      728.23      653.87     1382.10
 1922   32      1890      741.32      742.56     1483.88
 1922   32      1889      757.41      727.96     1485.37
 1922   33      1889      769.20      739.16     1508.36
 1922   33      1888      776.76      710.95     1487.71
 1922   34      1888      787.94      807.62     1595.56
 1922   34      1887      799.92      786.33     1586.25
 1922   35      1887      794.21      798.54     1592.75
 1922   35      1886      825.13      813.82     1638.95
 1922   36      1886      826.66      845.90     1672.56
 1922   36      1885      840.37      843.64     1684.01
 1922   37      1885      823.24      869.47     1692.71
 1922   37      1884      851.63      883.28     1734.91
 1922   38      1884      917.71      967.02     1884.73
 1922   38      1883      928.12      957.02     1885.14
 1922   39      1883      895.26     1006.63     1901.89
 1922   39      1882      916.67     1011.72     1928.39
 1922   40      1882      903.88     1000.60     1904.48
 1922   40      1881      921.11     1023.27     1944.38
 1922   41      1881      919.29      979.39     1898.68
 1922   41      1880      939.11     1001.81     1940.92
 1922   42      1880     1028.94     1166.43     2195.37
 1922   42      1879     1053.08     1196.02     2249.10
 1922   43      1879      974.77     1086.28     2061.05
 1922   43      1878     1004.04     1126.38     2130.42
 1922   44      1878      974.28     1131.69     2105.97
 1922   44      1877      996.51     1156.15     2152.66
 1922   45      1877     1026.20     1251.52     2277.72
 1922   45      1876     1049.57     1300.34     2349.91
 1922   46      1876     1092.88     1265.67     2358.55
 1922   46      1875     1085.09     1280.74     2365.83
 1922   47      1875     1098.79     1310.68     2409.47
 1922   47      1874     1130.39     1363.71     2494.10
 1922   48      1874     1209.92     1423.46     2633.38
 1922   48      1873     1211.48     1449.32     2660.80
 1922   49      1873     1271.01     1496.05     2767.06
 1922   49      1872     1294.66     1550.57     2845.23
 1922   50      1872     1337.61     1521.54     2859.15
 1922   50      1871     1346.14     1540.72     2886.86
 1922   51      1871     1279.54     1467.99     2747.53
 1922   51      1870     1310.41     1518.18     2828.59
 1922   52      1870     1458.28     1704.94     3163.22
 1922   52      1869     1473.80     1741.81     3215.61
 1922   53      1869     1416.46     1686.51     3102.97
 1922   53      1868     1478.66     1767.48     3246.14
 1922   54      1868     1527.13     1727.24     3254.37
 1922   54      1867     1542.97     1768.65     3311.62
 1922   55      1867     1391.19     1671.30     3062.49
 1922   55      1866     1418.19     1712.84     3131.03
 1922   56      1866     1556.67     1886.98     3443.65
 1922   56      1865     1598.83     1944.56     3543.39
 1922   57      1865     1586.15     1938.68     3524.83
 1922   57      1864     1625.65     1995.10     3620.75
 1922   58      1864     1748.16     2087.53     3835.69
 1922   58      1863     1776.14     2140.31     3916.45
 1922   59      1863     1762.90     2147.21     3910.11
 1922   59      1862     1795.12     2191.56     3986.68
 1922   60      1862     1821.71     2046.28     3867.99
 1922   60      1861     1884.38     2104.99     3989.37
 1922   61      1861     1773.75     2095.12     3868.87
 1922   61      1860     1837.47     2161.27     3998.74
 1922   62      1860     2053.56     2426.64     4480.20
 1922   62      1859     2170.02     2543.22     4713.24
 1922   63      1859     2075.84     2387.91     4463.75
 1922   63      1858     2105.32     2410.77     4516.09
 1922   64      1858     2191.85     2431.25     4623.10
 1922   64      1857     2312.10     2555.60     4867.70
 1922   65      1857     2304.50     2578.77     4883.27
 1922   65      1856     2450.57     2687.30     5137.87
 1922   66      1856     2163.08     2429.19     4592.27
 1922   66      1855     2242.68     2483.88     4726.56
 1922   67      1855     2307.54     2510.35     4817.89
 1922   67      1854     2458.59     2641.20     5099.79
 1922   68      1854     2500.17     2724.17     5224.34
 1922   68      1853     2603.99     2810.32     5414.31
 1922   69      1853     2564.83     2747.66     5312.49
 1922   69      1852     2773.06     2919.25     5692.31
 1922   70      1852     2718.18     2662.13     5380.31
 1922   70      1851     2906.39     2800.03     5706.42
 1922   71      1851     2640.90     2566.10     5207.00
 1922   71      1850     2787.57     2657.63     5445.20
 1922   72      1850     2950.12     2790.61     5740.73
 1922   72      1849     3128.76     2912.34     6041.10
 1922   73      1849     2902.02     2606.95     5508.97
