Lithuania,  Deaths (Lexis triangle)	Last modified: 29 Jan 2022;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1959    0      1959     1056.43     1376.15     2432.58
 1959    0      1958      339.24      474.30      813.54
 1959    1      1958       62.17       61.06      123.23
 1959    1      1957       48.97       47.96       96.93
 1959    2      1957       29.07       32.61       61.68
 1959    2      1956       26.99       30.41       57.40
 1959    3      1956       16.61       17.60       34.21
 1959    3      1955       15.43       16.41       31.84
 1959    4      1955       16.09       17.08       33.17
 1959    4      1954       14.94       15.93       30.87
 1959    5      1954        7.62       13.83       21.45
 1959    5      1953        7.40       13.18       20.58
 1959    6      1953       11.17       15.36       26.53
 1959    6      1952       10.85       14.65       25.50
 1959    7      1952        7.11       10.75       17.86
 1959    7      1951        6.91       10.25       17.16
 1959    8      1951        5.59       12.80       18.39
 1959    8      1950        5.43       12.20       17.63
 1959    9      1950        5.08       10.24       15.32
 1959    9      1949        4.93        9.76       14.69
 1959   10      1949        6.89       15.51       22.40
 1959   10      1948        7.13       15.50       22.63
 1959   11      1948        5.91       10.01       15.92
 1959   11      1947        6.11       10.00       16.11
 1959   12      1947        5.41        6.00       11.41
 1959   12      1946        5.60        6.00       11.60
 1959   13      1946        5.41        7.51       12.92
 1959   13      1945        5.60        7.50       13.10
 1959   14      1945        6.40       18.01       24.41
 1959   14      1944        6.62       18.00       24.62
 1959   15      1944        7.39       13.76       21.15
 1959   15      1943        7.63       14.25       21.88
 1959   16      1943        9.85       14.74       24.59
 1959   16      1942       10.17       15.26       25.43
 1959   17      1942        6.90       16.71       23.61
 1959   17      1941        7.12       17.30       24.42
 1959   18      1941       11.82       27.03       38.85
 1959   18      1940       12.21       27.98       40.19
 1959   19      1940        8.87       27.52       36.39
 1959   19      1939        9.15       28.49       37.64
 1959   20      1939       13.00       22.04       35.04
 1959   20      1938       13.03       20.98       34.01
 1959   21      1938        8.50       25.62       34.12
 1959   21      1937        8.52       24.39       32.91
 1959   22      1937       11.50       27.16       38.66
 1959   22      1936       11.53       25.85       37.38
 1959   23      1936       13.50       27.16       40.66
 1959   23      1935       13.53       25.85       39.38
 1959   24      1935       15.00       27.67       42.67
 1959   24      1934       15.03       26.34       41.37
 1959   25      1934       12.54       26.89       39.43
 1959   25      1933       12.49       25.13       37.62
 1959   26      1933       13.04       29.47       42.51
 1959   26      1932       12.99       27.54       40.53
 1959   27      1932       22.07       35.16       57.23
 1959   27      1931       21.98       32.86       54.84
 1959   28      1931       16.55       34.13       50.68
 1959   28      1930       16.49       31.89       48.38
 1959   29      1930       11.54       36.19       47.73
 1959   29      1929       11.49       33.82       45.31
 1959   30      1929       19.58       39.94       59.52
 1959   30      1928       19.47       38.08       57.55
 1959   31      1928       18.07       27.14       45.21
 1959   31      1927       17.97       25.87       43.84
 1959   32      1927       19.58       33.28       52.86
 1959   32      1926       19.47       31.73       51.20
 1959   33      1926       20.58       28.67       49.25
 1959   33      1925       20.47       27.34       47.81
 1959   34      1925       14.56       25.09       39.65
 1959   34      1924       14.48       23.92       38.40
 1959   35      1924       16.96       31.65       48.61
 1959   35      1923       17.08       31.36       48.44
 1959   36      1923       23.45       31.65       55.10
 1959   36      1922       23.61       31.36       54.97
 1959   37      1922       21.45       28.64       50.09
 1959   37      1921       21.60       28.37       49.97
 1959   38      1921       26.44       29.14       55.58
 1959   38      1920       26.62       28.87       55.49
 1959   39      1920       14.47       26.13       40.60
 1959   39      1919       14.57       25.89       40.46
 1959   40      1919       20.46       27.35       47.81
 1959   40      1918       20.58       27.66       48.24
 1959   41      1918       18.97       14.92       33.89
 1959   41      1917       19.08       15.09       34.17
 1959   42      1917       17.47       19.89       37.36
 1959   42      1916       17.57       20.12       37.69
 1959   43      1916       15.97       25.36       41.33
 1959   43      1915       16.07       25.65       41.72
 1959   44      1915       22.96       28.84       51.80
 1959   44      1914       23.09       29.17       52.26
 1959   45      1914       28.45       32.12       60.57
 1959   45      1913       28.62       32.90       61.52
 1959   46      1913       27.45       37.56       65.01
 1959   46      1912       27.62       38.46       66.08
 1959   47      1912       36.43       35.08       71.51
 1959   47      1911       36.66       35.93       72.59
 1959   48      1911       35.93       40.52       76.45
 1959   48      1910       36.16       41.50       77.66
 1959   49      1910       31.94       37.06       69.00
 1959   49      1909       32.14       37.96       70.10
 1959   50      1909       36.83       67.24      104.07
 1959   50      1908       37.26       68.79      106.05
 1959   51      1908       40.81       72.19      113.00
 1959   51      1907       41.28       73.85      115.13
 1959   52      1907       48.78       94.93      143.71
 1959   52      1906       49.34       97.11      146.45
 1959   53      1906       50.27       80.59      130.86
 1959   53      1905       50.85       82.45      133.30
 1959   54      1905       54.25       94.93      149.18
 1959   54      1904       54.88       97.11      151.99
 1959   55      1904       55.17       79.65      134.82
 1959   55      1903       55.96       81.39      137.35
 1959   56      1903       62.13       86.09      148.22
 1959   56      1902       63.02       87.96      150.98
