Slovakia ,  Deaths (Lexis triangle)	Last modified: 29 Oct 2021;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1950    0      1950     3609.87     4602.15     8212.02
 1950    0      1949     1082.96     1247.52     2330.48
 1950    1      1949      251.26      217.45      468.71
 1950    1      1948      128.19      145.99      274.18
 1950    2      1948       71.79       89.84      161.63
 1950    2      1947       54.35       49.00      103.35
 1950    3      1947       43.07       53.09       96.16
 1950    3      1946       29.74       41.86       71.60
 1950    4      1946       14.36       29.61       43.97
 1950    4      1945       22.56       23.48       46.04
 1950    5      1945       10.26       20.42       30.68
 1950    5      1944       22.56       24.50       47.06
 1950    6      1944       14.36       25.52       39.88
 1950    6      1943       17.43       23.48       40.91
 1950    7      1943       19.49       22.46       41.95
 1950    7      1942       19.49       13.27       32.76
 1950    8      1942       17.43       16.33       33.76
 1950    8      1941        9.23       20.42       29.65
 1950    9      1941        6.15       15.31       21.46
 1950    9      1940       14.36       10.21       24.57
 1950   10      1940       17.43       21.44       38.87
 1950   10      1939       12.31       17.36       29.67
 1950   11      1939       17.43       15.31       32.74
 1950   11      1938        8.20       15.31       23.51
 1950   12      1938        7.18       14.29       21.47
 1950   12      1937       12.31       15.31       27.62
 1950   13      1937       11.28       20.42       31.70
 1950   13      1936       12.31       22.46       34.77
 1950   14      1936        9.23       18.38       27.61
 1950   14      1935       11.28       14.29       25.57
 1950   15      1935       14.36       18.38       32.74
 1950   15      1934       14.36       22.46       36.82
 1950   16      1934       23.59       13.27       36.86
 1950   16      1933       30.77       31.65       62.42
 1950   17      1933       26.66       31.65       58.31
 1950   17      1932       31.79       41.86       73.65
 1950   18      1932       27.69       30.63       58.32
 1950   18      1931       30.77       51.04       81.81
 1950   19      1931       42.05       46.96       89.01
 1950   19      1930       23.59       49.00       72.59
 1950   20      1930       42.05       45.94       87.99
 1950   20      1929       37.94       35.73       73.67
 1950   21      1929       36.92       50.02       86.94
 1950   21      1928       36.92       51.04       87.96
 1950   22      1928       49.23       62.27      111.50
 1950   22      1927       44.10       45.94       90.04
 1950   23      1927       38.97       47.98       86.95
 1950   23      1926       37.94       47.98       85.92
 1950   24      1926       43.07       40.84       83.91
 1950   24      1925       33.84       44.92       78.76
 1950   25      1925       25.64       45.94       71.58
 1950   25      1924       36.92       45.94       82.86
 1950   26      1924       47.17       39.81       86.98
 1950   26      1923       54.35       56.15      110.50
 1950   27      1923       35.89       35.73       71.62
 1950   27      1922       35.89       47.98       83.87
 1950   28      1922       32.82       41.86       74.68
 1950   28      1921       46.15       46.96       93.11
 1950   29      1921       40.00       42.88       82.88
 1950   29      1920       47.17       46.96       94.13
 1950   30      1920       26.66       37.77       64.43
 1950   30      1919       50.25       53.09      103.34
 1950   31      1919       33.84       29.61       63.45
 1950   31      1918       18.46       17.36       35.82
 1950   32      1918       12.31       18.38       30.69
 1950   32      1917       21.54       16.33       37.87
 1950   33      1917       11.28       16.33       27.61
 1950   33      1916       27.69       18.38       46.07
 1950   34      1916       24.61       19.40       44.01
 1950   34      1915       17.43       22.46       39.89
 1950   35      1915       30.77       27.56       58.33
 1950   35      1914       42.05       37.77       79.82
 1950   36      1914       19.49       52.07       71.56
 1950   36      1913       25.64       39.81       65.45
 1950   37      1913       42.05       33.69       75.74
 1950   37      1912       52.30       40.84       93.14
 1950   38      1912       51.28       61.25      112.53
 1950   38      1911       37.94       43.90       81.84
 1950   39      1911       40.00       39.81       79.81
 1950   39      1910       38.97       47.98       86.95
 1950   40      1910       42.05       49.00       91.05
 1950   40      1909       55.38       45.94      101.32
 1950   41      1909       31.79       63.29       95.08
 1950   41      1908       50.25       66.36      116.61
 1950   42      1908       42.05       57.17       99.22
 1950   42      1907       41.02       57.17       98.19
 1950   43      1907       51.28       57.17      108.45
 1950   43      1906       51.28       59.21      110.49
 1950   44      1906       49.23       62.27      111.50
 1950   44      1905       45.12       56.15      101.27
 1950   45      1905       34.87       62.27       97.14
 1950   45      1904       57.43       75.55      132.98
 1950   46      1904       55.38       58.19      113.57
 1950   46      1903       48.20       70.44      118.64
 1950   47      1903       56.40       76.57      132.97
 1950   47      1902       75.89       73.50      149.39
 1950   48      1902       59.48       79.63      139.11
 1950   48      1901       49.23       70.44      119.67
 1950   49      1901       66.66       79.63      146.29
 1950   49      1900       67.69      116.38      184.07
 1950   50      1900       84.09      106.17      190.26
 1950   50      1899       61.53       74.52      136.05
 1950   51      1899       53.33       83.71      137.04
