Taiwan,  Deaths (Lexis triangle)	Last modified: 18 Sep 2023;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1970    0      1970     2355.17     2882.36     5237.53
 1970    0      1969      414.83      513.64      928.47
 1970    1      1969      450.71      536.45      987.16
 1970    1      1968      383.83      462.48      846.31
 1970    2      1968      304.09      360.05      664.14
 1970    2      1967      257.65      310.27      567.92
 1970    3      1967      184.50      221.20      405.70
 1970    3      1966      176.60      211.24      387.84
 1970    4      1966      124.52      151.76      276.28
 1970    4      1965      108.10      133.55      241.65
 1970    5      1965       85.88      111.67      197.55
 1970    5      1964       80.47      103.96      184.43
 1970    6      1964       63.27       88.52      151.79
 1970    6      1963       59.19       81.67      140.86
 1970    7      1963       47.37       70.96      118.33
 1970    7      1962       43.61       64.71      108.32
 1970    8      1962       37.52       58.75       96.27
 1970    8      1961       34.41       53.33       87.74
 1970    9      1961       33.98       52.02       86.00
 1970    9      1960       31.30       47.41       78.71
 1970   10      1960       34.79       49.57       84.36
 1970   10      1959       34.40       47.45       81.85
 1970   11      1959       38.79       52.72       91.51
 1970   11      1958       37.39       49.54       86.93
 1970   12      1958       43.15       59.34      102.49
 1970   12      1957       41.24       55.10       96.34
 1970   13      1957       46.50       67.18      113.68
 1970   13      1956       47.31       66.41      113.72
 1970   14      1956       53.21       82.27      135.48
 1970   14      1955       51.22       77.43      128.65
 1970   15      1955       59.33       97.24      156.57
 1970   15      1954       56.08       92.91      148.99
 1970   16      1954       62.66      108.75      171.41
 1970   16      1953       60.52      105.75      166.27
 1970   17      1953       64.18      115.72      179.90
 1970   17      1952       62.69      114.40      177.09
 1970   18      1952       63.04      117.78      180.82
 1970   18      1951       63.45      119.24      182.69
 1970   19      1951       65.59      125.20      190.79
 1970   19      1950       56.46      110.00      166.46
 1970   20      1950       60.22      121.25      181.47
 1970   20      1949       54.25      105.08      159.33
 1970   21      1949       55.12      113.59      168.71
 1970   21      1948       52.48      103.48      155.96
 1970   22      1948       52.43      109.42      161.85
 1970   22      1947       49.92       99.69      149.61
 1970   23      1947       50.59      105.93      156.52
 1970   23      1946       48.17       96.50      144.67
 1970   24      1946       49.59      103.11      152.70
 1970   24      1945       47.22       93.94      141.16
 1970   25      1945       49.64      101.99      151.63
 1970   25      1944       46.98       91.21      138.19
