Scotland, Life expectancy at birth (cohort, 1x5)	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1855-1859     44.71    42.36    43.53
1860-1864     45.02    42.33    43.67
1865-1869     46.42    43.78    45.09
1870-1874     47.74    44.87    46.29
1875-1879     50.10    47.08    48.59
1880-1884     51.75    48.25    50.04
1885-1889     52.85    48.61    50.80
1890-1894     53.91    48.92    51.51
1895-1899     55.27    49.44    52.46
1900-1904     57.73    51.28    54.51
1905-1909     59.51    53.02    56.27
1910-1914     60.38    53.92    57.17
1915-1919     62.06    55.15    58.74
1920-1924     64.66    57.42    61.11
1925-1929     67.11    60.65    63.85
