Norway, Life expectancy at birth (cohort, 1x5)	Last modified: 01 Aug 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1846-1849     51.80    48.81    50.31
1850-1854     52.80    49.88    51.36
1855-1859     51.73    49.06    50.41
1860-1864     51.42    48.27    49.88
1865-1869     52.87    49.38    51.17
1870-1874     53.12    49.83    51.49
1875-1879     53.77    50.51    52.16
1880-1884     54.56    51.08    52.85
1885-1889     56.03    52.63    54.36
1890-1894     58.73    54.06    56.38
1895-1899     60.89    55.44    58.14
1900-1904     63.90    58.10    60.98
1905-1909     66.89    60.57    63.69
1910-1914     69.25    62.27    65.67
1915-1919     71.43    63.65    67.44
1920-1924     74.27    66.38    70.21
1925-1929     75.86    68.52    72.08
1930-1932     77.34    70.11    73.62
