Belarus, Life expectancy at birth (period, 1x1)	Last modified: 02 Apr 2020;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1959        71.97    65.24    69.06
  1960        74.81    67.92    71.85
  1961        75.56    68.61    72.58
  1962        74.08    67.66    71.32
  1963        74.88    68.16    71.99
  1964        76.67    69.39    73.53
  1965        76.14    68.96    73.04
  1966        76.60    69.16    73.38
  1967        76.36    68.97    73.16
  1968        76.64    68.93    73.26
  1969        76.34    68.51    72.90
  1970        75.96    67.87    72.36
  1971        76.77    68.35    73.02
  1972        76.48    68.10    72.73
  1973        76.44    68.17    72.75
  1974        76.91    68.35    73.07
  1975        76.25    67.15    72.11
  1976        76.25    66.89    71.97
  1977        76.29    66.75    71.91
  1978        76.16    66.58    71.75
  1979        76.06    65.96    71.35
  1980        75.59    65.95    71.10
  1981        76.20    65.94    71.38
  1982        76.17    66.21    71.51
  1983        75.94    66.11    71.33
  1984        75.52    65.41    70.72
  1985        75.26    66.11    70.97
  1986        76.28    67.68    72.31
  1987        76.17    67.58    72.19
  1988        76.11    67.27    71.97
  1989        76.34    66.73    71.76
  1990        75.79    66.24    71.21
  1991        75.45    65.50    70.62
  1992        75.34    64.90    70.21
  1993        74.49    63.73    69.11
  1994        74.36    63.42    68.87
  1995        74.19    62.80    68.43
  1996        74.29    63.04    68.60
  1997        74.19    62.81    68.41
  1998        74.29    62.57    68.30
  1999        73.92    62.19    67.91
  2000        74.66    63.30    68.89
  2001        74.50    62.73    68.46
  2002        74.12    62.18    67.95
  2003        74.67    62.62    68.47
  2004        74.96    63.12    68.89
  2005        75.00    62.76    68.70
  2006        75.44    63.48    69.32
  2007        76.11    64.46    70.22
  2008        76.41    64.55    70.40
  2009        76.36    64.67    70.45
  2010        76.48    64.60    70.45
  2011        76.77    64.71    70.65
  2012        77.68    66.60    72.19
  2013        77.88    67.23    72.65
  2014        78.43    67.81    73.24
  2015        78.87    68.59    73.88
  2016        79.02    68.96    74.15
  2017        79.22    69.27    74.42
  2018        79.40    69.25    74.48
